R,phi,th2,th1,E_cm
2.7,0.0,0.0,0.0,620.0461387551637
2.8,0.0,0.0,0.0,637.5854985869901
2.9,0.0,0.0,0.0,581.3364455237337
3.0,0.0,0.0,0.0,487.42495666610637
3.1,0.0,0.0,0.0,384.16904265479207
3.2,0.0,0.0,0.0,287.83340075946205
3.3,0.0,0.0,0.0,205.28606923549668
3.4,0.0,0.0,0.0,139.08136207901984
3.5,0.0,0.0,0.0,88.71738931649288
3.6,0.0,0.0,0.0,51.95254022930138
3.7,0.0,0.0,0.0,25.016176589466856
3.8,0.0,0.0,0.0,8.891868683374486
3.9,0.0,0.0,0.0,-1.9823440204416982
4.0,0.0,0.0,0.0,-8.450505862225263
4.1,0.0,0.0,0.0,-11.73515746916486
4.2,0.0,0.0,0.0,-13.846204264625253
4.3,0.0,0.0,0.0,-12.984116916480492
4.4,0.0,0.0,0.0,-12.228913933296337
4.5,0.0,0.0,0.0,-11.553326030391789
4.6,0.0,0.0,0.0,-9.644890089725534
4.7,0.0,0.0,0.0,-8.236079148907319
4.8,0.0,0.0,0.0,-6.836784407389828
4.9,0.0,0.0,0.0,-5.817515253881207
5.0,0.0,0.0,0.0,-4.673938525944487
5.1,0.0,0.0,0.0,-4.078061613292449
5.2,0.0,0.0,0.0,-2.900254082379931
5.3,0.0,0.0,0.0,-2.134469129911966
5.4,0.0,0.0,0.0,-1.4281216377179942
5.5,0.0,0.0,0.0,-0.90763030996619
5.6,0.0,0.0,0.0,-0.4181399947863811
5.7,0.0,0.0,0.0,-0.027569306271617224
5.8,0.0,0.0,0.0,0.27951674266795207
5.9,0.0,0.0,0.0,1.2407256364932564
6.0,0.0,0.0,0.0,1.3863692204201608
6.2,0.0,0.0,0.0,1.555387291414999
6.4,0.0,0.0,0.0,1.6083504714016237
6.6,0.0,0.0,0.0,1.5857248312873982
6.8,0.0,0.0,0.0,1.5164171584619208
7.0,0.0,0.0,0.0,1.421844223792352
7.2,0.0,0.0,0.0,1.3145869698645567
7.4,0.0,0.0,0.0,1.2041747703061276
7.6,0.0,0.0,0.0,1.0965918198211433
7.8,0.0,0.0,0.0,0.9950121580812146
8.0,0.0,0.0,0.0,0.9011891651070046
8.2,0.0,0.0,0.0,0.8159460990952208
8.4,0.0,0.0,0.0,0.7392010883412473
8.6,0.0,0.0,0.0,0.6704726055839821
8.8,0.0,0.0,0.0,0.6090919165022788
9.0,0.0,0.0,0.0,0.5543593345922635
9.5,0.0,0.0,0.0,0.44129939163087045
10.0,0.0,0.0,0.0,0.35490298566074474
10.5,0.0,0.0,0.0,0.2880435512684235
