R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2.5,8765.704804661093,-1360.3412769986976,-145.23353424226002,-1590.5639499772083,-179.8068741839088,43.83057571115978,427.6380850732537,-448.7690334043541,278.4583367546871,-231.5307571318852,-2461.134628949355,446.1668215370827,-273.57124024753114,254.48797797779503,1395.7418888602992,-745.396926864108,651.6551146119716,-699.7602335345963,997.4061020041368,-645.5721436494819,392.27554496035015,-333.1910530943427,438.92509724340266,925.8086763762881,-547.9459346153101,378.03125905376993,-243.61227261068413,106.61088291346738
2.6,6186.18757232453,-594.217686413919,-85.10860189633458,-521.5958159823947,37.63300871602655,-67.18525051814174,369.7894855022011,-229.41875615931122,142.78895270872306,-119.67168236878786,-1503.043787160826,269.46768761892577,-174.95243978466823,179.51270568505026,724.6957470827411,-386.60601367025487,337.2408871845261,-361.12486275836477,513.2333813543329,-423.0461139955705,249.25805390823234,-201.40397685906973,251.52321557834048,486.45431650563137,-289.39744994617604,201.9228537071482,-133.87707474366184,67.4590846659051
2.7,4308.278443447013,-216.49933628566635,-48.12376318720091,-20.301437935909092,190.2029762951206,-143.08255965826856,348.59946880994795,-112.44675677681408,70.05606347024309,-58.83738620810041,-914.452432313391,160.8467499900653,-113.21391775476172,131.2197098211538,365.2796567381459,-194.6030347735711,169.2839541780097,-180.6342227924265,255.77345523306275,-274.48583088881276,165.1565965504491,-121.92592803522115,135.90088393462224,248.8069967303782,-148.9292631941847,105.29488476911516,-72.07454451717739,41.515633325339714
2.8,2948.5574563240543,-44.90895338295707,-26.0835156471956,179.62899685159567,279.7253506256403,-185.41675129405718,333.58214875448573,-51.68609576796098,32.04169777241418,-26.530858301315874,-555.0524024630831,95.22056232425274,-74.78088959141573,99.32889067576838,177.64098205354836,-94.47635025213455,81.89542785154177,-86.99375729756268,122.59981975656927,-176.37734701795364,114.81395673390833,-74.29955432381381,66.4825719531944,123.2262120072687,-74.30223509140781,53.34999920940206,-37.83917066081938,24.734566039794746
2.9,1970.9333126067875,22.00398260030946,-13.431227931032804,228.8208624601385,319.5896087481906,-201.64912850538562,314.4165415718927,-21.155682267155896,12.81089923728831,-9.913427741348556,-336.8974433797879,56.26120022176892,-50.875121886214345,77.5525799314415,82.64991436880305,-43.86100028759075,37.84991246994259,-39.974313738212686,55.99201120355926,-112.28292284239532,83.77724039383241,-45.90586742709121,26.240919092011495,58.6772059844605,-35.69023320729993,26.088942635150374,-19.240418141832304,14.15797273633879
3.0,1274.2121793113868,39.173859775816425,-6.497603730395483,209.87249023115368,325.0796647865479,-200.08115100427113,289.6754481468429,-6.489004489533343,3.512166506259348,-1.7581010105018322,-205.1911856259772,33.51824806814159,-35.906544083119925,62.079671740186505,36.34366267108031,-19.234438636897806,16.504395160217186,-17.302386629987986,24.044858445760056,-70.8592026889626,63.82960131421694,-29.023544607115824,4.020207060956238,26.591261827149854,-16.33906939773545,12.188273535395957,-9.371096244489376,7.684664245072449
3.1,783.1197747560822,35.2658988319051,-2.924186099456522,166.13210675341372,309.3847838823334,-187.79208769351078,261.1832537455508,0.09722756382468845,-0.6788431796787293,1.9409286267161292,-126.01536289917905,20.42485547368932,-26.3727252179849,50.61749160259442,14.820984997693198,-7.818319217508771,6.662907017576231,-6.922323627781349,9.526286324978237,-44.37401021030427,50.34291307955534,-18.970131436817788,-7.362876075048916,11.290229242815272,-7.015016734426403,5.34693415267711,-4.2855165807190385,3.8593431684605566
3.2,441.7265961140385,24.45952338165632,-1.2387275693887894,118.85274300020374,282.43756121472506,-170.0634468508233,231.40640185288913,2.719236868512837,-2.334011511766306,3.3653260643065934,-78.52532966666448,12.938017195079432,-20.11684402488184,41.792534072538785,5.423571837457899,-2.8522179680618587,2.41484832001348,-2.4868998805959714,3.389372956310188,-27.619411081029067,40.72706482135268,-12.933913127592287,-12.445166737944469,4.3715204419440505,-2.742792825573507,2.129157526955723,-1.7641264691096614,1.6977056771001706
3.3,208.57923644784034,13.192109502416477,-0.5524533519013861,77.258682187788,251.03052896947963,-150.4701067929151,202.40909096380437,3.4917925034021016,-2.78897591515321,3.67931089344735,-50.01071707046399,8.62580442072779,-15.83477897838667,34.78013126659981,1.6614385867470673,-0.8749929512178127,0.7430162463519245,-0.7680675298867676,1.050983301650021,-17.129100693837657,33.53323701730856,-9.24461859157497,-14.028583394804102,1.4597119495263176,-0.9137744030882988,0.7062693070813699,-0.5804840684527028,0.5495277737815325
3.4,53.06527925911388,3.939123678779737,-0.3502666397456249,44.33562472206458,219.40880250741156,-131.21462355893104,175.56660374521252,3.4634342933264346,-2.715713992152631,3.4892151938136324,-32.78630014030031,6.064435909199456,-12.752741235743185,29.078731290380407,0.34211314590458386,-0.18755453702822678,0.1724475910174288,-0.1962217375677291,0.2951517661675567,-10.62353452547693,27.942855501719794,-6.921468323282339,-13.797419983486341,0.35680010681279306,-0.20551686057502483,0.1330632365225477,-0.07106037543546417,-0.0042165276950054675
3.5,-47.315790809746844,-2.722718826624967,-0.34916746093220397,20.075061425023534,189.95047274503858,-113.50102855286515,151.60751727085582,3.131087683055826,-2.439141448061969,3.101322513433189,-22.246753880799695,4.446772104432968,-10.419940756278725,24.374491051664883,-0.020517208624017513,-0.001401386203063737,0.02299889482703854,-0.05350349337765259,0.11722614356018468,-6.621989071802725,23.481100713757556,-5.395453748122696,-12.729997889497563,0.00854786888400838,0.024286850360780043,-0.06156944823518762,0.11408938222223486,-0.2262456372292565
