R	Gamma	E
2.50	160	3674.702298
2.50	170	4609.388466
2.50	180	4991.310787
2.60	0	1141.161358
2.60	10	1140.718848
2.60	20	1139.481516
2.60	30	1136.674404
2.60	40	1129.298931
2.60	50	1112.326229
2.60	60	1079.446173
2.60	70	1024.860983
2.60	80	946.944734
2.60	90	852.684591
2.60	100	760.853359
2.60	110	704.169761
2.60	120	731.553043
2.60	130	906.851279
2.60	140	1294.7076
2.60	150	1919.562758
2.60	160	2695.305257
2.60	170	3379.474677
2.60	180	3658.16544
2.70	0	829.409162
2.70	10	830.351752
2.70	20	833.073304
2.70	30	836.538854
2.70	40	837.836034
2.70	50	832.32174
2.70	60	814.318396
2.70	70	778.534159
2.70	80	722.815508
2.70	90	651.692093
2.70	100	579.093397
2.70	110	529.968495
2.70	120	541.885575
2.70	130	663.947389
2.70	140	945.321392
2.70	150	1403.750441
2.70	160	1973.341445
2.70	170	2473.966668
2.70	180	2677.276168
2.80	0	598.624641
2.80	10	600.305607
2.80	20	605.175303
2.80	30	612.206156
2.80	40	618.766084
2.80	50	620.683418
2.80	60	612.897594
2.80	70	590.629939
2.80	80	551.480247
2.80	90	498.207997
2.80	100	441.068569
2.80	110	399.088328
2.80	120	401.126078
2.80	130	484.966424
2.80	140	688.118259
2.80	150	1023.742574
2.80	160	1441.693876
2.80	170	1807.908365
2.80	180	1956.177736
2.90	0	427.806012
2.90	10	429.8293
2.90	20	435.718472
2.90	30	444.58276
2.90	40	454.12888
2.90	50	460.673421
2.90	60	459.746777
2.90	70	447.076739
2.90	80	420.205467
2.90	90	380.63504
2.90	100	335.843998
2.90	110	300.341938
2.90	120	296.341935
2.90	130	352.946741
2.90	140	498.847035
2.90	150	743.984463
2.90	160	1050.371276
2.90	170	1318.107728
2.90	180	1426.155505
3.00	0	301.442772
3.00	10	303.572786
3.00	20	309.813646
3.00	30	319.433827
3.00	40	330.476061
3.00	50	339.718316
3.00	60	343.246028
3.00	70	337.277018
3.00	80	319.41467
3.00	90	290.302583
3.00	100	255.321933
3.00	110	225.534729
3.00	120	218.084041
3.00	130	255.430336
3.00	140	359.571784
3.00	150	538.12139
3.00	160	762.400122
3.00	170	957.90641
3.00	180	1036.533183
3.10	0	208.064032
3.10	10	210.171343
3.10	20	216.379843
3.10	30	226.107351
3.10	40	237.693267
3.10	50	248.329468
3.10	60	254.608619
3.10	70	253.216104
3.10	80	241.886633
3.10	90	220.701937
3.10	100	193.479427
3.10	110	168.637011
3.10	120	159.436921
3.10	130	183.27071
3.10	140	257.053574
3.10	150	386.66545
3.10	160	550.520816
3.10	170	693.041718
3.10	180	750.138416
3.20	0	139.182426
3.20	10	141.199038
3.20	20	147.167315
3.20	30	156.624252
3.20	40	168.160561
3.20	50	179.329095
3.20	60	187.174943
3.20	70	188.811007
3.20	80	182.153334
3.20	90	166.930849
3.20	100	145.816566
3.20	110	125.196158
3.20	120	115.342427
3.20	130	129.772971
3.20	140	181.561071
3.20	150	275.267033
3.20	160	394.679277
3.20	170	498.3589
3.20	180	539.722062
3.30	0	88.523826
3.30	10	90.41564
3.30	20	96.031992
3.30	30	105.003931
3.30	40	116.128719
3.30	50	127.274453
3.30	60	135.876733
3.30	70	139.435455
3.30	80	136.063647
3.30	90	125.287172
3.30	100	108.960561
3.30	110	91.911709
3.30	120	82.092577
3.30	130	90.045442
3.30	140	125.955992
3.30	150	193.376473
3.30	160	280.133127
3.30	170	355.371937
3.30	180	385.256162
3.40	0	51.455076
3.40	10	53.204157
3.40	20	58.409361
3.40	30	66.774849
3.40	40	77.27169
3.40	50	88.042763
3.40	60	96.862238
3.40	70	101.564278
3.40	80	100.459298
3.40	90	92.971524
3.40	100	80.379946
3.40	110	66.331421
3.40	120	56.967659
3.40	130	60.524408
3.40	140	85.017086
3.40	150	133.244645
3.40	160	196.044211
3.40	170	250.479893
3.40	180	271.994748
3.50	0	24.549851
3.50	10	26.141535
3.50	20	30.905365
3.50	30	38.594419
3.50	40	48.336575
3.50	50	58.518283
3.50	60	67.202519
3.50	70	72.508931
3.50	80	72.932203
3.50	90	67.856998
3.50	100	58.169816
3.50	110	46.62692
3.50	120	37.960548
3.50	130	38.606907
3.50	140	54.924021
3.50	150	89.169977
3.50	160	134.427692
3.50	170	173.665763
3.50	180	189.099907
3.60	0	5.259477
3.60	10	6.692329
3.60	20	10.992313
3.60	30	17.969499
3.60	40	26.887981
3.60	50	36.353178
3.60	60	44.677711
3.60	70	50.22167
3.60	80	51.644659
3.60	90	48.331112
3.60	100	40.892968
3.60	110	31.43116
3.60	120	23.589912
3.60	130	22.383262
3.60	140	32.880695
3.60	150	56.958482
3.60	160	89.396494
3.60	170	117.547972
