E (cm-1),2->0	,E (cm-1),4->0	,E (cm-1),6->0	,E (cm-1),8->0	,E (cm-1),10->0	,E (cm-1),4->2	,E (cm-1),6->2	,E (cm-1),8->2	,E (cm-1),10->2	,E (cm-1),6->4	,E (cm-1),8->4	,E (cm-1),10->4	,E (cm-1),8->6	,E (cm-1),10->6	,E (cm-1),10->8	
0.03814000000000006,461.59,0.04380000000000006,15.3507,0.016980000000000217,154.182,0.007680000000000575,13.9597,0.015900000000000247,21.3423,0.04380000000000006,157.001,0.016980000000000217,265.539,0.007680000000000575,217.156,0.015900000000000247,136.748,0.016980000000000217,925.452,0.007680000000000575,1270.05,0.015900000000000247,297.967,0.007680000000000575,2240.21,0.015900000000000247,454.828,0.015900000000000247,931.027
0.08814,120.598,0.0938000000000001,1.64343,0.06698000000000004,4.14534,0.0576800000000004,1.34338,0.06589999999999918,2.35196,0.0938000000000001,139.937,0.06698000000000004,130.801,0.0576800000000004,37.0933,0.06589999999999918,72.9963,0.06698000000000004,366.06,0.0576800000000004,197.152,0.06589999999999918,103.186,0.0576800000000004,335.036,0.06589999999999918,175.023,0.06589999999999918,111.945
0.13814000000000004,144.983,0.14380000000000015,36.5828,0.1169800000000003,36.9819,0.10768000000000022,6.57249,0.11589999999999989,2.76789,0.14380000000000015,270.579,0.1169800000000003,59.1529,0.10768000000000022,12.8685,0.11589999999999989,41.3016,0.1169800000000003,166.573,0.10768000000000022,42.3283,0.11589999999999989,35.5861,0.10768000000000022,283.04,0.11589999999999989,65.745,0.11589999999999989,119.093
0.18813999999999997,38.9243,0.19379999999999997,4.19896,0.16698000000000013,3.33085,0.15768000000000004,4.37311,0.1659000000000006,6.71489,0.19379999999999997,277.583,0.16698000000000013,31.33,0.15768000000000004,17.3766,0.1659000000000006,29.6602,0.16698000000000013,36.8784,0.15768000000000004,70.324,0.1659000000000006,22.775,0.15768000000000004,267.654,0.1659000000000006,48.0035,0.1659000000000006,158.582
0.23814000000000002,76.9079,0.24380000000000002,46.076,0.21697999999999995,5.77395,0.20767999999999986,2.11385,0.21589999999999954,5.56756,0.24380000000000002,141.112,0.21697999999999995,21.1011,0.20767999999999986,17.7029,0.21589999999999954,40.8766,0.21697999999999995,225.32,0.20767999999999986,33.8201,0.21589999999999954,37.3686,0.20767999999999986,166.748,0.21589999999999954,53.1014,0.21589999999999954,244.392
0.28814000000000006,113.172,0.29380000000000006,10.662,0.2669800000000002,8.976,0.2576800000000006,8.6877,0.26590000000000025,5.86541,0.29380000000000006,35.2486,0.2669800000000002,24.2,0.2576800000000006,10.9203,0.26590000000000025,36.3505,0.2669800000000002,111.272,0.2576800000000006,83.3463,0.26590000000000025,24.7776,0.2576800000000006,88.0563,0.26590000000000025,60.7183,0.26590000000000025,184.648
0.33814,44.445,0.3437999999999999,2.00342,0.31698000000000004,5.76742,0.3076800000000004,0.936869,0.3158999999999992,3.64373,0.3437999999999999,61.0371,0.31698000000000004,12.0973,0.3076800000000004,14.7021,0.3158999999999992,23.4806,0.31698000000000004,59.9029,0.3076800000000004,9.95624,0.3158999999999992,16.4495,0.3076800000000004,56.7463,0.3158999999999992,40.4355,0.3158999999999992,51.0011
0.38814000000000004,55.9748,0.39380000000000015,8.20912,0.3669800000000003,2.39147,0.3576800000000002,2.23856,0.3658999999999999,1.3666,0.39380000000000015,171.92,0.3669800000000003,16.1191,0.3576800000000002,26.14,0.3658999999999999,25.9253,0.3669800000000003,41.5575,0.3576800000000002,47.0875,0.3658999999999999,14.1426,0.3576800000000002,56.2404,0.3658999999999999,29.5584,0.3658999999999999,28.497
0.43814,45.6185,0.4438,7.97001,0.41698000000000013,12.5113,0.40768000000000004,7.23288,0.4159000000000006,1.52011,0.4438,94.4105,0.41698000000000013,53.4117,0.40768000000000004,39.8073,0.4159000000000006,14.972,0.41698000000000013,51.436,0.40768000000000004,28.3414,0.4159000000000006,19.8675,0.40768000000000004,72.3146,0.4159000000000006,28.2756,0.4159000000000006,73.3992
0.48814,9.86049,0.49380000000000024,2.42173,0.46697999999999995,0.658346,0.45767999999999986,4.393,0.46589999999999954,0.132918,0.49380000000000024,31.1062,0.46697999999999995,32.6516,0.45767999999999986,28.2777,0.46589999999999954,5.10916,0.46697999999999995,62.4259,0.45767999999999986,60.529,0.46589999999999954,22.3097,0.45767999999999986,80.5399,0.46589999999999954,24.3773,0.46589999999999954,59.6142
0.5381400000000001,89.5376,0.5438000000000001,25.4469,0.5169799999999998,5.22397,0.5076800000000006,1.22145,0.5159000000000002,0.509859,0.5438000000000001,54.0023,0.5169799999999998,77.8958,0.5076800000000006,15.2344,0.5159000000000002,1.34141,0.5169799999999998,151.814,0.5076800000000006,17.2862,0.5159000000000002,14.0989,0.5076800000000006,105.228,0.5159000000000002,10.2775,0.5159000000000002,75.3124
