R	Gamma	E
2.40	40	400.368394
2.40	50	197.596113
2.40	60	-7.798077
2.40	70	-194.321722
2.40	80	-342.5314
2.40	90	-436.102069
2.40	100	-461.454141
2.40	110	-405.60322
2.40	120	-253.772248
2.40	130	8.983666
2.40	140	388.114478
2.40	150	859.997963
2.40	160	1351.337778
2.40	170	1739.590511
2.40	180	1889.819443
2.50	0	497.373459
2.50	10	477.318458
2.50	20	418.246715
2.50	30	323.676612
2.50	40	200.460341
2.50	50	59.694722
2.50	60	-84.327181
2.50	70	-216.538122
2.50	80	-323.100449
2.50	90	-392.365707
2.50	100	-415.000038
2.50	110	-382.758182
2.50	120	-286.504249
2.50	130	-117.041049
2.50	140	128.307183
2.50	150	432.561281
2.50	160	746.70463
2.50	170	993.014549
2.50	180	1087.94149
2.60	0	275.979642
2.60	10	262.407911
2.60	20	222.25807
2.60	30	157.509688
2.60	40	72.450062
2.60	50	-25.547392
2.60	60	-126.680677
2.60	70	-220.405983
2.60	80	-296.948133
2.60	90	-348.115211
2.60	100	-367.62412
2.60	110	-350.525489
2.60	120	-291.55488
2.60	130	-185.236251
2.60	140	-30.290677
2.60	150	161.631706
2.60	160	358.212153
2.60	170	510.89333
2.60	180	569.478827
2.70	0	133.739016
2.70	10	124.467875
2.70	20	96.930443
2.70	30	52.247224
2.70	40	-6.83285
2.70	50	-75.360426
2.70	60	-146.593955
2.70	70	-213.155097
2.70	80	-268.183876
2.70	90	-306.015916
2.70	100	-322.513712
2.70	110	-314.908792
2.70	120	-280.519833
2.70	130	-216.266925
2.70	140	-121.530421
2.70	150	-3.888257
2.70	160	115.694683
2.70	170	207.239999
2.70	180	242.060236
2.80	0	44.470416
2.80	10	38.057907
2.80	20	18.945927
2.80	30	-12.209022
2.80	40	-53.586159
2.80	50	-101.816213
2.80	60	-152.240391
2.80	70	-199.688394
2.80	80	-239.369517
2.80	90	-267.448195
2.80	100	-281.281182
2.80	110	-279.469108
2.80	120	-260.967356
2.80	130	-224.231123
2.80	140	-168.920504
2.80	150	-99.661678
2.80	160	-29.834026
2.80	170	22.284552
2.80	180	41.715296
2.90	0	-9.767809
2.90	10	-14.263202
2.90	20	-27.704067
2.90	30	-49.689309
2.90	40	-78.973488
2.90	50	-113.222664
2.90	60	-149.187678
2.90	70	-183.228085
2.90	80	-212.006033
2.90	90	-232.98485
2.90	100	-244.560622
2.90	110	-246.155383
2.90	120	-237.678283
2.90	130	-218.556669
2.90	140	-188.560593
2.90	150	-150.275091
2.90	160	-112.114664
2.90	170	-85.048178
2.90	180	-75.442111
3.00	0	-41.150723
3.00	10	-44.342654
3.00	20	-53.916882
3.00	30	-69.631139
3.00	40	-90.614892
3.00	50	-115.223019
3.00	60	-141.152285
3.00	70	-165.815109
3.00	80	-186.878954
3.00	90	-202.706392
3.00	100	-212.409161
3.00	110	-215.891674
3.00	120	-213.558073
3.00	130	-205.413344
3.00	140	-191.294365
3.00	150	-172.444836
3.00	160	-154.061402
3.00	170	-142.580951
3.00	180	-139.107243
3.10	0	-57.870021
3.10	10	-60.160689
3.10	20	-67.059773
3.10	30	-78.434125
3.10	40	-93.676021
3.10	50	-111.608206
3.10	60	-130.566918
3.10	70	-148.682076
3.10	80	-164.308496
3.10	90	-176.406009
3.10	100	-184.568489
3.10	110	-188.984814
3.10	120	-190.271587
3.10	130	-188.738891
3.10	140	-184.280593
3.10	150	-177.329531
3.10	160	-170.992771
3.10	170	-168.888128
3.10	180	-169.097429
3.20	0	-65.384436
3.20	10	-67.043454
3.20	20	-72.066657
3.20	30	-80.398964
3.20	40	-91.623565
3.20	50	-104.894959
3.20	60	-118.98698
3.20	70	-132.523931
3.20	80	-144.324626
3.20	90	-153.728147
3.20	100	-160.631551
3.20	110	-165.38983
3.20	120	-168.689242
3.20	130	-170.959684
3.20	140	-172.132343
3.20	150	-172.207979
3.20	160	-172.94967
3.20	170	-176.192216
3.20	180	-178.470412
3.30	0	-67.280786
3.30	10	-68.494831
3.30	20	-72.19257
3.30	30	-78.369335
3.30	40	-86.745827
3.30	50	-96.719125
3.30	60	-107.379015
3.30	70	-117.694072
3.30	80	-126.797853
3.30	90	-134.257364
3.30	100	-140.1364
3.30	110	-144.881894
3.30	120	-149.18448
3.30	130	-153.491222
3.30	140	-157.733793
3.30	150	-161.71776
3.30	160	-166.377779
3.30	170	-172.405339
3.30	180	-175.704782
3.40	0	-65.869306
3.40	10	-66.772395
3.40	20	-69.535548
3.40	30	-74.176419
3.40	40	-80.508934
3.40	50	-88.111079
3.40	60	-96.311404
3.40	70	-104.330522
3.40	80	-111.517596
3.40	90	-117.571439
3.40	100	-122.624223
3.40	110	-127.155861
3.40	120	-131.836989
3.40	130	-137.092082
3.40	140	-142.817663
3.40	150	-148.748676
3.40	160	-155.338432
3.40	170	-162.563299
3.40	180	-166.231831
3.50	0	-62.604611
3.50	10	-63.295186
3.50	20	-65.407909
3.50	30	-68.956482
3.50	40	-73.810961
3.50	50	-79.683237
3.50	60	-86.089239
3.50	70	-92.442154
3.50	80	-98.248321
3.50	90	-103.276035
3.50	100	-107.665121
3.50	110	-111.88172
3.50	120	-116.562628
3.50	130	-122.104401
3.50	140	-128.366306
3.50	150	-135.047303
3.50	160	-142.343726
3.50	170	-149.813756
3.50	180	-153.465053
3.60	0	-58.386801
3.60	10	-58.936511
3.60	20	-60.605936
3.60	30	-63.384275
3.60	40	-67.168965
3.60	50	-71.767438
3.60	60	-76.842544
3.60	70	-81.963261
3.60	80	-86.751131
3.60	90	-91.017288
3.60	100	-94.872575
3.60	110	-98.735666
3.60	120	-103.195843
3.60	130	-108.63104
3.60	140	-114.880305
3.60	150	-121.620489
3.60	160	-128.905302
3.60	170	-136.080399
3.60	180	-139.50073
3.70	0	-53.770586
3.70	10	-54.22822
3.70	20	-55.601826
3.70	30	-57.842416
3.70	40	-60.855596
3.70	50	-64.513262
3.70	60	-68.593077
3.70	70	-72.784843
3.70	80	-76.801986
3.70	90	-80.486458
3.70	100	-83.907329
3.70	110	-87.415363
3.70	120	-91.539426
3.70	130	-96.639499
3.70	140	-102.57008
3.70	150	-109.001171
3.70	160	-115.888524
3.70	170	-122.490497
3.70	180	-125.578011
3.80	0	-49.100672
3.80	10	-49.499488
3.80	20	-50.673129
3.80	30	-52.538453
3.80	40	-54.997626
3.80	50	-57.963088
3.80	60	-61.294316
3.80	70	-64.775656
3.80	80	-68.194836
3.80	90	-71.418503
3.80	100	-74.477842
3.80	110	-77.648731
3.80	120	-81.388431
3.80	130	-86.034522
3.80	140	-91.483221
3.80	150	-97.424356
3.80	160	-103.73744
3.80	170	-109.657864
3.80	180	-112.378944
3.90	0	-44.592537
3.90	10	-44.950774
3.90	20	-45.984289
3.90	30	-47.582229
3.90	40	-49.64091
3.90	50	-52.098215
3.90	60	-54.866272
3.90	70	-57.79985
3.90	80	-60.743491
3.90	90	-63.588027
3.90	100	-66.337301
3.90	110	-69.196991
3.90	120	-72.54709
3.90	130	-76.693949
3.90	140	-81.584802
3.90	150	-86.956611
3.90	160	-92.637191
3.90	170	-97.864007
3.90	180	-100.226892
4.00	0	-40.377957
4.00	10	-40.703534
4.00	20	-41.627404
4.00	30	-43.025134
4.00	40	-44.790404
4.00	50	-46.871873
4.00	60	-49.216156
4.00	70	-51.724253
4.00	80	-54.282375
4.00	90	-56.804538
4.00	100	-59.280004
4.00	110	-61.855184
4.00	120	-64.835011
4.00	130	-68.48725
4.00	140	-72.80155
4.00	150	-77.578813
4.00	160	-82.624157
4.00	170	-87.192884
4.00	180	-89.226486
4.10	0	-36.530612
4.10	10	-36.825277
4.10	20	-37.652612
4.10	30	-38.888937
4.10	40	-40.428255
4.10	50	-42.227778
4.10	60	-44.25058
4.10	70	-46.425065
4.10	80	-48.665857
4.10	90	-50.907334
4.10	100	-53.135515
4.10	110	-55.452733
4.10	120	-58.094807
4.10	130	-61.285296
4.10	140	-65.044318
