
BASECOL V2 2021-10

number of temperatures :
96
number of transitions :
120
maximum  initial level value :
16
maximum  final level value :
15
maximum  initial level value :
1
maximum  final level value :
1

order :   initial Level;   final Level;   initial Level;   final Level

                                    5.0            6.0            7.0            8.0            9.0           10.0           11.0           12.0           13.0           14.0           15.0           16.0           17.0           18.0           19.0           20.0           21.0           22.0           23.0           24.0           25.0           26.0           27.0           28.0           29.0           30.0           31.0           32.0           33.0           34.0           35.0           36.0           37.0           38.0           39.0           40.0           41.0           42.0           43.0           44.0           45.0           46.0           47.0           48.0           49.0           50.0           51.0           52.0           53.0           54.0           55.0           56.0           57.0           58.0           59.0           60.0           61.0           62.0           63.0           64.0           65.0           66.0           67.0           68.0           69.0           70.0           71.0           72.0           73.0           74.0           75.0           76.0           77.0           78.0           79.0           80.0           81.0           82.0           83.0           84.0           85.0           86.0           87.0           88.0           89.0           90.0           91.0           92.0           93.0           94.0           95.0           96.0           97.0           98.0           99.0          100.0
    2      1      1      1     8.8932e-11     8.5264e-11     8.2310e-11     7.9850e-11     7.7751e-11     7.5927e-11     7.4330e-11     7.2906e-11     7.1628e-11     7.0472e-11     6.9419e-11     6.8452e-11     6.7561e-11     6.6735e-11     6.5966e-11     6.5246e-11     6.4570e-11     6.3933e-11     6.3331e-11     6.2761e-11     6.2219e-11     6.1702e-11     6.1208e-11     6.0736e-11     6.0284e-11     5.9849e-11     5.9431e-11     5.9029e-11     5.8640e-11     5.8265e-11     5.7902e-11     5.7551e-11     5.7211e-11     5.6880e-11     5.6559e-11     5.6248e-11     5.5944e-11     5.5649e-11     5.5361e-11     5.5081e-11     5.4807e-11     5.4539e-11     5.4278e-11     5.4023e-11     5.3773e-11     5.3529e-11     5.3290e-11     5.3057e-11     5.2829e-11     5.2605e-11     5.2386e-11     5.2171e-11     5.1961e-11     5.1755e-11     5.1552e-11     5.1353e-11     5.1157e-11     5.0965e-11     5.0776e-11     5.0590e-11     5.0407e-11     5.0227e-11     5.0051e-11     4.9876e-11     4.9705e-11     4.9536e-11     4.9371e-11     4.9207e-11     4.9046e-11     4.8888e-11     4.8731e-11     4.8577e-11     4.8426e-11     4.8276e-11     4.8129e-11     4.7983e-11     4.7839e-11     4.7698e-11     4.7558e-11     4.7420e-11     4.7284e-11     4.7150e-11     4.7018e-11     4.6887e-11     4.6758e-11     4.6631e-11     4.6505e-11     4.6381e-11     4.6259e-11     4.6138e-11     4.6018e-11     4.5900e-11     4.5783e-11     4.5669e-11     4.5554e-11     4.5442e-11
    3      1      1      1     3.7566e-11     3.6626e-11     3.5857e-11     3.5235e-11     3.4733e-11     3.4328e-11     3.4000e-11     3.3733e-11     3.3514e-11     3.3334e-11     3.3187e-11     3.3066e-11     3.2966e-11     3.2884e-11     3.2817e-11     3.2762e-11     3.2719e-11     3.2684e-11     3.2656e-11     3.2635e-11     3.2618e-11     3.2606e-11     3.2598e-11     3.2593e-11     3.2590e-11     3.2590e-11     3.2591e-11     3.2593e-11     3.2597e-11     3.2602e-11     3.2607e-11     3.2614e-11     3.2620e-11     3.2628e-11     3.2635e-11     3.2643e-11     3.2650e-11     3.2659e-11     3.2666e-11     3.2675e-11     3.2682e-11     3.2690e-11     3.2698e-11     3.2706e-11     3.2713e-11     3.2720e-11     3.2727e-11     3.2734e-11     3.2741e-11     3.2747e-11     3.2753e-11     3.2759e-11     3.2765e-11     3.2771e-11     3.2776e-11     3.2780e-11     3.2785e-11     3.2790e-11     3.2794e-11     3.2797e-11     3.2802e-11     3.2805e-11     3.2808e-11     3.2811e-11     3.2814e-11     3.2817e-11     3.2819e-11     3.2822e-11     3.2823e-11     3.2825e-11     3.2827e-11     3.2828e-11     3.2829e-11     3.2830e-11     3.2831e-11     3.2832e-11     3.2833e-11     3.2833e-11     3.2833e-11     3.2833e-11     3.2833e-11     3.2833e-11     3.2833e-11     3.2833e-11     3.2832e-11     3.2832e-11     3.2831e-11     3.2830e-11     3.2829e-11     3.2828e-11     3.2827e-11     3.2826e-11     3.2824e-11     3.2823e-11     3.2821e-11     3.2820e-11
    3      2      1      1     1.4720e-10     1.4175e-10     1.3712e-10     1.3315e-10     1.2971e-10     1.2668e-10     1.2400e-10     1.2160e-10     1.1943e-10     1.1746e-10     1.1565e-10     1.1399e-10     1.1246e-10     1.1103e-10     1.0971e-10     1.0846e-10     1.0730e-10     1.0620e-10     1.0516e-10     1.0417e-10     1.0324e-10     1.0235e-10     1.0150e-10     1.0069e-10     9.9908e-11     9.9162e-11     9.8445e-11     9.7755e-11     9.7089e-11     9.6447e-11     9.5827e-11     9.5228e-11     9.4647e-11     9.4084e-11     9.3539e-11     9.3009e-11     9.2494e-11     9.1993e-11     9.1507e-11     9.1033e-11     9.0571e-11     9.0120e-11     8.9681e-11     8.9251e-11     8.8833e-11     8.8423e-11     8.8023e-11     8.7632e-11     8.7249e-11     8.6874e-11     8.6507e-11     8.6148e-11     8.5795e-11     8.5450e-11     8.5112e-11     8.4782e-11     8.4455e-11     8.4135e-11     8.3822e-11     8.3514e-11     8.3212e-11     8.2915e-11     8.2624e-11     8.2337e-11     8.2055e-11     8.1778e-11     8.1507e-11     8.1239e-11     8.0976e-11     8.0717e-11     8.0462e-11     7.9862e-11     7.9964e-11     7.9721e-11     7.9481e-11     7.9245e-11     7.9013e-11     7.8784e-11     7.8558e-11     7.8336e-11     7.8117e-11     7.7901e-11     7.7687e-11     7.7477e-11     7.7270e-11     7.7066e-11     7.6865e-11     7.6666e-11     7.6470e-11     7.6276e-11     7.6085e-11     7.5897e-11     7.5712e-11     7.5528e-11     7.5345e-11     7.5167e-11
    4      1      1      1     2.4043e-11     2.3365e-11     2.2731e-11     2.2143e-11     2.1599e-11     2.1099e-11     2.0638e-11     2.0213e-11     1.9821e-11     1.9459e-11     1.9123e-11     1.8811e-11     1.8520e-11     1.8248e-11     1.7994e-11     1.7755e-11     1.7530e-11     1.7318e-11     1.7118e-11     1.6928e-11     1.6748e-11     1.6577e-11     1.6414e-11     1.6258e-11     1.6110e-11     1.5968e-11     1.5832e-11     1.5701e-11     1.5576e-11     1.5456e-11     1.5340e-11     1.5228e-11     1.5120e-11     1.5016e-11     1.4916e-11     1.4818e-11     1.4724e-11     1.4633e-11     1.4544e-11     1.4459e-11     1.4375e-11     1.4294e-11     1.4216e-11     1.4139e-11     1.4064e-11     1.3992e-11     1.3921e-11     1.3853e-11     1.3786e-11     1.3720e-11     1.3656e-11     1.3594e-11     1.3533e-11     1.3474e-11     1.3415e-11     1.3359e-11     1.3303e-11     1.3249e-11     1.3195e-11     1.3143e-11     1.3092e-11     1.3042e-11     1.2993e-11     1.2945e-11     1.2898e-11     1.2852e-11     1.2807e-11     1.2763e-11     1.2719e-11     1.2676e-11     1.2634e-11     1.2593e-11     1.2553e-11     1.2513e-11     1.2474e-11     1.2436e-11     1.2398e-11     1.2361e-11     1.2325e-11     1.2289e-11     1.2254e-11     1.2220e-11     1.2186e-11     1.2152e-11     1.2119e-11     1.2087e-11     1.2055e-11     1.2024e-11     1.1993e-11     1.1963e-11     1.1933e-11     1.1904e-11     1.1875e-11     1.1846e-11     1.1818e-11     1.1790e-11
    4      2      1      1     6.9748e-11     6.7979e-11     6.6416e-11     6.5049e-11     6.3860e-11     6.2824e-11     6.1917e-11     6.1122e-11     6.0421e-11     5.9799e-11     5.9246e-11     5.8751e-11     5.8308e-11     5.7908e-11     5.7547e-11     5.7219e-11     5.6921e-11     5.6648e-11     5.6400e-11     5.6171e-11     5.5961e-11     5.5767e-11     5.5590e-11     5.5423e-11     5.5270e-11     5.5127e-11     5.4995e-11     5.4871e-11     5.4757e-11     5.4649e-11     5.4549e-11     5.4455e-11     5.4367e-11     5.4285e-11     5.4207e-11     5.4134e-11     5.4065e-11     5.4000e-11     5.3939e-11     5.3881e-11     5.3827e-11     5.3774e-11     5.3725e-11     5.3678e-11     5.3633e-11     5.3591e-11     5.3550e-11     5.3512e-11     5.3475e-11     5.3440e-11     5.3407e-11     5.3375e-11     5.3345e-11     5.3316e-11     5.3288e-11     5.3261e-11     5.3235e-11     5.3211e-11     5.3187e-11     5.3164e-11     5.3143e-11     5.3122e-11     5.3102e-11     5.3082e-11     5.3063e-11     5.3044e-11     5.3027e-11     5.3010e-11     5.2993e-11     5.2977e-11     5.2962e-11     5.2947e-11     5.2932e-11     5.2918e-11     5.2904e-11     5.2892e-11     5.2878e-11     5.2866e-11     5.2854e-11     5.2842e-11     5.2832e-11     5.2820e-11     5.2809e-11     5.2798e-11     5.2788e-11     5.2778e-11     5.2768e-11     5.2759e-11     5.2750e-11     5.2741e-11     5.2732e-11     5.2724e-11     5.2715e-11     5.2707e-11     5.2699e-11     5.2692e-11
    4      3      1      1     1.6509e-10     1.6059e-10     1.5656e-10     1.5292e-10     1.4964e-10     1.4666e-10     1.4394e-10     1.4145e-10     1.3916e-10     1.3704e-10     1.3507e-10     1.3324e-10     1.3153e-10     1.2992e-10     1.2841e-10     1.2699e-10     1.2564e-10     1.2437e-10     1.2316e-10     1.2202e-10     1.2092e-10     1.1988e-10     1.1888e-10     1.1792e-10     1.1700e-10     1.1612e-10     1.1528e-10     1.1446e-10     1.1368e-10     1.1292e-10     1.1219e-10     1.1148e-10     1.1080e-10     1.1014e-10     1.0949e-10     1.0887e-10     1.0827e-10     1.0768e-10     1.0711e-10     1.0655e-10     1.0601e-10     1.0549e-10     1.0497e-10     1.0447e-10     1.0398e-10     1.0351e-10     1.0304e-10     1.0259e-10     1.0214e-10     1.0171e-10     1.0128e-10     1.0087e-10     1.0046e-10     1.0006e-10     9.9674e-11     9.9292e-11     9.8917e-11     9.8550e-11     9.8190e-11     9.7837e-11     9.7490e-11     9.7149e-11     9.6815e-11     9.6487e-11     9.6165e-11     9.5848e-11     9.5537e-11     9.5231e-11     9.4931e-11     9.4635e-11     9.4344e-11     9.4058e-11     9.3777e-11     9.3501e-11     9.3228e-11     9.2960e-11     9.2695e-11     9.2436e-11     9.2180e-11     9.1927e-11     9.1679e-11     9.1435e-11     9.1193e-11     9.0956e-11     9.0722e-11     9.0491e-11     9.0263e-11     9.0039e-11     8.9818e-11     8.9600e-11     8.9385e-11     8.9172e-11     8.8963e-11     8.8759e-11     8.8553e-11     8.8352e-11
    5      1      1      1     1.4673e-11     1.4097e-11     1.3580e-11     1.3117e-11     1.2699e-11     1.2319e-11     1.1973e-11     1.1655e-11     1.1362e-11     1.1092e-11     1.0842e-11     1.0608e-11     1.0391e-11     1.0188e-11     9.9979e-12     9.8195e-12     9.6519e-12     9.4938e-12     9.3451e-12     9.2047e-12     9.0718e-12     8.9464e-12     8.8276e-12     8.7149e-12     8.6081e-12     8.5066e-12     8.4102e-12     8.3186e-12     8.2315e-12     8.1485e-12     8.0694e-12     7.9940e-12     7.9221e-12     7.8534e-12     7.7880e-12     7.7253e-12     7.6654e-12     7.6081e-12     7.5528e-12     7.5008e-12     7.4506e-12     7.4025e-12     7.3563e-12     7.3121e-12     7.2698e-12     7.2290e-12     7.1900e-12     7.1525e-12     7.1165e-12     7.0819e-12     7.0487e-12     7.0168e-12     6.9861e-12     6.9566e-12     6.9282e-12     6.9009e-12     6.8747e-12     6.8494e-12     6.8251e-12     6.8016e-12     6.7791e-12     6.7573e-12     6.7364e-12     6.7162e-12     6.6968e-12     6.6780e-12     6.6600e-12     6.6426e-12     6.6257e-12     6.6094e-12     6.5938e-12     6.5788e-12     6.5642e-12     6.5502e-12     6.5366e-12     6.5236e-12     6.5109e-12     6.4987e-12     6.4872e-12     6.4756e-12     6.4646e-12     6.4540e-12     6.4438e-12     6.4339e-12     6.4244e-12     6.4152e-12     6.4063e-12     6.3977e-12     6.3894e-12     6.3814e-12     6.3736e-12     6.3662e-12     6.3590e-12     6.3520e-12     6.3453e-12     6.3388e-12
    5      2      1      1     5.7842e-11     5.5930e-11     5.4203e-11     5.2644e-11     5.1230e-11     4.9942e-11     4.8763e-11     4.7682e-11     4.6686e-11     4.5765e-11     4.4912e-11     4.4119e-11     4.3380e-11     4.2689e-11     4.2042e-11     4.1435e-11     4.0864e-11     4.0326e-11     3.9818e-11     3.9337e-11     3.8880e-11     3.8447e-11     3.8036e-11     3.7644e-11     3.7270e-11     3.6912e-11     3.6571e-11     3.6244e-11     3.5930e-11     3.5630e-11     3.5340e-11     3.5062e-11     3.4795e-11     3.4537e-11     3.4289e-11     3.4049e-11     3.3817e-11     3.3593e-11     3.3377e-11     3.3167e-11     3.2964e-11     3.2767e-11     3.2576e-11     3.2390e-11     3.2210e-11     3.2035e-11     3.1865e-11     3.1700e-11     3.1539e-11     3.1382e-11     3.1230e-11     3.1081e-11     3.0936e-11     3.0795e-11     3.0657e-11     3.0522e-11     3.0391e-11     3.0263e-11     3.0137e-11     3.0015e-11     2.9895e-11     2.9778e-11     2.9664e-11     2.9551e-11     2.9442e-11     2.9334e-11     2.9229e-11     2.9127e-11     2.9026e-11     2.8927e-11     2.8830e-11     2.8735e-11     2.8642e-11     2.8551e-11     2.8461e-11     2.8374e-11     2.8287e-11     2.8203e-11     2.8120e-11     2.8039e-11     2.7959e-11     2.7880e-11     2.7803e-11     2.7727e-11     2.7653e-11     2.7579e-11     2.7507e-11     2.7437e-11     2.7368e-11     2.7299e-11     2.7232e-11     2.7166e-11     2.7101e-11     2.7037e-11     2.6974e-11     2.6912e-11
    5      3      1      1     8.0574e-11     7.8564e-11     7.6796e-11     7.5247e-11     7.3879e-11     7.2673e-11     7.1604e-11     7.0653e-11     6.9805e-11     6.9048e-11     6.8369e-11     6.7758e-11     6.7208e-11     6.6712e-11     6.6262e-11     6.5855e-11     6.5485e-11     6.5148e-11     6.4841e-11     6.4560e-11     6.4304e-11     6.4068e-11     6.3852e-11     6.3653e-11     6.3470e-11     6.3301e-11     6.3145e-11     6.3001e-11     6.2868e-11     6.2745e-11     6.2630e-11     6.2524e-11     6.2425e-11     6.2334e-11     6.2249e-11     6.2169e-11     6.2096e-11     6.2027e-11     6.1962e-11     6.1902e-11     6.1846e-11     6.1796e-11     6.1745e-11     6.1699e-11     6.1656e-11     6.1616e-11     6.1579e-11     6.1543e-11     6.1509e-11     6.1479e-11     6.1449e-11     6.1422e-11     6.1396e-11     6.1372e-11     6.1349e-11     6.1328e-11     6.1307e-11     6.1288e-11     6.1271e-11     6.1254e-11     6.1238e-11     6.1223e-11     6.1209e-11     6.1196e-11     6.1184e-11     6.1172e-11     6.1161e-11     6.1151e-11     6.1141e-11     6.1132e-11     6.1124e-11     6.1116e-11     6.1109e-11     6.1104e-11     6.1095e-11     6.1090e-11     6.1084e-11     6.1079e-11     6.1074e-11     6.1070e-11     6.1066e-11     6.1063e-11     6.1059e-11     6.1056e-11     6.1053e-11     6.1050e-11     6.1049e-11     6.1046e-11     6.1044e-11     6.1043e-11     6.1042e-11     6.1040e-11     6.1039e-11     6.1039e-11     6.1038e-11     6.1038e-11
    5      4      1      1     1.7224e-10     1.6798e-10     1.6431e-10     1.6106e-10     1.5813e-10     1.5547e-10     1.5302e-10     1.5076e-10     1.4865e-10     1.4668e-10     1.4484e-10     1.4311e-10     1.4147e-10     1.3993e-10     1.3847e-10     1.3708e-10     1.3575e-10     1.3449e-10     1.3329e-10     1.3214e-10     1.3104e-10     1.2998e-10     1.2897e-10     1.2799e-10     1.2705e-10     1.2615e-10     1.2528e-10     1.2443e-10     1.2362e-10     1.2283e-10     1.2207e-10     1.2133e-10     1.2062e-10     1.1992e-10     1.1925e-10     1.1859e-10     1.1795e-10     1.1734e-10     1.1673e-10     1.1614e-10     1.1557e-10     1.1501e-10     1.1447e-10     1.1394e-10     1.1342e-10     1.1291e-10     1.1242e-10     1.1194e-10     1.1146e-10     1.1100e-10     1.1055e-10     1.1011e-10     1.0967e-10     1.0925e-10     1.0883e-10     1.0842e-10     1.0802e-10     1.0763e-10     1.0725e-10     1.0687e-10     1.0650e-10     1.0614e-10     1.0578e-10     1.0543e-10     1.0509e-10     1.0475e-10     1.0442e-10     1.0409e-10     1.0377e-10     1.0345e-10     1.0314e-10     1.0284e-10     1.0254e-10     1.0224e-10     1.0195e-10     1.0167e-10     1.0138e-10     1.0111e-10     1.0083e-10     1.0057e-10     1.0030e-10     1.0004e-10     9.9783e-11     9.9529e-11     9.9280e-11     9.9033e-11     9.8792e-11     9.8553e-11     9.8317e-11     9.8085e-11     9.7856e-11     9.7630e-11     9.7408e-11     9.7188e-11     9.6971e-11     9.6757e-11
