
BASECOL V1 2021-09

number of temperatures :
12
number of transitions :
55
maximum  initial level value :
11
maximum  final level value :
10
maximum  initial level value :
1
maximum  final level value :
1

order :   initial Level;   final Level;   initial Level;   final Level

                                    5.0           10.0           15.0           20.0           30.0           40.0           50.0           60.0           70.0           80.0           90.0          100.0
    2      1      1      1     7.8303e-11     7.0094e-11     6.9184e-11     7.0499e-11     7.5653e-11     8.1778e-11     8.7715e-11     9.3083e-11     9.7800e-11     1.0189e-10     1.0540e-10     1.0837e-10
    3      1      1      1     3.7609e-11     3.0196e-11     2.8652e-11     2.9169e-11     3.2046e-11     3.5136e-11     3.7769e-11     3.9916e-11     4.1667e-11     4.3112e-11     4.4318e-11     4.5327e-11
    3      2      1      1     1.3423e-10     1.2162e-10     1.2130e-10     1.2412e-10     1.3209e-10     1.4018e-10     1.4746e-10     1.5377e-10     1.5918e-10     1.6379e-10     1.6768e-10     1.7092e-10
    4      1      1      1     2.4402e-11     2.2066e-11     2.2189e-11     2.2662e-11     2.3371e-11     2.3632e-11     2.3631e-11     2.3508e-11     2.3336e-11     2.3148e-11     2.2956e-11     2.2763e-11
    4      2      1      1     8.2547e-11     6.7733e-11     6.2824e-11     6.1402e-11     6.2087e-11     6.3960e-11     6.5844e-11     6.7521e-11     6.8991e-11     7.0288e-11     7.1437e-11     7.2446e-11
    4      3      1      1     1.5411e-10     1.3966e-10     1.3705e-10     1.3820e-10     1.4444e-10     1.5207e-10     1.5950e-10     1.6622e-10     1.7214e-10     1.7728e-10     1.8167e-10     1.8537e-10
    5      1      1      1     2.2786e-11     1.8235e-11     1.5875e-11     1.4302e-11     1.2211e-11     1.0862e-11     9.9389e-12     9.2924e-12     8.8357e-12     8.5131e-12     8.2861e-12     8.1268e-12
    5      2      1      1     5.6377e-11     4.8680e-11     4.6502e-11     4.5722e-11     4.5040e-11     4.4515e-11     4.4025e-11     4.3591e-11     4.3218e-11     4.2896e-11     4.2607e-11     4.2334e-11
    5      3      1      1     9.7380e-11     8.2462e-11     7.7613e-11     7.6371e-11     7.7472e-11     7.9667e-11     8.1746e-11     8.3513e-11     8.5000e-11     8.6263e-11     8.7342e-11     8.8258e-11
    5      4      1      1     1.6400e-10     1.5144e-10     1.4849e-10     1.4905e-10     1.5432e-10     1.6128e-10     1.6820e-10     1.7454e-10     1.8014e-10     1.8501e-10     1.8917e-10     1.9266e-10
    6      1      1      1     1.3523e-11     1.0345e-11     8.9294e-12     8.1310e-12     7.2918e-12     6.9076e-12     6.7349e-12     6.6724e-12     6.6680e-12     6.6925e-12     6.7284e-12     6.7649e-12
