E (cm-1),2->0	,E (cm-1),4->0	,E (cm-1),6->0	,E (cm-1),8->0	,E (cm-1),10->0	,E (cm-1),4->2	,E (cm-1),6->2	,E (cm-1),8->2	,E (cm-1),10->2	,E (cm-1),6->4	,E (cm-1),8->4	,E (cm-1),10->4	,E (cm-1),8->6	,E (cm-1),10->6	,E (cm-1),10->8	
0.029399999999998983,5.84013,0.09799999999999898,9.04079,0.05580000000000496,0.500511,0.9527999999999963,0.08069193,0.7889999999999873,0.06220271,0.09799999999999898,11.2685,0.05580000000000496,6.18512,0.9527999999999963,0.138715,0.7889999999999873,0.261518,0.05580000000000496,44.4667,0.9527999999999963,0.864338,0.7889999999999873,0.333461,0.9527999999999963,4.62802,0.7889999999999873,3.69888,0.7889999999999873,3.7707
0.07939999999999969,2.43941,0.1980000000000004,3.47103,0.15579999999999927,0.259847,1.9527999999999963,0.04024161,1.7889999999999873,0.201965,0.1980000000000004,8.13778,0.15579999999999927,3.39107,1.9527999999999963,0.110284,1.7889999999999873,0.622618,0.15579999999999927,17.1583,1.9527999999999963,0.945114,1.7889999999999873,0.512499,1.9527999999999963,2.89253,1.7889999999999873,2.70461,1.7889999999999873,3.82793
0.1294000000000004,2.74374,0.2980000000000018,6.00054,0.2558000000000078,0.207844,2.9527999999999963,0.114008,2.7889999999999873,0.260356,0.2980000000000018,10.1755,0.2558000000000078,2.77537,2.9527999999999963,0.161544,2.7889999999999873,0.715452,0.2558000000000078,12.0116,2.9527999999999963,1.29117,2.7889999999999873,0.451747,2.9527999999999963,1.95884,2.7889999999999873,1.83921,2.7889999999999873,3.39259
0.17939999999999934,2.35936,0.39799999999999613,1.92428,0.3558000000000021,0.05403642,3.9527999999999963,0.777695,3.7889999999999873,0.239605,0.39799999999999613,4.386,0.3558000000000021,2.43262,3.9527999999999963,2.01692,3.7889999999999873,0.657848,0.3558000000000021,8.09312,3.9527999999999963,1.30787,3.7889999999999873,0.325349,3.9527999999999963,2.87282,3.7889999999999873,1.41241,3.7889999999999873,2.61301
0.22940000000000005,2.10235,0.49799999999999756,1.64008,0.45580000000001064,0.04813395,4.952799999999996,0.161367,4.788999999999987,0.03426342,0.49799999999999756,3.73197,0.45580000000001064,2.03971,4.952799999999996,0.583453,4.788999999999987,0.219756,0.45580000000001064,6.87709,4.952799999999996,1.77016,4.788999999999987,0.229202,4.952799999999996,2.19886,4.788999999999987,0.732957,4.788999999999987,2.23434
0.279399999999999,2.41916,0.597999999999999,1.42744,0.555800000000005,0.04416492,5.952799999999996,0.0119892,5.788999999999987,0.002791592,0.597999999999999,3.25555,0.555800000000005,1.76822,5.952799999999996,0.06868194,5.788999999999987,0.04481636,0.555800000000005,5.91552,5.952799999999996,0.576049,5.788999999999987,0.08580664,5.952799999999996,1.77625,5.788999999999987,0.541387,5.788999999999987,1.79322
0.3293999999999997,2.21865,0.6980000000000004,1.583,0.6557999999999993,0.04136861,6.952799999999996,0.114245,6.788999999999987,0.02787889,0.6980000000000004,2.64715,0.6557999999999993,1.55097,6.952799999999996,0.330971,6.788999999999987,0.16976,0.6557999999999993,5.2456,6.952799999999996,0.942828,6.788999999999987,0.105519,6.952799999999996,2.07388,6.788999999999987,0.592341,6.788999999999987,1.61501
0.3794000000000004,2.05573,0.7980000000000018,1.41853,0.7558000000000078,0.03363137,7.952799999999996,0.05381654,7.788999999999987,0.01782646,0.7980000000000018,2.38496,0.7558000000000078,1.16314,7.952799999999996,0.129346,7.788999999999987,0.110398,0.7558000000000078,4.91797,7.952799999999996,0.473942,7.788999999999987,0.182888,7.952799999999996,1.58871,7.788999999999987,0.937371,7.788999999999987,1.60729
0.42939999999999934,1.91912,0.8979999999999961,1.2893,0.8558000000000021,0.03038852,8.952799999999996,0.07124677,8.788999999999987,0.04113422,0.8979999999999961,2.17337,0.8558000000000021,1.05934,8.952799999999996,0.158876,8.788999999999987,0.149909,0.8558000000000021,4.45588,8.952799999999996,0.763597,8.788999999999987,0.120911,8.952799999999996,1.41791,8.788999999999987,0.93948,8.788999999999987,1.56117
0.47940000000000005,5.00116,0.9979999999999976,1.39789,0.9558000000000106,0.0278276,9.952799999999996,0.02988601,9.788999999999987,0.09742843,0.9979999999999976,1.8722,0.9558000000000106,0.974404,9.952799999999996,0.139823,9.788999999999987,0.264608,0.9558000000000106,4.09912,9.952799999999996,0.516682,9.788999999999987,0.159604,9.952799999999996,1.47682,9.788999999999987,0.811569,9.788999999999987,2.1201
0.529399999999999,4.65911,1.097999999999999,1.30282,1.055800000000005,0.02578915,10.952799999999996,0.02574411,10.788999999999987,0.123759,1.097999999999999,1.74713,1.055800000000005,0.907067,10.952799999999996,0.205827,10.788999999999987,0.471471,1.055800000000005,3.81449,10.952799999999996,1.3016,10.788999999999987,0.423561,10.952799999999996,1.28882,10.788999999999987,1.16716,10.788999999999987,1.8715
0.5793999999999997,4.35889,1.1980000000000004,1.22578,1.1557999999999993,0.01613059,11.952799999999996,0.06245396,11.788999999999987,0.03028518,1.1980000000000004,1.64565,1.1557999999999993,1.26059,11.952799999999996,0.232131,11.788999999999987,0.104016,1.1557999999999993,3.15631,11.952799999999996,1.25105,11.788999999999987,0.182848,11.952799999999996,2.27358,11.788999999999987,0.794694,11.788999999999987,1.33702
