      R        PHI    THETA2   THETA1       E_CP
    2.6000   30.0000   30.0000   60.0000   -76.963889396506
    2.6000   30.0000   30.0000   90.0000   -76.963538782228
    2.6000   30.0000   30.0000   120.0000   -76.962445525141
    2.6000   30.0000   30.0000   150.0000   -76.966974698550
    2.6000   30.0000   30.0000   180.0000   -76.966499097824
    2.6000   30.0000   60.0000   0.0000   -76.967762190355
    2.6000   30.0000   60.0000   30.0000   -76.971289380792
    2.6000   30.0000   60.0000   60.0000   -76.963977846714
    2.6000   30.0000   60.0000   90.0000   -76.963258739897
    2.6000   30.0000   60.0000   120.0000   -76.962612805995
    2.6000   30.0000   60.0000   150.0000   -76.968855271608
    2.6000   30.0000   60.0000   180.0000   -76.967762190353
    2.6000   30.0000   90.0000   0.0000   -76.965950597610
    2.6000   30.0000   90.0000   30.0000   -76.971040171037
    2.6000   30.0000   90.0000   60.0000   -76.963362441641
    2.6000   30.0000   90.0000   90.0000   -76.963144981955
    2.6000   30.0000   90.0000   120.0000   -76.963362441640
    2.6000   30.0000   90.0000   150.0000   -76.971040171036
    2.6000   30.0000   90.0000   180.0000   -76.965950597610
    2.6000   60.0000   0.0000   0.0000   -76.965498390656
    2.6000   60.0000   0.0000   30.0000   -76.967138413255
    2.6000   60.0000   0.0000   60.0000   -76.963126990121
    2.6000   60.0000   0.0000   90.0000   -76.963720904149
    2.6000   60.0000   0.0000   120.0000   -76.963126996380
    2.6000   60.0000   0.0000   150.0000   -76.967138413255
    2.6000   60.0000   0.0000   180.0000   -76.965498390655
    2.6000   60.0000   30.0000   0.0000   -76.966499097823
    2.6000   60.0000   30.0000   30.0000   -76.968755134302
    2.6000   60.0000   30.0000   60.0000   -76.963672061679
    2.6000   60.0000   30.0000   90.0000   -76.963630069129
    2.6000   60.0000   30.0000   120.0000   -76.962827539793
    2.6000   60.0000   30.0000   150.0000   -76.967419501853
    2.6000   60.0000   30.0000   180.0000   -76.966499097823
    2.6000   60.0000   60.0000   0.0000   -76.967762190354
    2.6000   60.0000   60.0000   30.0000   -76.970624068331
    2.6000   60.0000   60.0000   60.0000   -76.963895823695
    2.6000   60.0000   60.0000   90.0000   -76.963497163885
    2.6000   60.0000   60.0000   120.0000   -76.963123672118
    2.6000   60.0000   60.0000   150.0000   -76.969303666425
    2.6000   60.0000   60.0000   180.0000   -76.967762190354
    2.6000   60.0000   90.0000   0.0000   -76.965950597611
    2.6000   60.0000   90.0000   30.0000   -76.970910973392
    2.6000   60.0000   90.0000   60.0000   -76.963632500250
    2.6000   60.0000   90.0000   90.0000   -76.963451191585
    2.6000   60.0000   90.0000   120.0000   -76.963632501328
    2.6000   60.0000   90.0000   150.0000   -76.970910973392
    2.6000   60.0000   90.0000   180.0000   -76.965950597610
    2.6000   90.0000   0.0000   0.0000   -76.965498390658
    2.6000   90.0000   0.0000   30.0000   -76.967138393845
    2.6000   90.0000   0.0000   60.0000   -76.963126588029
    2.6000   90.0000   0.0000   90.0000   -76.963720907381
    2.6000   90.0000   0.0000   120.0000   -76.963126588029
    2.6000   90.0000   0.0000   150.0000   -76.967138393843
    2.6000   90.0000   0.0000   180.0000   -76.965498390657
    2.6000   90.0000   30.0000   0.0000   -76.966499097824
    2.6000   90.0000   30.0000   30.0000   -76.968067044744
    2.6000   90.0000   30.0000   60.0000   -76.963281405883
    2.6000   90.0000   30.0000   90.0000   -76.963675355243
    2.6000   90.0000   30.0000   120.0000   -76.963281405884
    2.6000   90.0000   30.0000   150.0000   -76.968067044744
    2.6000   90.0000   30.0000   180.0000   -76.966499097823
    2.6000   90.0000   60.0000   0.0000   -76.967762190354
    2.6000   90.0000   60.0000   30.0000   -76.969903927636
    2.6000   90.0000   60.0000   60.0000   -76.963621529129
    2.6000   90.0000   60.0000   90.0000   -76.963628275156
    2.6000   90.0000   60.0000   120.0000   -76.963621529129
    2.6000   90.0000   60.0000   150.0000   -76.969903927636
