R	phi	theta2	theta1	E
2.50	0	0	0	2411772.868485
2.50	0	0	30	38757.864635
2.50	0	0	60	5814.812753
2.50	0	0	90	1895.638936
2.50	0	0	120	5814.812697
2.50	0	0	150	38757.864106
2.50	0	0	180	2411772.869591
2.50	0	30	0	1093237.211603
2.50	0	30	30	33748.103842
2.50	0	30	60	13542.575442
2.50	0	30	90	1716.346338
2.50	0	30	120	6008.350363
2.50	0	30	150	45692.274489
2.50	0	30	180	1093237.211322
2.50	0	60	0	370343.286051
2.50	0	60	30	33911.145654
2.50	0	60	60	2540.545825
2.50	0	60	90	1366.581157
2.50	0	60	120	5501.793435
2.50	0	60	150	63244.663292
2.50	0	60	180	370343.286188
2.50	0	90	0	219776.208725
2.50	0	90	30	53190.966674
2.50	0	90	60	13199.717136
2.50	0	90	90	1196.570378
2.50	0	90	120	13199.717547
2.50	0	90	150	53190.966162
2.50	0	90	180	219776.20919
2.50	30	0	0	2411772.868486
2.50	30	0	30	38755.416183
2.50	30	0	60	5814.018767
2.50	30	0	90	1896.109775
2.50	30	0	120	5814.017897
2.50	30	0	150	38755.415788
2.50	30	0	180	2411772.869592
2.50	30	30	0	1093237.211603
2.50	30	30	30	34179.536371
2.50	30	30	60	13608.46367
2.50	30	30	90	1712.663548
2.50	30	30	120	5912.668047
2.50	30	30	150	43514.291275
2.50	30	30	180	1093237.211322
2.50	30	60	0	370343.286051
2.50	30	60	30	33145.986508
2.50	30	60	60	13028.062032
2.50	30	60	90	1358.592214
2.50	30	60	120	5353.212987
2.50	30	60	150	58296.451863
2.50	30	60	180	370343.286188
2.50	30	90	0	219776.208725
2.50	30	90	30	49922.363576
2.50	30	90	60	4739.710421
2.50	30	90	90	1188.143956
2.50	30	90	120	4739.710518
2.50	30	90	150	49922.363005
2.50	30	90	180	219776.20919
2.50	60	0	0	2411772.868485
2.50	60	0	30	38754.828623
2.50	60	0	60	5814.073242
2.50	60	0	90	1895.863775
2.50	60	0	120	5814.073827
2.50	60	0	150	38754.829323
2.50	60	0	180	2411772.869592
2.50	60	30	0	1093237.211603
2.50	60	30	30	35942.199455
2.50	60	30	60	5265.965755
2.50	60	30	90	1703.761754
2.50	60	30	120	5685.397001
2.50	60	30	150	39689.802423
2.50	60	30	180	1093237.211322
2.50	60	60	0	370343.286051
2.50	60	60	30	32492.545288
2.50	60	60	60	4641.629041
2.50	60	60	90	1340.305504
2.50	60	60	120	5029.236335
2.50	60	60	180	370343.286188
2.50	60	90	0	219776.208725
2.50	60	90	30	45615.402591
2.50	60	90	60	4531.910391
2.50	60	90	90	1168.800737
2.50	60	90	120	4531.910063
2.50	60	90	150	45615.054083
2.50	60	90	180	219776.20919
2.50	90	0	0	2411772.868486
2.50	90	0	30	38755.545299
2.50	90	0	60	5814.43341
2.50	90	0	90	1895.638988
2.50	90	0	120	5814.433113
2.50	90	0	150	38755.545589
2.50	90	0	180	2411772.869591
2.50	90	30	0	1093237.211603
2.50	90	30	30	41796.890651
2.50	90	30	60	5443.081917
2.50	90	30	90	1699.140791
2.50	90	30	120	5443.081744
2.50	90	30	150	41796.8901
2.50	90	30	180	1093237.211322
2.50	90	60	0	370343.286051
2.50	90	60	30	34351.948435
2.50	90	60	60	4748.762704
2.50	90	60	90	1330.836962
2.50	90	60	120	4748.761835
2.50	90	60	150	34351.94829
2.50	90	60	180	370343.286188
2.50	90	90	0	219776.208725
2.50	90	90	30	31880.320571
2.50	90	90	60	4426.364722
2.50	90	90	90	1158.635772
2.50	90	90	120	4426.364586
2.50	90	90	150	31880.320673
2.50	90	90	180	219776.20919
2.60	0	0	0	2008953.533205
2.60	0	0	30	33202.706948
2.60	0	0	60	4435.666406
2.60	0	0	90	1305.654082
2.60	0	0	120	4435.665963
2.60	0	0	150	33202.706461
2.60	0	0	180	2008953.533127
2.60	0	30	0	1006502.723633
2.60	0	30	30	33038.806071
2.60	0	30	60	12462.306348
2.60	0	30	90	1161.555684
2.60	0	30	120	4592.473756
2.60	0	30	150	37439.80325
2.60	0	30	180	1006502.722498
2.60	0	60	0	347555.254644
2.60	0	60	30	32008.405477
2.60	0	60	60	3520.738097
2.60	0	60	90	881.423738
2.60	0	60	120	4180.746699
2.60	0	60	150	54612.487833
2.60	0	60	180	347555.25452
2.60	0	90	0	205631.362774
2.60	0	90	30	48336.047849
2.60	0	90	60	3650.7098
2.60	0	90	90	745.767653
2.60	0	90	120	3650.709805
2.60	0	90	150	48336.047637
2.60	0	90	180	205631.362747
2.60	30	0	0	2008953.533205
2.60	30	0	30	33200.444084
2.60	30	0	60	4434.835265
2.60	30	0	90	1306.12605
2.60	30	0	120	4434.835015
2.60	30	0	150	33200.444251
2.60	30	0	180	2008953.533127
2.60	30	30	0	1006502.723633
2.60	30	30	30	35504.550303
2.60	30	30	60	3919.101241
2.60	30	30	90	1159.932787
2.60	30	30	120	4516.853587
2.60	30	30	150	35969.839525
2.60	30	30	180	1006502.722498
2.60	30	60	0	347555.254644
2.60	30	60	30	31651.218669
2.60	30	60	60	3503.417488
2.60	30	60	90	878.288195
2.60	30	60	120	4064.956679
2.60	30	60	150	51644.343326
2.60	30	60	180	347555.25452
2.60	30	90	0	205631.362774
2.60	30	90	30	46300.63507
2.60	30	90	60	3568.24693
2.60	30	90	90	743.035076
2.60	30	90	120	3568.247643
2.60	30	90	150	46300.634758
2.60	30	90	180	205631.362747
2.60	60	0	0	2008953.533205
2.60	60	0	30	33199.984437
2.60	60	0	60	4434.920656
2.60	60	0	90	1305.876507
2.60	60	0	120	4434.919476
2.60	60	0	150	33199.984802
2.60	60	0	180	2008953.533127
2.60	60	30	0	1006502.723633
2.60	60	30	30	32515.513901
2.60	60	30	60	3994.409012
2.60	60	30	90	1155.175716
2.60	60	30	120	4335.627672
