      R       THETA       E_CP
    3.2000   65.0000   -78.706612652804
    3.2000   70.0000   -78.706637584917
    3.2000   75.0000   -78.706656388025
    3.2000   80.0000   -78.706670054321
    3.2000   85.0000   -78.706678631340
    3.2000   90.0000   -78.706681584384
    3.3000   0.0000   -78.706405687201
    3.3000   5.0000   -78.706404237503
    3.3000   10.0000   -78.706408883963
    3.3000   15.0000   -78.706420444726
    3.3000   20.0000   -78.706440132219
    3.3000   25.0000   -78.706466433550
    3.3000   30.0000   -78.706498025844
    3.3000   35.0000   -78.706529936356
    3.3000   40.0000   -78.706565521873
    3.3000   45.0000   -78.706589929871
    3.3000   50.0000   -78.706625765770
    3.3000   55.0000   -78.706664045528
    3.3000   60.0000   -78.706687968565
    3.3000   65.0000   -78.706707663443
    3.3000   70.0000   -78.706722996276
    3.3000   75.0000   -78.706734687225
    3.3000   80.0000   -78.706743356864
    3.3000   85.0000   -78.706748881020
    3.3000   90.0000   -78.706750793715
    3.4000   0.0000   -78.706592817308
    3.4000   5.0000   -78.706590678536
    3.4000   10.0000   -78.706591199685
    3.4000   15.0000   -78.706596599274
    3.4000   20.0000   -78.706607730692
    3.4000   25.0000   -78.706623124904
    3.4000   30.0000   -78.706640923152
    3.4000   35.0000   -78.706662921015
    3.4000   40.0000   -78.706681496304
    3.4000   45.0000   -78.706698573549
    3.4000   50.0000   -78.706716983768
    3.4000   55.0000   -78.706740790118
    3.4000   60.0000   -78.706755083304
    3.4000   65.0000   -78.706766776704
    3.4000   70.0000   -78.706775907638
    3.4000   75.0000   -78.706782976298
    3.4000   80.0000   -78.706788300148
    3.4000   85.0000   -78.706791713297
    3.4000   90.0000   -78.706792894047
    3.5000   0.0000   -78.706717153605
    3.5000   5.0000   -78.706716580325
    3.5000   10.0000   -78.706716156381
    3.5000   15.0000   -78.706718181740
    3.5000   20.0000   -78.706724010946
    3.5000   25.0000   -78.706732624194
    3.5000   30.0000   -78.706732758579
    3.5000   35.0000   -78.706742521529
    3.5000   40.0000   -78.706752405643
