R	Gamma	E
2.50	110	1002.547967
2.50	120	2283.143926
2.50	130	5417.011372
2.50	140	15337.972124
2.50	150	52803.419908
2.50	160	96860.776003
2.50	170	243580.050211
2.50	180	456268.897777
2.60	0	364682.863205
2.60	10	198443.031502
2.60	40	12108.274061
2.60	50	4310.41134
2.60	60	1599.788198
2.60	70	751.938692
2.60	80	420.182544
2.60	90	316.779694
2.60	100	367.512859
2.60	110	677.934283
2.60	120	1662.397251
2.60	130	4204.590237
2.60	140	12721.901385
2.60	160	95913.579725
2.60	170	230059.032183
2.60	180	515349.631328
2.70	0	389823.755776
2.70	10	185432.7737
2.70	40	9847.179973
2.70	50	3271.462779
2.70	60	1131.916171
2.70	70	496.466123
2.70	80	255.60101
2.70	90	181.827763
2.70	100	218.134451
2.70	110	446.279474
2.70	120	1029.789088
2.70	130	3251.262031
2.70	140	10472.736769
2.70	150	32281.937068
2.70	160	83817.815952
2.70	170	232152.027021
2.70	180	746742.168026
2.80	0	523991.011766
2.80	10	184567.175652
2.80	20	86856.30617
2.80	40	7994.495043
2.80	50	2468.007264
2.80	60	789.473082
2.80	70	296.361862
2.80	80	144.651721
2.80	90	92.653305
2.80	100	117.88695
2.80	110	283.091078
2.80	120	714.693127
2.80	130	2502.69661
2.80	140	8549.494441
2.80	150	27899.188692
2.80	160	71270.111663
2.80	170	246873.315317
2.80	180	1291266.319835
2.90	0	840505.152394
2.90	10	193257.145228
2.90	20	76513.335384
2.90	30	23332.515005
2.90	40	6470.677403
2.90	50	1849.351763
2.90	60	571.742373
2.90	70	176.375939
2.90	80	71.348649
2.90	90	35.194552
2.90	100	52.122981
2.90	110	169.793362
2.90	120	486.866411
2.90	130	2027.955113
2.90	140	6912.537281
2.90	150	23523.937441
2.90	160	59919.377078
2.90	170	267497.462777
2.90	180	2561177.379056
3.00	0	1536481.445968
3.00	10	209067.949978
3.00	20	66509.140342
3.00	30	20433.076689
3.00	40	5216.234505
3.00	50	1375.324647
3.00	60	384.349785
3.00	70	95.648476
3.00	80	24.162156
3.00	90	-0.587337
3.00	100	10.23267
3.00	110	92.455284
3.00	120	323.499056
3.00	130	1521.957658
3.00	140	5532.294538
3.00	150	19506.302049
3.00	160	50217.261233
3.00	170	281959.681352
3.00	180	6395628.568798
3.10	10	225424.803831
3.10	30	17630.306456
3.10	40	4184.628076
3.10	50	1013.478811
3.10	60	250.382303
3.10	70	42.476228
3.10	80	-5.152596
3.10	90	-21.770275
3.10	100	-15.360674
3.10	110	40.752739
3.10	120	207.46027
3.10	130	1129.179548
3.10	140	4381.454629
3.10	150	15996.510989
3.10	160	42234.613495
3.10	170	278075.196731
