R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2.0,21161.22314191706,-50927.3871935803,65288.01625421815,-79427.61727348392,55153.8714125211,-57690.18865659524,36984.68626286935,-34249.94441126224,28763.880319897307,-28008.20792158874,24968.834335195188,-23250.72156994047,17901.93542714891,-13953.563194817587,6830.4799765117305,-906.9014458480631,-7665.508078529543,18798.697312458087,-8955.31388072481
2.1,14061.78793416194,-30551.390109028525,41804.13838832891,-47596.40930375167,35059.064035486495,-34978.601527625324,23117.323016812752,-20789.538208721737,17334.17138417671,-16486.47072235096,14636.504817548652,-13537.028762687612,10409.142449676428,-8103.375017140908,3954.2360931951384,-464.8802318364622,-4608.653683999705,11113.245510280307,-5313.047551884199
2.2,9304.049654755756,-18268.113862907798,26750.147572962986,-28405.730673838432,22218.3027289629,-21106.211613862426,14370.972741348412,-12537.325451660081,10367.093474155166,-9614.737302853964,8487.181558223658,-7788.606865208652,5978.811731870822,-4647.009575344186,2258.859519635841,-226.80761310977795,-2744.10132339516,6500.035301831549,-3119.834012645998
2.3,6126.39810196134,-10896.263408453193,17107.614703131276,-16895.044909188153,14038.430361904733,-12677.079726195794,8883.06522407726,-7509.458092312976,6149.730212323965,-5551.503467007585,4862.745647282229,-4422.221194560661,3387.1193553249145,-2627.1115391263374,1270.8936455514931,-102.7902101203248,-1616.0461458268364,3756.235127498029,-1810.7948270692127
2.4,4011.607561298441,-6489.650722044822,10935.103670457995,-10024.265218862325,8844.248415291499,-7582.421616734842,5458.773426013943,-4466.421479129355,3616.1518471800155,-3171.3431091296593,2749.4236183495004,-2473.8073999816424,1889.1555180550988,-1461.1587452249812,702.5998549127777,-41.038870792598644,-939.8369807648749,2141.062455895651,-1037.2032341731235
2.5,2609.4791787009094,-3864.1616069176885,6985.594840797854,-5940.791751547546,5556.5869501717725,-4519.250734728497,3334.743586223236,-2637.6827837049964,2106.6441905814663,-1791.2187259352804,1531.941739891148,-1360.9057000708408,1035.0840365592924,-797.5237505688079,380.5453255280931,-12.249922158245974,-538.7193138927836,1201.328272344877,-585.150815104563
2.6,1683.6335752847601,-2303.388115111622,4459.123046099532,-3522.3516296627413,3482.3124429366176,-2686.733409021461,2025.46245321028,-1546.889905513961,1215.3360483244016,-999.738407858698,839.9315270403002,-734.6794366001892,555.6536796085735,-425.8480651468151,201.16199089605453,-0.20636254084676803,-303.63408422914887,661.8381901532077,-324.36029901642604
2.7,1075.0195806110485,-1376.352625137881,2843.0978116483584,-2093.2617971607287,2177.648423946309,-1595.4299458633109,1223.6465218633234,-901.3294378944538,694.1623543389491,-551.1983773473404,452.4844543325647,-388.2579988314206,291.30474682143335,-221.55437031921906,103.25187019263647,3.81729855829249,-167.77083854941873,356.8699134976306,-176.1201983573431
2.8,676.9607796325498,-825.2406860709971,1809.3918705432084,-1249.2602700388577,1359.4228005846464,-947.9836953492226,735.8629275771673,-522.3146755136013,392.60382422889853,-300.21032206679047,239.19304457732255,-200.3225114986182,148.54786769843176,-111.71208101278765,51.08754519362558,4.343990545974978,-90.53110723447888,187.5594936673729,-93.30058354815486
2.9,418.1429510282525,-496.6470898428088,1148.1230555345428,-749.9814060818204,847.5831113776946,-564.8542160713051,441.06716656230554,-301.5499657104801,220.05998401103676,-161.62608951655605,123.97069527165927,-100.62632204729091,73.3127711109471,-54.18792474864325,24.1007148256591,3.598467227291244,-47.471429729101224,95.55597635945561,-47.96862030552514
