R,theta_1,E
2.5,60.0,2382.170627
2.5,90.0,1840.343471
2.5,120.0,2382.170629
2.6,30.0,2109.09643
2.6,60.0,1665.575437
2.6,90.0,1287.501148
2.6,120.0,1665.575439
2.6,150.0,2109.096426
2.7,30.0,1371.381107
2.7,60.0,1148.472275
2.7,90.0,888.408018
2.7,120.0,1148.472275
2.7,150.0,1371.381104
2.8,30.0,893.678632
2.8,60.0,777.894139
2.8,90.0,602.727516
2.8,120.0,777.894142
2.8,150.0,893.678635
2.9,0.0,78.431668
2.9,30.0,570.836845
2.9,60.0,514.307143
2.9,90.0,400.016642
2.9,120.0,514.307143
2.9,150.0,570.836836
2.9,180.0,78.431674
3.0,0.0,43.87005
3.0,30.0,347.945052
3.0,60.0,328.723944
3.0,90.0,257.526736
3.0,120.0,328.723932
3.0,150.0,347.94505
3.0,180.0,43.870058
3.1,0.0,-1.991947
3.1,30.0,193.55859
3.1,60.0,199.421445
3.1,90.0,158.435647
3.1,120.0,199.421447
3.1,150.0,193.558589
3.1,180.0,-1.991957
3.2,0.0,-44.772899
3.2,30.0,87.762249
3.2,60.0,110.678352
3.2,90.0,90.405389
3.2,120.0,110.678346
3.2,150.0,87.762238
3.2,180.0,-44.772911
3.3,0.0,-78.329032
3.3,30.0,16.819561
3.3,60.0,50.852176
3.3,90.0,44.442467
3.3,120.0,50.852174
3.3,150.0,16.819561
3.3,180.0,-78.329027
3.4,0.0,-101.319682
3.4,30.0,-29.125672
3.4,60.0,11.457843
3.4,90.0,14.027261
3.4,120.0,11.457851
3.4,150.0,-29.125673
3.4,180.0,-101.319678
3.5,0.0,-114.719359
3.5,30.0,-57.344718
3.5,60.0,-13.648747
3.5,90.0,-5.53624
3.5,120.0,-13.648742
3.5,150.0,-57.344722
3.5,180.0,-114.719355
3.6,0.0,-120.368964
3.6,30.0,-73.197404
3.6,60.0,-28.883679
3.6,90.0,-17.6021
3.6,120.0,-28.883689
3.6,150.0,-73.197391
3.6,180.0,-120.368964
3.7,0.0,-120.383601
3.7,30.0,-80.615219
3.7,60.0,-37.395122
3.7,90.0,-24.542778
3.7,120.0,-37.395124
3.7,150.0,-80.615206
3.7,180.0,-120.3836
3.8,0.0,-116.514427
3.8,30.0,-82.450773
3.8,60.0,-41.406094
3.8,90.0,-28.021132
3.8,120.0,-41.406089
3.8,150.0,-82.450762
3.8,180.0,-116.514424
3.9,0.0,-110.20509
3.9,30.0,-80.732346
3.9,60.0,-42.469585
3.9,90.0,-29.195319
3.9,120.0,-42.469585
3.9,150.0,-80.732336
3.9,180.0,-110.205091
4.0,0.0,-102.539225
4.0,30.0,-76.878487
4.0,60.0,-41.658428
4.0,90.0,-29.159469
4.0,120.0,-41.658431
4.0,150.0,-76.878491
4.0,180.0,-102.539222
4.1,0.0,-94.289417
4.1,30.0,-71.857286
4.1,60.0,-39.706263
4.1,90.0,-27.813071
4.1,120.0,-39.706256
4.1,150.0,-71.857299
4.1,180.0,-94.289415
4.2,0.0,-85.980168
4.2,30.0,-66.311449
4.2,60.0,-37.471324
4.2,90.0,-25.942913
4.2,120.0,-37.471328
4.2,150.0,-66.311456
4.2,180.0,-85.980167
4.3,0.0,-77.94814
4.3,30.0,-60.653652
4.3,60.0,-34.458452
4.3,90.0,-23.807268
4.3,120.0,-34.458448
4.3,150.0,-60.653659
4.3,180.0,-77.948138
4.4,0.0,-70.392833
4.4,30.0,-55.401866
4.4,60.0,-31.393464
4.4,90.0,-21.583174
4.4,120.0,-31.393469
4.4,150.0,-55.401857
4.4,180.0,-70.39284
4.5,0.0,-63.417257
4.5,30.0,-50.090378
4.5,60.0,-28.405229
4.5,90.0,-19.388664
4.5,120.0,-28.405235
4.5,150.0,-50.090371
4.5,180.0,-63.417257
4.6,0.0,-57.059394
4.6,30.0,-45.180713
4.6,60.0,-25.573935
4.6,90.0,-17.298834
4.6,120.0,-25.573935
4.6,150.0,-45.180718
4.6,180.0,-57.0594
4.7,0.0,-51.315421
4.7,30.0,-40.694303
4.7,60.0,-22.945302
4.7,90.0,-15.357901
4.7,120.0,-22.945302
4.7,150.0,-40.694301
4.7,180.0,-51.315424
4.8,0.0,-46.156425
4.8,30.0,-36.628652
4.8,60.0,-20.540855
4.8,90.0,-13.588079
4.8,120.0,-20.540859
4.8,150.0,-36.628661
4.8,180.0,-46.156413
4.9,0.0,-41.539977
4.9,30.0,-32.966362
4.9,60.0,-18.365437
4.9,90.0,-11.996258
4.9,120.0,-18.365438
4.9,150.0,-32.966368
4.9,180.0,-41.539994
5.0,0.0,-37.417599
5.0,30.0,-29.680922
5.0,60.0,-16.412887
5.0,90.0,-10.579093
5.0,120.0,-16.412883
5.0,150.0,-29.680919
5.0,180.0,-37.417601
5.1,0.0,-33.739464
5.1,30.0,-26.741133
5.1,60.0,-14.670183
5.1,90.0,-9.32679
5.1,120.0,-14.670187
5.1,150.0,-26.741142
5.1,180.0,-33.739461
5.2,0.0,-30.457325
5.2,30.0,-24.114079
5.2,60.0,-13.120698
5.2,90.0,-8.225774
5.2,120.0,-13.120694
5.2,150.0,-24.11408
5.2,180.0,-30.457326
5.3,0.0,-27.526339
5.3,30.0,-21.76751
5.3,60.0,-11.746145
5.3,90.0,-7.261066
5.3,120.0,-11.746148
5.3,150.0,-21.767507
5.3,180.0,-27.52634
5.4,0.0,-24.905957
5.4,30.0,-19.671196
5.4,60.0,-10.528339
5.4,90.0,-6.417511
5.4,120.0,-10.528344
5.4,150.0,-19.671194
5.4,180.0,-24.905955
5.5,0.0,-22.560486
5.5,30.0,-17.797739
5.5,60.0,-9.449994
5.5,90.0,-5.680773
5.5,120.0,-9.450002
5.5,150.0,-17.797733
5.5,180.0,-22.56049
5.6,0.0,-20.458908
5.6,30.0,-16.122761
5.6,60.0,-8.495191
5.6,90.0,-5.037788
5.6,120.0,-8.495186
5.6,150.0,-16.122762
5.6,180.0,-20.458902
5.7,0.0,-18.574378
5.7,30.0,-14.624616
5.7,60.0,-7.649699
5.7,90.0,-4.476962
5.7,120.0,-7.64971
5.7,150.0,-14.624612
5.7,180.0,-18.57438
5.8,0.0,-16.88359
5.8,30.0,-13.284041
5.8,60.0,-6.900863
5.8,90.0,-3.988266
5.8,120.0,-6.900859
5.8,150.0,-13.284037
5.8,180.0,-16.883592
5.9,0.0,-15.365984
5.9,30.0,-12.08388
5.9,60.0,-6.237526
5.9,90.0,-3.562793
5.9,120.0,-6.237526
5.9,150.0,-12.083885
5.9,180.0,-15.365986
6.0,0.0,-14.003227
6.0,30.0,-11.008684
6.0,60.0,-5.649903
6.0,90.0,-3.192867
6.0,120.0,-5.649911
6.0,150.0,-11.008687
6.0,180.0,-14.003225
6.2,0.0,-11.678102
6.2,30.0,-9.179721
6.2,60.0,-4.668406
6.2,90.0,-2.593106
6.2,120.0,-4.668407
6.2,150.0,-9.17971
6.2,180.0,-11.678099
6.4,0.0,-9.796013
6.4,30.0,-7.704777
6.4,60.0,-3.898806
6.4,90.0,-2.142916
6.4,120.0,-3.898812
6.4,150.0,-7.704771
6.4,180.0,-9.796015
6.6,0.0,-8.268647
6.6,30.0,-6.512798
6.6,60.0,-3.295371
6.6,90.0,-1.805529
6.6,120.0,-3.295364
6.6,150.0,-6.512792
6.6,180.0,-8.268652
6.8,0.0,-7.027735
6.8,30.0,-5.548832
6.8,60.0,-2.821154
6.8,90.0,-1.551903
6.8,120.0,-2.821152
6.8,150.0,-5.548833
6.8,180.0,-7.02773
7.0,0.0,-6.01928
7.0,30.0,-4.768702
7.0,60.0,-2.44625
7.0,90.0,-1.359718
7.0,120.0,-2.446246
7.0,150.0,-4.768693
7.0,180.0,-6.019281
7.2,0.0,-5.198385
7.2,30.0,-4.135161
7.2,60.0,-2.146994
7.2,90.0,-1.212197
7.2,120.0,-2.146992
7.2,150.0,-4.135162
7.2,180.0,-5.198388
7.4,0.0,-4.526728
7.4,30.0,-3.616975
7.4,60.0,-1.905176
7.4,90.0,-1.097202
7.4,120.0,-1.905171
7.4,150.0,-3.616982
7.4,180.0,-4.526722
7.6,0.0,-3.972372
7.6,30.0,-3.18889
7.6,60.0,-1.707303
7.6,90.0,-1.005945
7.6,120.0,-1.707305
7.6,150.0,-3.188888
7.6,180.0,-3.97237
7.8,0.0,-3.510124
7.8,30.0,-2.831604
7.8,60.0,-1.543555
7.8,90.0,-0.932234
7.8,120.0,-1.543553
7.8,150.0,-2.831601
7.8,180.0,-3.510124
8.0,0.0,-3.121064
8.0,30.0,-2.530773
8.0,60.0,-1.406676
8.0,90.0,-0.871685
8.0,120.0,-1.40667
8.0,150.0,-2.530786
8.0,180.0,-3.121059
8.2,0.0,-2.791242
8.2,30.0,-2.275749
8.2,60.0,-1.291237
8.2,90.0,-0.821141
8.2,120.0,-1.291235
8.2,150.0,-2.275752
8.2,180.0,-2.791242
8.4,0.0,-2.510117
8.4,30.0,-2.058411
8.4,60.0,-1.193042
8.4,90.0,-0.778365
8.4,120.0,-1.193044
8.4,150.0,-2.058413
8.4,180.0,-2.510124
8.6,0.0,-2.269388
8.6,30.0,-1.872184
8.6,60.0,-1.108794
8.6,90.0,-0.741715
8.6,120.0,-1.108789
8.6,150.0,-1.872179
8.6,180.0,-2.269383
8.8,0.0,-2.062168
8.8,30.0,-1.711615
8.8,60.0,-1.035887
8.8,90.0,-0.709927
8.8,120.0,-1.035887
8.8,150.0,-1.711607
8.8,180.0,-2.062155
9.0,0.0,-1.882689
9.0,30.0,-1.572259
9.0,60.0,-0.972222
9.0,90.0,-0.68206
9.0,120.0,-0.972213
9.0,150.0,-1.572263
9.0,180.0,-1.882685
9.5,0.0,-1.526804
9.5,30.0,-1.294702
9.5,60.0,-0.843852
9.5,90.0,-0.625122
9.5,120.0,-0.843853
9.5,150.0,-1.294711
9.5,180.0,-1.526809
10.0,0.0,-1.266075
10.0,30.0,-1.090149
10.0,60.0,-0.742354
10.0,90.0,-0.580594
10.0,120.0,-0.742354
10.0,150.0,-1.090154
10.0,180.0,-1.266075
10.5,0.0,-1.071146
10.5,30.0,-0.9363
10.5,60.0,-0.669331
10.5,90.0,-0.543974
10.5,120.0,-0.669334
10.5,150.0,-0.9363
10.5,180.0,-1.071147
11.0,0.0,-0.923244
11.0,30.0,-0.818667
11.0,60.0,-0.611113
11.0,90.0,-0.512662
11.0,120.0,-0.611116
