R,theta_1,E
2.5,60.0,2515.140767
2.5,90.0,1971.251042
2.5,120.0,2515.140756
2.6,30.0,2256.185776
2.6,60.0,1772.430141
2.6,90.0,1393.769608
2.6,120.0,1772.430152
2.6,150.0,2256.185774
2.7,30.0,1470.603661
2.7,60.0,1235.670688
2.7,90.0,975.541269
2.7,120.0,1235.670695
2.7,150.0,1470.603639
2.8,30.0,963.265759
2.8,60.0,849.614278
2.8,90.0,674.831233
2.8,120.0,849.614269
2.8,150.0,963.265763
2.9,0.0,78.431668
2.9,30.0,621.416716
2.9,60.0,573.796908
2.9,90.0,460.213755
2.9,120.0,573.796921
2.9,150.0,621.416719
2.9,180.0,78.431674
3.0,0.0,43.87005
3.0,30.0,385.791802
3.0,60.0,378.35534
3.0,90.0,308.213243
3.0,120.0,378.355354
3.0,150.0,385.791803
3.0,180.0,43.870058
3.1,0.0,-1.991947
3.1,30.0,222.631475
3.1,60.0,241.161918
3.1,90.0,201.45622
3.1,120.0,241.161926
3.1,150.0,222.63148
3.1,180.0,-1.991957
3.2,0.0,-44.772899
3.2,30.0,110.585879
3.2,60.0,145.953625
3.2,90.0,127.185658
3.2,120.0,145.953632
3.2,150.0,110.585866
3.2,180.0,-44.772911
3.3,0.0,-78.329032
3.3,30.0,35.075517
3.3,60.0,80.847873
3.3,90.0,76.091916
3.3,120.0,80.847886
3.3,150.0,35.075509
3.3,180.0,-78.329027
3.4,0.0,-101.319682
3.4,30.0,-14.293053
3.4,60.0,37.109852
3.4,90.0,41.417463
3.4,120.0,37.109853
3.4,150.0,-14.293064
3.4,180.0,-101.319678
3.5,0.0,-114.719359
3.5,30.0,-45.131412
3.5,60.0,8.402718
3.5,90.0,18.286646
3.5,120.0,8.402718
3.5,150.0,-45.131418
3.5,180.0,-114.719355
3.6,0.0,-120.368964
3.6,30.0,-63.029695
3.6,60.0,-9.835263
3.6,90.0,3.208838
3.6,120.0,-9.835271
3.6,150.0,-63.029691
3.6,180.0,-120.368964
3.7,0.0,-120.383601
3.7,30.0,-72.071112
3.7,60.0,-20.864728
3.7,90.0,-6.292592
3.7,120.0,-20.864722
3.7,150.0,-72.071117
3.7,180.0,-120.3836
3.8,0.0,-116.514427
3.8,30.0,-75.211697
3.8,60.0,-26.997137
3.8,90.0,-11.960218
3.8,120.0,-26.997123
3.8,150.0,-75.211699
3.8,180.0,-116.514424
3.9,0.0,-110.20509
3.9,30.0,-74.553602
3.9,60.0,-29.856251
3.9,90.0,-15.24942
3.9,120.0,-29.856243
3.9,150.0,-74.553595
3.9,180.0,-110.205091
4.0,0.0,-102.539225
4.0,30.0,-71.568109
4.0,60.0,-30.572303
4.0,90.0,-16.466657
4.0,120.0,-30.572316
4.0,150.0,-71.568097
4.0,180.0,-102.539222
4.1,0.0,-94.289417
4.1,30.0,-67.263391
4.1,60.0,-29.925866
4.1,90.0,-16.553328
4.1,120.0,-29.925866
4.1,150.0,-67.263386
4.1,180.0,-94.289415
4.2,0.0,-85.980168
4.2,30.0,-62.31321
4.2,60.0,-28.772527
4.2,90.0,-15.919964
4.2,120.0,-28.772525
4.2,150.0,-62.313221
4.2,180.0,-85.980167
4.3,0.0,-77.94814
4.3,30.0,-57.155016
4.3,60.0,-26.7421
4.3,90.0,-14.857746
4.3,120.0,-26.742093
4.3,150.0,-57.155022
4.3,180.0,-77.948139
4.4,0.0,-70.392833
4.4,30.0,-52.399637
4.4,60.0,-24.530595
4.4,90.0,-13.570875
4.4,120.0,-24.530587
4.4,150.0,-52.399632
4.4,180.0,-70.39284
4.5,0.0,-63.417257
4.5,30.0,-47.43087
4.5,60.0,-22.288426
4.5,90.0,-12.199434
4.5,120.0,-22.28843
4.5,150.0,-47.430876
4.5,180.0,-63.417257
4.6,0.0,-57.059394
4.6,30.0,-42.820221
4.6,60.0,-20.112529
4.6,90.0,-10.836031
4.6,120.0,-20.112537
4.6,150.0,-42.820216
4.6,180.0,-57.0594
4.7,0.0,-51.315421
4.7,30.0,-38.596055
4.7,60.0,-18.061438
4.7,90.0,-9.538612
4.7,120.0,-18.061441
4.7,150.0,-38.596053
4.7,180.0,-51.315424
4.8,0.0,-46.156425
4.8,30.0,-34.761381
4.8,60.0,-16.166688
4.8,90.0,-8.340151
4.8,120.0,-16.166688
4.8,150.0,-34.761383
4.8,180.0,-46.156413
4.9,0.0,-41.539977
4.9,30.0,-31.302801
4.9,60.0,-14.441313
4.9,90.0,-7.256283
4.9,120.0,-14.441322
4.9,150.0,-31.302806
4.9,180.0,-41.539994
5.0,0.0,-37.417599
5.0,30.0,-28.197029
5.0,60.0,-12.886159
5.0,90.0,-6.290991
5.0,120.0,-12.88615
5.0,150.0,-28.197025
5.0,180.0,-37.417601
5.1,0.0,-33.739464
5.1,30.0,-25.415374
5.1,60.0,-11.494479
5.1,90.0,-5.440808
5.1,120.0,-11.494469
5.1,150.0,-25.41537
5.1,180.0,-33.739461
5.2,0.0,-30.457325
5.2,30.0,-22.927188
5.2,60.0,-10.255372
5.2,90.0,-4.697993
5.2,120.0,-10.255378
5.2,150.0,-22.927188
5.2,180.0,-30.457326
5.3,0.0,-27.526339
5.3,30.0,-20.702309
5.3,60.0,-9.155789
5.3,90.0,-4.05274
5.3,120.0,-9.155798
5.3,150.0,-20.702323
5.3,180.0,-27.52634
5.4,0.0,-24.905957
5.4,30.0,-18.712576
5.4,60.0,-8.182172
5.4,90.0,-3.494544
5.4,120.0,-8.182166
5.4,150.0,-18.712571
5.4,180.0,-24.905955
5.5,0.0,-22.560486
5.5,30.0,-16.932536
5.5,60.0,-7.321307
5.5,90.0,-3.013268
5.5,120.0,-7.321311
5.5,150.0,-16.932533
5.5,180.0,-22.56049
5.6,0.0,-20.458908
5.6,30.0,-15.339512
5.6,60.0,-6.560845
5.6,90.0,-2.59951
5.6,120.0,-6.560854
5.6,150.0,-15.339508
5.6,180.0,-20.458902
5.7,0.0,-18.574378
5.7,30.0,-13.913605
5.7,60.0,-5.889548
5.7,90.0,-2.244958
5.7,120.0,-5.889543
5.7,150.0,-13.91361
5.7,180.0,-18.57438
5.8,0.0,-16.883589
5.8,30.0,-12.63691
5.8,60.0,-5.297243
5.8,90.0,-1.942292
5.8,120.0,-5.297244
5.8,150.0,-12.636891
5.8,180.0,-16.883592
5.9,0.0,-15.365984
5.9,30.0,-11.493486
5.9,60.0,-4.774999
5.9,90.0,-1.685045
5.9,120.0,-4.774988
5.9,150.0,-11.493496
5.9,180.0,-15.365986
6.0,0.0,-14.003227
6.0,30.0,-10.468963
6.0,60.0,-4.31487
6.0,90.0,-1.467535
6.0,120.0,-4.314882
6.0,150.0,-10.468961
6.0,180.0,-14.003226
6.2,0.0,-11.678102
6.2,30.0,-8.726301
6.2,60.0,-3.553614
6.2,90.0,-1.132154
6.2,120.0,-3.553617
6.2,150.0,-8.726301
6.2,180.0,-11.678099
6.4,0.0,-9.796013
6.4,30.0,-7.321876
6.4,60.0,-2.965964
6.4,90.0,-0.901482
6.4,120.0,-2.965965
6.4,150.0,-7.321878
6.4,180.0,-9.796015
6.6,0.0,-8.268647
6.6,30.0,-6.188227
6.6,60.0,-2.513866
6.6,90.0,-0.747372
6.6,120.0,-2.51387
6.6,150.0,-6.188231
6.6,180.0,-8.268652
6.8,0.0,-7.027735
6.8,30.0,-5.272998
6.8,60.0,-2.166026
6.8,90.0,-0.647459
6.8,120.0,-2.166034
6.8,150.0,-5.273001
6.8,180.0,-7.02773
7.0,0.0,-6.01928
7.0,30.0,-4.533719
7.0,60.0,-1.897154
7.0,90.0,-0.584709
7.0,120.0,-1.897157
7.0,150.0,-4.533716
7.0,180.0,-6.019281
7.2,0.0,-5.198385
7.2,30.0,-3.934634
7.2,60.0,-1.687113
7.2,90.0,-0.546635
7.2,120.0,-1.687121
7.2,150.0,-3.934637
7.2,180.0,-5.198388
7.4,0.0,-4.526728
7.4,30.0,-3.445534
7.4,60.0,-1.520688
7.4,90.0,-0.524454
7.4,120.0,-1.520686
7.4,150.0,-3.445534
7.4,180.0,-4.526722
7.6,0.0,-3.972372
7.6,30.0,-3.042072
7.6,60.0,-1.386795
7.6,90.0,-0.512387
7.6,120.0,-1.386802
7.6,150.0,-3.042072
7.6,180.0,-3.97237
7.8,0.0,-3.510124
7.8,30.0,-2.705673
7.8,60.0,-1.277564
7.8,90.0,-0.506454
7.8,120.0,-1.277568
7.8,150.0,-2.705669
7.8,180.0,-3.510124
8.0,0.0,-3.121064
8.0,30.0,-2.422612
8.0,60.0,-1.187408
8.0,90.0,-0.50415
8.0,120.0,-1.187403
8.0,150.0,-2.422607
8.0,180.0,-3.121059
8.2,0.0,-2.791242
8.2,30.0,-2.182799
8.2,60.0,-1.112159
8.2,90.0,-0.503915
8.2,120.0,-1.112152
8.2,150.0,-2.182806
8.2,180.0,-2.791242
8.4,0.0,-2.510117
8.4,30.0,-1.978504
8.4,60.0,-1.048635
8.4,90.0,-0.504639
8.4,120.0,-1.048633
8.4,150.0,-1.978506
8.4,180.0,-2.510124
8.6,0.0,-2.269388
8.6,30.0,-1.803531
8.6,60.0,-0.994437
8.6,90.0,-0.505791
8.6,120.0,-0.994439
8.6,150.0,-1.803523
8.6,180.0,-2.269383
8.8,0.0,-2.062168
8.8,30.0,-1.652699
8.8,60.0,-0.947615
8.8,90.0,-0.506981
8.8,120.0,-0.947615
8.8,150.0,-1.652696
8.8,180.0,-2.062155
9.0,0.0,-1.882689
9.0,30.0,-1.521803
9.0,60.0,-0.90672
9.0,90.0,-0.507927
9.0,120.0,-0.906727
9.0,150.0,-1.521795
9.0,180.0,-1.882685
9.5,0.0,-1.526804
9.5,30.0,-1.260952
9.5,60.0,-0.823706
9.5,90.0,-0.508564
9.5,120.0,-0.823707
9.5,150.0,-1.260955
9.5,180.0,-1.526809
10.0,0.0,-1.266075
10.0,30.0,-1.068495
10.0,60.0,-0.755389
10.0,90.0,-0.506137
10.0,120.0,-0.755387
10.0,150.0,-1.068494
10.0,180.0,-1.266075
10.5,0.0,-1.071146
10.5,30.0,-0.923504
10.5,60.0,-0.706775
10.5,90.0,-0.500824
10.5,120.0,-0.706782
10.5,150.0,-0.923509
10.5,180.0,-1.071147
11.0,0.0,-0.923244
11.0,30.0,-0.812484
11.0,60.0,-0.666924
11.0,90.0,-0.493132
11.0,120.0,-0.666915
11.0,150.0,-0.812489
11.0,180.0,-0.92325
11.5,0.0,-0.802429
11.5,30.0,-0.721037
11.5,60.0,-0.633376
11.5,90.0,-0.483707
11.5,120.0,-0.63336
11.5,150.0,-0.721041
11.5,180.0,-0.802428
12.0,0.0,-0.714649
12.0,30.0,-0.653474
12.0,60.0,-0.604371
12.0,90.0,-0.473102
12.0,120.0,-0.60438
12.0,150.0,-0.653472
12.0,180.0,-0.714646
12.5,0.0,-0.643963
12.5,30.0,-0.598295
12.5,60.0,-0.57887
12.5,90.0,-0.461806
12.5,120.0,-0.578875
12.5,150.0,-0.598302
12.5,180.0,-0.643974
13.0,0.0,-0.586037
13.0,30.0,-0.552397
13.0,60.0,-0.556131
13.0,90.0,-0.450178
13.0,120.0,-0.556128
13.0,150.0,-0.5524
13.0,180.0,-0.586037
13.5,0.0,-0.537814
13.5,30.0,-0.513628
13.5,60.0,-0.535549
13.5,90.0,-0.438427
13.5,120.0,-0.535557
13.5,150.0,-0.513625
13.5,180.0,-0.537814
14.0,0.0,-0.497121
14.0,30.0,-0.480451
14.0,60.0,-0.516904
14.0,90.0,-0.426771
14.0,120.0,-0.516893
14.0,150.0,-0.480443
14.0,180.0,-0.497113
14.5,0.0,-0.462351
14.5,30.0,-0.451689
14.5,60.0,-0.499779
14.5,90.0,-0.415315
14.5,120.0,-0.49979
14.5,150.0,-0.451694
14.5,180.0,-0.462349
15.0,0.0,-0.432319
15.0,30.0,-0.426499
15.0,60.0,-0.484039
15.0,90.0,-0.404139
15.0,120.0,-0.484034
15.0,150.0,-0.426501
15.0,180.0,-0.432316
16.0,0.0,-0.383023
16.0,30.0,-0.384405
16.0,60.0,-0.455924
16.0,90.0,-0.382841
16.0,120.0,-0.45593
16.0,150.0,-0.384404
16.0,180.0,-0.383025
17.0,0.0,-0.344214
17.0,30.0,-0.350446
17.0,60.0,-0.431504
17.0,90.0,-0.363071
17.0,120.0,-0.431498
17.0,150.0,-0.350439
17.0,180.0,-0.344213
18.0,0.0,-0.312711
18.0,30.0,-0.322353
18.0,60.0,-0.410058
18.0,90.0,-0.344885
18.0,120.0,-0.410047
18.0,150.0,-0.322348
18.0,180.0,-0.312712
19.0,0.0,-0.286545
19.0,30.0,-0.298591
19.0,60.0,-0.39103
19.0,90.0,-0.328165
19.0,120.0,-0.391036
19.0,150.0,-0.298593
19.0,180.0,-0.286542
20.0,0.0,-0.26436
20.0,30.0,-0.278155
20.0,60.0,-0.374039
20.0,90.0,-0.312866
20.0,120.0,-0.374029
20.0,150.0,-0.278156
20.0,180.0,-0.264357
21.0,0.0,-0.244406
21.0,30.0,-0.259924
21.0,60.0,-0.359195
21.0,90.0,-0.298816
21.0,120.0,-0.359195
21.0,150.0,-0.259916
21.0,180.0,-0.244402
22.0,0.0,-0.228253
22.0,30.0,-0.244597
22.0,60.0,-0.345539
22.0,90.0,-0.286858
22.0,120.0,-0.345539
22.0,150.0,-0.244596
22.0,180.0,-0.228257
23.0,0.0,-0.213591
23.0,30.0,-0.230607
23.0,60.0,-0.332823
23.0,90.0,-0.274794
23.0,120.0,-0.332826
23.0,150.0,-0.23061
23.0,180.0,-0.21359
24.0,0.0,-0.200507
24.0,30.0,-0.218036
24.0,60.0,-0.321249
24.0,90.0,-0.263685
24.0,120.0,-0.321244
24.0,150.0,-0.218033
24.0,180.0,-0.200507
25.0,0.0,-0.188737
25.0,30.0,-0.206632
25.0,60.0,-0.31062
25.0,90.0,-0.253448
25.0,120.0,-0.310624
25.0,150.0,-0.206642
25.0,180.0,-0.188741
50.0,0.0,-0.059909
50.0,30.0,-0.079496
50.0,60.0,-0.186807
50.0,90.0,-0.131298
50.0,120.0,-0.186809
50.0,150.0,-0.079499
50.0,180.0,-0.059902
100.0,0.0,-0.0
100.0,30.0,-0.019647
100.0,60.0,-0.127079
100.0,90.0,-0.071623
100.0,120.0,-0.127087
100.0,150.0,-0.019645
100.0,180.0,4e-06
