R,theta_2,E
2.5,0.0,2646.984896
2.5,30.0,2577.580577
2.5,60.0,2445.649846
2.5,90.0,2382.170627
2.6,0.0,1850.537933
2.6,30.0,1803.037701
2.6,60.0,1710.604106
2.6,90.0,1665.575437
2.7,0.0,1275.589659
2.7,30.0,1243.157589
2.7,60.0,1179.576138
2.7,90.0,1148.472275
2.8,0.0,861.47853
2.8,30.0,840.194892
2.8,60.0,798.339
2.8,90.0,777.894139
2.9,0.0,564.824285
2.9,30.0,551.893524
2.9,60.0,526.625492
2.9,90.0,514.307143
3.0,0.0,353.88857
3.0,30.0,347.383248
3.0,60.0,334.731394
3.0,90.0,328.723944
3.1,0.0,205.752676
3.1,30.0,204.054475
3.1,60.0,200.799767
3.1,90.0,199.421445
3.2,0.0,103.46632
3.2,30.0,105.266797
3.2,60.0,108.762519
3.2,90.0,110.678352
3.3,0.0,34.466729
3.3,30.0,38.676066
3.3,60.0,46.739
3.3,90.0,50.852176
3.4,0.0,-10.594717
3.4,30.0,-4.861282
3.4,60.0,6.019069
3.4,90.0,11.457843
3.5,0.0,-38.69094
3.5,30.0,-32.100373
3.5,60.0,-19.746823
3.5,90.0,-13.648747
3.6,0.0,-54.983905
3.6,30.0,-48.000643
3.6,60.0,-35.154706
3.6,90.0,-28.883679
3.7,0.0,-63.358424
3.7,30.0,-56.167123
3.7,60.0,-43.50586
3.7,90.0,-37.395122
3.8,0.0,-65.786264
3.8,30.0,-59.190003
3.8,60.0,-47.150577
3.8,90.0,-41.406094
3.9,0.0,-65.085106
3.9,30.0,-58.90783
3.9,60.0,-47.743531
3.9,90.0,-42.469585
4.0,0.0,-62.281095
4.0,30.0,-56.607428
4.0,60.0,-46.43291
4.0,90.0,-41.658428
4.1,0.0,-58.304713
4.1,30.0,-53.171264
4.1,60.0,-44.356064
4.1,90.0,-39.706263
4.2,0.0,-53.779777
4.2,30.0,-49.186286
4.2,60.0,-41.228964
4.2,90.0,-37.471324
4.3,0.0,-49.108939
4.3,30.0,-45.026917
4.3,60.0,-37.879502
4.3,90.0,-34.458452
4.4,0.0,-44.53884
4.4,30.0,-41.251874
4.4,60.0,-34.511425
4.4,90.0,-31.393464
4.5,0.0,-40.210682
4.5,30.0,-37.289617
4.5,60.0,-31.251373
4.5,90.0,-28.405229
4.6,0.0,-36.197523
4.6,30.0,-33.585479
4.6,60.0,-28.173873
4.6,90.0,-25.573935
4.7,0.0,-32.890641
4.7,30.0,-30.175471
4.7,60.0,-25.318989
4.7,90.0,-22.945302
4.8,0.0,-29.520387
4.8,30.0,-27.07252
4.8,60.0,-22.704251
4.8,90.0,-20.540855
4.9,0.0,-26.497683
4.9,30.0,-24.274971
4.9,60.0,-20.333044
4.9,90.0,-18.365437
5.0,0.0,-23.799358
5.0,30.0,-21.771782
5.0,60.0,-18.199697
5.0,90.0,-16.412887
5.1,0.0,-21.401964
5.1,30.0,-19.54615
5.1,60.0,-16.293065
5.1,90.0,-14.670183
5.2,0.0,-19.281817
5.2,30.0,-17.57777
5.2,60.0,-14.598208
5.2,90.0,-13.120698
5.3,0.0,-17.411612
5.3,30.0,-15.835933
5.3,60.0,-13.097763
5.3,90.0,-11.746145
5.4,0.0,-15.76543
5.4,30.0,-14.318036
5.4,60.0,-11.773004
5.4,90.0,-10.528339
5.5,0.0,-14.318006
5.5,30.0,-12.978702
5.5,60.0,-10.604819
5.5,90.0,-9.449994
5.6,0.0,-13.044877
5.6,30.0,-11.801608
5.6,60.0,-9.574592
5.6,90.0,-8.495191
5.7,0.0,-11.923092
5.7,30.0,-10.764423
5.7,60.0,-8.665027
5.7,90.0,-7.649699
5.8,0.0,-10.931624
5.8,30.0,-9.847255
5.8,60.0,-7.860669
5.8,90.0,-6.900863
5.9,0.0,-10.051938
5.9,30.0,-9.032916
5.9,60.0,-7.147945
5.9,90.0,-6.237526
6.0,0.0,-9.268073
6.0,30.0,-8.306976
6.0,60.0,-6.515386
6.0,90.0,-5.649903
