R,theta_1,E
2.5,60.0,2437.422647
2.5,90.0,1934.206833
2.5,120.0,2795.166216
2.5,150.0,3716.829306
2.6,30.0,2100.569941
2.6,60.0,1670.505353
2.6,90.0,1320.934357
2.6,120.0,1998.060531
2.6,150.0,2627.605118
2.7,0.0,746.639318
2.7,30.0,1439.50164
2.7,60.0,1122.21575
2.7,90.0,879.341354
2.7,120.0,1415.217618
2.7,150.0,1908.974898
2.7,180.0,746.639315
2.8,0.0,717.256714
2.8,30.0,1002.207205
2.8,60.0,732.258265
2.8,90.0,564.744522
2.8,120.0,990.09538
2.8,150.0,1400.790118
2.8,180.0,717.256716
2.9,0.0,627.59144
2.9,30.0,693.175198
2.9,60.0,457.129436
2.9,90.0,343.525439
2.9,120.0,681.34239
2.9,150.0,1027.076602
2.9,180.0,627.59144
3.0,0.0,513.147396
3.0,30.0,468.218517
3.0,60.0,265.055619
3.0,90.0,190.443375
3.0,120.0,458.589361
3.0,150.0,747.261252
3.0,180.0,513.147397
3.1,0.0,397.559828
3.1,30.0,303.327652
3.1,60.0,132.979589
3.1,90.0,86.609663
3.1,120.0,299.30338
3.1,150.0,536.887502
3.1,180.0,397.559825
3.2,0.0,293.671126
3.2,30.0,183.297347
3.2,60.0,44.071356
3.2,90.0,17.967775
3.2,120.0,186.721584
3.2,150.0,379.445316
3.2,180.0,293.671118
3.3,0.0,206.851889
3.3,30.0,97.369149
3.3,60.0,-14.007893
3.3,90.0,-25.84764
3.3,120.0,108.432674
3.3,150.0,262.594598
3.3,180.0,206.851887
3.4,0.0,138.055934
3.4,30.0,37.37102
3.4,60.0,-50.304043
3.4,90.0,-52.704056
3.4,120.0,55.048729
3.4,150.0,177.18756
3.4,180.0,138.055936
3.5,0.0,85.887985
3.5,30.0,-3.115659
3.5,60.0,-71.427083
3.5,90.0,-67.232779
3.5,120.0,19.552281
3.5,150.0,115.703038
3.5,180.0,85.887989
3.6,0.0,47.902307
3.6,30.0,-29.171936
3.6,60.0,-82.177276
3.6,90.0,-73.993799
3.6,120.0,-3.527717
3.6,150.0,72.328792
3.6,180.0,47.902314
3.7,0.0,21.358504
3.7,30.0,-44.788939
3.7,60.0,-86.167619
3.7,90.0,-75.601517
3.7,120.0,-17.460597
3.7,150.0,42.399519
3.7,180.0,21.358496
3.8,0.0,3.636184
3.8,30.0,-53.286485
3.8,60.0,-85.456962
3.8,90.0,-73.940047
