R,phi,E
2.5,0.0,2646.886278
2.5,30.0,2646.808595
2.5,60.0,2646.958962
2.5,90.0,2646.984896
2.6,0.0,1850.438004
2.6,30.0,1850.359286
2.6,60.0,1850.511666
2.6,90.0,1850.537933
2.7,0.0,1275.493066
2.7,30.0,1275.416959
2.7,60.0,1275.564267
2.7,90.0,1275.589659
2.8,0.0,861.386761
2.8,30.0,861.314459
2.8,60.0,861.454389
2.8,90.0,861.47853
2.9,0.0,564.737441
2.9,30.0,564.669069
2.9,60.0,564.801452
2.9,90.0,564.824285
3.0,0.0,353.806034
3.0,30.0,353.741054
3.0,60.0,353.866878
3.0,90.0,353.88857
3.1,0.0,205.673636
3.1,30.0,205.611439
3.1,60.0,205.731882
3.1,90.0,205.752676
3.2,0.0,103.390033
3.2,30.0,103.329992
3.2,60.0,103.446245
3.2,90.0,103.46632
3.3,0.0,34.392473
3.3,30.0,34.334081
3.3,60.0,34.447193
3.3,90.0,34.466729
3.4,0.0,-10.667447
3.4,30.0,-10.724623
3.4,60.0,-10.613844
3.4,90.0,-10.594717
3.5,0.0,-38.762544
3.5,30.0,-38.818872
3.5,60.0,-38.709785
3.5,90.0,-38.69094
3.6,0.0,-55.054779
3.6,30.0,-55.110507
3.6,60.0,-55.002578
3.6,90.0,-54.983905
3.7,0.0,-63.428755
3.7,30.0,-63.484044
3.7,60.0,-63.37694
3.7,90.0,-63.358424
3.8,0.0,-65.856213
3.8,30.0,-65.911213
3.8,60.0,-65.804683
3.8,90.0,-65.786264
3.9,0.0,-65.154836
3.9,30.0,-65.20966
3.9,60.0,-65.103445
3.9,90.0,-65.085106
4.0,0.0,-62.350719
4.0,30.0,-62.405426
4.0,60.0,-62.29941
4.0,90.0,-62.281095
4.1,0.0,-58.37424
4.1,30.0,-58.428924
4.1,60.0,-58.323001
4.1,90.0,-58.304713
4.2,0.0,-53.849301
4.2,30.0,-53.903961
4.2,60.0,-53.79808
4.2,90.0,-53.779777
4.3,0.0,-49.178471
4.3,30.0,-49.233141
4.3,60.0,-49.12724
4.3,90.0,-49.108939
4.4,0.0,-44.608414
4.4,30.0,-44.663095
4.4,60.0,-44.557133
4.4,90.0,-44.53884
4.5,0.0,-40.280312
4.5,30.0,-40.335046
4.5,60.0,-40.229019
4.5,90.0,-40.210682
4.6,0.0,-36.267197
4.6,30.0,-36.321977
4.6,60.0,-36.215871
4.6,90.0,-36.197523
4.7,0.0,-32.960357
4.7,30.0,-33.015161
4.7,60.0,-32.908996
4.7,90.0,-32.890641
4.8,0.0,-29.590152
4.8,30.0,-29.645014
4.8,60.0,-29.538744
4.8,90.0,-29.520387
4.9,0.0,-26.56752
4.9,30.0,-26.622434
4.9,60.0,-26.51606
4.9,90.0,-26.497683
5.0,0.0,-23.869246
5.0,30.0,-23.924205
5.0,60.0,-23.817755
5.0,90.0,-23.799358
5.1,0.0,-21.471921
5.1,30.0,-21.526917
5.1,60.0,-21.42038
5.1,90.0,-21.401964
5.2,0.0,-19.351801
5.2,30.0,-19.406831
5.2,60.0,-19.300231
5.2,90.0,-19.281817
5.3,0.0,-17.481648
5.3,30.0,-17.536725
5.3,60.0,-17.430021
5.3,90.0,-17.411612
5.4,0.0,-15.835524
5.4,30.0,-15.890624
5.4,60.0,-15.78388
5.4,90.0,-15.76543
5.5,0.0,-14.388121
5.5,30.0,-14.443232
5.5,60.0,-14.336445
5.5,90.0,-14.318006
5.6,0.0,-13.11503
5.6,30.0,-13.170179
5.6,60.0,-13.063354
5.6,90.0,-13.044877
5.7,0.0,-11.99327
5.7,30.0,-12.048438
5.7,60.0,-11.941558
5.7,90.0,-11.923092
5.8,0.0,-11.001836
5.8,30.0,-11.057041
5.8,60.0,-10.950108
5.8,90.0,-10.931624
5.9,0.0,-10.122174
5.9,30.0,-10.177399
5.9,60.0,-10.070423
5.9,90.0,-10.051938
6.0,0.0,-9.338306
6.0,30.0,-9.393567
6.0,60.0,-9.286552
6.0,90.0,-9.268073
6.2,0.0,-8.006165
6.2,30.0,-8.06143
6.2,60.0,-7.954365
6.2,90.0,-7.935861
6.4,0.0,-6.920743
6.4,30.0,-6.976043
6.4,60.0,-6.868922
6.4,90.0,-6.850457
6.6,0.0,-6.020655
6.6,30.0,-6.075942
6.6,60.0,-5.968795
6.6,90.0,-5.950297
6.8,0.0,-5.260905
6.8,30.0,-5.316238
6.8,60.0,-5.209037
6.8,90.0,-5.190525
7.0,0.0,-4.610591
7.0,30.0,-4.665945
7.0,60.0,-4.558711
7.0,90.0,-4.540192
7.2,0.0,-4.050275
7.2,30.0,-4.105637
7.2,60.0,-3.998377
7.2,90.0,-3.979853
7.4,0.0,-3.568313
7.4,30.0,-3.623664
7.4,60.0,-3.516379
7.4,90.0,-3.497857
7.6,0.0,-3.156446
7.6,30.0,-3.211832
7.6,60.0,-3.104536
7.6,90.0,-3.085989
7.8,0.0,-2.806973
7.8,30.0,-2.862365
7.8,60.0,-2.755058
7.8,90.0,-2.736513
8.0,0.0,-2.511446
8.0,30.0,-2.566833
8.0,60.0,-2.459516
8.0,90.0,-2.440968
8.2,0.0,-2.261086
8.2,30.0,-2.316475
8.2,60.0,-2.209154
8.2,90.0,-2.190606
8.4,0.0,-2.047735
8.4,30.0,-2.103129
8.4,60.0,-1.995802
8.4,90.0,-1.977251
8.6,0.0,-1.864453
8.6,30.0,-1.919861
8.6,60.0,-1.812524
8.6,90.0,-1.793966
8.8,0.0,-1.705844
8.8,30.0,-1.761264
8.8,60.0,-1.653905
8.8,90.0,-1.635368
9.0,0.0,-1.567804
9.0,30.0,-1.623219
9.0,60.0,-1.515865
9.0,90.0,-1.497322
9.5,0.0,-1.293815
9.5,30.0,-1.349265
9.5,60.0,-1.241876
9.5,90.0,-1.223336
10.0,0.0,-1.096041
10.0,30.0,-1.151463
10.0,60.0,-1.04409
10.0,90.0,-1.025536
10.5,0.0,-0.950963
10.5,30.0,-1.00639
10.5,60.0,-0.899019
10.5,90.0,-0.880452
11.0,0.0,-0.841933
11.0,30.0,-0.897358
11.0,60.0,-0.789971
11.0,90.0,-0.771409
11.5,0.0,-0.751102
11.5,30.0,-0.80655
11.5,60.0,-0.699155
11.5,90.0,-0.680592
12.0,0.0,-0.686264
12.0,30.0,-0.741716
12.0,60.0,-0.634314
12.0,90.0,-0.61575
12.5,0.0,-0.633482
12.5,30.0,-0.688922
12.5,60.0,-0.581515
12.5,90.0,-0.562967
13.0,0.0,-0.589651
13.0,30.0,-0.645091
13.0,60.0,-0.5377
13.0,90.0,-0.519153
13.5,0.0,-0.552723
13.5,30.0,-0.608158
13.5,60.0,-0.500769
13.5,90.0,-0.482216
14.0,0.0,-0.521117
14.0,30.0,-0.57657
14.0,60.0,-0.469161
14.0,90.0,-0.450605
14.5,0.0,-0.493746
14.5,30.0,-0.549203
14.5,60.0,-0.441781
14.5,90.0,-0.423238
15.0,0.0,-0.469784
15.0,30.0,-0.525226
15.0,60.0,-0.417815
15.0,90.0,-0.399251
16.0,0.0,-0.429624
16.0,30.0,-0.485072
16.0,60.0,-0.37766
16.0,90.0,-0.359103
17.0,0.0,-0.397172
17.0,30.0,-0.452603
