R,theta_1,E
2.5,60.0,2558.985681
2.5,90.0,2015.394703
2.5,120.0,2558.985674
2.6,30.0,2303.246909
2.6,60.0,1808.316317
2.6,90.0,1429.531517
2.6,120.0,1808.316316
2.6,150.0,2303.246913
2.7,30.0,1503.384144
2.7,60.0,1264.920286
2.7,90.0,1004.800538
2.7,120.0,1264.920295
2.7,150.0,1503.38415
2.8,30.0,986.289137
2.8,60.0,873.666223
2.8,90.0,698.992545
2.8,120.0,873.66622
2.8,150.0,986.28914
2.9,0.0,78.431668
2.9,30.0,638.046065
2.9,60.0,593.753266
2.9,90.0,480.343686
2.9,120.0,593.753266
2.9,150.0,638.046065
2.9,180.0,78.431674
3.0,0.0,43.87005
3.0,30.0,398.251726
3.0,60.0,395.045834
3.0,90.0,325.128392
3.0,120.0,395.045832
3.0,150.0,398.251727
3.0,180.0,43.870058
3.1,0.0,-1.991947
3.1,30.0,232.212283
3.1,60.0,255.213605
3.1,90.0,215.783571
3.1,120.0,255.213598
3.1,150.0,232.212274
3.1,180.0,-1.991957
3.2,0.0,-44.772899
3.2,30.0,118.111979
3.2,60.0,157.846593
3.2,90.0,139.408362
3.2,120.0,157.846593
3.2,150.0,118.111981
3.2,180.0,-44.772911
3.3,0.0,-78.329032
3.3,30.0,41.09615
3.3,60.0,90.975515
3.3,90.0,86.585233
3.3,120.0,90.975513
3.3,150.0,41.096143
3.3,180.0,-78.329027
3.4,0.0,-101.319682
3.4,30.0,-9.402904
3.4,60.0,45.783847
3.4,90.0,50.476021
3.4,120.0,45.783847
3.4,150.0,-9.402915
3.4,180.0,-101.319678
3.5,0.0,-114.719359
3.5,30.0,-41.107508
3.5,60.0,15.871706
3.5,90.0,26.144524
3.5,120.0,15.871704
3.5,150.0,-41.1075
3.5,180.0,-114.719355
3.6,0.0,-120.368964
3.6,30.0,-59.682678
3.6,60.0,-3.371288
3.6,90.0,10.054005
3.6,120.0,-3.371288
3.6,150.0,-59.682682
3.6,180.0,-120.368964
3.7,0.0,-120.383601
3.7,30.0,-69.2619
3.7,60.0,-15.243125
3.7,90.0,-0.3075
3.7,120.0,-15.24313
3.7,150.0,-69.261905
3.7,180.0,-120.3836
3.8,0.0,-116.514427
3.8,30.0,-72.835159
3.8,60.0,-22.084964
3.8,90.0,-7.003546
3.8,120.0,-22.084965
3.8,150.0,-72.835167
3.8,180.0,-116.514424
3.9,0.0,-110.20509
3.9,30.0,-72.528899
3.9,60.0,-25.544386
3.9,90.0,-10.580598
3.9,120.0,-25.544381
3.9,150.0,-72.528907
3.9,180.0,-110.205091
4.0,0.0,-102.539225
4.0,30.0,-69.831841
4.0,60.0,-26.770906
4.0,90.0,-12.354922
4.0,120.0,-26.770904
4.0,150.0,-69.831852
4.0,180.0,-102.539222
4.1,0.0,-94.289417
4.1,30.0,-65.765215
4.1,60.0,-26.560807
4.1,90.0,-12.920283
4.1,120.0,-26.560817
4.1,150.0,-65.765219
4.1,180.0,-94.289415
4.2,0.0,-85.980168
4.2,30.0,-61.013196
4.2,60.0,-25.764885
4.2,90.0,-12.700363
4.2,120.0,-25.764883
4.2,150.0,-61.01319
4.2,180.0,-85.980167
4.3,0.0,-77.94814
4.3,30.0,-56.021201
4.3,60.0,-24.063748
4.3,90.0,-11.997152
4.3,120.0,-24.063743
4.3,150.0,-56.021209
4.3,180.0,-77.948138
4.4,0.0,-70.392832
4.4,30.0,-51.069872
4.4,60.0,-22.138172
4.4,90.0,-11.023811
4.4,120.0,-22.138172
4.4,150.0,-51.06988
4.4,180.0,-70.39284
4.5,0.0,-63.417257
4.5,30.0,-46.574155
4.5,60.0,-20.145903
4.5,90.0,-9.927661
4.5,120.0,-20.145901
4.5,150.0,-46.574165
4.5,180.0,-63.417257
4.6,0.0,-57.059394
4.6,30.0,-42.063465
4.6,60.0,-18.189435
4.6,90.0,-8.807125
4.6,120.0,-18.189433
4.6,150.0,-42.06347
4.6,180.0,-57.0594
4.7,0.0,-51.315421
4.7,30.0,-37.926966
4.7,60.0,-16.33169
4.7,90.0,-7.724763
4.7,120.0,-16.331686
4.7,150.0,-37.926975
4.7,180.0,-51.315424
4.8,0.0,-46.156425
4.8,30.0,-34.169486
4.8,60.0,-14.607525
4.8,90.0,-6.71709
4.8,120.0,-14.607518
4.8,150.0,-34.169482
4.8,180.0,-46.156413
4.9,0.0,-41.539977
4.9,30.0,-30.779039
4.9,60.0,-13.032712
4.9,90.0,-5.802745
4.9,120.0,-13.032716
4.9,150.0,-30.779047
4.9,180.0,-41.539994
5.0,0.0,-37.417599
5.0,30.0,-27.733332
5.0,60.0,-11.610456
5.0,90.0,-4.988163
5.0,120.0,-11.61046
5.0,150.0,-27.733328
5.0,180.0,-37.417601
5.1,0.0,-33.739464
5.1,30.0,-25.004541
5.1,60.0,-10.336153
5.1,90.0,-4.27206
5.1,120.0,-10.336159
5.1,150.0,-25.00454
5.1,180.0,-33.739462
5.2,0.0,-30.457325
5.2,30.0,-22.562796
5.2,60.0,-9.200741
5.2,90.0,-3.648636
5.2,120.0,-9.20074
5.2,150.0,-22.562793
5.2,180.0,-30.457326
5.3,0.0,-27.526339
5.3,30.0,-20.378636
5.3,60.0,-8.193007
5.3,90.0,-3.109851
5.3,120.0,-8.193001
5.3,150.0,-20.378631
5.3,180.0,-27.52634
5.4,0.0,-24.905957
5.4,30.0,-18.424509
5.4,60.0,-7.300952
5.4,90.0,-2.64681
5.4,120.0,-7.300947
5.4,150.0,-18.424506
5.4,180.0,-24.905955
5.5,0.0,-22.560486
5.5,30.0,-16.675686
5.5,60.0,-6.512717
5.5,90.0,-2.250724
5.5,120.0,-6.512718
5.5,150.0,-16.675682
5.5,180.0,-22.56049
5.6,0.0,-20.458908
5.6,30.0,-15.110109
5.6,60.0,-5.817164
5.6,90.0,-1.913481
5.6,120.0,-5.817164
5.6,150.0,-15.110107
5.6,180.0,-20.458902
5.7,0.0,-18.574378
5.7,30.0,-13.708329
5.7,60.0,-5.204011
5.7,90.0,-1.627776
5.7,120.0,-5.204013
5.7,150.0,-13.708319
5.7,180.0,-18.57438
5.8,0.0,-16.883589
5.8,30.0,-12.452972
5.8,60.0,-4.664005
5.8,90.0,-1.387248
5.8,120.0,-4.664003
5.8,150.0,-12.452971
5.8,180.0,-16.883592
5.9,0.0,-15.365984
5.9,30.0,-11.328532
5.9,60.0,-4.188906
5.9,90.0,-1.186185
5.9,120.0,-4.188909
5.9,150.0,-11.328534
5.9,180.0,-15.365986
6.0,0.0,-14.003227
6.0,30.0,-10.320927
6.0,60.0,-3.771385
6.0,90.0,-1.019679
6.0,120.0,-3.771377
6.0,150.0,-10.320932
6.0,180.0,-14.003226
6.2,0.0,-11.678102
6.2,30.0,-8.607091
6.2,60.0,-3.083716
6.2,90.0,-0.772741
6.2,120.0,-3.083715
6.2,150.0,-8.607089
6.2,180.0,-11.678099
6.4,0.0,-9.796013
6.4,30.0,-7.226181
6.4,60.0,-2.55694
6.4,90.0,-0.615538
6.4,120.0,-2.556945
6.4,150.0,-7.226179
6.4,180.0,-9.796015
6.6,0.0,-8.268647
6.6,30.0,-6.111991
6.6,60.0,-2.155409
6.6,90.0,-0.52278
6.6,120.0,-2.155412
6.6,150.0,-6.111987
6.6,180.0,-8.268652
6.8,0.0,-7.027735
6.8,30.0,-5.212975
6.8,60.0,-1.849866
6.8,90.0,-0.474339
6.8,120.0,-1.849867
6.8,150.0,-5.212974
6.8,180.0,-7.02773
7.0,0.0,-6.01928
7.0,30.0,-4.487354
7.0,60.0,-1.616423
7.0,90.0,-0.454802
7.0,120.0,-1.61643
7.0,150.0,-4.487356
7.0,180.0,-6.019281
7.2,0.0,-5.198385
7.2,30.0,-3.899735
7.2,60.0,-1.43618
7.2,90.0,-0.453266
7.2,120.0,-1.436173
7.2,150.0,-3.899741
7.2,180.0,-5.198388
7.4,0.0,-4.526728
7.4,30.0,-3.420335
7.4,60.0,-1.294925
7.4,90.0,-0.46212
7.4,120.0,-1.294935
7.4,150.0,-3.42033
7.4,180.0,-4.526722
7.6,0.0,-3.972372
7.6,30.0,-3.025075
7.6,60.0,-1.182401
7.6,90.0,-0.476435
7.6,120.0,-1.182401
7.6,150.0,-3.025075
7.6,180.0,-3.97237
7.8,0.0,-3.510124
7.8,30.0,-2.695616
7.8,60.0,-1.091383
7.8,90.0,-0.493111
7.8,120.0,-1.091379
7.8,150.0,-2.695621
7.8,180.0,-3.510124
8.0,0.0,-3.121064
8.0,30.0,-2.418478
8.0,60.0,-1.016791
8.0,90.0,-0.510226
8.0,120.0,-1.016793
8.0,150.0,-2.418488
8.0,180.0,-3.121059
8.2,0.0,-2.791242
8.2,30.0,-2.183736
8.2,60.0,-0.954922
8.2,90.0,-0.526732
8.2,120.0,-0.954925
8.2,150.0,-2.183734
8.2,180.0,-2.791242
8.4,0.0,-2.510117
8.4,30.0,-1.983786
8.4,60.0,-0.90299
8.4,90.0,-0.541988
8.4,120.0,-0.902995
8.4,150.0,-1.983789
8.4,180.0,-2.510124
8.6,0.0,-2.269388
8.6,30.0,-1.812543
8.6,60.0,-0.858817
8.6,90.0,-0.555747
8.6,120.0,-0.858814
8.6,150.0,-1.812543
8.6,180.0,-2.269383
8.8,0.0,-2.062168
8.8,30.0,-1.664955
8.8,60.0,-0.820707
8.8,90.0,-0.567928
8.8,120.0,-0.820713
8.8,150.0,-1.664959
8.8,180.0,-2.062155
9.0,0.0,-1.882689
9.0,30.0,-1.536873
9.0,60.0,-0.787433
9.0,90.0,-0.578459
9.0,120.0,-0.787427
9.0,150.0,-1.536872
9.0,180.0,-1.882685
9.5,0.0,-1.526804
9.5,30.0,-1.281613
9.5,60.0,-0.719509
9.5,90.0,-0.598268
9.5,120.0,-0.719518
9.5,150.0,-1.281612
9.5,180.0,-1.526809
10.0,0.0,-1.266075
10.0,30.0,-1.093171
10.0,60.0,-0.662319
10.0,90.0,-0.609889
10.0,120.0,-0.662325
10.0,150.0,-1.093164
10.0,180.0,-1.266075
10.5,0.0,-1.071146
10.5,30.0,-0.951147
10.5,60.0,-0.62181
10.5,90.0,-0.615008
10.5,120.0,-0.621804
10.5,150.0,-0.951144
10.5,180.0,-1.071147
11.0,0.0,-0.923244
11.0,30.0,-0.842326
11.0,60.0,-0.58809
11.0,90.0,-0.615164
11.0,120.0,-0.588084
11.0,150.0,-0.842336
11.0,180.0,-0.92325
11.5,0.0,-0.802429
11.5,30.0,-0.752553
11.5,60.0,-0.559157
11.5,90.0,-0.611729
11.5,120.0,-0.55915
11.5,150.0,-0.752555
11.5,180.0,-0.802428
12.0,0.0,-0.714649
12.0,30.0,-0.686265
12.0,60.0,-0.533773
12.0,90.0,-0.605758
12.0,120.0,-0.533778
12.0,150.0,-0.686261
12.0,180.0,-0.714646
12.5,0.0,-0.643963
12.5,30.0,-0.632071
12.5,60.0,-0.511065
12.5,90.0,-0.598114
12.5,120.0,-0.511068
12.5,150.0,-0.632072
12.5,180.0,-0.643974
13.0,0.0,-0.586037
13.0,30.0,-0.586943
13.0,60.0,-0.490514
13.0,90.0,-0.589315
13.0,120.0,-0.490516
13.0,150.0,-0.586939
13.0,180.0,-0.586037
13.5,0.0,-0.537814
13.5,30.0,-0.548773
13.5,60.0,-0.471718
13.5,90.0,-0.579839
13.5,120.0,-0.471712
13.5,150.0,-0.548783
13.5,180.0,-0.537814
14.0,0.0,-0.497121
14.0,30.0,-0.516098
14.0,60.0,-0.454432
14.0,90.0,-0.569999
14.0,120.0,-0.454431
14.0,150.0,-0.516095
14.0,180.0,-0.497113
14.5,0.0,-0.462351
14.5,30.0,-0.487717
14.5,60.0,-0.438469
14.5,90.0,-0.560023
14.5,120.0,-0.438457
14.5,150.0,-0.487716
14.5,180.0,-0.462349
15.0,0.0,-0.432319
15.0,30.0,-0.462863
15.0,60.0,-0.423624
15.0,90.0,-0.550036
15.0,120.0,-0.423623
15.0,150.0,-0.462858
15.0,180.0,-0.432316
16.0,0.0,-0.383023
16.0,30.0,-0.421221
16.0,60.0,-0.39688
16.0,90.0,-0.530538
16.0,120.0,-0.396879
16.0,150.0,-0.421219
16.0,180.0,-0.383025
17.0,0.0,-0.344214
17.0,30.0,-0.387602
17.0,60.0,-0.373402
17.0,90.0,-0.511999
17.0,120.0,-0.373398
17.0,150.0,-0.387599
17.0,180.0,-0.344213
18.0,0.0,-0.312711
18.0,30.0,-0.359727
18.0,60.0,-0.3526
18.0,90.0,-0.494662
18.0,120.0,-0.3526
18.0,150.0,-0.35973
18.0,180.0,-0.312712
19.0,0.0,-0.286545
19.0,30.0,-0.336133
19.0,60.0,-0.334054
19.0,90.0,-0.478571
19.0,120.0,-0.334052
19.0,150.0,-0.336133
19.0,180.0,-0.286542
20.0,0.0,-0.26436
20.0,30.0,-0.315822
20.0,60.0,-0.317393
20.0,90.0,-0.463729
20.0,120.0,-0.317397
20.0,150.0,-0.315823
20.0,180.0,-0.264357
21.0,0.0,-0.244406
21.0,30.0,-0.297668
21.0,60.0,-0.302831
21.0,90.0,-0.450013
21.0,120.0,-0.302836
21.0,150.0,-0.297673
21.0,180.0,-0.244402
22.0,0.0,-0.228253
22.0,30.0,-0.282416
22.0,60.0,-0.289358
22.0,90.0,-0.438332
22.0,120.0,-0.289359
22.0,150.0,-0.282421
22.0,180.0,-0.228257
23.0,0.0,-0.213591
23.0,30.0,-0.268473
23.0,60.0,-0.276789
23.0,90.0,-0.426417
23.0,120.0,-0.276788
23.0,150.0,-0.268463
23.0,180.0,-0.21359
24.0,0.0,-0.200507
24.0,30.0,-0.255924
24.0,60.0,-0.265304
24.0,90.0,-0.415482
24.0,120.0,-0.265305
24.0,150.0,-0.255926
24.0,180.0,-0.200507
25.0,0.0,-0.188737
25.0,30.0,-0.244569
25.0,60.0,-0.2548
25.0,90.0,-0.405365
25.0,120.0,-0.254799
25.0,150.0,-0.244577
25.0,180.0,-0.188741
50.0,0.0,-0.059909
50.0,30.0,-0.117546
50.0,60.0,-0.131339
50.0,90.0,-0.283713
50.0,120.0,-0.131341
50.0,150.0,-0.117546
50.0,180.0,-0.059902
100.0,0.0,-0.0
100.0,30.0,-0.057702
100.0,60.0,-0.071634
100.0,90.0,-0.224064
100.0,120.0,-0.071631
100.0,150.0,-0.057694
100.0,180.0,4e-06
