R	0.0	30.0	60.0	90.0
2.5	2646.808595	2437.422647	2378.221566	2515.140767
2.6	1850.359286	1670.505353	1638.757807	1772.430141
2.7	1275.416959	1122.21575	1109.673277	1235.670688
2.8	861.314459	732.258265	733.432908	849.614278
2.9	564.669069	457.129436	468.100621	573.796908
3.0	353.741054	265.055619	282.970851	378.35534
3.1	205.611439	132.979589	155.562612	241.161918
3.2	103.329992	44.071356	69.458857	145.953625
3.3	34.334081	-14.007893	12.647437	80.847873
3.4	-10.724623	-50.304043	-23.591504	37.109852
3.5	-38.818872	-71.427083	-45.553449	8.402718
3.6	-55.110507	-82.177276	-57.751446	-9.835263
3.7	-63.484044	-86.167619	-63.395167	-20.864728
3.8	-65.911213	-85.456962	-64.747297	-26.997137
3.9	-65.20966	-82.09305	-63.384876	-29.856251
4.0	-62.405426	-77.187803	-60.694008	-30.572303
4.1	-58.428924	-71.51397	-56.667852	-29.925866
4.2	-53.903961	-65.585012	-52.284589	-28.772527
4.3	-49.233141	-59.723801	-47.828812	-26.7421
4.4	-44.663095	-54.120413	-43.481605	-24.530595
4.5	-40.335046	-48.877367	-39.352488	-22.288426
4.6	-36.321977	-44.042767	-35.502637	-20.112529
4.7	-33.015161	-39.631541	-31.961036	-18.061438
4.8	-29.645014	-35.639154	-28.735729	-16.166688
4.9	-26.622434	-32.049172	-25.821666	-14.441313
5.0	-23.924205	-28.838395	-23.205331	-12.886159
5.1	-21.526917	-25.979693	-20.867978	-11.494479
5.2	-19.406831	-23.443769	-18.787826	-10.255372
5.3	-17.536725	-21.200279	-16.941318	-9.155789
5.4	-15.890624	-19.218567	-15.304436	-8.182172
5.5	-14.443232	-17.468463	-13.853775	-7.321307
5.6	-13.170179	-15.921165	-12.567258	-6.560845
5.7	-12.048438	-14.549996	-11.424841	-5.889548
5.8	-11.057041	-13.331225	-10.40875	-5.297243
5.9	-10.177399	-12.244158	-9.503505	-4.774999
6.0	-9.393567	-11.271384	-8.695812	-4.31487
6.2	-8.06143	-9.611931	-7.32854	-3.553614
6.4	-6.976043	-8.259742	-6.231722	-2.965964
6.6	-6.075942	-7.145343	-5.34687	-2.513866
6.8	-5.316238	-6.216149	-4.627999	-2.166026
7.0	-4.665945	-5.427782	-4.039185	-1.897154
7.2	-4.105637	-4.766863	-3.553088	-1.687113
7.4	-3.623664	-4.205118	-3.148901	-1.520688
7.6	-3.211832	-3.728262	-2.810817	-1.386795
7.8	-2.862365	-3.323916	-2.526411	-1.277564
8.0	-2.566833	-2.980647	-2.285716	-1.187408
8.2	-2.316475	-2.688082	-2.08075	-1.112159
8.4	-2.103129	-2.437241	-1.90512	-1.048635
8.6	-1.919861	-2.220783	-1.753597	-0.994437
8.8	-1.761264	-2.032904	-1.622098	-0.947615
9.0	-1.623219	-1.86908	-1.507306	-0.90672
9.5	-1.349265	-1.542879	-1.277593	-0.823706
10.0	-1.151463	-1.305566	-1.10809	-0.755389
10.5	-1.00639	-1.129831	-0.980173	-0.706775
11.0	-0.897358	-0.996776	-0.87584	-0.666924
11.5	-0.80655	-0.893687	-0.799653	-0.633376
12.0	-0.741716	-0.811998	-0.737953	-0.604371
12.5	-0.688922	-0.745968	-0.687046	-0.57887
13.0	-0.645091	-0.691745	-0.644359	-0.556131
13.5	-0.608158	-0.646486	-0.60806	-0.535549
14.0	-0.57657	-0.608192	-0.576761	-0.516904
14.5	-0.549203	-0.575421	-0.549506	-0.499779
15.0	-0.525226	-0.547012	-0.525512	-0.484039
16.0	-0.485072	-0.500266	-0.485101	-0.455924
17.0	-0.452603	-0.463205	-0.452309	-0.431504
18.0	-0.425612	-0.432987	-0.424985	-0.410058
19.0	-0.402706	-0.407753	-0.401763	-0.39103
20.0	-0.38293	-0.386291	-0.381722	-0.374039
21.0	-0.365042	-0.367335	-0.364298	-0.359195
22.0	-0.349334	-0.350867	-0.348936	-0.345539
23.0	-0.335869	-0.336574	-0.334997	-0.332823
24.0	-0.323707	-0.323768	-0.322505	-0.321249
25.0	-0.312635	-0.312237	-0.311166	-0.31062
50.0	-0.186888	-0.184343	-0.184305	-0.186807
100.0	-0.127084	-0.124483	-0.124475	-0.127079
