R,phi,E
2.5,0.0,2558.985681
2.5,30.0,2515.140767
2.5,60.0,2426.865637
2.5,90.0,2382.170627
2.6,0.0,1808.316317
2.6,30.0,1772.430141
2.6,60.0,1701.182436
2.6,90.0,1665.575437
2.7,0.0,1264.920286
2.7,30.0,1235.670688
2.7,60.0,1177.605581
2.7,90.0,1148.472275
2.8,0.0,873.666223
2.8,30.0,849.614278
2.8,60.0,801.8841
2.8,90.0,777.894139
2.9,0.0,593.753266
2.9,30.0,573.796908
2.9,60.0,534.178962
2.9,90.0,514.307143
3.0,0.0,395.045834
3.0,30.0,378.35534
3.0,60.0,345.271468
3.0,90.0,328.723944
3.1,0.0,255.213605
3.1,30.0,241.161918
3.1,60.0,213.358304
3.1,90.0,199.421445
3.2,0.0,157.846593
3.2,30.0,145.953625
3.2,60.0,122.457251
3.2,90.0,110.678352
3.3,0.0,90.975515
3.3,30.0,80.847873
3.3,60.0,60.870226
3.3,90.0,50.852176
3.4,0.0,45.783847
3.4,30.0,37.109852
3.4,60.0,20.02787
3.4,90.0,11.457843
3.5,0.0,15.871706
3.5,30.0,8.402718
3.5,60.0,-6.278625
3.5,90.0,-13.648747
3.6,0.0,-3.371288
3.6,30.0,-9.835263
3.6,60.0,-22.514246
3.6,90.0,-28.883679
3.7,0.0,-15.243125
3.7,30.0,-20.864728
3.7,60.0,-31.864688
3.7,90.0,-37.395122
3.8,0.0,-22.084964
3.8,30.0,-26.997137
3.8,60.0,-36.582547
3.8,90.0,-41.406094
3.9,0.0,-25.544386
3.9,30.0,-29.856251
3.9,60.0,-38.244334
3.9,90.0,-42.469585
4.0,0.0,-26.770906
4.0,30.0,-30.572303
4.0,60.0,-37.942035
4.0,90.0,-41.658428
4.1,0.0,-26.560807
4.1,30.0,-29.925866
4.1,60.0,-36.424914
4.1,90.0,-39.706263
4.2,0.0,-25.764885
4.2,30.0,-28.772527
4.2,60.0,-34.552352
4.2,90.0,-37.471324
4.3,0.0,-24.063748
4.3,30.0,-26.7421
4.3,60.0,-31.866263
4.3,90.0,-34.458452
4.4,0.0,-22.138172
4.4,30.0,-24.530595
4.4,60.0,-29.085214
4.4,90.0,-31.393464
4.5,0.0,-20.145903
4.5,30.0,-22.288426
4.5,60.0,-26.345195
4.5,90.0,-28.405229
4.6,0.0,-18.189435
4.6,30.0,-20.112529
4.6,60.0,-23.73196
4.6,90.0,-25.573935
4.7,0.0,-16.33169
4.7,30.0,-18.061438
4.7,60.0,-21.295506
4.7,90.0,-22.945302
4.8,0.0,-14.607525
4.8,30.0,-16.166688
4.8,60.0,-19.060659
4.8,90.0,-20.540855
4.9,0.0,-13.032712
4.9,30.0,-14.441313
4.9,60.0,-17.035024
4.9,90.0,-18.365437
5.0,0.0,-11.610456
5.0,30.0,-12.886159
5.0,60.0,-15.214728
5.0,90.0,-16.412887
5.1,0.0,-10.336153
5.1,30.0,-11.494479
5.1,60.0,-13.588912
5.1,90.0,-14.670183
5.2,0.0,-9.200741
5.2,30.0,-10.255372
5.2,60.0,-12.142766
5.2,90.0,-13.120698
5.3,0.0,-8.193007
5.3,30.0,-9.155789
5.3,60.0,-10.859814
5.3,90.0,-11.746145
5.4,0.0,-7.300952
5.4,30.0,-8.182172
5.4,60.0,-9.723322
5.4,90.0,-10.528339
5.5,0.0,-6.512717
5.5,30.0,-7.321307
5.5,60.0,-8.717418
5.5,90.0,-9.449994
