R,theta_2,E
2.5,0.0,2646.886278
2.5,30.0,2423.163184
2.5,60.0,2386.421504
2.5,90.0,2558.985681
2.6,0.0,1850.438004
2.6,30.0,1655.869537
2.6,60.0,1643.10942
2.6,90.0,1808.316317
2.7,0.0,1275.493066
2.7,30.0,1108.201254
2.7,60.0,1111.375135
2.7,90.0,1264.920286
2.8,0.0,861.386761
2.8,30.0,719.443137
2.8,60.0,733.67328
2.8,90.0,873.666223
2.9,0.0,564.737441
2.9,30.0,445.695687
2.9,60.0,467.576241
2.9,90.0,593.753266
3.0,0.0,353.806034
3.0,30.0,255.015675
3.0,60.0,282.083721
3.0,90.0,395.045834
3.1,0.0,205.673636
3.1,30.0,124.247074
3.1,60.0,154.540463
3.1,90.0,255.213605
3.2,0.0,103.390033
3.2,30.0,36.513872
3.2,60.0,68.425137
3.2,90.0,157.846593
3.3,0.0,34.392473
3.3,30.0,-20.536338
3.3,60.0,11.662583
3.3,90.0,90.975515
3.4,0.0,-10.667447
3.4,30.0,-55.946612
3.4,60.0,-24.502956
3.4,90.0,45.783847
3.5,0.0,-38.762544
3.5,30.0,-76.315621
3.5,60.0,-46.386254
3.5,90.0,15.871706
3.6,0.0,-55.054779
3.6,30.0,-86.429816
3.6,60.0,-58.509943
3.6,90.0,-3.371288
3.7,0.0,-63.428755
3.7,30.0,-89.768448
3.7,60.0,-64.087234
3.7,90.0,-15.243125
3.8,0.0,-65.856213
3.8,30.0,-88.612906
3.8,60.0,-65.381086
3.8,90.0,-22.084964
3.9,0.0,-65.154836
3.9,30.0,-84.875557
3.9,60.0,-63.967157
3.9,90.0,-25.544386
4.0,0.0,-62.350719
4.0,30.0,-79.653572
4.0,60.0,-61.184654
4.0,90.0,-26.770906
4.1,0.0,-58.37424
4.1,30.0,-73.708224
4.1,60.0,-57.121097
4.1,90.0,-26.560807
4.2,0.0,-53.849301
4.2,30.0,-67.544018
4.2,60.0,-52.70228
4.2,90.0,-25.764885
4.3,0.0,-49.178471
4.3,30.0,-61.477192
4.3,60.0,-48.212436
4.3,90.0,-24.063748
4.4,0.0,-44.608414
4.4,30.0,-55.692858
4.4,60.0,-43.832704
4.4,90.0,-22.138172
4.5,0.0,-40.280312
4.5,30.0,-50.289976
4.5,60.0,-39.672855
4.5,90.0,-20.145903
4.6,0.0,-36.267197
4.6,30.0,-45.313661
4.6,60.0,-35.794284
4.6,90.0,-18.189435
4.7,0.0,-32.960357
4.7,30.0,-40.776539
4.7,60.0,-32.226088
4.7,90.0,-16.33169
4.8,0.0,-29.590152
4.8,30.0,-36.671906
4.8,60.0,-28.976483
4.8,90.0,-14.607525
4.9,0.0,-26.56752
4.9,30.0,-32.981692
4.9,60.0,-26.040256
4.9,90.0,-13.032712
5.0,0.0,-23.869246
5.0,30.0,-29.68117
5.0,60.0,-23.403766
5.0,90.0,-11.610456
5.1,0.0,-21.471921
5.1,30.0,-26.741936
5.1,60.0,-21.048059
5.1,90.0,-10.336153
5.2,0.0,-19.351801
5.2,30.0,-24.133641
5.2,60.0,-18.951051
5.2,90.0,-9.200741
5.3,0.0,-17.481648
5.3,30.0,-21.825047
5.3,60.0,-17.088911
5.3,90.0,-8.193007
5.4,0.0,-15.835524
5.4,30.0,-19.784666
5.4,60.0,-15.437512
5.4,90.0,-7.300952
5.5,0.0,-14.388121
5.5,30.0,-17.981638
5.5,60.0,-13.973204
5.5,90.0,-6.512717
5.6,0.0,-13.11503
5.6,30.0,-16.386521
5.6,60.0,-12.673922
5.6,90.0,-5.817164
5.7,0.0,-11.99327
5.7,30.0,-14.972129
5.7,60.0,-11.519582
5.7,90.0,-5.204011
5.8,0.0,-11.001836
5.8,30.0,-13.714233
5.8,60.0,-10.492363
5.8,90.0,-4.664005
5.9,0.0,-10.122174
5.9,30.0,-12.591789
5.9,60.0,-9.576814
5.9,90.0,-4.188906
6.0,0.0,-9.338306
6.0,30.0,-11.586933
6.0,60.0,-8.759579
6.0,90.0,-3.771385
6.2,0.0,-8.006165
6.2,30.0,-9.87196
6.2,60.0,-7.375476
6.2,90.0,-3.083716
6.4,0.0,-6.920743
6.4,30.0,-8.473845
6.4,60.0,-6.264425
6.4,90.0,-2.55694
6.6,0.0,-6.020655
6.6,30.0,-7.321304
6.6,60.0,-5.367629
6.6,90.0,-2.155409
6.8,0.0,-5.260905
6.8,30.0,-6.360235
6.8,60.0,-4.638693
6.8,90.0,-1.849866
7.0,0.0,-4.610591
7.0,30.0,-5.550846
7.0,60.0,-4.041409
7.0,90.0,-1.616423
7.2,0.0,-4.050275
7.2,30.0,-4.865018
