R,phi,E
2.5,0.0,2423.163184
2.5,30.0,2437.422647
2.5,60.0,2487.533995
2.5,90.0,2577.580577
2.6,0.0,1655.869537
2.6,30.0,1670.505353
2.6,60.0,1718.802671
2.6,90.0,1803.037701
2.7,0.0,1108.201254
2.7,30.0,1122.21575
2.7,60.0,1167.038613
2.7,90.0,1243.157589
2.8,0.0,719.443137
2.8,30.0,732.258265
2.8,60.0,772.761872
2.8,90.0,840.194892
2.9,0.0,445.695687
2.9,30.0,457.129436
2.9,60.0,492.954034
2.9,90.0,551.893524
3.0,0.0,255.015675
3.0,30.0,265.055619
3.0,60.0,296.341767
3.0,90.0,347.383248
3.1,0.0,124.247074
3.1,30.0,132.979589
3.1,60.0,160.097043
3.1,90.0,204.054475
3.2,0.0,36.513872
3.2,30.0,44.071356
3.2,60.0,67.491607
3.2,90.0,105.266797
3.3,0.0,-20.536338
3.3,30.0,-14.007893
3.3,60.0,6.20422
3.3,90.0,38.676066
3.4,0.0,-55.946612
3.4,30.0,-50.304043
3.4,60.0,-32.835108
3.4,90.0,-4.861282
3.5,0.0,-76.315621
3.5,30.0,-71.427083
3.5,60.0,-56.282999
3.5,90.0,-32.100373
3.6,0.0,-86.429816
3.6,30.0,-82.177276
3.6,60.0,-68.994026
3.6,90.0,-48.000643
3.7,0.0,-89.768448
3.7,30.0,-86.167619
3.7,60.0,-74.474847
3.7,90.0,-56.167123
3.8,0.0,-88.612906
3.8,30.0,-85.456962
3.8,60.0,-75.55371
3.8,90.0,-59.190003
3.9,0.0,-84.875557
3.9,30.0,-82.09305
3.9,60.0,-73.345047
3.9,90.0,-58.90783
4.0,0.0,-79.653572
4.0,30.0,-77.187803
4.0,60.0,-69.419006
4.0,90.0,-56.607428
4.1,0.0,-73.708224
4.1,30.0,-71.51397
4.1,60.0,-64.583624
4.1,90.0,-53.171264
4.2,0.0,-67.544018
4.2,30.0,-65.585012
4.2,60.0,-59.379544
4.2,90.0,-49.186286
4.3,0.0,-61.477192
4.3,30.0,-59.723801
4.3,60.0,-54.15032
4.3,90.0,-45.026917
4.4,0.0,-55.692858
4.4,30.0,-54.120413
4.4,60.0,-49.101374
4.4,90.0,-41.251874
4.5,0.0,-50.289976
4.5,30.0,-48.877367
4.5,60.0,-44.346954
4.5,90.0,-37.289617
4.6,0.0,-45.313661
4.6,30.0,-44.042767
4.6,60.0,-39.944354
