R,theta_2,E
2.5,0.0,2646.808595
2.5,30.0,2437.422647
2.5,60.0,2378.221566
2.5,90.0,2515.140767
2.6,0.0,1850.359286
2.6,30.0,1670.505353
2.6,60.0,1638.757807
2.6,90.0,1772.430141
2.7,0.0,1275.416959
2.7,30.0,1122.21575
2.7,60.0,1109.673277
2.7,90.0,1235.670688
2.8,0.0,861.314459
2.8,30.0,732.258265
2.8,60.0,733.432908
2.8,90.0,849.614278
2.9,0.0,564.669069
2.9,30.0,457.129436
2.9,60.0,468.100621
2.9,90.0,573.796908
3.0,0.0,353.741054
3.0,30.0,265.055619
3.0,60.0,282.970851
3.0,90.0,378.35534
3.1,0.0,205.611439
3.1,30.0,132.979589
3.1,60.0,155.562612
3.1,90.0,241.161918
3.2,0.0,103.329992
3.2,30.0,44.071356
3.2,60.0,69.458857
3.2,90.0,145.953625
3.3,0.0,34.334081
3.3,30.0,-14.007893
3.3,60.0,12.647437
3.3,90.0,80.847873
3.4,0.0,-10.724623
3.4,30.0,-50.304043
3.4,60.0,-23.591504
3.4,90.0,37.109852
3.5,0.0,-38.818872
3.5,30.0,-71.427083
3.5,60.0,-45.553449
3.5,90.0,8.402718
3.6,0.0,-55.110507
3.6,30.0,-82.177276
3.6,60.0,-57.751446
3.6,90.0,-9.835263
3.7,0.0,-63.484044
3.7,30.0,-86.167619
3.7,60.0,-63.395167
3.7,90.0,-20.864728
3.8,0.0,-65.911213
3.8,30.0,-85.456962
3.8,60.0,-64.747297
3.8,90.0,-26.997137
3.9,0.0,-65.20966
3.9,30.0,-82.09305
3.9,60.0,-63.384876
3.9,90.0,-29.856251
4.0,0.0,-62.405426
4.0,30.0,-77.187803
4.0,60.0,-60.694008
4.0,90.0,-30.572303
4.1,0.0,-58.428924
4.1,30.0,-71.51397
4.1,60.0,-56.667852
4.1,90.0,-29.925866
4.2,0.0,-53.903961
4.2,30.0,-65.585012
4.2,60.0,-52.284589
4.2,90.0,-28.772527
4.3,0.0,-49.233141
4.3,30.0,-59.723801
4.3,60.0,-47.828812
4.3,90.0,-26.7421
4.4,0.0,-44.663095
4.4,30.0,-54.120413
4.4,60.0,-43.481605
4.4,90.0,-24.530595
4.5,0.0,-40.335046
4.5,30.0,-48.877367
4.5,60.0,-39.352488
4.5,90.0,-22.288426
4.6,0.0,-36.321977
4.6,30.0,-44.042767
4.6,60.0,-35.502637
4.6,90.0,-20.112529
4.7,0.0,-33.015161
4.7,30.0,-39.631541
4.7,60.0,-31.961036
4.7,90.0,-18.061438
4.8,0.0,-29.645014
4.8,30.0,-35.639154
4.8,60.0,-28.735729
4.8,90.0,-16.166688
4.9,0.0,-26.622434
4.9,30.0,-32.049172
4.9,60.0,-25.821666
4.9,90.0,-14.441313
5.0,0.0,-23.924205
5.0,30.0,-28.838395
5.0,60.0,-23.205331
5.0,90.0,-12.886159
5.1,0.0,-21.526917
5.1,30.0,-25.979693
5.1,60.0,-20.867978
5.1,90.0,-11.494479
5.2,0.0,-19.406831
5.2,30.0,-23.443769
5.2,60.0,-18.787826
5.2,90.0,-10.255372
5.3,0.0,-17.536725
5.3,30.0,-21.200279
5.3,60.0,-16.941318
5.3,90.0,-9.155789
5.4,0.0,-15.890624
5.4,30.0,-19.218567
5.4,60.0,-15.304436
5.4,90.0,-8.182172
5.5,0.0,-14.443232
5.5,30.0,-17.468463
5.5,60.0,-13.853775
5.5,90.0,-7.321307
5.6,0.0,-13.170179
5.6,30.0,-15.921165
5.6,60.0,-12.567258
5.6,90.0,-6.560845
5.7,0.0,-12.048438
5.7,30.0,-14.549996
5.7,60.0,-11.424841
5.7,90.0,-5.889548
5.8,0.0,-11.057041
5.8,30.0,-13.331225
5.8,60.0,-10.40875
5.8,90.0,-5.297243
5.9,0.0,-10.177399
5.9,30.0,-12.244158
5.9,60.0,-9.503505
5.9,90.0,-4.774999
6.0,0.0,-9.393567
6.0,30.0,-11.271384
6.0,60.0,-8.695812
6.0,90.0,-4.31487
6.2,0.0,-8.06143
6.2,30.0,-9.611931
6.2,60.0,-7.32854
6.2,90.0,-3.553614
6.4,0.0,-6.976043
6.4,30.0,-8.259742
6.4,60.0,-6.231722
6.4,90.0,-2.965964
6.6,0.0,-6.075942
6.6,30.0,-7.145343
6.6,60.0,-5.34687
6.6,90.0,-2.513866
6.8,0.0,-5.316238
6.8,30.0,-6.216149
6.8,60.0,-4.627999
6.8,90.0,-2.166026
7.0,0.0,-4.665945
7.0,30.0,-5.427782
7.0,60.0,-4.039185
7.0,90.0,-1.897154
7.2,0.0,-4.105637
7.2,30.0,-4.766863
7.2,60.0,-3.553088
7.2,90.0,-1.687113
7.4,0.0,-3.623664
7.4,30.0,-4.205118
7.4,60.0,-3.148901
7.4,90.0,-1.520688
7.6,0.0,-3.211832
7.6,30.0,-3.728262
7.6,60.0,-2.810817
7.6,90.0,-1.386795
7.8,0.0,-2.862365
7.8,30.0,-3.323916
7.8,60.0,-2.526411
7.8,90.0,-1.277564
8.0,0.0,-2.566833
8.0,30.0,-2.980647
8.0,60.0,-2.285716
8.0,90.0,-1.187408
8.2,0.0,-2.316475
8.2,30.0,-2.688082
8.2,60.0,-2.08075
8.2,90.0,-1.112159
