R,phi,E
2.7,0.0,746.639318
2.7,30.0,746.639318
2.7,60.0,746.639318
2.7,90.0,746.639318
2.8,0.0,717.256714
2.8,30.0,717.256714
2.8,60.0,717.256714
2.8,90.0,717.256714
2.9,0.0,627.59144
2.9,30.0,627.59144
2.9,60.0,627.59144
2.9,90.0,627.59144
3.0,0.0,513.147396
3.0,30.0,513.147396
3.0,60.0,513.147397
3.0,90.0,513.147396
3.1,0.0,397.559828
3.1,30.0,397.559828
3.1,60.0,397.559828
3.1,90.0,397.559828
3.2,0.0,293.671126
3.2,30.0,293.671126
3.2,60.0,293.671126
3.2,90.0,293.671126
3.3,0.0,206.851889
3.3,30.0,206.851889
3.3,60.0,206.851889
3.3,90.0,206.851889
3.4,0.0,138.055934
3.4,30.0,138.055934
3.4,60.0,138.055934
3.4,90.0,138.055934
3.5,0.0,85.887985
3.5,30.0,85.887985
3.5,60.0,85.887985
3.5,90.0,85.887985
3.6,0.0,47.902307
3.6,30.0,47.902307
3.6,60.0,47.902307
3.6,90.0,47.902306
3.7,0.0,21.358504
3.7,30.0,21.358504
3.7,60.0,21.358504
3.7,90.0,21.358504
3.8,0.0,3.636184
3.8,30.0,3.636184
3.8,60.0,3.636184
3.8,90.0,3.636184
3.9,0.0,-7.556504
3.9,30.0,-7.556504
3.9,60.0,-7.556504
3.9,90.0,-7.556504
4.0,0.0,-14.100688
4.0,30.0,-14.100688
4.0,60.0,-14.100688
4.0,90.0,-14.100688
4.1,0.0,-17.461909
4.1,30.0,-17.461909
4.1,60.0,-17.461909
4.1,90.0,-17.461909
4.2,0.0,-18.731505
4.2,30.0,-18.731505
4.2,60.0,-18.731505
4.2,90.0,-18.731505
4.3,0.0,-18.691197
4.3,30.0,-18.691197
4.3,60.0,-18.691197
4.3,90.0,-18.691198
4.4,0.0,-17.881672
4.4,30.0,-17.881672
4.4,60.0,-17.881672
4.4,90.0,-17.881672
4.5,0.0,-16.971835
4.5,30.0,-16.971835
4.5,60.0,-16.971835
4.5,90.0,-16.971835
4.6,0.0,-15.518856
4.6,30.0,-15.518856
4.6,60.0,-15.518856
4.6,90.0,-15.518856
4.7,0.0,-14.046925
4.7,30.0,-14.046925
