R,theta2,E
2.5,0,788.77799
2.5,60,-885.865019
2.5,90,-858.141394
2.6,0,960.245638
2.6,30,682.270048
2.6,60,72.400473
2.6,90,-294.352591
2.7,0,996.613904
2.7,30,746.639315
2.7,60,235.60092
2.7,90,-24.084346
2.8,0,932.603005
2.8,30,717.256716
2.8,60,286.081703
2.8,90,72.776546
2.9,0,812.926166
2.9,30,627.59144
2.9,60,259.300731
2.9,90,78.431674
3.0,0,672.683742
3.0,30,513.147397
3.0,60,198.026318
3.0,90,43.870058
3.1,0,534.400374
3.1,30,397.559825
3.1,60,128.959023
3.1,90,-1.991957
3.2,0,410.40248
3.2,30,293.671118
3.2,60,65.855769
3.2,90,-44.772911
3.3,0,305.890919
3.3,30,206.851887
3.3,60,14.618002
3.3,90,-78.329027
3.4,0,221.708016
3.4,30,138.055936
3.4,60,-23.530902
3.4,90,-101.319678
3.5,0,156.34696
3.5,30,85.887989
3.5,60,-49.627811
3.5,90,-114.719355
3.6,0,107.219956
3.6,30,47.902314
3.6,60,-65.890316
3.6,90,-120.368964
3.7,0,71.400743
3.7,30,21.358496
3.7,60,-74.526486
3.7,90,-120.3836
3.8,0,46.044693
3.8,30,3.636182
3.8,60,-77.633799
3.8,90,-116.514424
3.9,0,28.615312
3.9,30,-7.556509
3.9,60,-76.957875
3.9,90,-110.205091
4.0,0,16.987202
4.0,30,-14.100695
4.0,60,-73.858065
4.0,90,-102.539222
4.1,0,9.468764
4.1,30,-17.461911
4.1,60,-69.339785
4.1,90,-94.289415
4.2,0,4.773525
4.2,30,-18.731512
4.2,60,-64.113252
4.2,90,-85.980167
4.3,0,1.962131
4.3,30,-18.691201
4.3,60,-58.658438
4.3,90,-77.948139
4.4,0,0.372059
4.4,30,-17.881679
4.4,60,-53.283199
4.4,90,-70.39284
4.5,0,-0.450621
4.5,30,-16.971829
4.5,60,-48.456598
4.5,90,-63.417257
4.6,0,-0.809129
4.6,30,-15.518859
4.6,60,-43.653467
4.6,90,-57.0594
4.7,0,-0.901176
4.7,30,-14.046919
4.7,60,-39.267708
4.7,90,-51.315424
4.8,0,-0.852525
4.8,30,-12.63586
4.8,60,-35.303693
4.8,90,-46.156413
4.9,0,-0.740845
4.9,30,-11.327654
4.9,60,-31.744927
4.9,90,-41.539994
5.0,0,-0.612098
5.0,30,-10.140626
5.0,60,-28.563391
5.0,90,-37.417601
5.1,0,-0.490928
5.1,30,-9.078612
5.1,60,-25.725521
5.1,90,-33.739461
5.2,0,-0.39158
5.2,30,-8.137051
5.2,60,-23.196338
5.2,90,-30.457326
5.3,0,-0.315205
5.3,30,-7.306566
5.3,60,-20.941793
5.3,90,-27.52634
5.4,0,-0.261491
5.4,30,-6.576133
5.4,60,-18.930387
5.4,90,-24.905955
5.5,0,-0.22698
5.5,30,-5.932439
5.5,60,-17.133868
5.5,90,-22.56049
5.6,0,-0.207503
5.6,30,-5.365377
5.6,60,-15.52752
5.6,90,-20.458902
5.7,0,-0.199087
