R	Gamma	E
2.20	10	-96.165397958526
2.20	20	-96.175081520265
2.20	30	-96.186909042246
2.20	40	-96.197673957443
2.20	50	-96.20584047704
2.20	60	-96.211254924126
2.20	70	-96.214436260161
2.20	80	-96.216022017595
2.20	90	-96.21649294081
2.20	100	-96.216056487621
2.20	110	-96.214495504638
2.20	120	-96.210833597408
2.20	130	-96.202657449418
2.20	140	-96.185074182653
2.20	150	-96.150398569579
2.20	160	-96.091391343732
2.20	170	-96.006910454075
2.20	180	-95.946365302741
2.30	0	-96.181182282153
2.30	10	-96.183754239454
2.30	20	-96.190350065984
2.30	30	-96.198505437818
2.30	40	-96.206014253033
2.30	50	-96.211754561361
2.30	60	-96.215571152445
2.30	70	-96.217808611756
2.30	80	-96.218913107898
2.30	90	-96.219226664073
2.30	100	-96.218899969442
2.30	110	-96.217777585186
2.30	120	-96.215147181892
2.30	130	-96.209240461079
2.30	140	-96.196471241749
2.30	150	-96.171267676582
2.30	160	-96.128974266631
2.30	170	-96.073400055483
2.30	180	-96.039359961093
2.40	0	-96.194880802911
2.40	10	-96.196622034044
2.40	20	-96.201111482976
2.40	30	-96.206712574877
2.40	40	-96.21191794217
2.40	50	-96.215923721044
2.40	60	-96.218593052429
2.40	70	-96.220153091602
2.40	80	-96.220914778037
2.40	90	-96.221121473198
2.40	100	-96.220882701994
2.40	110	-96.220089188731
2.40	120	-96.218228332629
2.40	130	-96.214020738659
2.40	140	-96.204872869369
2.40	150	-96.186794248545
2.40	160	-96.156800876788
2.40	170	-96.119635501872
2.40	180	-96.0991002314
2.50	0	-96.204410203452
2.50	10	-96.205589656869
2.50	20	-96.208641715905
2.50	30	-96.212474783394
2.50	40	-96.216063983102
2.50	50	-96.218840917005
2.50	60	-96.22069375598
2.50	70	-96.221771803942
2.50	80	-96.222291264782
2.50	90	-96.222425815899
2.50	100	-96.222254983408
2.50	110	-96.221703120372
2.50	120	-96.220406407246
2.50	130	-96.217450216561
2.50	140	-96.210980483096
2.50	150	-96.198170467226
2.50	160	-96.177110386714
2.50	170	-96.152039551133
2.50	180	-96.139066386424
2.60	0	-96.211009072231
2.60	10	-96.211807340182
2.60	20	-96.213877977442
2.60	30	-96.216492058927
2.60	40	-96.218954517265
2.60	50	-96.220866848112
2.60	60	-96.222142546638
2.60	70	-96.222880331936
2.60	80	-96.223230355788
2.60	90	-96.22331671747
2.60	100	-96.223197072308
2.60	110	-96.222819647907
2.60	120	-96.221929967779
2.60	130	-96.219881951575
2.60	140	-96.215363388507
2.60	150	-96.206391748555
2.60	160	-96.191746553849
2.60	170	-96.174789312749
2.60	180	-96.166368765721
2.70	0	-96.215558243302
2.70	10	-96.216097077712
2.70	20	-96.217497742058
2.70	30	-96.219274020703
2.70	40	-96.220954732112
2.70	50	-96.222262084743
2.70	60	-96.223132369959
2.70	70	-96.223631874183
2.70	80	-96.223864770544
2.70	90	-96.223919535262
2.70	100	-96.223837688327
2.70	110	-96.223584283727
