T	0->1	0->2	0->3	0->4	0->5	0->6	0->7	0->8	0->9	0->10	1->2	1->3	1->4	1->5	1->6	1->7	1->8	1->9	1->10	2->3	2->4	2->5	2->6	2->7	2->8	2->9	2->10	3->4	3->5	3->6	3->7	3->8	3->9	3->10	4->5	4->6	4->7	4->8	4->9	4->10	5->6	5->7	5->8	5->9	5->10	
1.100000000000000000e+01 4.677802167430957204e-10 1.027704044648788371e-10 5.214766631096805542e-11 4.773416707506866435e-11 3.999873003536112578e-11 2.124967589698897658e-11 2.018850551554663363e-11 9.885346801686575881e-12 5.458275865131446591e-12 1.367673677958348764e-11 2.832567789644629715e-10 6.764235046941262672e-11 4.488885748096504496e-11 3.495989120744769823e-11 2.475276935923172275e-11 1.780786450943554523e-11 1.128611618757123103e-11 7.859303065956287347e-12 8.417448048682445404e-12 2.512376164686034749e-10 5.912249026153359878e-11 3.883094508692528218e-11 2.815982037807529927e-11 1.848613402405657710e-11 1.324140456851817386e-11 7.560602451458808656e-12 8.208799710072022707e-12 2.259464005780228473e-10 5.166531013309284489e-11 3.240115522270112585e-11 2.261809773078478888e-11 1.488310947874482483e-11 8.907946720857769846e-12 7.291968470834780095e-12 2.021282555851050285e-10 4.254947845097157419e-11 2.738053819388760434e-11 1.774706864988322481e-11 1.032044408394102263e-11 7.344545461702145977e-12 1.741109303085030719e-10 3.511266838277049786e-11 2.127926665609163404e-11 1.287729171238563918e-11 8.474393597505101154e-12
1.200000000000000000e+01 4.555527855497412285e-10 9.845467925941509722e-11 5.195823667164079838e-11 4.792052356883752736e-11 4.070365410632982362e-11 2.191118637268253960e-11 2.176009360441305389e-11 1.082338335800961672e-11 5.857722227267944938e-12 1.514058018716021274e-11 2.762484668244074725e-10 6.622752457432461059e-11 4.572853365787506813e-11 3.577527790681100133e-11 2.600175607149842554e-11 1.902125313547279615e-11 1.217908022785074709e-11 8.701987367548581610e-12 9.349105832361154939e-12 2.460800837619789484e-10 5.887608582421748655e-11 4.008427693581160438e-11 2.945951331609667081e-11 1.953320377242839702e-11 1.424715745879402830e-11 8.383649648866060918e-12 9.232343570050722993e-12 2.229592894774296453e-10 5.229491220646208340e-11 3.377117592607907283e-11 2.395535758752299429e-11 1.610931150373905327e-11 9.732026881196650182e-12 8.204680210337310292e-12 2.010343781378589645e-10 4.369122774000019997e-11 2.900778868050463088e-11 1.906731068420148388e-11 1.127495268042112733e-11 8.258512028432751554e-12 1.753896841177650057e-10 3.660331167390237133e-11 2.286944903822859739e-11 1.403838015406634829e-11 9.521320247030374151e-12
1.300000000000000000e+01 4.435561377144262829e-10 9.454801411964051172e-11 5.175627259163759603e-11 4.790820585464512554e-11 4.119146169556091185e-11 2.240361379429219555e-11 2.312280525824795257e-11 1.167830883392153617e-11 6.194500642546072220e-12 1.645481867347789316e-11 2.693730159997510240e-10 6.488068165718886909e-11 4.635741341970025142e-11 3.638330988975525415e-11 2.703962681127411525e-11 2.006945637639701952e-11 1.296038005682990206e-11 9.482818963924685303e-12 1.018460172868878955e-11 2.408107895265037976e-10 5.852162527067687363e-11 4.108712489327596020e-11 3.052753995527705705e-11 2.041439088393180529e-11 1.512114186635794593e-11 9.145118824265826558e-12 1.017141863468849621e-11 2.195640953667648600e-10 5.271454813522293689e-11 3.490539917248386179e-11 2.508480234041351353e-11 1.718676790328762559e-11 1.046404742105521419e-11 9.044663957496228388e-12 1.992709499284696531e-10 4.458939936529853927e-11 3.039384983504463481e-11 2.020297982237278300e-11 1.212039996918861344e-11 9.098316218551136156e-12 1.757321421212913342e-10 3.782634148913676446e-11 2.424165525524192029e-11 1.505532083992343380e-11 1.048233442303627964e-11
1.400000000000000000e+01 4.319072562245476677e-10 9.100618784989633015e-11 5.154906468331491922e-11 4.774995411234608995e-11 4.150936488492512361e-11 2.276214070442667218e-11 2.429911511756262037e-11 1.246034373217193089e-11 6.476852311227376100e-12 1.763152024333531707e-11 2.627041670002818776e-10 6.360350017706766138e-11 4.681564923768054096e-11 3.682253241234009039e-11 2.789866593432839686e-11 2.097643593283164416e-11 1.364363885219154673e-11 1.020687744302486892e-11 1.093030222377112834e-11 2.355483299969805152e-10 5.809035138715613960e-11 4.188157193309362336e-11 3.140040055248617826e-11 2.115681348478761236e-11 1.588021276140201530e-11 9.849239445480203375e-12 1.102826841854626024e-11 2.159302711622338017e-10 5.297004762823729078e-11 3.584045572134834625e-11 2.603809467849726879e-11 1.813254255838143225e-11 1.111375347124619497e-11 9.813378967153596696e-12 1.970557034351733842e-10 4.529397736210933257e-11 3.157365073640610381e-11 2.117826857878727993e-11 1.286769185744850972e-11 9.865967299954830478e-12 1.753896797651440087e-10 3.883103290776660077e-11 2.542356206294420442e-11 1.594344692080023331e-11 1.136046239985050691e-11
1.500000000000000000e+01 4.206777754364442758e-10 8.778966249210740165e-11 5.134168171310396138e-11 4.748506955162996049e-11 4.169424361447672127e-11 2.301523928528000756e-11 2.531080641035945289e-11 1.317909162851053015e-11 6.712469122354101931e-12 1.868431417450928517e-11 2.562860454231896460e-10 6.239556100742561542e-11 4.713595606835263844e-11 3.712455184986178897e-11 2.860685426610275109e-11 2.176364620719627977e-11 1.424178151631757867e-11 1.087959202248336604e-11 1.159412675188376302e-11 2.303712159841324068e-10 5.760612856662374355e-11 4.250308042192812799e-11 3.210979613967299877e-11 2.178382349684751287e-11 1.654003541433535954e-11 1.050082942073332068e-11 1.180764000806343291e-11 2.121770140950669432e-10 5.309755890919623777e-11 3.660794945282684513e-11 2.684310959240038766e-11 1.896303309329674602e-11 1.169088419504593005e-11 1.051452206169654135e-11 1.945456542241135507e-10 4.584460387872329117e-11 3.257804813390248190e-11 2.201558160531108508e-11 1.352791879531477115e-11 1.056565529517938662e-11 1.745501566624652685e-10 3.965768315746863042e-11 2.644104400978049599e-11 1.671827603387025257e-11 1.216104113620314912e-11
1.600000000000000000e+01 4.099077063037117601e-10 8.486312660759476542e-11 5.113737665665188925e-11 4.714294882768130929e-11 4.177503431894698837e-11 2.318567059146190436e-11 2.617797285546159066e-11 1.384300307299221136e-11 6.908233195272738498e-12 1.962675017468063705e-11 2.501424458516908120e-10 6.125501801431081600e-11 4.734481308639498995e-11 3.731520875972136439e-11 2.918797864152267768e-11 2.244959690329488718e-11 1.476645143554089863e-11 1.150614504227389899e-11 1.218434546358958840e-11 2.253301900537411800e-10 5.708705428568071119e-11 4.298120620979575858e-11 3.268268163667199985e-11 2.231502936930904033e-11 1.711456080450107966e-11 1.110466854957805322e-11 1.251540209089300254e-11 2.083878213951483075e-10 5.312551133292033296e-11 3.723474187203084327e-11 2.752370142319376627e-11 1.969315651260709371e-11 1.220448571209879295e-11 1.115284822457161765e-11 1.918540758049009635e-10 4.627258157762438601e-11 3.343360479935887805e-11 2.273479728916915765e-11 1.411153211693923981e-11 1.120254299534191510e-11 1.733540102964095250e-10 4.033893011506800535e-11 2.731723225848228078e-11 1.739436398131612546e-11 1.289034056477996917e-11
1.700000000000000000e+01 3.996149290996390995e-10 8.219505569617849998e-11 5.093796391776763741e-11 4.674562486500803512e-11 4.177446962667729529e-11 2.329146676115046539e-11 2.691862592058336610e-11 1.445921512354014201e-11 7.070143704246593519e-12 2.047145757384077131e-11 2.442831721369680339e-10 6.017904786666078483e-11 4.746352912982329430e-11 3.741556211498021400e-11 2.966201472877087392e-11 2.304987839160509402e-11 1.522781030868840272e-11 1.209118839681176944e-11 1.270892196018880875e-11 2.204565614366136952e-10 5.654669371860485159e-11 4.334038376269356400e-11 3.314164487155766377e-11 2.276662079103733674e-11 1.761588639216821833e-11 1.166518166827704427e-11 1.315771835327495431e-11 2.046205523729563727e-10 5.307616563506851180e-11 3.774340829253132491e-11 2.809990412081317101e-11 2.033604762382955217e-11 1.266261581144554548e-11 1.173345396263583626e-11 1.890624434967074168e-10 4.660251847433111457e-11 3.416280143771654383e-11 2.335309510944760653e-11 1.462796730291730282e-11 1.178204175162637719e-11 1.719061577181271648e-10 4.090102647421598246e-11 2.807224221110441990e-11 1.798478456294773517e-11 1.355476189240711547e-11
1.800000000000000000e+01 3.898019278070251888e-10 7.975731814887155340e-11 5.074416301710856030e-11 4.630961956199433343e-11 4.171039755439708763e-11 2.334681581853248652e-11 2.754863483070601533e-11 1.503359234614833658e-11 7.203343287324651200e-12 2.122977966400175190e-11 2.387084684110838099e-10 5.916418109035743187e-11 4.750917571077942845e-11 3.744272427584193927e-11 3.004561267099866603e-11 2.357741598115033950e-11 1.563454975012721104e-11 1.263874567377720892e-11 1.317518952356256472e-11 2.157679905177074118e-10 5.599506390566345780e-11 4.360070161719154136e-11 3.350542834050597797e-11 2.315181351838030105e-11 1.805432296757197652e-11 1.218630750595164183e-11 1.374058198472704132e-11 2.009145412037943342e-10 5.296686884729773605e-11 3.815276705830059419e-11 2.858833359079116230e-11 2.090304104044799572e-11 1.307227078716761642e-11 1.226136474570992397e-11 1.862289795764897484e-10 4.685368152872896575e-11 3.478445436674619008e-11 2.388507782473323647e-11 1.508552454539217699e-11 1.230940325033590186e-11 1.702848434870220144e-10 4.136498853493296875e-11 2.872326168631738365e-11 1.850097141783501494e-11 1.416040432064477068e-11
1.900000000000000000e+01 3.804606424370442301e-10 7.752482707370529078e-11 5.055589878739084204e-11 4.584731123124391788e-11 4.159680877974792709e-11 2.336282169531534114e-11 2.808183824560831842e-11 1.557086482291706724e-11 7.312192720779965362e-12 2.191167912940975891e-11 2.334121622770188250e-10 5.820655680371718942e-11 4.749538802598853910e-11 3.741056832877238388e-11 3.035259386642822078e-11 2.404281707010058042e-11 1.599400990880543048e-11 1.315221829427575880e-11 1.358972432683861576e-11 2.112725788070245342e-10 5.543942769292379345e-11 4.377861967380997965e-11 3.378948537778602650e-11 2.348131576459367403e-11 1.843856140313509504e-11 1.267147350707649049e-11 1.426957713187744318e-11 1.972957084408533623e-10 5.281107617662535315e-11 3.847841670029773943e-11 2.900265948013741647e-11 2.140379801621318934e-11 1.343943044990231360e-11 1.274131587719898748e-11 1.833948460348649830e-10 4.704110540512139652e-11 3.531420591433816142e-11 2.434303050855595378e-11 1.549138984260063900e-11 1.278951077428329459e-11 1.685482506451199822e-10 4.174759077249369512e-11 2.928481505980562555e-11 1.895275746449798516e-11 1.471285881976273675e-11
2.000000000000000000e+01 3.715759920077323658e-10 7.547523121456354298e-11 5.037255256826907680e-11 4.536795359994120760e-11 4.144464854721214070e-11 2.334813814732992081e-11 2.853023443564262797e-11 1.607480246473008411e-11 7.400364504109060442e-12 2.252578922622038569e-11 2.283839121004060524e-10 5.730212050707256032e-11 4.743303934976887050e-11 3.733032316850328331e-11 3.059441328750206287e-11 2.445473558075210849e-11 1.631234313962928784e-11 1.363444451280928678e-11 1.395832986166650515e-11 2.069717975896083764e-10 5.488493289167501170e-11 4.388760449441919970e-11 3.400651140967874650e-11 2.376376621785211187e-11 1.877587785684596539e-11 1.312362670165516296e-11 1.474977805488047574e-11 1.937802771482369440e-10 5.261918052340423234e-11 3.873324226621914494e-11 2.935407412122838549e-11 2.184649650163499464e-11 1.376915924751913897e-11 1.317765242168823488e-11 1.805886757146325163e-10 4.717649382568347741e-11 3.576501378339052376e-11 2.473722718089792013e-11 1.585172624981247416e-11 1.322679194595022908e-11 1.667394613602896599e-10 4.206220415565921009e-11 2.976909613459076362e-11 1.934851231346753155e-11 1.521713618605595282e-11
2.100000000000000000e+01 3.631284357588987904e-10 7.358863795190984228e-11 5.019316424326310443e-11 4.487844059375776785e-11 4.126246255869964239e-11 2.330948715486746135e-11 2.890419759955697187e-11 1.654839198622134504e-11 7.470939170339276284e-12 2.307953551441534060e-11 2.236108166103656105e-10 5.644677571514788660e-11 4.733079926952850702e-11 3.721106979784746640e-11 3.078056793082714490e-11 2.482021456688778797e-11 1.659468763463710174e-11 1.408778031609428490e-11 1.428607997574236030e-11 2.028626006088628201e-10 5.433512264343568563e-11 4.393867521443453756e-11 3.416692154428942139e-11 2.400612156274491937e-11 1.907234318732302143e-11 1.354529031717969123e-11 1.518572826314691377e-11 1.903774951196513405e-10 5.239918119928448268e-11 3.892787072828291771e-11 2.965172254135334843e-11 2.223803823087425847e-11 1.406572764198172992e-11 1.357429956179613370e-11 1.778299103274228319e-10 4.726894604845873572e-11 3.614760184854604533e-11 2.507623695844283505e-11 1.617179402833269292e-11 1.362520217123065527e-11 1.648901915613576433e-10 4.231948937772622159e-11 3.018631011187910897e-11 1.969531917103717525e-11 1.567767027793595272e-11
