T	0->0	1->1	2->2	3->3	4->4	5->5	
7.000000000000000000e+01 1.605940119472873422e-09 1.668999657667300691e-09 1.674862855143055246e-09 1.695636540740556648e-09 1.734565903736971714e-09 1.771496988925445613e-09
7.100000000000000000e+01 1.592107293545345033e-09 1.654485243296850789e-09 1.660169003158048563e-09 1.680596976368534584e-09 1.718941386645054542e-09 1.755333681830471939e-09
7.200000000000000000e+01 1.578463128005124325e-09 1.640174398457001160e-09 1.645684704589733531e-09 1.665775729290045371e-09 1.703550003905488569e-09 1.739416068098870165e-09
7.300000000000000000e+01 1.565005359047838565e-09 1.626064339911101003e-09 1.631406942516482641e-09 1.651169469461599010e-09 1.688387896310173884e-09 1.723739908528513827e-09
7.400000000000000000e+01 1.551731689757709139e-09 1.612152277682933188e-09 1.617332703795172345e-09 1.636774884879226327e-09 1.673451246949192704e-09 1.708301018969848269e-09
7.500000000000000000e+01 1.538639795388188200e-09 1.598435418547549407e-09 1.603458982020666339e-09 1.622588683771670201e-09 1.658736282056506428e-09 1.693095270824319495e-09
7.600000000000000000e+01 1.525727328304092554e-09 1.584910969331041915e-09 1.589782780323296141e-09 1.608607596677876346e-09 1.644239271827111026e-09 1.678118591504666470e-09
7.700000000000000000e+01 1.512991922598799276e-09 1.571576140019078957e-09 1.576301114002552871e-09 1.594828378403927280e-09 1.629956531194439576e-09 1.663366964849821679e-09
7.800000000000000000e+01 1.500431198400326506e-09 1.558428146675684362e-09 1.563011012996906704e-09 1.581247809856521034e-09 1.615884420559259552e-09 1.648836431488931394e-09
7.900000000000000000e+01 1.488042765880204725e-09 1.545464214175055687e-09 1.549909524191099386e-09 1.567862699751686206e-09 1.602019346463375038e-09 1.634523089150467695e-09
8.000000000000000000e+01 1.475824228979008283e-09 1.532681578750294840e-09 1.536993713563386615e-09 1.554669886198769555e-09 1.588357762203210691e-09 1.620423092913703989e-09
8.100000000000000000e+01 1.463773188862328403e-09 1.520077490363824612e-09 1.524260668176203807e-09 1.541666238160877969e-09 1.574896168379873619e-09 1.606532655400919318e-09
8.200000000000000000e+01 1.451887247120740822e-09 1.507649214904930455e-09 1.511707498014447831e-09 1.528848656793836961e-09 1.561631113383565437e-09 1.592848046909610150e-09
8.300000000000000000e+01 1.440164008727077185e-09 1.495394036220398315e-09 1.499331337676176695e-09 1.516214076666511201e-09 1.548559193811270434e-09 1.579365595484775421e-09
8.400000000000000000e+01 1.428601084763964615e-09 1.483309257984605179e-09 1.487129347920990524e-09 1.503759466865873356e-09 1.535677054817547973e-09 1.566081686931970683e-09
8.500000000000000000e+01 1.417196094934258480e-09 1.471392205415696952e-09 1.475098717081674631e-09 1.491481831990718285e-09 1.522981390398992881e-09 1.552992764772367798e-09
8.600000000000000000e+01 1.405946669866559578e-09 1.459640226844644412e-09 1.463236662344926358e-09 1.479378213038223224e-09 1.510468943613508406e-09 1.540095330141464394e-09
8.700000000000000000e+01 1.394850453227608639e-09 1.448050695144056474e-09 1.451540430907113336e-09 1.467445688187823845e-09 1.498136506736038074e-09 1.527385941633437013e-09
8.800000000000000000e+01 1.383905103652881615e-09 1.436621009023654217e-09 1.440007301011101369e-09 1.455681373487046031e-09 1.485980921352767487e-09 1.514861215093382087e-09
8.900000000000000000e+01 1.373108296506270647e-09 1.425348594199246662e-09 1.428634582870171958e-09 1.444082423444024866e-09 1.473999078396115935e-09 1.502517823359890505e-09
9.000000000000000000e+01 1.362457725479264690e-09 1.414230904441980428e-09 1.417419619485031281e-09 1.432646031531496683e-09 1.462187918123055569e-09 1.490352495960544644e-09
9.100000000000000000e+01 1.351951104039567964e-09 1.403265422514480917e-09 1.406359787359797049e-09 1.421369430607032043e-09 1.450544430039445062e-09 1.478362018763003251e-09
9.200000000000000000e+01 1.341586166738653715e-09 1.392449661000361441e-09 1.395452497122769849e-09 1.410249893254250426e-09 1.439065652773198415e-09 1.466543233584408617e-09
9.300000000000000000e+01 1.331360670387268931e-09 1.381781163033376520e-09 1.384695194057605519e-09 1.399284732049663529e-09 1.427748673899141045e-09 1.454893037761864149e-09
9.400000000000000000e+01 1.321272395107479865e-09 1.371257502932304098e-09 1.374085358550382280e-09 1.388471299759711750e-09 1.416590629718466473e-09 1.443408383686709975e-09
9.500000000000000000e+01 1.311319145269386869e-09 1.360876286747413102e-09 1.363620506457843964e-09 1.377806989472421159e-09 1.405588704995673042e-09 1.432086278305311380e-09
9.600000000000000000e+01 1.301498750320229034e-09 1.350635152724152987e-09 1.353298189401920161e-09 1.367289234667983293e-09 1.394740132655853033e-09 1.420923782589011806e-09
9.700000000000000000e+01 1.291809065513165875e-09 1.340531771689464028e-09 1.343115994995423267e-09 1.356915509232394341e-09 1.384042193445148051e-09 1.409918010975834537e-09
9.800000000000000000e+01 1.282247972542649233e-09 1.330563847365877658e-09 1.333071547003613201e-09 1.346683327418162816e-09 1.373492215557121676e-09 1.399066130786450172e-09
9.900000000000000000e+01 1.272813380092883526e-09 1.320729116618332893e-09 1.323162505446110810e-09 1.336590243755889121e-09 1.363087574227725927e-09 1.388365361616829191e-09
1.000000000000000000e+02 1.263503224305528755e-09 1.311025349638405168e-09 1.313386566643441667e-09 1.326633852920399188e-09 1.352825691301443171e-09 1.377812974709917829e-09
