T	0->0	1->1	2->2	3->3	4->4	5->5	
1.000000000000000000e+00 1.822933781758147904e-09 2.036007539196128184e-09 1.595322898936746716e-09 1.143706144309879353e-09 5.860431167286943582e-10 1.729317954184128466e-10
2.000000000000000000e+00 2.044222652573047675e-09 2.297409272845565502e-09 2.204504976023312499e-09 2.074394527989165730e-09 1.755472876428181326e-09 1.092677235633961336e-09
3.000000000000000000e+00 2.183513216866602940e-09 2.449003940539807206e-09 2.453570906253474382e-09 2.452450031840717649e-09 2.362529998148869990e-09 1.852713365429881528e-09
4.000000000000000000e+00 2.291699471739636280e-09 2.561041815297152226e-09 2.599166900961794408e-09 2.650032372991783452e-09 2.680089298336314154e-09 2.336254995078755134e-09
5.000000000000000000e+00 2.380335830062617476e-09 2.648147325514881236e-09 2.698627888693276447e-09 2.772230691665331732e-09 2.863843418555351644e-09 2.644229418483105418e-09
6.000000000000000000e+00 2.453191791442504343e-09 2.715831770323277015e-09 2.770462922777030342e-09 2.854272950270326779e-09 2.977834827832646643e-09 2.845951146424490745e-09
7.000000000000000000e+00 2.511785328104696519e-09 2.766986320389922520e-09 2.822286687098935028e-09 2.910350441120962783e-09 3.050249937295318778e-09 2.980117525244408586e-09
8.000000000000000000e+00 2.557210347449613792e-09 2.803711942058942281e-09 2.858130370760620002e-09 2.947391266915736488e-09 3.095008593383524571e-09 3.068739510135608798e-09
9.000000000000000000e+00 2.590701074810435111e-09 2.827930220188785283e-09 2.880771572645444299e-09 2.969574520527757347e-09 3.119968541972200455e-09 3.125190363037217362e-09
1.000000000000000000e+01 2.613679458439019699e-09 2.841510495013300108e-09 2.892481557458622651e-09 2.979902760179390565e-09 3.130167610671664102e-09 3.158197078510118606e-09
1.100000000000000000e+01 2.627644903486824514e-09 2.846232626215617197e-09 2.895235926376569952e-09 2.980756801604477030e-09 3.129162595802435977e-09 3.173804460030248294e-09
1.200000000000000000e+01 2.634056853120788390e-09 2.843724606120140191e-09 2.890759550481818143e-09 2.974096783058394461e-09 3.119617751976388566e-09 3.176382262307617066e-09
1.300000000000000000e+01 2.634254691396853783e-09 2.835420759493055114e-09 2.880534282043587979e-09 2.961546015944680487e-09 3.103589977827432812e-09 3.169177726559731048e-09
1.400000000000000000e+01 2.629416939371903378e-09 2.822546690660387788e-09 2.865807940479636518e-09 2.944439476644131541e-09 3.082686895775927421e-09 3.154643863877903782e-09
1.500000000000000000e+01 2.620549465719903567e-09 2.806124575167823402e-09 2.847611753081945087e-09 2.923862867287642550e-09 3.058168073616101403e-09 3.134650338812446977e-09
1.600000000000000000e+01 2.608491717745090105e-09 2.786990679093998421e-09 2.826784200529313420e-09 2.900688844527992093e-09 3.031017811666956816e-09 3.110628136251199294e-09
1.700000000000000000e+01 2.593932543361351505e-09 2.765818644828793394e-09 2.803997662950801972e-09 2.875611037931523870e-09 3.002001349540629579e-09 3.083673762624197573e-09
1.800000000000000000e+01 2.577429994670614963e-09 2.743144235599318871e-09 2.779784966665113519e-09 2.849175131262228291e-09 2.971709785412183729e-09 3.054626798517952946e-09
1.900000000000000000e+01 2.559431722210497014e-09 2.719388998604144862e-09 2.754564012277887411e-09 2.821806357034389293e-09 2.940596404589897057e-09 3.024128799220551854e-09
2.000000000000000000e+01 2.540294100802273571e-09 2.694881543768552503e-09 2.728659561930139591e-09 2.793833137682480205e-09 2.909006073530828857e-09 2.992668550728768577e-09
2.100000000000000000e+01 2.520299207920058557e-09 2.669875924826147967e-09 2.702321878503531766e-09 2.765506946861881231e-09 2.877198910871328746e-09 2.960617050499266312e-09
2.200000000000000000e+01 2.499669364890134985e-09 2.644567075972971606e-09 2.675742283544294316e-09 2.737018685722540155e-09 2.845369222043901987e-09 2.928254613585355384e-09
2.300000000000000000e+01 2.478579282358942539e-09 2.619103508628282156e-09 2.649065901623912055e-09 2.708511982277390269e-09 2.813660536165408133e-09 2.895791885433780551e-09
2.400000000000000000e+01 2.457166019828217497e-09 2.593597588745710505e-09 2.622401946865031969e-09 2.680093858100154550e-09 2.782177463188556536e-09 2.863386117754981419e-09
2.500000000000000000e+01 2.435537039221921754e-09 2.568133750389833119e-09 2.595831926955908173e-09 2.651843194640465203e-09 2.750994980993269882e-09 2.831153756027680474e-09
2.600000000000000000e+01 2.413776646312665899e-09 2.542774991636384519e-09 2.569416121443183761e-09 2.623817393288843541e-09 2.720165663450047321e-09 2.799180155569119507e-09
2.700000000000000000e+01 2.391951097675113903e-09 2.517567966643746797e-09 2.543198653848971531e-09 2.596057573618692212e-09 2.689725272082412921e-09 2.767527064743130550e-09
2.800000000000000000e+01 2.370112620596136955e-09 2.492546946432356266e-09 2.517211433009478487e-09 2.568592602022751612e-09 2.659697056555986330e-09 2.736238374784540495e-09
2.900000000000000000e+01 2.348302558354073615e-09 2.467736878182229409e-09 2.491477194729878979e-09 2.541442193357701778e-09 2.630095042964597611e-09 2.705344526601317319e-09
3.000000000000000000e+01 2.326553818610990925e-09 2.443155732786358588e-09 2.466011833926484849e-09 2.514619283748248018e-09 2.600926533256449271e-09 2.674865879154648853e-09
3.100000000000000000e+01 2.304892770925344641e-09 2.418816294855666357e-09 2.440826181448045505e-09 2.488131834328442847e-09 2.572193993189255832e-09 2.644815276640018033e-09
3.200000000000000000e+01 2.283340711666310009e-09 2.394727518959010339e-09 2.415927349151830024e-09 2.461984193441627693e-09 2.543896468741661074e-09 2.615199998842001143e-09
3.300000000000000000e+01 2.261914991122411917e-09 2.370895550497517685e-09 2.391319741349915384e-09 2.436178118223828218e-09 2.516030640701022751e-09 2.586023237667089788e-09
3.400000000000000000e+01 2.240629878123277146e-09 2.347324488804909780e-09 2.367005809924646975e-09 2.410713534883569336e-09 2.488591603008634641e-09 2.557285210551618553e-09
3.500000000000000000e+01 2.219497221601894876e-09 2.324016953240748329e-09 2.342986613611184750e-09 2.385589099628025928e-09 2.461573431297347578e-09 2.528983996267403446e-09
3.600000000000000000e+01 2.198526955711621038e-09 2.300974499583654721e-09 2.319262228522015519e-09 2.360802608361922032e-09 2.434969592966136038e-09 2.501116159072929883e-09
3.700000000000000000e+01 2.177727484877621886e-09 2.278197923355019429e-09 2.295832046351440480e-09 2.336351292361112467e-09 2.408773238306082693e-09 2.473677211967249181e-09
3.800000000000000000e+01 2.157105977048469120e-09 2.255687478294173703e-09 2.272694988325759593e-09 2.312232028542600542e-09 2.382977402961190347e-09 2.446661958036676426e-09
3.900000000000000000e+01 2.136668587020440375e-09 2.233443031621139736e-09 2.249849656412699432e-09 2.288441486249327179e-09 2.357575144834361449e-09 2.420064739784838367e-09
4.000000000000000000e+01 2.116420626695364372e-09 2.211464172593463818e-09 2.227294438201324293e-09 2.264976227255186557e-09 2.332559632995794920e-09 2.393879619311135537e-09
4.100000000000000000e+01 2.096366695221679990e-09 2.189750286885942990e-09 2.205027577908231621e-09 2.241832771659149811e-09 2.307924201867491882e-09 2.368100506787031686e-09
4.200000000000000000e+01 2.076510778927739894e-09 2.168300606250793613e-09 2.183047222912169011e-09 2.219007639223842374e-09 2.283662380664406155e-09 2.342721250511278617e-09
4.300000000000000000e+01 2.056856328601137348e-09 2.147114240553964417e-09 2.161351452871141666e-09 2.196497373321777514e-09 2.259767905549925406e-09 2.317735698622101329e-09
4.400000000000000000e+01 2.037406319849408920e-09 2.126190197474552799e-09 2.139938296677855956e-09 2.174298552821472311e-09 2.236234720037418524e-09 2.293137740087166294e-09
4.500000000000000000e+01 2.018163300878159966e-09 2.105527393774680757e-09 2.118805741137721682e-09 2.152407795849971315e-09 2.213056967704894904e-09 2.268921330710537794e-09
4.600000000000000000e+01 1.999129430949341175e-09 2.085124660999794190e-09 2.097951734212170182e-09 2.130821758308948219e-09 2.190228980180673823e-09 2.245080508457990440e-09
4.700000000000000000e+01 1.980306511961941846e-09 2.064980747677879719e-09 2.077374184882958662e-09 2.109537129221345495e-09 2.167745262521953399e-09 2.221609401305814982e-09
4.800000000000000000e+01 1.961696014972340828e-09 2.045094319491369773e-09 2.057070961101572083e-09 2.088550624384294297e-09 2.145600477481480482e-09 2.198502229984722817e-09
4.900000000000000000e+01 1.943299102997428559e-09 2.025463958451458351e-09 2.037039886846047132e-09 2.067858979355266414e-09 2.123789429690815095e-09 2.175753307358619280e-09
5.000000000000000000e+01 1.925116651085335652e-09 2.006088161775391108e-09 2.017278738979946985e-09 2.047458942465781269e-09 2.102307050443714820e-09 2.153357035700855887e-09
5.100000000000000000e+01 1.907149264369326801e-09 1.986965340925587952e-09 1.997785244367644616e-09 2.027347268312791094e-09 2.081148383510698671e-09 2.131307902771757233e-09
5.200000000000000000e+01 1.889397294619129398e-09 1.968093821093843823e-09 1.978557077525147220e-09 2.007520712000516222e-09 2.060308572233184096e-09 2.109600477332831287e-09
5.300000000000000000e+01 1.871860855654456584e-09 1.949471841288098282e-09 1.959591858960438972e-09 1.987976024278554545e-09 2.039782848015495111e-09 2.088229404533598835e-09
5.400000000000000000e+01 1.854539837875384528e-09 1.931097555090817862e-09 1.940887154269166643e-09 1.968709947632904290e-09 2.019566520242239112e-09 2.067189401459837698e-09
5.500000000000000000e+01 1.837433922083859684e-09 1.912969032097354373e-09 1.922440473990992658e-09 1.949719213325449036e-09 1.999654967586997344e-09 2.046475253024644934e-09
5.600000000000000000e+01 1.820542592712617182e-09 1.895084260002472431e-09 1.904249274191885168e-09 1.931000539337125971e-09 1.980043630638144984e-09 2.026081808306196834e-09
5.700000000000000000e+01 1.803865150536611090e-09 1.877441147278049735e-09 1.886310957712446915e-09 1.912550629144825622e-09 1.960728005743333259e-09 2.006003977381096806e-09
5.800000000000000000e+01 1.787400724913279081e-09 1.860037526370564198e-09 1.868622876008075284e-09 1.894366171247908292e-09 1.941703639961048590e-09 1.986236728664024388e-09
5.900000000000000000e+01 1.771148285578427282e-09 1.842871157340295312e-09 1.851182331500033569e-09 1.876443839353776654e-09 1.922966127002670886e-09 1.966775086738652615e-09
6.000000000000000000e+01 1.755106654011693538e-09 1.825939731862813263e-09 1.833986580355196791e-09 1.858780293131016670e-09 1.904511104048911798e-09 1.947614130648260672e-09
6.100000000000000000e+01 1.739274514377553707e-09 1.809240877515572999e-09 1.817032835614497375e-09 1.841372179441235374e-09 1.886334249328760872e-09 1.928748992604585194e-09
6.200000000000000000e+01 1.723650424043325162e-09 1.792772162277024440e-09 1.800318270594706454e-09 1.824216133965836652e-09 1.868431280355626704e-09 1.910174857068371375e-09
6.300000000000000000e+01 1.708232823673478240e-09 1.776531099171592063e-09 1.783840022494184053e-09 1.807308783150376073e-09 1.850797952723337305e-09 1.891886960153367011e-09
6.400000000000000000e+01 1.693020046899078169e-09 1.760515151000626471e-09 1.767595196139999408e-09 1.790646746396399048e-09 1.833430059373329213e-09 1.873880589306112189e-09
6.500000000000000000e+01 1.678010329561743892e-09 1.744721735106336884e-09 1.751580867820805924e-09 1.774226638438083764e-09 1.816323430253191266e-09 1.856151083216040480e-09
6.600000000000000000e+01 1.663201818532708200e-09 1.729148228122638269e-09 1.735794089156850956e-09 1.758045071848439617e-09 1.799473932295460448e-09 1.838693831913515347e-09
6.700000000000000000e+01 1.648592580109147833e-09 1.713791970673451392e-09 1.720231890965123016e-09 1.742098659626888437e-09 1.782877469653869426e-09 1.821504277017077323e-09
6.800000000000000000e+01 1.634180607991636558e-09 1.698650271985153115e-09 1.704891287083963400e-09 1.726384017826748695e-09 1.766529984142091008e-09 1.804577912095116538e-09
6.900000000000000000e+01 1.619963830848298904e-09 1.683720414385603060e-09 1.689769278127190245e-09 1.710897768187277268e-09 1.750427455827237748e-09 1.787910283111110747e-09
