R,theta,E_cm
7.0,20.0,-0.7310239015492452
7.2,20.0,-0.6100940417613869
7.4,20.0,-0.5120922546051437
7.6,20.0,-0.4321301848873014
7.8,20.0,-0.3664695206723482
8.0,20.0,-0.3122309729009783
8.2,20.0,-0.2671809535954667
8.4,20.0,-0.2295733155154555
8.6,20.0,-0.19802910523605832
8.8,20.0,-0.17145358110698353
9.0,20.0,-0.14896840476758016
9.5,20.0,-0.10633918985660373
10.0,20.0,-0.07733627416955954
10.5,20.0,-0.057184772017447615
11.0,20.0,-0.04291760604115936
11.5,20.0,-0.03264487476271981
12.0,20.0,-0.025135112344590028
12.5,20.0,-0.01956923682672837
13.0,20.0,-0.01539131594287781
13.5,20.0,-0.01221969031695707
14.0,20.0,-0.009784616853903146
14.5,20.0,-0.007898451844580734
15.0,20.0,-0.006422487467299192
16.0,20.0,-0.004333087257360546
17.0,20.0,-0.0029940716297161885
18.0,20.0,-0.0021124428062701383
19.0,20.0,-0.0015178858089669235
20.0,20.0,-0.001108567831874865
21.0,20.0,-0.0008210562377186648
22.0,20.0,-0.0006158467594254091
23.0,20.0,-0.0004670429869598536
24.0,20.0,-0.0003575251570215698
25.0,20.0,-0.00027588113371763257
50.0,20.0,1.0972367879560352e-05
100.0,20.0,0.0
2.5,25.0,1968.65304908031
2.6,25.0,1465.4838610156419
2.7,25.0,1044.2724087095626
2.8,25.0,721.4436535336858
2.9,25.0,485.31469690568167
3.0,25.0,316.62161780372884
3.1,25.0,199.48345191839334
3.2,25.0,119.87406726769856
3.3,25.0,66.32251718657777
3.4,25.0,32.32242930129132
3.5,25.0,9.299607993104072
3.6,25.0,-5.866495626511499
3.7,25.0,-13.288804766972767
3.8,25.0,-17.08096358225879
3.9,25.0,-18.246203114112074
4.0,25.0,-18.24882517942955
4.1,25.0,-17.44390109521557
4.2,25.0,-16.20749998453856
4.3,25.0,-14.779208474729446
4.4,25.0,-13.307476349954399
4.5,25.0,-11.880213956556078
4.6,25.0,-10.545733806141813
4.7,25.0,-9.327053515596154
4.8,25.0,-8.23158343169591
4.9,25.0,-7.257450114633848
5.0,25.0,-6.4017106306266855
5.1,25.0,-5.646251739885815
5.2,25.0,-4.984695287302393
5.3,25.0,-4.406425506952942
5.4,25.0,-3.901425138466647
5.5,25.0,-3.4604896314749207
5.6,25.0,-3.0752800518866605
5.7,25.0,-2.73838781199711
5.8,25.0,-2.443295833670109
5.9,25.0,-2.1843693194476588
6.0,25.0,-1.9567451586918656
6.2,25.0,-1.5792988350327584
6.4,25.0,-1.2841947833583833
6.6,25.0,-1.0517031142845625
6.8,25.0,-0.8671756480757968
7.0,25.0,-0.7196474367681558
