R	Gamma	E
3.60	90	-78.720538284275
3.70	0	-78.720535525716
3.70	5	-78.72053546423
3.70	10	-78.720535448398
3.70	15	-78.72053569835
3.70	20	-78.720536344632
3.70	25	-78.720537243488
3.70	30	-78.720538118197
3.70	35	-78.72053886569
3.70	40	-78.720539658932
3.70	45	-78.720540721219
3.70	50	-78.720542069201
3.70	55	-78.720543486732
3.70	60	-78.720544661338
3.70	65	-78.720545339081
3.70	70	-78.720545425241
3.70	75	-78.720545020899
3.70	80	-78.720544384167
3.70	85	-78.72054385008
3.70	90	-78.720543637561
3.80	0	-78.72055442715
3.80	5	-78.720554364628
3.80	10	-78.720554270405
3.80	15	-78.720554154313
3.80	20	-78.720553933125
3.80	25	-78.720553371392
3.80	30	-78.720552267199
3.80	35	-78.720550716315
3.80	40	-78.720549128563
3.80	45	-78.720547926996
3.80	50	-78.72054726347
3.80	55	-78.720546997151
3.80	60	-78.72054685193
3.80	65	-78.720546581011
3.80	70	-78.720546068029
3.80	75	-78.7205453575
3.80	80	-78.720544618135
3.80	85	-78.720544046854
3.80	90	-78.72054388234
3.90	0	-78.720560771324
3.90	5	-78.720560734304
3.90	10	-78.720560657488
3.90	15	-78.720560412304
3.90	20	-78.720559775871
3.90	25	-78.72055846408
3.90	30	-78.720556334851
3.90	35	-78.720553602921
3.90	40	-78.720550792955
3.90	45	-78.720548414173
3.90	50	-78.72054668356
3.90	55	-78.720545511372
3.90	60	-78.720544660382
3.90	65	-78.720543905857
3.90	70	-78.720543127565
3.90	75	-78.72054233303
3.90	80	-78.720541644174
3.90	85	-78.720541126035
3.90	90	-78.720540976508
4.00	0	-78.720559409314
4.00	5	-78.720559415768
4.00	10	-78.72055939784
4.00	15	-78.720559143828
4.00	20	-78.72055836658
4.00	25	-78.720556770178
4.00	30	-78.72055425993
4.00	35	-78.720551106686
4.00	40	-78.720547858087
4.00	45	-78.720545026686
4.00	50	-78.720542844054
4.00	55	-78.72054125641
4.00	60	-78.720540070794
4.00	65	-78.720539098441
4.00	70	-78.720538231592
4.00	75	-78.720537478476
4.00	80	-78.720536809415
4.00	85	-78.72053640223
4.00	90	-78.720536292307
4.10	0	-78.720553683789
4.10	5	-78.720553706911
4.10	10	-78.720553736497
4.10	15	-78.720553557541
4.10	20	-78.720552781909
4.10	25	-78.720551187361
4.10	30	-78.720548701053
4.10	35	-78.720545604562
4.10	40	-78.720542409034
4.10	45	-78.72053957766
4.10	50	-78.720537325761
4.10	55	-78.720535625226
4.10	60	-78.720534330527
4.10	65	-78.720533320784
4.10	70	-78.720532424938
4.10	75	-78.720531707546
4.10	80	-78.720531181552
4.10	85	-78.7205308435
4.10	90	-78.720530759759
4.20	0	-78.720545796472
4.20	5	-78.720545829088
4.20	10	-78.720545911743
4.20	15	-78.720545767844
4.20	20	-78.72054509655
4.20	25	-78.720543677453
4.20	30	-78.720541444677
4.20	35	-78.720538644341
4.20	40	-78.720535772574
4.20	45	-78.720533195636
4.20	50	-78.720531120392
4.20	55	-78.720529488423
4.20	60	-78.72052822302
4.20	65	-78.720527191532
4.20	70	-78.72052638309
4.20	75	-78.720525769405
4.20	80	-78.720525319922
4.20	85	-78.720525063414
4.20	90	-78.7205250061
4.30	0	-78.720537236624
4.30	5	-78.720537288866
4.30	10	-78.720537379187
4.30	15	-78.720537270113
4.30	20	-78.720536713707
4.30	25	-78.720535476074
4.30	30	-78.720533561587
4.30	35	-78.720531196194
4.30	40	-78.720528759906
4.30	45	-78.720526552478
4.30	50	-78.720524719159
4.30	55	-78.720523261526
4.30	60	-78.720522114633
4.30	65	-78.720521219391
4.30	70	-78.720520510238
4.30	75	-78.720519982297
4.30	80	-78.720519622861
4.30	85	-78.720519413642
4.30	90	-78.720519373623
4.40	0	-78.720528953153
4.40	5	-78.720528999094
4.40	10	-78.720529073817
4.40	15	-78.720528980195
4.40	20	-78.720528478507
4.40	25	-78.720527440037
4.40	30	-78.720525850491
4.40	35	-78.720523919787
4.40	40	-78.720521932491
4.40	45	-78.720520119868
4.40	50	-78.720518591212
4.40	55	-78.72051735297
4.40	60	-78.720516365719
4.40	65	-78.720515586458
4.40	70	-78.720514989064
4.40	75	-78.720514558293
4.40	80	-78.720514270685
4.40	85	-78.720514102206
4.40	90	-78.720514078267
4.50	0	-78.720521484215
4.50	5	-78.720521511206
4.50	10	-78.720521535819
4.50	15	-78.720521400987
4.50	20	-78.720520929717
4.50	25	-78.720520017811
4.50	30	-78.720518695197
4.50	35	-78.720517131085
4.50	40	-78.720515541645
4.50	45	-78.720514093496
4.50	50	-78.720512862622
4.50	55	-78.720511854169
4.50	60	-78.720511043513
4.50	65	-78.720510405519
4.50	70	-78.720509926244
4.50	75	-78.720509586133
4.50	80	-78.720509359281
4.50	85	-78.720509228472
4.50	90	-78.720509223452
4.60	0	-78.720515070768
4.60	5	-78.72051506865
4.60	10	-78.720515013483
4.60	15	-78.720514793513
4.60	20	-78.7205142888
4.60	25	-78.720513434312
4.60	30	-78.720512311322
4.60	35	-78.720511028665
4.60	40	-78.720509758769
4.60	45	-78.720508615904
4.60	50	-78.720507646859
4.60	55	-78.720506851508
4.60	60	-78.72050621173
4.60	65	-78.720505715636
4.60	70	-78.720505346825
4.60	75	-78.720505087576
4.60	80	-78.720504917042
4.60	85	-78.720504829886
4.60	90	-78.720504787009
4.70	0	-78.720509745049
4.70	5	-78.720509706992
4.70	10	-78.72050955235
4.70	15	-78.720509214939
4.70	20	-78.720508631182
4.70	25	-78.720507782938
4.70	30	-78.720506760821
4.70	35	-78.720505681311
4.70	40	-78.720504645719
4.70	45	-78.720503737822
4.70	50	-78.720502980785
4.70	55	-78.720502365816
4.70	60	-78.720501881627
4.70	65	-78.720501511049
4.70	70	-78.720501237919
4.70	75	-78.720501059427
4.70	80	-78.720500925176
4.70	85	-78.720500859016
4.70	90	-78.720500828623
4.80	0	-78.720505402426
4.80	5	-78.720505322624
4.80	10	-78.720505063594
4.80	15	-78.720504592857
4.80	20	-78.720503901336
4.80	25	-78.720503023425
4.80	30	-78.720502036329
4.80	35	-78.720501073386
4.80	40	-78.720500194389
4.80	45	-78.720499454297
4.80	50	-78.720498857287
4.80	55	-78.7204983889
4.80	60	-78.720498031524
4.80	65	-78.720497762905
4.80	70	-78.720497580724
4.80	75	-78.7204974365
4.80	80	-78.72049734889
4.80	85	-78.720497307514
4.80	90	-78.72049728395
4.90	0	-78.720501859514
4.90	5	-78.72050174261
4.90	10	-78.720501379378
4.90	15	-78.720500776269
4.90	20	-78.720499967996
4.90	25	-78.720499015314
4.90	30	-78.720498038827
4.90	35	-78.720497134612
4.90	40	-78.720496347701
4.90	45	-78.720495720101
4.90	50	-78.720495242395
4.90	55	-78.720494885781
4.90	60	-78.720494623648
4.90	65	-78.720494434609
4.90	70	-78.720494303594
