R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,-26637866.223405253,-39085958.18120875,-63415033.78988869,-39410855.760240555,-35158119.10417542,-16008409.254533844,-12080586.285225263,-9295992.458425172,-5671870.814444978,-5598658.732119464,-778304.348996314,-450046.18107345636,3969098.828122628,669620.9667117787,962097.9486546706,3797036.7323789853,-2424615.625679613,17754239.053959932,796187.3245396544
1.1,-16625432.342890063,-24696275.779623654,-39962089.916332096,-25061877.07961131,-22303943.81601445,-10287108.062705062,-7701804.080513081,-5937889.75232065,-3609707.4110272857,-3567849.3973555434,-507892.08622563863,-301369.61691324686,2494304.4653027193,437201.145227147,612885.535676381,2430740.7213019156,-1494913.6902687082,11292780.043944016,507904.61369780044
1.2,-10324961.041200792,-15546009.133007638,-25075895.40488611,-15885111.262357974,-14096450.031536147,-6593719.959828493,-4893680.555324712,-3782299.894870465,-2289518.7003690754,-2266857.3444899297,-330570.75570670026,-201395.7836972198,1560785.4459672405,284703.7191993014,389280.12406550517,1551558.3742430378,-915667.1397941688,7159067.27235351,323182.34283931315
1.3,-6377256.434479119,-9746685.603180017,-15661882.291951036,-10033230.883820204,-8872836.341314035,-4214866.7451712405,-3098054.514298308,-2402103.0251616486,-1446841.3203825955,-1435653.260339235,-214542.35583124481,-134285.90163540942,972113.4213053015,184862.69495649624,246482.70566721863,987270.0560629478,-556767.1112918634,4522283.024891416,205098.2428016244
1.4,-3915279.134894412,-6084230.797884011,-9732230.091203317,-6313206.788517509,-5559967.185067239,-2686404.510105316,-1953474.3699237285,-1520753.1854266056,-910679.970803055,-906125.4565668912,-138799.49828941756,-89321.0730203625,602416.0813311574,119652.27038571736,155548.05285324648,626087.3472514101,-335757.8648453551,2845655.94476311,129799.95291925209
1.5,-2387726.2386023346,-3780150.7405919367,-6013568.077110401,-3956317.262541176,-3466946.323888645,-1706886.7030410327,-1226384.4222836653,-959559.5864710917,-570723.4044897136,-569821.4403061258,-89483.55541372494,-59255.45011481305,371267.746962271,77172.72232699973,97814.33914979319,395590.99249456613,-200592.54784826306,1783179.8095122948,81909.48592191508
1.6,-1445280.9198459254,-2336642.6547962287,-3692625.364657511,-2468448.509659426,-2150133.6759787793,-1080906.5767144903,-766225.7576171897,-603310.598147837,-355981.57918581384,-356936.6734430995,-57466.409005880145,-39197.03744713588,227441.62695608326,49581.02609968164,61277.20216483501,248965.24368714815,-118562.84001713352,1112361.5353051967,51533.45668330461
1.7,-867449.782698098,-1436340.7171277255,-2251665.070947195,-1532828.4888874923,-1325466.186237815,-682053.7895236765,-476189.30580903805,-377894.42959339474,-220889.16749450893,-222652.2304764527,-36746.21021521913,-25847.5847070643,138419.5606062699,31717.022063953464,38233.52866400122,156014.60021301772,-69212.86774027685,690506.6432608207,32321.223987749494
1.8,-515630.3239920969,-877564.6951953941,-1362248.5785806447,-946948.4969102746,-811617.7848260651,-428730.8599245369,-294198.459652501,-235754.81059538393,-136282.6707985069,-138267.03261860416,-23384.25340750851,-16986.74777797411,83635.19786379821,20192.301299678296,23753.113264700747,97310.9829146938,-39817.87477983103,426357.7635271077,20205.870909914665
1.9,-303090.65351552796,-532595.4458843722,-816821.0762969061,-581738.8566031395,-493229.8391868458,-268390.07722249563,-180566.93584721233,-146455.91365356842,-83553.58752576461,-85453.17310647144,-14801.253178480483,-11122.318552080495,50133.08932367536,12786.6608056849,14689.229771804396,60387.09475142268,-22509.379261734342,261731.1198476335,12589.42902714651
