R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3.3,-310.7652932188438,-18140.967486401772,-2072.5669401678692,-33079.834525166894,-3585.585789252721,-32971.5578592444,-660.9899935187377,-23091.990798442002,4585.160685270249,-12138.183522054787,8113.445838333232,-5718.618601229666,7888.977747709308,-4811.313629954041,4482.201632302667,-8251.892748935938,-557.2645333724698,-20504.815549257597,-1742.6413818147573
3.4,576.884743243489,-10530.13741817324,1898.2751981484819,-19476.84001819474,1205.083058441215,-19819.935762575155,1998.9228898190177,-14264.236242162153,4076.408869961251,-7753.753363894618,5466.482423098778,-3757.396155398599,4968.3243639830025,-3035.716823235643,2792.107090212054,-4985.408630892543,-259.0518832285802,-12290.145298258996,-1006.0135392482686
3.5,891.1610488785178,-6039.101471362348,3426.3683544797927,-11363.397056376283,3176.34336673489,-11847.36024993506,2953.790772405045,-8794.285280816648,3409.297360022617,-4956.8178423080035,3702.4095794012787,-2472.179344954429,3135.1306714766633,-1915.8115742130708,1737.4455953603976,-2993.340661596702,-101.3431265028927,-7302.908724569822,-571.0372395421227
3.6,917.0953259528147,-3412.803663427317,3701.657340434466,-6559.184835276707,3676.042930813274,-7038.692260949797,3040.667571207216,-5412.765304083597,2739.5599757729315,-3172.1039606388567,2520.1683032487385,-1628.9358275869001,1984.14365832966,-1209.994412203054,1080.772741810131,-1785.8013053412928,-22.617238610723785,-4298.182620170691,-317.48008875439587
3.7,813.3845577945351,-1892.6212601608156,3392.786681111478,-3736.8263860877714,3468.713155356667,-4153.243230434591,2730.9424925282156,-3326.496244271833,2139.3200899949543,-2032.548619859646,1723.3029709039035,-1074.8977451876015,1260.6696033692356,-765.2864327334551,672.6444236511826,-1058.4879131660714,13.003906990440843,-2503.1449473356247,-171.92404901531506
3.8,664.846723650775,-1023.148346689788,2861.7629410032896,-2093.1701780919716,2973.3941515356296,-2430.913301408688,2279.7389851270486,-2041.4389696942221,1634.571128353099,-1304.1779097365863,1183.117328018915,-710.3048460551557,804.9650674607875,-485.02266445947595,419.30431661446636,-623.3507429064255,26.062347764451374,-1440.8059528929325,-89.90542128185086
3.9,514.0089208980735,-533.0160586848082,2293.799820602469,-1145.4135167273898,2408.330612991431,-1408.415723520552,1816.89633232787,-1250.8423734621472,1227.2865242594644,-837.964332907278,814.9148984920182,-469.97169840704885,517.0122304688631,-308.2378530704329,262.122536157084,-364.82696550708954,28.04439394519515,-818.6348959329629,-44.748200145757764
4.0,379.878259310094,-261.8004315908082,1774.869900579072,-605.3179383242837,1877.950024228277,-804.8574877064914,1401.673880819774,-764.8141353770626,908.1350019810569,-539.0273992008781,562.6609951636482,-311.26806723545025,334.2689699925281,-196.54638720402033,164.55204857718783,-212.32572196008502,25.171536581797184,-458.4892165246016,-20.621128315153985
4.1,268.91209001098247,-115.4726328077933,1337.298501628024,-302.042913537563,1424.369437603985,-450.83882356132045,1055.1209383087196,-466.12707505926716,663.5348017190324,-346.9629197563588,389.0649193139306,-206.2831357145375,217.65426221338086,-125.81246782757633,103.88091351004627,-123.0063274681674,20.663382622333767,-252.73468991855174,-8.24768698503639
4.2,181.29251590660883,-39.42737870215873,986.0315964724961,-135.09370532524986,1057.3199135564544,-244.7407631306645,778.8385190743008,-282.58670508333734,479.35855882093267,-223.2998343640772,269.1519294715275,-136.71769389224136,142.74552499990793,-80.87465201966927,66.03474666720825,-71.05076029719834,16.07059782192988,-136.9078789992292,-2.2738573620721585
4.3,114.41190236489086,-2.271682374688777,713.3652740170606,-45.818805345064774,771.0979273361243,-125.91899993228225,565.5545226315837,-169.8166487375094,342.7044478976537,-143.51348402360216,186.08407990692058,-90.55423760718396,94.26463907035726,-52.21299613527277,42.312972184222424,-41.016379273737975,12.047327267401123,-72.7811391402774,0.3341419572290159
4.4,64.7294978448924,13.842839304295948,506.89519183368003,-0.2650221713411339,553.8354434881113,-58.35795500942232,404.8518913887865,-100.57359570291644,242.58859528892427,-91.94643059496747,128.43244310046563,-59.88543168268595,62.63279620589072,-33.84849510865306,27.34691746631631,-23.740427263118324,8.789667249332686,-37.93779343286091,1.2563080301944958
4.5,28.697233896131944,18.936848825802066,353.56288953977025,21.058414890939837,392.3086307318033,-20.762079490328805,286.0856424733422,-58.139260927441526,170.06611372397128,-58.581441947583876,88.38810293948586,-39.49716996941857,41.822839757582365,-22.022177480118966,17.827155367076635,-13.8324501247661,6.277933104532204,-19.399898424993577,1.3956727276024408
4.6,3.1690994282508793,18.55334685067523,241.51594364866418,29.242418171835748,274.22075990874225,-0.5859919327699938,199.7142956766851,-32.24808360067382,118.0748237746743,-36.99247752587654,60.58218828333236,-25.94322492535785,28.022913458960375,-14.366179190488747,11.713327435128756,-8.149431517697424,4.4056192684635445,-9.76388266474856,1.2183288937618149
