R	Gamma	E
2.40	80	1034.167444
2.40	90	936.693376
2.40	100	1132.270354
2.40	110	1726.943661
2.40	120	3050.070629
2.40	130	5933.501571
2.40	140	12644.437922
2.40	150	29389.907342
2.40	160	70431.267815
2.40	170	180853.712199
2.40	180	1303905.89841
2.50	0	58515.052231
2.50	10	41093.078614
2.50	20	26619.005999
2.50	30	14743.081056
2.50	40	7397.339151
2.50	50	3586.618022
2.50	60	1803.503692
2.50	70	1009.970152
2.50	80	686.380022
2.50	90	619.841191
2.50	100	767.1141
2.50	110	1212.190649
2.50	120	2213.27534
2.50	130	4427.65052
2.50	140	9672.002426
2.50	150	23068.720767
2.50	160	56444.285405
2.50	170	142026.133131
2.50	180	506009.430534
2.60	0	53079.078406
2.60	10	29748.924781
2.60	20	19475.698076
2.60	30	10785.487348
2.60	40	5357.372545
2.60	50	2555.484161
2.60	60	1249.895364
2.60	70	675.322521
2.60	80	445.064651
2.60	90	400.339753
2.60	100	510.163834
2.60	110	840.204916
2.60	120	1590.474608
2.60	130	3272.660949
2.60	140	7317.834791
2.60	150	17805.990562
2.60	160	44172.505168
2.60	170	106760.403914
2.60	180	247236.638787
2.70	0	24736.645788
2.70	10	21195.890439
2.70	20	14062.015525
2.70	30	7781.624908
2.70	40	3839.962314
2.70	50	1800.194543
2.70	60	853.27286
2.70	70	441.51411
2.70	80	279.514282
2.70	90	249.997843
2.70	100	331.129209
2.70	110	573.568218
2.70	120	1130.383145
2.70	130	2394.631758
2.70	140	5473.910676
2.70	150	13529.743259
2.70	160	33859.078322
2.70	170	78390.112557
2.70	180	143389.770181
2.80	0	17333.889429
2.80	10	14975.108404
2.80	20	10016.695463
2.80	30	5553.088097
2.80	40	2723.290689
2.80	50	1251.935335
2.80	60	571.851024
2.80	70	280.002875
2.80	80	167.400623
2.80	90	148.371013
2.80	100	207.753
2.80	110	384.121791
2.80	120	793.21277
2.80	130	1733.109368
2.80	140	4047.760065
2.80	150	10144.829157
2.80	160	25477.707767
2.80	170	56826.278208
2.80	180	90522.143117
2.90	0	12072.537773
2.90	10	10478.887926
2.90	20	7060.02537
2.90	30	3923.634215
2.90	40	1909.452122
2.90	50	857.716949
2.90	60	374.304743
2.90	70	169.862306
2.90	80	92.626036
2.90	90	80.747851
2.90	100	123.812232
2.90	110	250.825806
2.90	120	548.250491
2.90	130	1239.283172
2.90	140	2958.188365
2.90	150	7508.137356
2.90	160	18872.732751
2.90	170	40822.667318
2.90	180	59970.920848
3.00	0	8352.028239
3.00	10	7276.82291
3.00	20	4933.463382
3.00	30	2744.493691
3.00	40	1321.970037
3.00	50	577.151362
3.00	60	237.306136
3.00	70	95.867723
3.00	80	43.683927
3.00	90	36.624349
3.00	100	67.568714
3.00	110	158.075089
3.00	120	371.952998
3.00	130	874.20112
3.00	140	2135.486266
3.00	150	5486.605801
3.00	160	13790.265818
3.00	170	29099.803034
3.00	180	40726.038277
3.10	0	5746.307654
3.10	10	5020.556805
3.10	20	3418.408583
3.10	30	1898.87674
3.10	40	901.995896
3.10	50	379.689745
3.10	60	143.572051
3.10	70	47.038305
3.10	80	12.427874
3.10	90	8.56268
3.10	100	30.593388
3.10	110	94.364093
3.10	120	246.374219
3.10	130	607.032934
3.10	140	1521.373282
3.10	150	3959.30243
3.10	160	9948.39554
3.10	170	20586.930497
3.10	180	27963.047025
3.20	0	3930.199851
3.20	10	3439.913113
3.20	20	2346.850985
3.20	30	1297.778549
3.20	40	604.834709
3.20	50	242.410113
3.20	60	80.411074
3.20	70	15.542006
3.20	80	-6.858966
3.20	90	-8.654331
3.20	100	6.879117
3.20	110	51.268402
3.20	120	157.944671
3.20	130	413.625685
3.20	140	1068.217445
3.20	150	2820.859004
3.20	160	7090.645488
3.20	170	14445.969967
3.20	180	19247.092676
3.30	0	2668.907232
3.30	10	2337.822967
3.30	20	1594.26199
3.30	30	874.329283
3.30	40	396.872688
3.30	50	148.230274
3.30	60	38.605696
3.30	70	-4.145272
3.30	80	-18.149109
3.30	90	-18.646386
3.30	100	-7.814328
3.30	110	22.661785
3.30	120	96.476449
3.30	130	275.220674
3.30	140	737.727925
3.30	150	1982.944047
3.30	160	4994.24336
3.30	170	10049.886106
3.30	180	13216.09471
3.40	0	1796.523182
3.40	10	1573.368769
3.40	20	1069.570628
3.40	30	578.884795
3.40	40	253.070439
3.40	50	84.561946
3.40	60	11.560279
3.40	70	-15.877293
3.40	80	-24.175371
3.40	90	-23.8961
3.40	100	-16.446319
3.40	110	4.13091
3.40	120	54.391041
3.40	130	177.417325
3.40	140	499.618764
3.40	150	1373.715644
3.40	160	3475.428577
3.40	170	6928.908797
3.40	180	9027.782908
3.50	0	1196.154578
3.50	10	1046.241245
3.50	20	706.683145
3.50	30	374.901283
3.50	40	154.917345
3.50	50	42.249423
3.50	60	-5.383058
3.50	70	-22.319698
3.50	80	-26.801099
3.50	90	-26.086813
3.50	100	-21.058222
3.50	110	-7.471047
3.50	120	26.096401
3.50	130	109.26813
3.50	140	330.248613
3.50	150	936.064129
3.50	160	2387.854648
3.50	170	4732.051395
3.50	180	6124.257744
3.60	0	785.494736
3.60	10	685.287684
3.60	20	457.96483
3.60	30	235.682551
3.60	40	88.878437
3.60	50	14.737589
3.60	60	-15.480492
3.60	70	-25.304577
3.60	80	-27.284816
3.60	90	-26.350771
3.60	100	-23.043078
3.60	110	-14.360584
3.60	120	7.508528
3.60	130	62.545493
3.60	140	211.426579
3.60	150	625.49742
3.60	160	1617.831889
3.60	170	3198.194784
3.60	180	4120.533509
3.70	0	506.676248
3.70	10	440.152962
3.70	20	289.228997
3.70	30	141.855501
3.70	40	45.184494
3.70	50	-2.60982
3.70	60	-20.997071
3.70	70	-26.08455
3.70	80	-26.470454
3.70	90	-25.445189
3.70	100	-23.345937
3.70	110	-18.081176
3.70	120	-4.324843
3.70	130	31.125148
3.70	140	129.32915
3.70	150	407.910753
3.70	160	1078.658041
3.70	170	2136.00395
3.70	180	2745.151697
3.80	0	319.051297
3.80	10	275.274377
3.80	20	176.055159
3.80	30	79.506055
3.80	40	16.886826
3.80	50	-13.047268
3.80	60	-23.505171
3.80	70	-25.512447
3.80	80	-24.918942
3.80	90	-23.874442
3.80	100	-22.606076
3.80	110	-19.699017
3.80	120	-11.513241
3.80	130	10.498749
3.80	140	73.588012
3.80	150	257.554775
3.80	160	705.344157
3.80	170	1406.869439
3.80	180	1807.052793
3.90	0	194.095561
3.90	10	165.587452
3.90	20	101.10946
3.90	30	38.767819
3.90	40	-0.902057
3.90	50	-18.852704
3.90	60	-24.094208
3.90	70	-24.162853
3.90	80	-22.998241
3.90	90	-21.972031
3.90	100	-21.256763
3.90	110	-19.948128
3.90	120	-15.546906
3.90	130	-2.61445
3.90	140	36.515593
3.90	150	155.241822
3.90	160	449.880047
3.90	170	910.964736
3.90	180	1172.025566
4.00	0	111.865033
4.00	10	93.534445
4.00	20	52.223702
4.00	30	12.734271
4.00	40	-11.598356
4.00	50	-21.618113
4.00	60	-23.514268
4.00	70	-22.416172
4.00	80	-20.943021
4.00	90	-19.95338
4.00	100	-19.590401
4.00	110	-19.333317
4.00	120	-17.468731
4.00	130	-10.573569
4.00	140	12.480458
4.00	150	86.849735
4.00	160	277.277222
4.00	170	576.969982
4.00	180	745.801577
4.10	0	58.522081
4.10	10	46.927354
4.10	20	20.95519
4.10	30	-3.385192
4.10	40	-17.580489
4.10	50	-22.449382
4.10	60	-22.272946
4.10	70	-20.51581
4.10	80	-18.898436
4.10	90	-17.953021
4.10	100	-17.802297
4.10	110	-18.203001
4.10	120	-18.003103
4.10	130	-15.051439
4.10	140	-2.586969
4.10	150	42.10828
4.10	160	162.334265
4.10	170	354.408607
4.10	180	462.426441
4.20	0	24.559143
4.20	10	17.39136
4.20	20	1.498507
4.20	30	-12.898394
4.20	40	-20.495484
4.20	50	-22.104224
4.20	60	-20.702861
4.20	70	-18.609679
4.20	80	-16.947857
4.20	90	-16.050304
4.20	100	-16.018771
4.20	110	-16.797655
4.20	120	-17.650837
4.20	130	-17.219599
4.20	140	-11.583977
4.20	150	13.630272
4.20	160	87.111669
4.20	170	207.927631
4.20	180	276.090586
4.30	0	3.495135
4.30	10	-0.787532
4.30	20	-10.121454
4.30	30	-18.080123
4.30	40	-21.472412
4.30	50	-21.089308
4.30	60	-19.012169
4.30	70	-16.782268
4.30	80	-15.13544
4.30	90	-14.287302
4.30	100	-14.316547
4.30	110	-15.280818
4.30	120	-16.758164
4.30	130	-17.888772
4.30	140	-16.541253
4.30	150	-3.83399
4.30	160	38.974099
4.30	170	112.99113
4.30	180	155.219327
4.40	0	-9.069082
4.40	10	-11.493644
4.40	20	-16.616936
4.40	30	-20.483782
4.40	40	-21.272285
4.40	50	-19.730934
4.40	60	-17.323338
4.40	70	-15.076037
4.40	80	-13.480716
4.40	90	-12.682286
4.40	100	-12.737904
4.40	110	-13.761098
4.40	120	-15.563363
4.40	130	-17.613599
4.40	140	-18.860757
4.40	150	-13.969633
4.40	160	9.103034
4.40	170	52.703194
4.40	180	78.188371
4.50	0	-16.111228
4.50	10	-17.358295
4.50	20	-19.827616
4.50	30	-21.157218
4.50	40	-20.395437
4.50	50	-18.230752
4.50	60	-15.703333
4.50	70	-13.50965
4.50	80	-11.988164
4.50	90	-11.239221
4.50	100	-11.30146
4.50	110	-12.306296
4.50	120	-14.229663
4.50	130	-16.770713
4.50	140	-19.499052
4.50	150	-19.325482
4.50	160	-8.615961
4.50	170	15.505594
4.50	180	30.278076
4.60	0	-19.636623
4.60	10	-20.152737
4.60	20	-20.987966
4.60	30	-20.794862
4.60	40	-19.161915
4.60	50	-16.707621
4.60	60	-14.185977
4.60	70	-12.088009
4.60	80	-10.654402
4.60	90	-9.95368
4.60	100	-10.011162
4.60	110	-10.954891
4.60	120	-12.866209
4.60	130	-15.613218
4.60	140	-19.102057
4.60	150	-21.637165
4.60	160	-18.395055
4.60	170	-6.479698
4.60	180	1.523512
4.70	0	-20.981859
4.70	10	-21.055499
4.70	20	-20.913273
4.70	30	-19.846716
4.70	40	-17.769731
4.70	50	-15.228341
4.70	60	-12.786476
4.70	70	-10.808999
4.70	80	-9.471253
4.70	90	-8.816408
4.70	100	-8.862299
4.70	110	-9.724459
4.70	120	-11.54333
4.70	130	-14.30939
4.70	140	-18.101653
4.70	150	-22.06564
4.70	160	-23.112928
4.70	170	-18.606177
4.70	180	-14.79831
4.80	0	-21.020943
4.80	10	-20.834842
4.80	20	-20.130561
4.80	30	-18.597824
4.80	40	-16.338314
4.80	50	-13.828916
4.80	60	-11.509983
4.80	70	-9.666802
4.80	80	-8.427515
4.80	90	-7.816066
4.80	100	-7.846176
4.80	110	-8.619642
4.80	120	-10.302926
4.80	130	-12.96994
4.80	140	-16.783783
4.80	150	-21.374999
4.80	160	-24.71064
4.80	170	-24.49421
4.80	180	-23.209597
4.90	0	-20.311286
4.90	10	-19.980153
4.90	20	-18.972792
4.90	30	-17.224144
4.90	40	-14.937358
4.90	50	-12.528485
4.90	60	-10.356772
4.90	70	-8.653687
4.90	80	-7.511502
4.90	90	-6.939827
4.90	100	-6.951432
4.90	110	-7.636685
4.90	120	-9.166655
4.90	130	-11.665393
4.90	140	-15.333537
4.90	150	-20.06259
4.90	160	-24.469399
4.90	170	-26.565597
4.90	180	-26.730299
5.00	0	-19.199189
5.00	10	-18.794933
5.00	20	-17.644733
5.00	30	-15.831439
5.00	40	-13.606791
5.00	50	-11.335922
5.00	60	-9.323558
5.00	70	-7.760019
5.00	80	-6.710455
5.00	90	-6.175045
5.00	100	-6.166577
5.00	110	-6.767543
5.00	120	-8.141926
5.00	130	-10.437909
5.00	140	-13.867263
5.00	150	-18.448391
5.00	160	-23.210139
5.00	170	-26.41047
5.00	180	-27.346151
5.10	0	-17.895595
5.10	10	-17.463822
5.10	20	-16.270038
5.10	30	-14.481403
5.10	40	-12.368121
5.10	50	-10.254493
5.10	60	-8.40491
5.10	70	-6.975375
5.10	80	-6.011963
5.10	90	-5.509376
5.10	100	-5.480355
5.10	110	-6.002167
5.10	120	-7.227399
5.10	130	-9.310099
5.10	140	-12.455456
5.10	150	-16.735471
5.10	160	-21.441655
5.10	170	-25.041055
5.10	180	-26.331228
5.20	0	-16.527331
5.20	10	-16.096408
5.20	20	-14.920489
5.20	30	-13.208005
5.20	40	-11.231638
5.20	50	-9.283266
5.20	60	-7.593185
5.20	70	-6.288894
5.20	80	-5.403715
5.20	90	-4.930669
5.20	100	-4.881796
5.20	110	-5.330132
5.20	120	-6.416669
5.20	130	-8.290021
5.20	140	-11.13748
5.20	150	-15.046592
5.20	160	-19.472716
5.20	170	-23.076554
5.20	180	-24.475907
5.30	0	-15.17017
5.30	10	-14.757528
5.30	20	-13.636081
5.30	30	-12.028382
5.30	40	-10.200905
5.30	50	-8.417895
5.30	60	-6.879314
5.30	70	-5.689127
5.30	80	-4.874432
5.30	90	-4.428051
5.30	100	-4.360678
5.30	110	-4.741366
5.30	120	-5.700339
5.30	130	-7.377004
5.30	140	-9.931831
5.30	150	-13.451536
5.30	160	-17.487328
5.30	170	-20.884124
5.30	180	-22.254316
5.40	0	-13.868489
5.40	10	-13.484108
5.40	20	-12.438004
5.40	30	-10.950121
5.40	40	-9.275114
5.40	50	-7.65198
5.40	60	-6.252782
5.40	70	-5.165201
5.40	80	-4.413443
5.40	90	-3.991485
5.40	100	-3.90781
5.40	110	-4.226371
5.40	120	-5.069108
5.40	130	-6.564325
5.40	140	-8.843971
5.40	150	-11.983359
5.40	160	-15.591211
5.40	170	-18.675606
5.40	180	-19.943621
5.50	0	-12.647697
5.50	10	-12.296404
5.50	20	-11.336228
5.50	30	-9.974537
5.50	40	-8.450013
5.50	50	-6.976756
5.50	60	-5.703179
5.50	70	-4.706735
5.50	80	-4.011394
5.50	90	-3.612108
5.50	100	-3.514212
5.50	110	-3.776531
5.50	120	-4.51315
5.50	130	-5.84321
5.50	140	-7.871186
5.50	150	-10.65331
5.50	160	-13.839283
5.50	170	-16.571633
5.50	180	-17.702681
5.60	0	-11.521516
5.60	10	-11.204778
5.60	20	-10.334475
5.60	30	-9.099181
5.60	40	-7.718566
5.60	50	-6.382025
5.60	60	-5.220058
5.60	70	-4.304619
5.60	80	-3.660306
5.60	90	-3.281726
5.60	100	-3.171864
5.60	110	-3.383939
5.60	120	-4.024129
5.60	130	-5.204089
5.60	140	-7.005713
5.60	150	-9.46065
5.60	160	-12.253415
5.60	170	-14.635447
5.60	180	-15.618868
5.70	0	-10.496028
5.70	10	-10.213276
5.70	20	-9.431683
5.70	30	-8.318816
5.70	40	-7.07192
5.70	50	-5.857692
5.70	60	-4.794009
5.70	70	-3.950826
5.70	80	-3.352677
5.70	90	-2.993612
5.70	100	-2.874153
5.70	110	-3.041399
5.70	120	-3.594265
5.70	130	-4.637784
5.70	140	-6.237628
5.70	150	-8.3983
5.70	160	-10.836182
5.70	170	-12.892981
5.70	180	-13.734442
5.80	0	-9.572252
5.80	10	-9.321493
5.80	20	-8.624348
5.80	30	-7.625896
5.80	40	-6.500102
5.80	50	-5.393692
5.80	60	-4.416911
5.80	70	-3.638531
5.80	80	-3.082435
5.80	90	-2.741651
5.80	100	-2.61452
5.80	110	-2.742675
5.80	120	-3.216789
5.80	130	-4.136415
5.80	140	-5.556523
5.80	150	-7.456492
5.80	160	-9.579268
5.80	170	-11.348132
5.80	180	-12.062167
5.90	0	-8.747119
5.90	10	-8.525592
5.90	20	-7.905892
5.90	30	-7.011455
5.90	40	-5.992795
5.90	50	-4.981475
5.90	60	-4.081821
5.90	70	-3.361951
5.90	80	-2.844413
5.90	90	-2.520815
5.90	100	-2.387899
5.90	110	-2.482016
5.90	120	-2.885681
5.90	130	-3.693103
5.90	140	-4.952495
5.90	150	-6.623983
5.90	160	-8.470884
5.90	170	-9.991063
5.90	180	-10.596507
6.00	0	-8.014473
6.00	10	-7.818811
6.00	20	-7.268035
6.00	30	-6.465607
6.00	40	-5.540973
6.00	50	-4.613266
6.00	60	-3.782972
6.00	70	-3.116393
6.00	80	-2.634211
6.00	90	-2.326552
6.00	100	-2.189594
6.00	110	-2.254285
6.00	120	-2.595285
6.00	130	-3.301503
6.00	140	-4.416848
6.00	150	-5.88976
6.00	160	-7.49766
6.00	170	-8.80649
6.00	180	-9.322263
6.20	0	-6.790577
6.20	10	-6.636159
6.20	20	-6.196423
6.20	30	-5.542483
6.20	40	-4.77185
6.20	50	-3.9857
6.20	60	-3.276033
6.20	70	-2.702957
6.20	80	-2.28263
6.20	90	-2.004484
6.20	100	-1.862409
6.20	110	-1.880634
6.20	120	-2.117861
6.20	130	-2.651668
6.20	140	-3.521773
6.20	150	-4.671646
6.20	160	-5.902665
6.20	170	-6.886099
6.20	180	-7.269936
6.40	0	-5.821197
6.40	10	-5.69592
6.40	20	-5.336068
6.40	30	-4.792917
6.40	40	-4.143855
6.40	50	-3.475314
6.40	60	-2.867618
6.40	70	-2.372587
6.40	80	-2.00393
