R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2.0,-209892313.15148056,-358933440.8133303,-924140073.6420108,-712139212.5490149,-1246208699.4336123,-853234855.1678344,-1177259663.2266936,-834541455.1261584,-940153612.2008975,-780384744.104245,-770097185.5234516,-800346358.7768253,-800366917.6245613,-963076717.7853686,-1110696701.2515683,-1378560037.9115868,-2202495012.7679276,-3007020620.975608,-1591811389.778929
2.1,-134980065.7826365,-232134498.8635071,-594843133.3367993,-461109111.6757218,-803725656.4485117,-553560500.1343526,-761385997.3942608,-542727399.2112863,-610064176.2351892,-508508849.0981018,-501240617.1239755,-521877694.25089824,-521651973.85345745,-627801291.0260062,-723705321.8684456,-898307957.9608339,-1434268858.1377242,-1959190674.7854373,-1036444559.7908516
2.2,-86585261.25908399,-149822220.79977012,-381935354.580787,-297976109.8809841,-517126462.3291286,-358466304.9818525,-491340971.2945878,-352338728.8158993,-395084375.5510854,-330812123.5731521,-325667640.3800375,-339758418.6566606,-339428561.9881431,-408587520.3177304,-470766554.1999785,-584404509.0960253,-932423918.0912963,-1274383758.7831929,-673697645.1692394
2.3,-55390841.39794541,-96486606.59112154,-244579482.9331433,-192151299.14653865,-331880136.6627732,-231668214.5135981,-316326790.7067482,-228315551.29051644,-255316471.3735092,-214838496.0879268,-211191101.63696083,-220819870.77395135,-220466161.51402906,-265463266.12844405,-305688156.96631163,-379528347.48009235,-605083016.777735,-827484662.4198409,-437119230.0259944
2.4,-35331457.0684693,-61994228.91768825,-156172536.8600884,-123631847.9941213,-212411121.8434366,-149404472.46578184,-203135699.38744447,-147657344.60238165,-164616504.12386405,-139264912.58661938,-136675044.5606853,-143259947.06211838,-142924742.02531114,-172159722.77892533,-198120043.42300174,-246018149.97970298,-391906818.4761167,-536296655.82410115,-283072861.8182115
2.5,-22465436.38233196,-39734095.85808986,-99413639.25258563,-79355855.45416263,-135547569.5054899,-96134573.34745888,-130091266.09598291,-95293435.23867592,-105875982.75874521,-90098496.68204859,-88257099.08577073,-92763824.09856921,-92466807.94815192,-111433025.39687051,-128143963.59947923,-159157899.65269187,-253314578.6625674,-346881138.14895266,-182937674.20728597
2.6,-14235954.091025166,-25399923.88487209,-63071768.97699815,-50806646.410954066,-86222648.31543663,-61709141.323668025,-83066648.0731055,-61361891.2490927,-67915221.46463302,-58167807.48862444,-56857088.450376086,-59943774.76412037,-59691557.58508948,-71977160.65964442,-82703904.34933442,-102746901.5344588,-163374934.864779,-223886128.22625116,-117964951.00119294
2.7,-8987769.379725352,-16191304.635393018,-39870326.5296582,-32439993.29079495,-54657617.580888405,-39509637.68101732,-52870837.76105993,-39418205.14341833,-43439949.02635737,-37469301.498604074,-36535450.87415582,-38651014.80937989,-38443070.45861232,-46388716.530018225,-53253067.507119074,-66179751.45916437,-105121493.49764274,-144171666.57129577,-75889327.10741061
2.8,-5651582.690505365,-10290310.35162831,-25104572.762990236,-20652810.11171021,-34518356.087698355,-25226913.423987895,-33535007.29789634,-25257268.99551401,-27698764.42149383,-24078506.39833209,-23412678.723802894,-24863587.48548032,-24695847.45678114,-29826344.792122956,-34204277.27829053,-42523424.2660093,-67469178.30265912,-92612267.03479114,-48698236.71503404
2.9,-3538189.1775787445,-6519013.534819075,-15739397.047247276,-13107752.576844389,-21710659.268759646,-16060167.157619374,-21190455.11903601,-16139511.910445666,-17602099.927422933,-15433773.244251564,-14958797.56141838,-15954449.74962648,-15821412.50693061,-19128682.553099632,-21910525.41584609,-27252269.72989581,-43186431.564945325,-59335723.13021371,-31165265.00373227
3.0,-2204455.877144294,-4115697.58485023,-9821481.171731636,-8291491.822674647,-13594164.208860233,-10192269.94489011,-13334944.30236748,-10283125.745729763,-11144772.69442989,-9865623.433738051,-9526691.53909401,-10210283.6261125,-10106197.850671332,-12234555.945358919,-13995011.005769901,-17416713.35354905,-27563211.413683735,-37908728.08266318,-19886856.21707545
3.1,-1366214.8248678525,-2588840.349408407,-6096958.90341225,-5226227.041473722,-8470264.043227352,-6446566.918753895,-8353710.540580066,-6531295.979002064,-7028022.369873474,-6287831.931879966,-6045957.7191397315,-6515496.030267045,-6434977.28903978,-7802305.173380588,-8911365.869690323,-11097591.751401616,-17537065.007682458,-24146017.78713431,-12650371.932918502
3.2,-841754.9624964326,-1621992.1292818794,-3763189.9702917496,-3281562.617285981,-5249091.542780367,-4062704.9705286524,-5207239.0138615845,-4134407.506680877,-4412475.496840586,-3994914.1071448014,-3822328.16333758,-4144944.776154566,-4083254.589544855,-4960145.566937486,-5655332.104423931,-7048414.717289946,-11120462.618728926,-15329716.940425133,-8020043.925451635
3.3,-515237.8710295811,-1011912.5520738797,-2307921.6583622205,-2052031.2467746052,-3233357.5043765055,-2550428.464280471,-3228095.9933802825,-2607699.279823326,-2756931.8456857936,-2529538.48766151,-2406437.7583270622,-2628152.7516118633,-2581283.9621279356,-3142668.387328029,-3575980.998263366,-4461136.461890371,-7026042.280042204,-9698257.968705121,-5066054.854143679
3.4,-313063.67653601646,-628409.448915065,-1405293.3435523896,-1277493.1227590956,-1978320.6163382777,-1594379.4853161543,-1988967.4695176554,-1638368.9665405534,-1713331.0699348296,-1595840.5959791476,-1508089.3171210808,-1660473.7240396875,-1625131.0565563857,-1983903.9515566365,-2252279.9255401413,-2813006.687651964,-4421717.244028131,-6112250.980822412,-3187523.9495811644
3.5,-188638.47028223553,-388316.28195842553,-848747.4085122264,-791496.5464117748,-1201270.7502794985,-992216.2161122778,-1217117.6129020732,-1025045.1840286565,-1058442.961789042,-1002830.6599019591,-940330.7601966877,-1045058.2632848216,-1018587.7412687648,-1247480.9672438025,-1412506.9629114484,-1766583.123388534,-2770888.7081177933,-3836364.1974236444,-1997025.4622679253
3.6,-112581.2228913702,-238665.09870788857,-507854.9186065142,-487843.8137218145,-723153.8246951989,-614462.8570167156,-739056.2053142001,-638416.309872103,-649525.9675614651,-627505.987455647,-583039.7815591347,-654998.9335328232,-635297.5288023389,-781084.1920486022,-881723.3591783415,-1104555.0286088781,-1728357.5425234921,-2397162.2731987056,-1245373.3024501575
3.7,-66444.78286069017,-145829.35921070309,-300604.7114012994,-298989.71125063964,-431019.2981146025,-378510.77400398126,-444829.01751890354,-395667.3242165487,-395603.11525676074,-390847.5559040227,-359254.3945913085,-408678.5076223344,-394101.51538805856,-486805.99052416964,-547593.3542600699,-687329.8552754053,-1072637.4223257313,-1490608.624068769,-772717.5296723862
3.8,-38701.75789944991,-88535.02784652075,-175668.30161231128,-182116.40531804753,-253928.1619045648,-231818.68857899864,-265029.36635277705,-243914.2116691742,-238895.9672829606,-242228.69292554742,-219818.2691998909,-253744.3243669095,-243019.47566129648,-301879.1872435776,-338183.5912348131,-425482.8523617883,-662021.3539125494,-921991.4112649261,-476807.8972888869
3.9,-22186.454155907813,-53372.995569233746,-101084.51215610749,-110178.49614518741,-147541.9331752345,-141081.6190598879,-156038.87818612537,-149491.33457782655,-142853.016791993,-149307.32380773837,-133441.02504802044,-156709.84755584356,-148862.13278397717,-186180.03826029255,-207571.87328435233,-261895.87800815632,-406122.940226898,-566983.8499245776,-292439.58825169376
