R	0	30	60	90	120	150	180
2.5	1093237.211603	33748.103842	13542.575442	1716.346338	6008.350363	45692.274489	1093237.211322
2.6	1006502.723633	33038.806071	12462.306348	1161.555684	4592.473756	37439.80325	1006502.722498
2.7	1173983.38236	29265.293228	2915.872082	759.591664	3474.958981	30626.985224	1173983.382214
2.8	1555342.450934	24240.896485	2154.229126	472.738002	2601.421722	25112.016062	1555342.450773
2.9	1820090.32101	19691.441037	1569.309836	271.655632	1922.004293	20673.153015	1820090.321708
3.0	1540553.619773	15712.495718	1124.100861	133.718625	1398.94077	17085.821649	1540553.61952
3.1	1110713.732533	12346.490771	788.358461	41.640945	999.524152	14160.081578	1110713.733409
3.2	883912.462892	9564.238418	537.728102	-17.646028	697.360439	11742.491296	883912.463166
3.3	907610.521529	7316.90361	352.750626	-53.888641	471.187061	9707.189185	907610.522376
3.4	1176002.090852	5539.518664	217.994934	-74.249261	303.941724	8021.174512	1176002.091028
3.5	1580965.0678	8543.443265	121.32119	-83.921218	181.998597	6611.164801	1580965.067382
3.6	1645685.102706	7209.190997	53.256734	-86.607207	94.554444	5425.357944	1645685.104254
3.7	1200452.121067	6131.390299	6.479707	-84.908326	33.106393	4423.754333	1200452.120459
3.8	738651.008341	5251.050699	-24.626707	-80.621001	-8.968449	7051.739239	738651.009518
3.9	432982.290903	4518.744157	-44.336394	-74.94466	-36.78745	6119.5433	432982.291402
4.0	251267.037799	3895.180773	-55.873875	-68.663913	-54.260531	5279.130902	251267.038494
4.1	146465.211849	3351.51863	-61.657489	-62.268018	-64.352589	4510.988184	146465.211503
4.2	86123.567285	2867.729724	-63.477166	-56.055175	-69.27757	3805.352478	86123.566867
4.3		2432.617595	-62.640767	-50.199963	-70.673529	3160.627829	
4.4	31893.889592	2040.339054	-60.090469	-44.79814	-69.735978	2580.861382	31893.889752
4.5	21265.005163	1689.108647	-56.499873	-39.89066	-67.31692	2070.64047	21265.005611
4.6	15881.562407	1379.841784	-52.338494	-35.488545	-64.017223	1630.128065	15881.561583
4.7	25463.438239	1111.939807	-47.932311	-31.582097	-60.250204	1257.351716	25463.439279
4.8	23520.926151	883.704262	-43.505663	-28.143545	-56.293772	947.066346	23520.926947
4.9	22437.441769	692.592777	-39.207006	-25.142092	-52.33523	693.036091	22437.442891
5.0	2753.510561	534.997756	-35.131948	-22.536868	-48.495321	488.741423	2753.510352
5.1	2037.542458	407.19887	-31.339315	-20.286809	-44.845881	327.328554	2037.543912
5.2	1408.076159	305.104825	-27.855472	-18.350762	-41.433991	202.006672	1408.076653
5.3	820.229693	224.575395	-24.698482	-16.685896	-38.274375	106.618833	820.230757
5.4	290.972153	161.87748	-21.862224	-15.255802	-35.378751	35.595198	290.972019
5.5	-164.590018	113.659046	-19.341334	-14.023995	-32.741018	-15.927412	-164.588733
5.6	-541.46873	77.041404	-17.118595	-12.962664	-30.355283	-52.071814	-541.468259
5.7	-842.92018	50.238938	-15.173522	-12.046118	-28.2068	-75.819546	-842.920279
5.8	-1077.209159	29.717376	-13.480484	-11.251132	-26.279993	-91.434871	-1077.209466
5.9	9467.335991	14.729855	-12.016339	-10.560703	-24.558195	-100.196687	9467.336014
6.0	9293.188761	4.062166	-10.753363	-9.958945	-23.020452	-104.00451	9293.188763
6.2	189.727939	-8.444302	-8.729813	-8.960544	-20.414927	-102.238964	189.728007
6.4	5.812921	-13.810914	-7.233129	-8.165209	-18.307424	-94.012293	5.813655
6.6	-71.855263	-15.466788	-6.126516	-7.507158	-16.57086	-83.58462	-71.855898
6.8	-97.089536	-15.312081	-5.307662	-6.947118	-15.108706	-73.054953	-97.089705
7.0	-98.346915	-14.367963	-4.702717	-6.464464	-13.852655	-63.349946	-98.346724
7.2	-89.954814	-13.15705	-4.251797	-6.048003	-12.755006	-54.805459	-89.954716
7.4	-78.64855	-11.941269	-3.913435	-5.688772	-11.775541	-47.469905	-78.64879
7.6	-67.370346	-10.830564	-3.653327	-5.379891	-10.894207	-41.255991	-67.370324
7.8	-57.265552	-9.869148	-3.449367	-5.113578	-10.0976	-36.025307	-57.266125
8.0	-48.639275	-9.047929	-3.286954	-4.880853	-9.375359	-31.628618	-48.639579
8.2	-41.424766	-8.349308	-3.156352	-4.677021	-8.725623	-27.917873	-41.424924
8.4	-35.4309	-7.754621	-3.049111	-4.497878	-8.143327	-24.771464	-35.430939
8.6	-30.464147	-7.244013	-2.960796	-4.336662	-7.61769	-22.088162	-30.464366
8.8	-26.35495	-6.803373	-2.884851	-4.192051	-7.145202	-19.790252	-26.354732
9.0	-22.95633	-6.421088	-2.822447	-4.063219	-6.71845	-17.810415	-22.956506
9.5	-16.772157	-5.649992	-2.688984	-3.789451	-5.811839	-13.939415	-16.772002
10.0	-12.767374	-5.062351	-2.582455	-3.5686	-5.093089	-11.189556	-12.76739
10.5	-10.078822	-4.604764	-2.485446	-3.382531	-4.520853	-9.200772	-10.078833
11.0	-8.208695	-4.235633	-2.396507	-3.220609	-4.054327	-7.732809	-8.208212
11.5	-6.853674	-3.928547	-2.310713	-3.0756	-3.671861	-6.625656	-6.853426
12.0	-5.844682	-3.665099	-2.226768	-2.943565	-3.350945	-5.773247	-5.844774
12.5	-5.07558	-3.441034	-2.145344	-2.821494	-3.078637	-5.108441	-5.075629
13.0	-4.479649	-3.246511	-2.064554	-2.707609	-2.844483	-4.582036	-4.479922
13.5	-4.013264	-3.077752	-1.986008	-2.601193	-2.641359	-4.157109	-4.013436
14.0	-3.639507	-2.929181	-1.908216	-2.500403	-2.46136	-3.81058	-3.640039
14.5	-3.335093	-2.795981	-1.832104	-2.406152	-2.302278	-3.521206	-3.334818
15.0	-3.081232	-2.674815	-1.759078	-2.31717	-2.160993	-3.27685	-3.081884
16.0	-2.685865	-2.465376	-1.618174	-2.153912	-1.915666	-2.887465	-2.685201
17.0	-2.387569	-2.285534	-1.489022	-2.007527	-1.710626	-2.590324	-2.387653
18.0	-2.152157	-2.130127	-1.368819	-1.874889	-1.537175	-2.353974	-2.152262
19.0	-1.961034	-1.993882	-1.257597	-1.757237	-1.388389	-2.161772	-1.961132
20.0	-1.803803	-1.872899	-1.154976	-1.648916	-1.256882	-1.999852	-1.803553
21.0	-1.667882	-1.764656	-1.060692	-1.549336	-1.140731	-1.863675	-1.66848
22.0	-1.552145	-1.668391	-0.975298	-1.460362	-1.038934	-1.745842	-1.552035
23.0	-1.449732	-1.580082	-0.895864	-1.378724	-0.94672	-1.642129	-1.449678
24.0	-1.359162	-1.500942	-0.822215	-1.303761	-0.86398	-1.549923	-1.359114
25.0	-1.278987	-1.428922	-0.754511	-1.234744	-0.788874	-1.468358	-1.278608
50.0	-0.405664	-0.587669	0.067061	-0.404164	0.065265	-0.589006	-0.405242
100.0	0.001501	-0.180872	0.473557	0.001986	0.472474	-0.181609	0.001961
