R,theta1,E
2.5,0,1093237.211603
2.5,30,33748.103842
2.5,60,13542.575442
2.5,90,1716.346338
2.5,120,6008.350363
2.5,150,45692.274489
2.5,180,1093237.211322
2.6,0,1006502.723633
2.6,30,33038.806071
2.6,60,12462.306348
2.6,90,1161.555684
2.6,120,4592.473756
2.6,150,37439.80325
2.6,180,1006502.722498
2.7,0,1173983.38236
2.7,30,29265.293228
2.7,60,2915.872082
2.7,90,759.591664
2.7,120,3474.958981
2.7,150,30626.985224
2.7,180,1173983.382214
2.8,0,1555342.450934
2.8,30,24240.896485
2.8,60,2154.229126
2.8,90,472.738002
2.8,120,2601.421722
2.8,150,25112.016062
2.8,180,1555342.450773
2.9,0,1820090.32101
2.9,30,19691.441037
2.9,60,1569.309836
2.9,90,271.655632
2.9,120,1922.004293
2.9,150,20673.153015
2.9,180,1820090.321708
3.0,0,1540553.619773
3.0,30,15712.495718
3.0,60,1124.100861
3.0,90,133.718625
3.0,120,1398.94077
3.0,150,17085.821649
3.0,180,1540553.61952
3.1,0,1110713.732533
3.1,30,12346.490771
3.1,60,788.358461
3.1,90,41.640945
3.1,120,999.524152
3.1,150,14160.081578
3.1,180,1110713.733409
3.2,0,883912.462892
3.2,30,9564.238418
3.2,60,537.728102
3.2,90,-17.646028
3.2,120,697.360439
3.2,150,11742.491296
3.2,180,883912.463166
3.3,0,907610.521529
3.3,30,7316.90361
3.3,60,352.750626
3.3,90,-53.888641
3.3,120,471.187061
3.3,150,9707.189185
3.3,180,907610.522376
3.4,0,1176002.090852
3.4,30,5539.518664
3.4,60,217.994934
3.4,90,-74.249261
3.4,120,303.941724
3.4,150,8021.174512
3.4,180,1176002.091028
3.5,0,1580965.0678
3.5,30,8543.443265
3.5,60,121.32119
3.5,90,-83.921218
3.5,120,181.998597
3.5,150,6611.164801
3.5,180,1580965.067382
3.6,0,1645685.102706
3.6,30,7209.190997
3.6,60,53.256734
3.6,90,-86.607207
3.6,120,94.554444
3.6,150,5425.357944
3.6,180,1645685.104254
3.7,0,1200452.121067
3.7,30,6131.390299
3.7,60,6.479707
3.7,90,-84.908326
3.7,120,33.106393
3.7,150,4423.754333
3.7,180,1200452.120459
3.8,0,738651.008341
3.8,30,5251.050699
3.8,60,-24.626707
3.8,90,-80.621001
3.8,120,-8.968449
3.8,150,7051.739239
3.8,180,738651.009518
3.9,0,432982.290903
3.9,30,4518.744157
3.9,60,-44.336394
3.9,90,-74.94466
3.9,120,-36.78745
3.9,150,6119.5433
3.9,180,432982.291402
4.0,0,251267.037799
4.0,30,3895.180773
4.0,60,-55.873875
4.0,90,-68.663913
4.0,120,-54.260531
4.0,150,5279.130902
4.0,180,251267.038494
4.1,0,146465.211849
4.1,30,3351.51863
4.1,60,-61.657489
4.1,90,-62.268018
4.1,120,-64.352589
4.1,150,4510.988184
4.1,180,146465.211503
4.2,0,86123.567285
4.2,30,2867.729724
4.2,60,-63.477166
4.2,90,-56.055175
4.2,120,-69.27757
4.2,150,3805.352478
4.2,180,86123.566867
4.3,30,2432.617595
4.3,60,-62.640767
4.3,90,-50.199963
4.3,120,-70.673529
4.3,150,3160.627829
4.4,0,31893.889592
4.4,30,2040.339054
4.4,60,-60.090469
4.4,90,-44.79814
4.4,120,-69.735978
4.4,150,2580.861382
4.4,180,31893.889752
4.5,0,21265.005163
4.5,30,1689.108647
4.5,60,-56.499873
4.5,90,-39.89066
4.5,120,-67.31692
4.5,150,2070.64047
4.5,180,21265.005611
4.6,0,15881.562407
4.6,30,1379.841784
4.6,60,-52.338494
4.6,90,-35.488545
4.6,120,-64.017223
4.6,150,1630.128065
4.6,180,15881.561583
4.7,0,25463.438239
4.7,30,1111.939807
4.7,60,-47.932311
4.7,90,-31.582097
4.7,120,-60.250204
4.7,150,1257.351716
4.7,180,25463.439279
4.8,0,23520.926151
4.8,30,883.704262
4.8,60,-43.505663
4.8,90,-28.143545
4.8,120,-56.293772
4.8,150,947.066346
