R	0	30	60	90	120	150	180
2.5	219776.208725	53190.966674	13199.717136	1196.570378	13199.717547	53190.966162	219776.20919
2.6	205631.362774	48336.047849	3650.7098	745.767653	3650.709805	48336.047637	205631.362747
2.7	233547.385854	45005.674366	2710.449042	427.935094	2710.44934	45005.674171	233547.38582
2.8	306216.783947	42469.874692	1982.870435	208.23217	1982.870172	42469.875176	306216.784226
2.9	425574.742961	23001.58412	1419.423061	59.974953	1419.422988	23001.583863	425574.742143
3.0	582038.967051	19451.800123	990.865962	-37.008771	990.866494	19451.800079	582038.967192
3.1	737688.191622	16045.698859	668.471346	-97.754953	668.471724	16045.698954	737688.191101
3.2	824380.679435	12952.133198	428.709298	-133.314928	428.709318	12952.134275	824380.679816
3.3	787621.827789	10238.491576	252.68701	-151.693875	252.686919	10238.49157	787621.827466
3.4	643259.796581	7931.745714	125.394581	-158.611984	125.395038	7931.74492	643259.796439
3.5	460799.527377	6005.016789	35.022801	-158.089707	35.022962	6005.017328	460799.527182
3.6	298832.722159	4444.362971	-27.643942	-152.918257	-27.643765	4444.363782	298832.722359
3.7	179208.916873	7234.347689	-69.72713	-145.001033	-69.727262	7234.347694	179208.916996
3.8	100177.884089	6051.799912	-96.689982	-135.622325	-96.690501	6051.800396	100177.883812
3.9	52252.350931	5061.564911	-112.685984	-125.634258	-112.685873	5061.564907	52252.350788
4.0	25893.552225	4220.117245	-120.843697	-115.593241	-120.844159	4220.116922	25893.551031
4.1	13696.393423	3496.871489	-123.504048	-105.852075	-123.504521	3496.870924	13696.394193
4.2	10423.124051	2871.594715	-122.396186	-96.627054	-122.396116	2871.594609	10423.12361
4.3	12516.635085	2330.820769	-118.782387	-88.039758	-118.782356	2330.820434	12516.636163
4.4	17617.352436	1865.550423	-113.573735	-80.146722	-113.573509	1865.549725	17617.352547
4.5	24182.790926	1468.169713	-107.419915	-72.957492	-107.420819	1468.168622	24182.790661
4.6	31207.61028	1133.711742	-100.779999	-66.453211	-100.780584	1133.712297	31207.60993
4.7	38050.107598	856.394924	-93.974917	-60.596669	-93.975208	856.395061	38050.107339
4.8	6799.146194	629.85714	-87.225351	-55.336957	-87.225295	629.856768	6799.146099
4.9	4727.342926	447.987151	-80.680334	-50.624165	-80.679823	447.987077	4727.342629
5.0	3151.103758	304.651126	-74.437458	-46.400733	-74.437517	304.65107	3151.104316
5.1	1936.812494	193.945166	-68.555325	-42.622638	-68.555825	193.94515	1936.811625
5.2	995.161342	110.202789	-63.066327	-39.237346	-63.066444	110.20285	995.161614
5.3	265.108275	48.366417	-57.982678	-36.207109	-57.981922	48.366224	265.109064
5.4	-297.034872	3.949512	-53.302292	-33.487488	-53.302375	3.950518	-297.034862
5.5	-724.749309	-26.877664	-49.016728	-31.05216	-49.016304	-26.877509	-724.749333
5.6	-1044.966819	-47.305472	-45.108133	-28.861644	-45.107932	-47.305184	-1044.966648
5.7	-1279.907029	-59.905257	-41.553697	-26.896676	-41.554057	-59.905463	-1279.907893
5.8	-1448.265327	-66.432219	-38.327693	-25.128115	-38.327876	-66.431385	-1448.264854
5.9	-1565.334614	-69.454594	-35.403946	-23.533538	-35.403871	-69.454878	-1565.335092
6.0	-1643.770244	-69.526399	-32.755615	-22.095614	-32.755323	-69.526866	-1643.769546
6.2	436.986502	-64.516162	-28.17703	-19.619338	-28.176993	-64.51689	436.986513
6.4	214.578362	-56.468604	-24.405193	-17.576397	-24.406122	-56.467868	214.578322
6.6	101.117737	-47.903962	-21.285231	-15.869676	-21.285186	-47.904533	101.117029
6.8	44.410148	-39.972048	-18.698636	-14.42763	-18.698236	-39.972493	44.410165
7.0	16.774147	-33.10747	-16.543985	-13.193932	-16.544439	-33.10792	16.774078
7.2	3.799438	-27.386863	-14.743164	-12.1299	-14.743162	-27.386827	3.799115
7.4	-1.928189	-22.720941	-13.226391	-11.201025	-13.22665	-22.720395	-1.92817
7.6	-4.165701	-18.960955	-11.94175	-10.387971	-11.941051	-18.960828	-4.165803
7.8	-4.769882	-15.950837	-10.843206	-9.670545	-10.84321	-15.951501	-4.769823
8.0	-4.647087	-13.548187	-9.896024	-9.0368	-9.895697	-13.547836	-4.646774
8.2	-4.237815	-11.630861	-9.075173	-8.470518	-9.075452	-11.631014	-4.237281
8.4	-3.766003	-10.09801	-8.359552	-7.967161	-8.359601	-10.097811	-3.765817
8.6	-3.336739	-8.872454	-7.734235	-7.514649	-7.733528	-8.872483	-3.337417
8.8	-2.988737	-7.887747	-7.182822	-7.106344	-7.183447	-7.887342	-2.988849
9.0	-2.72599	-7.095574	-6.697805	-6.738111	-6.69759	-7.096376	-2.726332
9.5	-2.377826	-5.707572	-5.712186	-5.960533	-5.711331	-5.707292	-2.377595
10.0	-2.304419	-4.844	-4.964571	-5.341025	-4.964503	-4.843436	-2.304113
10.5	-2.325234	-4.275693	-4.38411	-4.838138	-4.383697	-4.276536	-2.325528
11.0	-2.357688	-3.881373	-3.920836	-4.421775	-3.920831	-3.881424	-2.357866
11.5	-2.383782	-3.587999	-3.544966	-4.073033	-3.544846	-3.588382	-2.384158
12.0	-2.389152	-3.354403	-3.235282	-3.773811	-3.235384	-3.35472	-2.389166
12.5	-2.370912	-3.162222	-2.974247	-3.517596	-2.97411	-3.162045	-2.371017
13.0	-2.336572	-3.001013	-2.750617	-3.293947	-2.749979	-3.001531	-2.3366
13.5	-2.293243	-2.8627	-2.557412	-3.096635	-2.557334	-2.863052	-2.292951
14.0	-2.244035	-2.740625	-2.386281	-2.922419	-2.386572	-2.740269	-2.243572
14.5	-2.192301	-2.630648	-2.235323	-2.766891	-2.234993	-2.630539	-2.192792
15.0	-2.138455	-2.53235	-2.100293	-2.627148	-2.100189	-2.532517	-2.138907
16.0	-2.02685	-2.354966	-1.867876	-2.385463	-1.868157	-2.355474	-2.026922
17.0	-1.915607	-2.201623	-1.673507	-2.182171	-1.673489	-2.201347	-1.915674
18.0	-1.807202	-2.065649	-1.507418	-2.010342	-1.507928	-2.066128	-1.806745
19.0	-1.705123	-1.943491	-1.365821	-1.862436	-1.365367	-1.943647	-1.704785
20.0	-1.609322	-1.834428	-1.240049	-1.731514	-1.240153	-1.833952	-1.608854
21.0	-1.519609	-1.735699	-1.129144	-1.618351	-1.129006	-1.735762	-1.519556
22.0	-1.436365	-1.64429	-1.03056	-1.517577	-1.030701	-1.644604	-1.435675
23.0	-1.359361	-1.562751	-0.941797	-1.425452	-0.941653	-1.562736	-1.3597
24.0	-1.28748	-1.487389	-0.859443	-1.341431	-0.859351	-1.487893	-1.287317
25.0	-1.222066	-1.418637	-0.785697	-1.265526	-0.785301	-1.418429	-1.221953
50.0	-0.406307	-0.589874	0.063803	-0.408623	0.063996	-0.589748	-0.405611
100.0	-0.0	-0.183177	0.470512	-0.001086	0.470904	-0.183751	0.0001
