R	0	30	60	90	120	150	180
2.5	2411772.868485	38757.864635	5814.812753	1895.638936	5814.812697	38757.864106	2411772.869591
2.6	2008953.533205	33202.706948	4435.666406	1305.654082	4435.665963	33202.706461	2008953.533127
2.7	2913480.262308	28034.274753	3352.352491	875.106759	3352.352608	28034.27449	2913480.262564
2.8		23328.635982	2508.217523	565.324254	2508.217614	23328.635592	
2.9		19155.375044	1854.256033	346.082447	1854.256082	19155.374436	
3.0	2640046.035276	15555.946901	1352.192567	193.949462	1352.192631	15555.947023	2640046.035477
3.1	1298534.627008	12515.068466	969.840299	90.889911	969.84024	12515.06822	1298534.626345
3.2	908392.665367	9981.120191	681.318839	23.179169	681.318361	9981.120015	908392.664922
3.3	954235.012691	7939.414997	465.866328	-19.502211	465.866651	7939.414094	954235.013222
3.4	1492244.740481	6315.796496	306.895069	-44.792015	306.894714	6315.796425	1492244.739342
3.5	3516977.682407	5030.954647	191.203178	-58.250224	191.202943	5030.955167	3516977.683452
3.6		7999.72156	108.368962	-63.873472	108.368786	7999.721717	
3.7		6945.172985	50.219577	-64.479177	50.219452	6945.171605	
3.8	1816751.267393	6056.400344	10.412645	-62.026269	10.412349	6056.401072	1816751.266955
3.9	867453.074125	5290.298356	-15.934326	-57.846365	-15.934354	5290.298415	867453.074486
4.0	464609.407579	4613.323857	-32.542298	-52.821034	-32.542618	4613.323937	464609.407641
4.1	263551.560365	4001.215326	-42.223968	-47.514597	-42.22309	4001.215051	263551.560504
4.2	158237.975181	3438.392594	-47.076429	-42.280336	-47.076072	3438.392899	158237.975411
4.3	102587.591854	2918.780565	-48.652769	-37.32291	-48.65291	2918.780879	102587.591208
4.4	73843.449337	2441.161035	-48.076829	-32.762214	-48.077311	2441.161349	73843.450067
4.5	41013.334822	2010.441322	-46.146256	-28.645954	-46.146597	2010.441295	41013.334409
4.6	54430.817106	1629.355134	-43.418473	-24.987639	-43.418885	1629.355221	54430.817582
4.7	25600.454342	1298.585948	-40.275683	-21.774911	-40.276033	1298.586079	25600.454655
4.8	23100.806604	1017.949006	-36.97312	-18.982918	-36.972343	1017.949022	23100.807359
4.9	21969.904212	782.876957	-33.678511	-16.575607	-33.67896	782.876976	21969.904208
5.0		589.528763	-30.504361	-14.518803	-30.504293	589.528731	
5.1	1994.852896	433.279153	-27.519109	-12.778135	-27.519492	433.279449	1994.852437
5.2	1487.234917	309.045247	-24.763791	-11.315877	-24.763476	309.045334	1487.234554
5.3	978.016025	211.722507	-22.258604	-10.095048	-22.258451	211.722005	978.01599
5.4	480.62301	136.696121	-20.011256	-9.083533	-20.012107	136.696153	480.623563
5.5	27.421567	79.807194	-18.019181	-8.247008	-18.01921	79.80702	27.421326
5.6	-363.057144	37.447089	-16.270798	-7.557894	-16.27131	37.446631	-363.057136
5.7	-685.116259	7.250208	-14.750897	-6.992375	-14.750892	7.249771	-685.115272
5.8	-941.725784	-15.088339	-13.439684	-6.526516	-13.439977	-15.088842	-941.725969
5.9	-1140.448767	-30.418925	-12.316032	-6.142747	-12.3158	-30.419687	-1140.449265
6.0	-1290.531029	-40.5046	-11.355823	-5.82699	-11.355312	-40.504903	-1290.530724
6.2	96.161106	-50.127559	-9.837444	-5.338311	-9.836576	-50.127389	96.160354
6.4	-71.661942	-51.535647	-8.722469	-4.973336	-8.723004	-51.53597	-71.661942
6.6	-135.279724	-49.015466	-7.892127	-4.677931	-7.891739	-49.015433	-135.279335
6.8	-148.562088	-44.865676	-7.256824	-4.422549	-7.256812	-44.865859	-148.561538
7.0	-139.981522	-40.276424	-6.755125	-4.195222	-6.754498	-40.276517	-139.982002
7.2	-123.673779	-35.83853	-6.340359	-3.997405	-6.340314	-35.838492	-123.673993
7.4	-106.108316	-31.807652	-5.981583	-3.829098	-5.982004	-31.807523	-106.107211
7.6	-89.905162	-28.261907	-5.659975	-3.691131	-5.659041	-28.26163	-89.905494
7.8	-75.910403	-25.192111	-5.367427	-3.576266	-5.367639	-25.191659	-75.909751
8.0	-64.190526	-22.549599	-5.10062	-3.480987	-5.100547	-22.548987	-64.190279
8.2	-54.504213	-20.27464	-4.861332	-3.39876	-4.860819	-20.274212	-54.505088
8.4	-46.533752	-18.306358	-4.644572	-3.32998	-4.644096	-18.306641	-46.533941
8.6	-39.974114	-16.597637	-4.449963	-3.268894	-4.449652	-16.597922	-39.974035
8.8	-34.562448	-15.10835	-4.27211	-3.213737	-4.272068	-15.108264	-34.56216
9.0	-30.080222	-13.803242	-4.109586	-3.165834	-4.109281	-13.803034	-30.080189
9.5	-21.846303	-11.178186	-3.75371	-3.062116	-3.75359	-11.178367	-21.84641
10.0	-16.434698	-9.240092	-3.456235	-2.974538	-3.456074	-9.239545	-16.434376
10.5	-12.778604	-7.794317	-3.206858	-2.895879	-3.20694	-7.794641	-12.778368
11.0	-10.229816	-6.696908	-2.993118	-2.819262	-2.993313	-6.697523	-10.229802
11.5	-8.385797	-5.848308	-2.806034	-2.743707	-2.806587	-5.848792	-8.386064
12.0	-7.020407	-5.182044	-2.641694	-2.667429	-2.641973	-5.181636	-7.020662
12.5	-5.993617	-4.650648	-2.492852	-2.591534	-2.492845	-4.650542	-5.993213
13.0	-5.206556	-4.223969	-2.358686	-2.514058	-2.358239	-4.224134	-5.207226
13.5	-4.596343	-3.874269	-2.234912	-2.437542	-2.234838	-3.874366	-4.596808
14.0	-4.112771	-3.583352	-2.119754	-2.363542	-2.120113	-3.583916	-4.112573
14.5	-3.722076	-3.339405	-2.014152	-2.288683	-2.014258	-3.33882	-3.721993
15.0	-3.402417	-3.129231	-1.915542	-2.217524	-1.915681	-3.129163	-3.401965
16.0	-2.909718	-2.787145	-1.736434	-2.079118	-1.736592	-2.787509	-2.909916
17.0	-2.548554	-2.519779	-1.578612	-1.952665	-1.578711	-2.519876	-2.548555
18.0	-2.270959	-2.304422	-1.437904	-1.8334	-1.437113	-2.304601	-2.270999
19.0	-2.050435	-2.125866	-1.311728	-1.723716	-1.311354	-2.126085	-2.05056
20.0	-1.871502	-1.973704	-1.197156	-1.624138	-1.197028	-1.973761	-1.872245
21.0	-1.720809	-1.844156	-1.095494	-1.528751	-1.095765	-1.844131	-1.720827
22.0	-1.593779	-1.731058	-1.002076	-1.445246	-1.002717	-1.730583	-1.593848
23.0	-1.482209	-1.630452	-0.917684	-1.367741	-0.917775	-1.630304	-1.482324
24.0	-1.386266	-1.542397	-0.841914	-1.294231	-0.841793	-1.54193	-1.386182
25.0	-1.300934	-1.462842	-0.770962	-1.227653	-0.771102	-1.462808	-1.301125
50.0	-0.408938	-0.591679	0.063912	-0.406244	0.06406	-0.591218	-0.408728
100.0	-0.000442	-0.184503	0.4704	-0.000481	0.470873	-0.183546	-0.000718
