R,theta,E_cm
2.5,0.0,2593.329433135596
2.6,0.0,1853.5470319378658
2.7,0.0,1297.2268999554676
2.8,0.0,887.2030066963064
2.9,0.0,590.4420361906252
3.0,0.0,380.8155563439659
3.1,0.0,236.0647067489329
3.2,0.0,137.7881214298105
3.3,0.0,73.41140573748494
3.4,0.0,32.82635380696268
3.5,0.0,7.0174008357582585
3.6,0.0,-8.95650110759575
3.7,0.0,-16.918272085639426
3.8,0.0,-21.142292883465192
3.9,0.0,-23.017569717090687
4.0,0.0,-22.830816560014906
4.1,0.0,-21.537175369475197
4.2,0.0,-19.750117022337157
4.3,0.0,-17.762324104669155
4.4,0.0,-15.79682081004502
4.5,0.0,-13.340397982267941
4.6,0.0,-11.71938404472112
4.7,0.0,-10.278937808623068
4.8,0.0,-9.015468674188003
4.9,0.0,-7.915892435800983
5.0,0.0,-6.966415997404127
5.1,0.0,-6.14835591787405
5.2,0.0,-5.4428114826184695
5.3,0.0,-4.8326994477956005
5.4,0.0,-4.30407768277486
5.5,0.0,-3.8449736281492712
5.6,0.0,-3.4458642791301295
5.7,0.0,-3.0840487204187945
5.8,0.0,-2.7793171956606253
5.9,0.0,-2.510782742163372
6.0,0.0,-2.2754315361637816
6.2,0.0,-1.8838082488738794
6.4,0.0,-1.5752758621978722
6.6,0.0,-1.3318727939333226
6.8,0.0,-1.1378556829264266
7.0,0.0,-0.982001481054318
7.2,0.0,-0.8558397823034305
7.4,0.0,-0.752393707687716
7.6,0.0,-0.6665409391930055
7.8,0.0,-0.5944700791826728
8.0,0.0,-0.533625567114768
8.2,0.0,-0.4816333418799781
8.4,0.0,-0.43678765251673296
8.6,0.0,-0.39799265951416885
8.8,0.0,-0.3641678871715908
9.0,0.0,-0.33471241589065115
9.5,0.0,-0.275830884763992
10.0,0.0,-0.23266593260723042
10.5,0.0,-0.20042335200907715
11.0,0.0,-0.175658274817974
11.5,0.0,-0.15631312318597068
12.0,0.0,-0.14083423414891372
12.5,0.0,-0.1281723056323038
13.0,0.0,-0.11783307581618374
13.5,0.0,-0.10901546203983899
14.0,0.0,-0.10144248842790163
14.5,0.0,-0.09503580453878485
15.0,0.0,-0.08928842335044251
16.0,0.0,-0.07995109423104069
17.0,0.0,-0.07234147016573417
18.0,0.0,-0.06599953198008862
19.0,0.0,-0.06082388039834157
20.0,0.0,-0.05621623131130349
21.0,0.0,-0.05229268347450272
22.0,0.0,-0.04879996170146186
23.0,0.0,-0.04572512246554638
24.0,0.0,-0.042933624824965336
25.0,0.0,-0.040423054734028345
50.0,0.0,-0.012798443736077872
100.0,0.0,0.0
2.5,5.0,2512.0652253571466
2.6,5.0,1824.6843785370395
2.7,5.0,1283.7083315875432
2.8,5.0,879.6786021273175
2.9,5.0,585.6915618150794
3.0,5.0,377.73995037095966
3.1,5.0,234.38790586850996
3.2,5.0,135.7739068382018
3.3,5.0,73.68743897791353
3.4,5.0,32.5904953956165
3.5,5.0,6.950348480440642
3.6,5.0,-9.214680527698702
3.7,5.0,-16.813398109235692
3.8,5.0,-21.043675034343902
3.9,5.0,-22.98798914896402
