      R       THETA       E_CP
    2.5000   0.0000   -78.682323419593
    2.5000   5.0000   -78.682693686400
    2.5000   10.0000   -78.683517834823
    2.5000   15.0000   -78.684360919002
    2.5000   20.0000   -78.684969086544
    2.5000   25.0000   -78.685436991059
    2.5000   30.0000   -78.685875061769
    2.5000   35.0000   -78.686342755576
    2.5000   40.0000   -78.686878966105
    2.5000   45.0000   -78.687438312483
    2.5000   50.0000   -78.688033902637
    2.5000   55.0000   -78.688610962563
    2.5000   60.0000   -78.689140596566
    2.5000   65.0000   -78.689616183632
    2.5000   70.0000   -78.690011055694
    2.5000   75.0000   -78.690320185488
    2.5000   80.0000   -78.690553286630
    2.5000   85.0000   -78.690675286490
    2.5000   90.0000   -78.690721312669
    2.6000   0.0000   -78.685694116248
    2.6000   5.0000   -78.685825624004
    2.6000   10.0000   -78.686186415355
    2.6000   15.0000   -78.686650641084
    2.6000   20.0000   -78.687108263017
    2.6000   25.0000   -78.687554859993
    2.6000   30.0000   -78.688003079364
    2.6000   35.0000   -78.688453230376
    2.6000   40.0000   -78.688915451314
    2.6000   45.0000   -78.689391754148
    2.6000   50.0000   -78.689865233608
    2.6000   55.0000   -78.690307861066
    2.6000   60.0000   -78.690711096356
    2.6000   65.0000   -78.691061472487
    2.6000   70.0000   -78.691350024822
    2.6000   75.0000   -78.691577544553
    2.6000   80.0000   -78.691747409278
    2.6000   85.0000   -78.691835067403
    2.6000   90.0000   -78.691866554696
    2.7000   0.0000   -78.688228897293
    2.7000   5.0000   -78.688290492253
    2.7000   10.0000   -78.688483345687
    2.7000   15.0000   -78.688759273951
    2.7000   20.0000   -78.689084240000
    2.7000   25.0000   -78.689422937674
    2.7000   30.0000   -78.689769410620
    2.7000   35.0000   -78.690128130964
    2.7000   40.0000   -78.690494811327
    2.7000   45.0000   -78.690865720797
    2.7000   50.0000   -78.691213836654
    2.7000   55.0000   -78.691541239505
    2.7000   60.0000   -78.691835159580
    2.7000   65.0000   -78.692088654748
