R	Gamma	E
2.50	60	2711.533793
2.50	70	1492.021462
2.50	80	970.870899
2.50	90	847.492115
2.50	100	1042.392792
2.50	110	1617.725516
2.50	120	2793.171057
2.50	130	5132.669205
2.50	140	10250.088088
2.50	150	22866.652274
2.50	160	54051.753625
2.50	170	140117.915658
2.50	180	769009.164638
2.60	0	48744.597829
2.60	20	29827.34015
2.60	30	16771.625891
2.60	40	8498.34283
2.60	50	4149.065034
2.60	60	2057.474934
2.60	70	1091.799176
2.60	80	678.715942
2.60	90	578.749215
2.60	100	729.364602
2.60	110	1179.065489
2.60	120	2098.236179
2.60	130	3924.58149
2.60	140	7932.117503
2.60	150	17916.524152
2.60	160	42892.131581
2.60	170	107173.755129
2.60	180	331685.697863
2.70	0	41885.439542
2.70	10	36191.43244
2.70	20	23952.374687
2.70	30	13278.109364
2.70	40	6658.274533
2.70	50	3207.447252
2.70	60	1555.203755
2.70	70	793.500341
2.70	80	466.802545
2.70	90	386.063499
2.70	100	502.522169
2.70	110	853.820132
2.70	120	1570.811632
2.70	130	2987.670387
2.70	140	6089.198848
2.70	150	13853.135776
2.70	160	33376.787639
2.70	170	79591.033786
2.70	180	174846.421861
2.80	0	36764.322465
2.80	10	28908.661264
2.80	20	18805.795418
2.80	30	10376.634923
2.80	40	5176.210036
2.80	50	2467.359737
2.80	60	1170.198376
2.80	70	571.479032
2.80	80	313.667917
2.80	90	248.673306
2.80	100	338.767094
2.80	110	613.104626
2.80	120	1171.417488
2.80	130	2265.079202
2.80	140	4641.25647
2.80	150	10588.665799
2.80	160	25549.567484
2.80	170	58289.204299
2.80	180	103907.108641
2.90	0	32938.173128
2.90	10	22172.785357
2.90	20	14509.061634
2.90	30	8023.918566
2.90	40	3996.461584
2.90	50	1888.634339
2.90	60	875.625479
2.90	70	406.550052
2.90	80	203.539657
2.90	90	151.395466
2.90	100	221.135137
2.90	110	435.354212
2.90	120	869.613192
2.90	130	1710.449426
2.90	140	3515.049971
2.90	150	8011.495337
2.90	160	19284.686051
2.90	170	42389.490808
2.90	180	66628.415961
3.00	0	19510.454545
3.00	10	16689.037578
3.00	20	11055.607507
3.00	30	6151.772119
3.00	40	3066.540206
3.00	50	1438.14522
3.00	60	650.721821
3.00	70	284.349086
3.00	80	124.826628
3.00	90	83.136279
3.00	100	137.169343
3.00	110	304.487059
3.00	120	642.027035
3.00	130	1286.49057
3.00	140	2646.643453
3.00	150	6006.477784
3.00	160	14377.871332
3.00	170	30667.284777
3.00	180	44719.009085
3.10	0	14417.438109
