R	0	30	60	90
2.5	2620.239815	1804.634868	1083.112223	750.340105
2.6	1850.261799	1325.223954	746.072076	504.53963
2.7	1282.168638	937.318763	504.730398	333.067621
2.8	870.478765	644.233869	333.880868	214.525075
2.9	577.523003	430.955395	214.349897	133.417206
3.0	372.750191	279.624049	131.790112	78.58877
3.1	232.151081	174.420244	75.712241	42.046796
3.2	137.385406	102.565846	38.383157	18.108417
3.3	74.790021	54.504913	14.225336	2.791416
3.4	34.404474	23.14623	-0.822076	-6.686806
3.5	9.117975	3.356736	-9.677702	-12.231799
3.6	-6.051755	-8.527276	-14.430703	-15.145462
3.7	-14.540029	-15.109013	-16.545066	-16.320373
3.8	-18.688413	-18.214359	-17.025845	-16.374095
3.9	-20.080798	-19.107105	-16.544856	-15.736339
4.0	-19.781872	-18.651713	-15.537558	-14.708276
4.1	-18.525265	-17.431681	-14.277715	-13.494022
4.2	-16.794199	-15.83909	-12.937272	-12.23124
4.3	-14.91553	-14.108952	-11.596637	-10.995055
4.4	-13.097518	-12.416563	-10.334896	-9.832858
4.5	-11.458276	-10.846157	-9.166807	-8.76735
4.6	-10.050687	-9.445059	-8.106353	-7.793663
4.7	-8.881827	-8.226865	-7.156006	-6.924898
4.8	-7.928732	-7.189959	-6.311006	-6.146932
4.9	-7.151153	-6.312609	-5.563064	-5.452669
5.0	-6.501288	-5.566922	-4.903061	-4.832589
5.1	-5.93523	-4.927251	-4.323038	-4.286744
5.2	-5.415586	-4.368885	-3.810826	-3.789844
5.3	-4.91909	-3.874131	-3.358487	-3.357547
5.4	-4.431528	-3.426221	-2.964718	-2.978413
5.5	-3.952605	-3.021467	-2.621797	-2.64386
5.6	-3.487517	-2.650809	-2.321625	-2.350596
5.7	-3.044504	-2.318334	-2.059342	-2.093746
5.8	-2.631953	-2.023213	-1.830198	-1.868767
5.9	-2.256591	-1.762902	-1.630352	-1.671496
6.0	-1.922656	-1.535219	-1.455964	-1.498174
6.2	-1.382955	-1.170678	-1.170253	-1.211467
6.4	-1.000384	-0.90734	-0.950433	-0.986252
6.6	-0.74282	-0.720154	-0.779629	-0.807763
6.8	-0.574387	-0.587005	-0.645463	-0.665016
7.0	-0.464526	-0.490655	-0.538752	-0.550039
7.2	-0.390916	-0.41863	-0.453311	-0.456852
7.4	-0.338706	-0.362318	-0.382992	-0.380995
7.6	-0.298704	-0.316153	-0.324743	-0.318904
7.8	-0.265581	-0.276732	-0.276004	-0.267858
8.0	-0.236527	-0.242165	-0.234964	-0.225712
8.2	-0.210174	-0.212083	-0.200291	-0.190808
8.4	-0.185998	-0.184839	-0.170935	-0.161756
8.6	-0.164443	-0.160642	-0.146069	-0.137548
8.8	-0.144335	-0.139302	-0.124992	-0.117283
9.0	-0.126156	-0.12054	-0.10715	-0.100301
9.5	-0.088846	-0.083536	-0.072962	-0.068712
10.0	-0.061916	-0.057915	-0.050858	-0.047864
10.5	-0.043255	-0.040524	-0.036084	-0.033827
11.0	-0.030644	-0.028811	-0.026041	-0.024202
11.5	-0.022117	-0.020876	-0.019116	-0.017511
12.0	-0.015892	-0.014723	-0.014263	-0.012799
12.5	-0.011826	-0.011118	-0.010832	-0.009431
13.0	-0.008933	-0.008607	-0.008364	-0.007045
13.5	-0.006895	-0.006808	-0.006601	-0.005313
14.0	-0.005579	-0.005495	-0.005342	-0.004079
14.5	-0.004629	-0.004558	-0.004413	-0.00317
15.0	-0.003939	-0.003873	-0.00377	-0.002516
16.0	-0.003088	-0.003026	-0.002962	-0.001752
17.0	-0.002643	-0.0026	-0.002582	-0.001352
18.0	-0.002446	-0.002425	-0.002404	-0.001198
19.0	-0.002378	-0.002348	-0.002363	-0.001129
20.0	-0.002372	-0.002361	-0.00236	-0.001136
21.0	-0.002396	-0.002395	-0.018012	-0.001174
22.0	-0.002437	-0.002437	-0.016998	-0.001217
23.0	-0.002484	-0.002488	-0.015982	-0.001253
24.0	-0.002526	-0.002525	-0.015002	-0.001307
25.0	-0.002564	-0.002569	-0.014031	-0.001335
50.0	-0.005983	-0.004954	-0.002474	-0.000971
100.0	-0.00038	-0.00029	-0.000105	-0.0
