R	phi	theta2	theta1	E
2.50	0	0	0	-217.105550310986
2.50	0	0	30	-227.917803773801
2.50	0	0	60	-228.067903383883
2.50	0	0	90	-228.085760456256
2.50	0	0	120	-228.067903384134
2.50	0	0	150	-227.917803776212
2.50	0	0	180	-217.105550305947
2.50	0	30	0	-223.113241665165
2.50	0	30	30	-227.940629926773
2.50	0	30	60	-228.032693101285
2.50	0	30	90	-228.086577373557
2.50	0	30	120	-228.067021561519
2.50	0	30	150	-227.886208273214
2.50	0	30	180	-223.113241666446
2.50	0	60	0	-226.406989212957
2.50	0	60	30	-227.939887053514
2.50	0	60	60	-228.082822043844
2.50	0	60	90	-228.08817102121
2.50	0	60	120	-228.069329605039
2.50	0	60	150	-227.806233693909
2.50	0	60	180	-226.406989212334
2.50	0	90	0	-227.093023393341
2.50	0	90	30	-227.852041712778
2.50	0	90	60	-228.034255278895
2.50	0	90	90	-228.088945647429
2.50	0	90	120	-228.034255277018
2.50	0	90	150	-227.85204171511
2.50	0	90	180	-227.093023391222
2.50	30	0	0	-217.105550310985
2.50	30	0	30	-227.917814929772
2.50	30	0	60	-228.067907001548
2.50	30	0	90	-228.085758310955
2.50	30	0	120	-228.067907005514
2.50	30	0	150	-227.917814931571
2.50	30	0	180	-217.105550305944
2.50	30	30	0	-223.113241665165
2.50	30	30	30	-227.938664175251
2.50	30	30	60	-228.032392892386
2.50	30	30	90	-228.086594153588
2.50	30	30	120	-228.06745752229
2.50	30	30	150	-227.89613189633
2.50	30	30	180	-223.113241666447
2.50	30	60	0	-226.406989212957
2.50	30	60	30	-227.943373375604
2.50	30	60	60	-228.035037397205
2.50	30	60	90	-228.088207421518
2.50	30	60	120	-228.070006587467
2.50	30	60	150	-227.828779407304
2.50	30	60	180	-226.406989212334
2.50	30	90	0	-227.093023393341
2.50	30	90	30	-227.866934566428
2.50	30	90	60	-228.072801911235
2.50	30	90	90	-228.088984041038
2.50	30	90	120	-228.072801910793
2.50	30	90	150	-227.866934569031
2.50	30	90	180	-227.093023391222
2.50	60	0	0	-217.105550310986
2.50	60	0	30	-227.917817606895
2.50	60	0	60	-228.067906753342
2.50	60	0	90	-228.085759431817
2.50	60	0	120	-228.067906750676
2.50	60	0	150	-227.917817603705
2.50	60	0	180	-217.105550305943
2.50	60	30	0	-223.113241665166
2.50	60	30	30	-227.930632890155
2.50	60	30	60	-228.070404115163
2.50	60	30	90	-228.086634713152
2.50	60	30	120	-228.068493045517
2.50	60	30	150	-227.913557552201
2.50	60	30	180	-223.113241666446
2.50	60	60	0	-226.406989212957
2.50	60	60	30	-227.946350673296
2.50	60	60	60	-228.073248802948
2.50	60	60	90	-228.088290741911
2.50	60	60	120	-228.071482733919
