R	0	30	60	90
2.5	2924.289685	3014.793437	1688.477138	1163.595901
2.6	2234.89498	2133.455354	1204.757665	831.27622
2.7	1671.139229	1514.348854	858.64348	593.168356
2.8	1229.579005	1075.511401	611.267786	422.751732
2.9	893.725604	763.195492	434.593505	300.941468
3.0	643.495836	540.732299	308.588726	214.002119
3.1	459.860152	382.341154	218.799352	152.035865
3.2	326.635301	269.736491	154.91992	107.909344
3.3	230.839402	189.866966	109.532781	76.496068
3.4	162.430028	133.355822	77.322524	54.08431
3.5	113.836487	93.470161	54.48571	38.17357
3.6	79.465132	65.382731	38.312255	26.876545
3.7	55.246035	45.641239	26.762431	18.884808
3.8	38.247669	31.789486	18.753603	13.251265
3.9	26.369289	21.965294	13.115787	9.304261
4.0	18.108337	15.245479	9.167389	6.552783
4.1	12.391288	10.552556	6.416074	4.637989
4.2	8.452736	7.289565	4.505845	3.300617
4.3	5.749627	5.031992	3.180714	2.357531
4.4	3.899577	3.477917	2.258607	1.68294
4.5	2.635778	2.412924	1.612126	1.193036
4.6	1.773715	1.684852	1.153963	0.833151
4.7	1.186485	1.186504	0.825608	0.567873
4.8	0.787173	0.843333	0.588401	0.373768
4.9	0.516389	0.604793	0.416821	0.234495
5.0	0.333862	0.437557	0.295598	0.137842
5.1	0.212412	0.320023	0.207948	0.0741
5.2	0.133761	0.238215	0.148325	0.035203
5.3	0.085341	0.182489	0.109583	0.01443
5.4	0.058148	0.145827	0.086071	0.006264
5.5	0.04544	0.12262	0.073209	0.00636
5.6	0.04195	0.109565	0.067473	0.011335
5.7	0.043585	0.10031	0.066166	0.018779
5.8	0.047345	0.094392	0.067353	0.027028
5.9	0.051922	0.090081	0.069731	0.035037
6.0	0.054475	0.08652	0.072448	0.042241
6.2	0.056291	0.080371	0.077075	0.053262
6.4	0.055449	0.075707	0.079477	0.059881
6.6	0.054662	0.072664	0.079441	0.063146
6.8	0.05458	0.070296	0.077326	0.064088
7.0	0.054215	0.067394	0.073794	0.063457
7.2	0.052565	0.063467	0.069557	0.061791
7.4	0.049626	0.058917	0.065163	0.05936
7.6	0.046171	0.054464	0.060961	0.056477
7.8	0.043077	0.050694	0.057105	0.053334
8.0	0.040807	0.047781	0.053576	0.050105
8.2	0.039387	0.045561	0.0503	0.046895
8.4	0.038508	0.043745	0.047221	0.043852
8.6	0.037784	0.042062	0.044297	0.040973
8.8	0.036937	0.040293	0.041521	0.038329
9.0	0.035839	0.038426	0.038869	0.03589
9.5	0.032034	0.033403	0.032959	0.03063
10.0	0.027728	0.02858	0.028084	0.026391
10.5	0.023875	0.0245	0.024134	0.022925
11.0	0.020656	0.021162	0.020932	0.020046
11.5	0.018003	0.01841	0.018277	0.017618
12.0	0.015781	0.016115	0.016059	0.01556
12.5	0.013897	0.014201	0.014175	0.013822
13.0	0.012306	0.012554	0.012587	0.012303
13.5	0.010931	0.011151	0.011214	0.011006
14.0	0.009751	0.009956	0.010016	0.009864
14.5	0.008725	0.008903	0.008996	0.008878
15.0	0.007834	0.00799	0.008081	0.008023
16.0	0.006348	0.006486	0.006592	0.006547
17.0	0.005201	0.005314	0.005407	0.005411
18.0	0.004278	0.004367	0.004478	0.004475
19.0	0.003533	0.003627	0.003709	0.003741
20.0	0.002931	0.003003	0.0031	0.003125
21.0	0.00244	0.002498	0.002586	0.002613
22.0	0.002031	0.002082	0.002168	0.002192
23.0	0.001686	0.00173	0.001818	0.001846
24.0	0.001399	0.001444	0.001522	0.001534
25.0	0.001154	0.001189	0.001256	0.001287
50.0	-0.00025	-0.000253	-0.000243	-0.000231
100.0	-1e-06	5e-06	-1e-06	0.0
