R	Gamma	E
4.00	0	18.108337
4.00	5	18.026638
4.00	10	17.781866
4.00	15	17.375313
4.00	20	16.810481
4.00	25	16.095398
4.00	30	15.245479
4.00	35	14.285553
4.00	40	13.249377
4.00	45	12.177099
4.00	50	11.111625
4.00	55	10.095409
4.00	60	9.167389
4.00	65	8.360006
4.00	70	7.695865
4.00	75	7.185802
4.00	80	6.829754
4.00	85	6.621208
4.00	90	6.552783
4.10	0	12.391288
4.10	5	12.342443
4.10	10	12.194088
4.10	15	11.942182
4.10	20	11.583003
4.10	25	11.117118
4.10	30	10.552556
4.10	35	9.906344
4.10	40	9.203166
4.10	45	8.472421
4.10	50	7.744881
4.10	55	7.050363
4.10	60	6.416074
4.10	65	5.864643
4.10	70	5.411933
4.10	75	5.065383
4.10	80	4.82451
4.10	85	4.684118
4.10	90	4.637989
4.20	0	8.452736
4.20	5	8.42461
4.20	10	8.33768
4.20	15	8.185358
4.20	20	7.960752
4.20	25	7.660831
4.20	30	7.289565
4.20	35	6.858827
4.20	40	6.386736
4.20	45	5.894538
4.20	50	5.403772
4.20	55	4.934797
4.20	60	4.505845
4.20	65	4.132285
4.20	70	3.825221
4.20	75	3.590112
4.20	80	3.426878
4.20	85	3.331989
4.20	90	3.300617
4.30	0	5.749627
4.30	5	5.734468
4.30	10	5.686136
4.30	15	5.597532
4.30	20	5.46095
4.30	25	5.271903
4.30	30	5.031992
4.30	35	4.749382
4.30	40	4.437102
4.30	45	4.11014
4.30	50	3.783081
4.30	55	3.469309
4.30	60	3.180714
4.30	65	2.927715
4.30	70	2.71835
4.30	75	2.557136
4.30	80	2.444817
4.30	85	2.380605
4.30	90	2.357531
4.40	0	3.899577
4.40	5	3.892448
4.40	10	3.868489
4.40	15	3.820969
4.40	20	3.742473
4.40	25	3.628137
4.40	30	3.477917
4.40	35	3.297083
4.40	40	3.094415
4.40	45	2.880131
4.40	50	2.663814
4.40	55	2.454048
4.40	60	2.258607
4.40	65	2.084886
4.40	70	1.939174
4.40	75	1.825621
4.40	80	1.745765
4.40	85	1.699265
4.40	90	1.68294
4.50	0	2.635778
4.50	5	2.633781
4.50	10	2.625459
4.50	15	2.604975
4.50	20	2.565421
4.50	25	2.501845
4.50	30	2.412924
4.50	35	2.301349
4.50	40	2.172672
4.50	45	2.033431
4.50	50	1.889867
4.50	55	1.747604
4.50	60	1.612126
4.50	65	1.489076
4.50	70	1.383801
4.50	75	1.300346
4.50	80	1.242374
4.50	85	1.205265
4.50	90	1.193036
4.60	0	1.773715
4.60	5	1.775052
4.60	10	1.777085
4.60	15	1.774654
4.60	20	1.761459
4.60	25	1.732352
4.60	30	1.684852
4.60	35	1.61957
4.60	40	1.539507
4.60	45	1.448754
4.60	50	1.351515
4.60	55	1.251819
4.60	60	1.153963
4.60	65	1.062777
4.60	70	0.982953
4.60	75	0.918423
4.60	80	0.872101
4.60	85	0.842859
4.60	90	0.833151
4.70	0	1.186485
4.70	5	1.190039
4.70	10	1.198955
4.70	15	1.208592
4.70	20	1.213012
4.70	25	1.20681
4.70	30	1.186504
4.70	35	1.151121
4.70	40	1.101946
4.70	45	1.041595
4.70	50	0.973137
4.70	55	0.899873
4.70	60	0.825608
4.70	65	0.754592
4.70	70	0.691092
4.70	75	0.639904
4.70	80	0.600117
4.70	85	0.575961
4.70	90	0.567873
4.80	0	0.787173
4.80	5	0.792117
4.80	10	0.805445
4.80	15	0.822786
4.80	20	0.838418
4.80	25	0.846675
4.80	30	0.843333
4.80	35	0.826447
4.80	40	0.796272
4.80	45	0.754565
4.80	50	0.703956
4.80	55	0.647394
4.80	60	0.588401
4.80	65	0.530769
4.80	70	0.47984
4.80	75	0.434766
4.80	80	0.401272
4.80	85	0.380695
4.80	90	0.373768
4.90	0	0.516389
4.90	5	0.522135
4.90	10	0.537937
4.90	15	0.559686
4.90	20	0.581732
4.90	25	0.598301
4.90	30	0.604793
4.90	35	0.598765
4.90	40	0.579974
4.90	45	0.549782
4.90	50	0.510588
4.90	55	0.465202
4.90	60	0.416821
4.90	65	0.370533
4.90	70	0.325116
4.90	75	0.286968
4.90	80	0.258272
4.90	85	0.240499
4.90	90	0.234495
5.00	0	0.333862
5.00	5	0.339926
5.00	10	0.356737
5.00	15	0.380381
5.00	20	0.405366
5.00	25	0.425969
5.00	30	0.437557
5.00	35	0.437533
5.00	40	0.425498
5.00	45	0.402693
5.00	50	0.371336
5.00	55	0.334074
5.00	60	0.295598
5.00	65	0.253987
5.00	70	0.21565
5.00	75	0.183108
5.00	80	0.158429
5.00	85	0.143068
5.00	90	0.137842
5.10	0	0.212412
5.10	5	0.218443
5.10	10	0.235203
5.10	15	0.258988
5.10	20	0.284537
5.10	25	0.306351
5.10	30	0.320023
5.10	35	0.323073
5.10	40	0.315108
5.10	45	0.297331
5.10	50	0.271801
5.10	55	0.242825
5.10	60	0.207948
5.10	65	0.173129
5.10	70	0.140733
5.10	75	0.113012
5.10	80	0.091852
5.10	85	0.078604
5.10	90	0.0741
5.20	0	0.133761
5.20	5	0.139519
5.20	10	0.155544
5.20	15	0.178301
5.20	20	0.202906
5.20	25	0.224229
5.20	30	0.238215
5.20	35	0.242595
5.20	40	0.23711
5.20	45	0.222955
5.20	50	0.203838
5.20	55	0.177191
5.20	60	0.148325
5.20	65	0.119244
5.20	70	0.091974
5.20	75	0.068461
5.20	80	0.050398
5.20	85	0.039066
5.20	90	0.035203
5.30	0	0.085341
5.30	5	0.090669
5.30	10	0.105522
5.30	15	0.126621
5.30	20	0.149423
5.30	25	0.169261
5.30	30	0.182489
5.30	35	0.187183
5.30	40	0.183216
5.30	45	0.17347
5.30	50	0.155268
5.30	55	0.133409
5.30	60	0.109583
5.30	65	0.085413
5.30	70	0.062574
5.30	75	0.042734
5.30	80	0.0274
5.30	85	0.017727
5.30	90	0.01443
5.40	0	0.058148
5.40	5	0.06301
5.40	10	0.076469
5.40	15	0.095524
5.40	20	0.11606
5.40	25	0.133898
5.40	30	0.145827
5.40	35	0.15023
5.40	40	0.148681
5.40	45	0.138406
5.40	50	0.123549
5.40	55	0.105651
5.40	60	0.086071
5.40	65	0.066089
5.40	70	0.047043
5.40	75	0.030357
5.40	80	0.017338
5.40	85	0.009101
5.40	90	0.006264
5.50	0	0.04544
5.50	5	0.049756
5.50	10	0.061734
5.50	15	0.078645
5.50	20	0.096734
5.50	25	0.112314
5.50	30	0.12262
5.50	35	0.127735
5.50	40	0.124442
5.50	45	0.116006
5.50	50	0.103821
5.50	55	0.08921
5.50	60	0.073209
5.50	65	0.056781
5.50	70	0.040961
5.50	75	0.026931
5.50	80	0.015862
5.50	85	0.008786
5.50	90	0.00636
5.60	0	0.04195
5.60	5	0.045733
5.60	10	0.056211
5.60	15	0.07091
5.60	20	0.086546
5.60	25	0.101547
5.60	30	0.109565
5.60	35	0.112012
5.60	40	0.109196
5.60	45	0.102229
5.60	50	0.09229
5.60	55	0.080438
5.60	60	0.067473
5.60	65	0.054038
5.60	70	0.040897
5.60	75	0.029036
5.60	80	0.019576
5.60	85	0.013445
5.60	90	0.011335
5.70	0	0.043585
5.70	5	0.046844
5.70	10	0.0579
5.70	15	0.070164
5.70	20	0.08301
5.70	25	0.093692
5.70	30	0.10031
5.70	35	0.102201
5.70	40	0.099773
5.70	45	0.094011
5.70	50	0.085996
5.70	55	0.076557
5.70	60	0.066166
5.70	65	0.055226
5.70	70	0.044308
5.70	75	0.034215
5.70	80	0.026023
5.70	85	0.020643
5.70	90	0.018779
5.80	0	0.047345
5.80	5	0.0514
5.80	10	0.058906
5.80	15	0.069323
5.80	20	0.080121
5.80	25	0.088993
5.80	30	0.094392
5.80	35	0.095831
5.80	40	0.093792
5.80	45	0.089195
5.80	50	0.082928
5.80	55	0.075566
5.80	60	0.067353
5.80	65	0.058489
5.80	70	0.049361
5.80	75	0.040708
5.80	80	0.033501
5.80	85	0.028716
5.80	90	0.027028
5.90	0	0.051922
5.90	5	0.054232
5.90	10	0.060588
5.90	15	0.069328
5.90	20	0.07835
5.90	25	0.085675
5.90	30	0.090081
5.90	35	0.091296
5.90	40	0.089779
5.90	45	0.086327
5.90	50	0.081652
5.90	55	0.07611
5.90	60	0.069731
5.90	65	0.062578
5.90	70	0.054866
5.90	75	0.047342
5.90	80	0.040914
5.90	85	0.036586
5.90	90	0.035037
6.00	0	0.054475
6.00	5	0.056428
6.00	10	0.061749
6.00	15	0.069101
6.00	20	0.076646
6.00	25	0.082767
6.00	30	0.08652
6.00	35	0.08772
6.00	40	0.086833
6.00	45	0.084511
6.00	50	0.081285
6.00	55	0.077303
6.00	60	0.072448
6.00	65	0.066642
6.00	70	0.060094
6.00	75	0.053429
6.00	80	0.047629
6.00	85	0.043653
6.00	90	0.042241
6.20	0	0.056291
6.20	5	0.057696
6.20	10	0.061542
6.20	15	0.066873
6.20	20	0.072426
6.20	25	0.077131
6.20	30	0.080371
6.20	35	0.082122
6.20	40	0.082652
6.20	45	0.082382
6.20	50	0.081454
6.20	55	0.07979
6.20	60	0.077075
6.20	65	0.073165
6.20	70	0.068212
6.20	75	0.062814
6.20	80	0.057905
6.20	85	0.05448
6.20	90	0.053262
6.40	0	0.055449
6.40	5	0.056514
6.40	10	0.059494
6.40	15	0.063686
6.40	20	0.068246
6.40	25	0.072392
6.40	30	0.075707
6.40	35	0.078134
6.40	40	0.079827
6.40	45	0.080904
6.40	50	0.081386
6.40	55	0.08101
6.40	60	0.079477
6.40	65	0.076631
6.40	70	0.07266
6.40	75	0.068154
6.40	80	0.063944
6.40	85	0.060951
6.40	90	0.059881
6.60	0	0.054662
6.60	5	0.055543
6.60	10	0.058003
6.60	15	0.06153
6.60	20	0.065476
6.60	25	0.06931
6.60	30	0.072664
6.60	35	0.075414
6.60	40	0.077615
6.60	45	0.079268
6.60	50	0.080288
6.60	55	0.08042
6.60	60	0.079441
6.60	65	0.077205
6.60	70	0.07393
6.60	75	0.070156
6.60	80	0.066585
6.60	85	0.064065
6.60	90	0.063146
6.80	0	0.05458
6.80	5	0.055311
6.80	10	0.057375
6.80	15	0.060377
6.80	20	0.063812
6.80	25	0.067209
6.80	30	0.070296
6.80	35	0.072916
6.80	40	0.075062
6.80	45	0.076728
6.80	50	0.077777
6.80	55	0.078053
6.80	60	0.077326
6.80	65	0.075555
6.80	70	0.0729
6.80	75	0.069811
6.80	80	0.066911
6.80	85	0.064839
6.80	90	0.064088
7.00	0	0.054215
7.00	5	0.05482
7.00	10	0.056528
7.00	15	0.059017
7.00	20	0.061905
7.00	25	0.064751
7.00	30	0.067394
7.00	35	0.069653
7.00	40	0.071542
7.00	45	0.072997
7.00	50	0.073964
7.00	55	0.074274
7.00	60	0.073794
7.00	65	0.07247
7.00	70	0.070422
7.00	75	0.067989
7.00	80	0.06569
7.00	85	0.064065
7.00	90	0.063457
7.20	0	0.052565
7.20	5	0.053059
7.20	10	0.05446
7.20	15	0.056499
7.20	20	0.058864
7.20	25	0.061259
7.20	30	0.063467
7.20	35	0.065438
7.20	40	0.067069
7.20	45	0.068423
7.20	50	0.069356
7.20	55	0.069778
7.20	60	0.069557
7.20	65	0.068642
7.20	70	0.067139
7.20	75	0.065269
7.20	80	0.063519
7.20	85	0.062267
7.20	90	0.061791
7.40	0	0.049626
7.40	5	0.050048
7.40	10	0.051195
7.40	15	0.052896
7.40	20	0.054897
7.40	25	0.056959
7.40	30	0.058917
7.40	35	0.060694
7.40	40	0.062265
7.40	45	0.063577
7.40	50	0.064571
7.40	55	0.065135
7.40	60	0.065163
7.40	65	0.064585
7.40	70	0.063482
7.40	75	0.062082
7.40	80	0.060727
7.40	85	0.059743
7.40	90	0.05936
7.60	0	0.046171
7.60	5	0.046525
7.60	10	0.047522
7.60	15	0.049001
7.60	20	0.050773
7.60	25	0.052638
7.60	30	0.054464
7.60	35	0.056184
7.60	40	0.057736
7.60	45	0.059075
7.60	50	0.060128
7.60	55	0.060798
7.60	60	0.060961
7.60	65	0.060602
7.60	70	0.059772
7.60	75	0.058663
7.60	80	0.057583
7.60	85	0.056781
7.60	90	0.056477
7.80	0	0.043077
7.80	5	0.043386
7.80	10	0.044259
7.80	15	0.045601
7.80	20	0.047218
7.80	25	0.04896
7.80	30	0.050694
7.80	35	0.052355
7.80	40	0.053868
7.80	45	0.055207
7.80	50	0.056236
7.80	55	0.056896
7.80	60	0.057105
7.80	65	0.05682
7.80	70	0.056129
7.80	75	0.055189
7.80	80	0.054264
7.80	85	0.05359
7.80	90	0.053334
8.00	0	0.040807
8.00	5	0.041076
8.00	10	0.041868
8.00	15	0.043081
8.00	20	0.044553
8.00	25	0.046153
8.00	30	0.047781
8.00	35	0.049324
8.00	40	0.050736
8.00	45	0.051959
8.00	50	0.052887
8.00	55	0.053432
8.00	60	0.053576
8.00	65	0.053267
8.00	70	0.052617
8.00	75	0.051757
8.00	80	0.050928
8.00	85	0.050309
8.00	90	0.050105
8.20	0	0.039387
8.20	5	0.039639
8.20	10	0.040322
8.20	15	0.041384
8.20	20	0.042682
8.20	25	0.04411
8.20	30	0.045561
8.20	35	0.046924
8.20	40	0.048155
8.20	45	0.049167
8.20	50	0.04991
8.20	55	0.0503
8.20	60	0.0503
8.20	65	0.04993
8.20	70	0.049267
8.20	75	0.04845
8.20	80	0.047661
8.20	85	0.047118
8.20	90	0.046895
8.40	0	0.038508
8.40	5	0.038705
8.40	10	0.039294
8.40	15	0.040205
8.40	20	0.041321
8.40	25	0.042524
8.40	30	0.043745
8.40	35	0.044886
8.40	40	0.045864
8.40	45	0.046648
8.40	50	0.047159
8.40	55	0.047359
8.40	60	0.047221
8.40	65	0.046766
8.40	70	0.046072
8.40	75	0.045289
8.40	80	0.044551
8.40	85	0.044027
8.40	90	0.043852
8.60	0	0.037784
8.60	5	0.037954
8.60	10	0.038446
8.60	15	0.039176
8.60	20	0.040088
8.60	25	0.041076
8.60	30	0.042062
8.60	35	0.042945
8.60	40	0.043697
8.60	45	0.044238
8.60	50	0.044538
8.60	55	0.044558
8.60	60	0.044297
8.60	65	0.04378
8.60	70	0.043078
8.60	75	0.042314
8.60	80	0.04163
8.60	85	0.041145
8.60	90	0.040973
8.80	0	0.036937
8.80	5	0.037086
8.80	10	0.037473
8.80	15	0.038054
8.80	20	0.038791
8.80	25	0.039554
8.80	30	0.040293
8.80	35	0.040977
8.80	40	0.041489
8.80	45	0.041835
8.80	50	0.041971
8.80	55	0.041851
8.80	60	0.041521
8.80	65	0.040956
8.80	70	0.040263
8.80	75	0.03954
8.80	80	0.038909
8.80	85	0.038469
8.80	90	0.038329
9.00	0	0.035839
9.00	5	0.035944
9.00	10	0.036265
9.00	15	0.036712
9.00	20	0.037278
9.00	25	0.037866
9.00	30	0.038426
9.00	35	0.038911
9.00	40	0.039264
9.00	45	0.039463
9.00	50	0.03946
9.00	55	0.039242
9.00	60	0.038869
9.00	65	0.038303
9.00	70	0.03765
9.00	75	0.036993
9.00	80	0.03641
9.00	85	0.036014
9.00	90	0.03589
9.50	0	0.032034
9.50	5	0.032087
9.50	10	0.032251
9.50	15	0.032508
9.50	20	0.032817
9.50	25	0.033118
9.50	30	0.033403
9.50	35	0.033607
9.50	40	0.033715
9.50	45	0.033706
9.50	50	0.033587
9.50	55	0.03333
9.50	60	0.032959
9.50	65	0.032492
9.50	70	0.031967
9.50	75	0.031458
9.50	80	0.031037
9.50	85	0.03074
9.50	90	0.03063
10.00	0	0.027728
10.00	5	0.027774
10.00	10	0.027875
10.00	15	0.028046
10.00	20	0.028221
10.00	25	0.028426
10.00	30	0.02858
10.00	35	0.028697
10.00	40	0.028741
10.00	45	0.028714
10.00	50	0.02859
10.00	55	0.028381
10.00	60	0.028084
10.00	65	0.02772
10.00	70	0.027355
10.00	75	0.026983
10.00	80	0.026679
10.00	85	0.026461
10.00	90	0.026391
10.50	0	0.023875
10.50	5	0.023909
10.50	10	0.023987
10.50	15	0.024103
10.50	20	0.024235
10.50	25	0.02438
10.50	30	0.0245
10.50	35	0.024595
10.50	40	0.024622
10.50	45	0.0246
10.50	50	0.024497
10.50	55	0.024355
10.50	60	0.024134
10.50	65	0.02388
10.50	70	0.023611
10.50	75	0.023356
10.50	80	0.023125
10.50	85	0.022978
10.50	90	0.022925
11.00	0	0.020656
11.00	5	0.020679
11.00	10	0.020742
11.00	15	0.02083
11.00	20	0.020938
11.00	25	0.02106
11.00	30	0.021162
11.00	35	0.021232
11.00	40	0.021264
11.00	45	0.021262
11.00	50	0.021197
11.00	55	0.02108
11.00	60	0.020932
11.00	65	0.020743
11.00	70	0.020542
11.00	75	0.020345
11.00	80	0.020179
11.00	85	0.020078
11.00	90	0.020046
11.50	0	0.018003
11.50	5	0.018004
11.50	10	0.018064
11.50	15	0.018146
11.50	20	0.018229
11.50	25	0.01832
11.50	30	0.01841
11.50	35	0.018471
11.50	40	0.018511
