	0	1	2
989	3.9000000000	65.0000000000	-15.2745747861
318	4.3000000000	20.0000000000	-15.1898915978
542	4.2000000000	35.0000000000	-15.1890266490
1138	3.8000000000	75.0000000000	-15.1827000715
1213	3.8000000000	80.0000000000	-15.0947677804
1288	3.8000000000	85.0000000000	-15.0392529915
1064	3.9000000000	70.0000000000	-15.0263011342
1363	3.8000000000	90.0000000000	-15.0187665702
915	4.0000000000	60.0000000000	-14.9183531950
1139	3.9000000000	75.0000000000	-14.8229074082
766	4.1000000000	50.0000000000	-14.8190797734
1362	3.7000000000	90.0000000000	-14.8085316008
1287	3.7000000000	85.0000000000	-14.8081172333
1212	3.7000000000	80.0000000000	-14.7952865274
393	4.3000000000	25.0000000000	-14.7792084747
1137	3.7000000000	75.0000000000	-14.7685490283
1062	3.7000000000	70.0000000000	-14.7209434453
1214	3.9000000000	80.0000000000	-14.6717203364
617	4.2000000000	40.0000000000	-14.6620390899
987	3.7000000000	65.0000000000	-14.6451873886
1289	3.9000000000	85.0000000000	-14.5801370850
990	4.0000000000	65.0000000000	-14.5641042411
1364	3.9000000000	90.0000000000	-14.5465664643
912	3.7000000000	60.0000000000	-14.5358686114
19	4.4000000000	0.0000000000	-14.4037117425
94	4.4000000000	5.0000000000	-14.3549730146
841	4.1000000000	55.0000000000	-14.3535378675
468	4.3000000000	30.0000000000	-14.3222559305
1065	4.0000000000	70.0000000000	-14.2601492188
169	4.4000000000	10.0000000000	-14.2113586918
837	3.7000000000	55.0000000000	-14.2024987199
692	4.2000000000	45.0000000000	-14.1465144741
1140	4.0000000000	75.0000000000	-14.0141192540
244	4.4000000000	15.0000000000	-13.9803829311
762	3.7000000000	50.0000000000	-13.9701271013
916	4.1000000000	60.0000000000	-13.9289519060
612	3.7000000000	40.0000000000	-13.8995473543
543	4.3000000000	35.0000000000	-13.8393757496
1215	4.0000000000	80.0000000000	-13.8330226176
1290	4.0000000000	85.0000000000	-13.7245494769
687	3.7000000000	45.0000000000	-13.7177244738
