R	phi	theta2	theta1	E
2.50	0	0	0	-185.507172887866
2.50	0	0	30	-190.116433971371
2.50	0	0	60	-190.201157358871
2.50	0	0	90	-190.221838640181
2.50	0	0	120	-190.201157357193
2.50	0	0	150	-190.116433973124
2.50	0	0	180	-185.507172889883
2.50	0	30	0	-185.818624374601
2.50	0	30	30	-190.129030702745
2.50	0	30	60	-190.202604245642
2.50	0	30	90	-190.223068001938
2.50	0	30	120	-190.201605293726
2.50	0	30	150	-190.073793031281
2.50	0	30	180	-185.818624376007
2.50	0	60	0	-186.34728948756
2.50	0	60	30	-190.093542809682
2.50	0	60	60	-190.204418293255
2.50	0	60	90	-190.225277213378
2.50	0	60	120	-190.203404295977
2.50	0	60	150	-190.020828415298
2.50	0	60	180	-186.347289487474
2.50	0	90	0	-186.575046981835
2.50	0	90	30	-190.025308474664
2.50	0	90	60	-190.204756746702
2.50	0	90	90	-190.226268167923
2.50	0	90	120	-190.204756748454
2.50	0	90	150	-190.025308475085
2.50	0	90	180	-186.575046980551
2.50	30	0	0	-185.507172887866
2.50	30	0	30	-190.116437256431
2.50	30	0	60	-190.201160190663
2.50	30	0	90	-190.22184024495
2.50	30	0	120	-190.201160190402
2.50	30	0	150	-190.116437257922
2.50	30	0	180	-185.507172889883
2.50	30	30	0	-185.8186243746
2.50	30	30	30	-190.130534404076
2.50	30	30	60	-190.202695861615
2.50	30	30	90	-190.223031997676
2.50	30	30	120	-190.201850883354
2.50	30	30	150	-190.084702129495
2.50	30	30	180	-185.818624376007
2.50	30	60	0	-186.347289487563
2.50	30	60	30	-190.10960436322
2.50	30	60	60	-190.204792314676
2.50	30	60	90	-190.225182947757
2.50	30	60	120	-190.203964771745
2.50	30	60	150	-190.055761593636
2.50	30	60	180	-186.347289487475
2.50	30	90	0	-186.575046981836
2.50	30	90	30	-190.065800362276
2.50	30	90	60	-190.205360515606
2.50	30	90	90	-190.226152599515
2.50	30	90	120	-190.205360516563
2.50	30	90	150	-190.065800362951
2.50	30	90	180	-186.575046980547
2.50	60	0	0	-185.507172887865
2.50	60	0	30	-190.116436192951
2.50	60	0	60	-190.201158871397
2.50	60	0	90	-190.221838615102
2.50	60	0	120	-190.201158868999
2.50	60	0	150	-190.116436192806
2.50	60	0	180	-185.507172889882
2.50	60	30	0	-185.818624374599
2.50	60	30	30	-190.131015602101
2.50	60	30	60	-190.202831115887
2.50	60	30	90	-190.22295670049
2.50	60	30	120	-190.202366118525
2.50	60	30	150	-190.106672078739
2.50	60	30	180	-185.818624376005
2.50	60	60	0	-186.34728948756
2.50	60	60	30	-190.131545428539
2.50	60	60	60	-190.205481327553
2.50	60	60	90	-190.224995092719
2.50	60	60	120	-190.205057997846
2.50	60	60	150	-190.108094736741
2.50	60	60	180	-186.347289487473
2.50	60	90	0	-186.575046981835
2.50	60	90	30	-190.118771534391
2.50	60	90	60	-190.206504626281
2.50	60	90	90	-190.225923363554
2.50	60	90	120	-190.206504624783
2.50	60	90	150	-190.118771529824
2.50	60	90	180	-186.575046980549
2.50	90	0	0	-185.507172887866
2.50	90	0	30	-190.116433971431
2.50	90	0	60	-190.201156622928
2.50	90	0	90	-190.221838637867
2.50	90	0	120	-190.201156624101
2.50	90	0	150	-190.116433972274
2.50	90	0	180	-185.507172889882
2.50	90	30	0	-185.8186243746
2.50	90	30	30	-190.123929964069
2.50	90	30	60	-190.202757178992
2.50	90	30	90	-190.22292031751
2.50	90	30	120	-190.202757179901
2.50	90	30	150	-190.123929965351
2.50	90	30	180	-185.818624376007
2.50	90	60	0	-186.34728948756
2.50	90	60	30	-190.133465349652
2.50	90	60	60	-190.205700953987
2.50	90	60	90	-190.224903763777
2.50	90	60	120	-190.205700953916
2.50	90	60	150	-190.133465347704
2.50	90	60	180	-186.347289487476
2.50	90	90	0	-186.575046981834
2.50	90	90	30	-190.136390261618
2.50	90	90	60	-190.207056474873
2.50	90	90	90	-190.225811225256
2.50	90	90	120	-190.207056475307
2.50	90	90	150	-190.136390262732
2.50	90	90	180	-186.575046980548
2.60	0	0	0	-186.180918312166
2.60	0	0	30	-190.133098908077
2.60	0	0	60	-190.20813666178
2.60	0	0	90	-190.224516265105
2.60	0	0	120	-190.208136662404
2.60	0	0	150	-190.133098908951
2.60	0	0	180	-186.180918312843
2.60	0	30	0	-186.260197018178
2.60	0	30	30	-190.145356175283
2.60	0	30	60	-190.209279839198
2.60	0	30	90	-190.225489189514
2.60	0	30	120	-190.208452730652
2.60	0	30	150	-190.092896867631
2.60	0	30	180	-186.260197015056
2.60	0	60	0	-186.398127782126
2.60	0	60	30	-190.119254454167
2.60	0	60	60	-190.210669422261
2.60	0	60	90	-190.227235185816
2.60	0	60	120	-190.209791041896
2.60	0	60	150	-190.045687027113
2.60	0	60	180	-186.398127782249
2.60	0	90	0	-186.458506268376
2.60	0	90	30	-190.060469553988
2.60	0	90	60	-190.210864220341
2.60	0	90	90	-190.22801689898
2.60	0	90	120	-190.210864217733
2.60	0	90	150	-190.06046955224
2.60	0	90	180	-186.458506270057
2.60	30	0	0	-186.180918312166
2.60	30	0	30	-190.133101163945
2.60	30	0	60	-190.208139083105
2.60	30	0	90	-190.224517884261
2.60	30	0	120	-190.208139083677
2.60	30	0	150	-190.13310116281
2.60	30	0	180	-186.180918312843
2.60	30	30	0	-186.260197018178
2.60	30	30	30	-190.146187930999
2.60	30	30	60	-190.209347056807
2.60	30	30	90	-190.225455758564
2.60	30	30	120	-190.208646119761
2.60	30	30	150	-190.102963722414
2.60	30	30	180	-186.260197015056
2.60	30	60	0	-186.398127782127
2.60	30	60	30	-190.130849353095
2.60	30	60	60	-190.210961750926
2.60	30	60	90	-190.227147289401
2.60	30	60	120	-190.210241432397
2.60	30	60	150	-190.077001984492
2.60	30	60	180	-186.398127782249
2.60	30	90	0	-186.45850626838
2.60	30	90	30	-190.092532833337
2.60	30	90	60	-190.211349008595
2.60	30	90	90	-190.227908884462
2.60	30	90	120	-190.211349006825
2.60	30	90	150	-190.092532830309
2.60	30	90	180	-186.458506270056
2.60	60	0	0	-186.180918312166
2.60	60	0	30	-190.133100373606
2.60	60	0	60	-190.208137898993
2.60	60	0	90	-190.224516241274
2.60	60	0	120	-190.208137900414
2.60	60	0	150	-190.133100373879
2.60	60	0	180	-186.180918312844
2.60	60	30	0	-186.260197018178
2.60	60	30	30	-190.145741121426
2.60	60	30	60	-190.209441023837
2.60	60	30	90	-190.225385579007
2.60	60	30	120	-190.209053656661
2.60	60	30	150	-190.123087006508
2.60	60	30	180	-186.260197015056
2.60	60	60	0	-186.398127782125
2.60	60	60	30	-190.146905231442
2.60	60	60	60	-190.211496690748
2.60	60	60	90	-190.226971513889
2.60	60	60	120	-190.211124669679
2.60	60	60	150	-190.123981304586
2.60	60	60	180	-186.398127782251
2.60	60	90	0	-186.458506268377
2.60	60	90	30	-190.135498796965
2.60	60	90	60	-190.212267816093
2.60	60	90	90	-190.227693750893
2.60	60	90	120	-190.212267811729
2.60	60	90	150	-190.135498797756
2.60	60	90	180	-186.458506270054
2.60	90	0	0	-186.180918312166
2.60	90	0	30	-190.133098911931
2.60	90	0	60	-190.208135719087
2.60	90	0	90	-190.224516265593
2.60	90	0	120	-190.208135717802
2.60	90	0	150	-190.133098910011
2.60	90	0	180	-186.180918312843
2.60	90	30	0	-186.260197018178
2.60	90	30	30	-190.138862197609
2.60	90	30	60	-190.20936925511
2.60	90	30	90	-190.225351750781
2.60	90	30	120	-190.209369252637
2.60	90	30	150	-190.138862199021
2.60	90	30	180	-186.260197015056
2.60	90	60	0	-186.398127782127
2.60	90	60	30	-190.147155792037
2.60	90	60	60	-190.211651285556
2.60	90	60	90	-190.226885994411
2.60	90	60	120	-190.211651286053
2.60	90	60	150	-190.147155794212
2.60	90	60	180	-186.39812778225
2.60	90	90	0	-186.458506268379
2.60	90	90	30	-190.150076114601
2.60	90	90	60	-190.212706889938
2.60	90	90	90	-190.227588312586
2.60	90	90	120	-190.212706890359
2.60	90	90	150	-190.15007611441
2.60	90	90	180	-186.458506270054
2.70	0	0	0	-184.960161210258
2.70	0	0	30	-190.145593005015
2.70	0	0	60	-190.213621648101
2.70	0	0	90	-190.226481920002
2.70	0	0	120	-190.213621648435
2.70	0	0	150	-190.14559300395
2.70	0	0	180	-184.960161209233
2.70	0	30	0	-185.56243146151
2.70	0	30	30	-190.158488137909
2.70	0	30	60	-190.214522877848
2.70	0	30	90	-190.227250268199
2.70	0	30	120	-190.213838399138
2.70	0	30	150	-190.108167788142
2.70	0	30	180	-185.562431466706
2.70	0	60	0	-186.522960112327
2.70	0	60	30	-190.140590978129
2.70	0	60	60	-190.215595943833
2.70	0	60	90	-190.228626448619
2.70	0	60	120	-190.21483523497
2.70	0	60	150	-190.070360328399
2.70	0	60	180	-186.522960113526
2.70	0	90	0	-186.913225728172
2.70	0	90	30	-190.092389082152
2.70	0	90	60	-190.215692410415
2.70	0	90	90	-190.229241006261
2.70	0	90	120	-190.21569240949
2.70	0	90	150	-190.092389081573
2.70	0	90	180	-186.913225728523
2.70	30	0	0	-184.960161210259
2.70	30	0	30	-190.1455944295
2.70	30	0	60	-190.213623758262
2.70	30	0	90	-190.226483551881
2.70	30	0	120	-190.213623756216
2.70	30	0	150	-190.145594429879
2.70	30	0	180	-184.960161209233
2.70	30	30	0	-185.562431461509
2.70	30	30	30	-190.158747630196
2.70	30	30	60	-190.214571737592
2.70	30	30	90	-190.227220020995
2.70	30	30	120	-190.213991381333
2.70	30	30	150	-190.117382709756
2.70	30	30	180	-185.562431466706
2.70	30	60	0	-186.522960112329
2.70	30	60	30	-190.148470024486
2.70	30	60	60	-190.215819636462
2.70	30	60	90	-190.228546650557
2.70	30	60	120	-190.21519557551
2.70	30	60	150	-190.097020070535
2.70	30	60	180	-186.522960113521
2.70	30	90	0	-186.913225728172
2.70	30	90	30	-190.116387263155
2.70	30	90	60	-190.216077037939
2.70	30	90	90	-190.22914278485
2.70	30	90	120	-190.216077038899
2.70	30	90	150	-190.116387263911
2.70	30	90	180	-186.913225728519
2.70	60	0	0	-184.960161210259
2.70	60	0	30	-190.145593917647
2.70	60	0	60	-190.213622678139
2.70	60	0	90	-190.2264818975
2.70	60	0	120	-190.213622679294
2.70	60	0	150	-190.145593919962
2.70	60	0	180	-184.960161209232
2.70	60	30	0	-185.562431461508
2.70	60	30	30	-190.157382695144
2.70	60	30	60	-190.214635628328
2.70	60	30	90	-190.227156135268
2.70	60	30	120	-190.214314510048
2.70	60	30	150	-190.135809195823
2.70	60	30	180	-185.562431466705
2.70	60	60	0	-186.52296011233
2.70	60	60	30	-190.159336887216
2.70	60	60	60	-190.216225770701
2.70	60	60	90	-190.228386464867
2.70	60	60	120	-190.21590495906
2.70	60	60	150	-190.137572913584
2.70	60	60	180	-186.522960113524
2.70	60	90	0	-186.913225728172
2.70	60	90	30	-190.149518812297
2.70	60	90	60	-190.21680578802
2.70	60	90	90	-190.22894642736
2.70	60	90	120	-190.21680578753
2.70	60	90	150	-190.149518812687
2.70	60	90	180	-186.913225728521
2.70	90	0	0	-184.960161210259
2.70	90	0	30	-190.145593005365
2.70	90	0	60	-190.213620545773
2.70	90	0	90	-190.226481922382
2.70	90	0	120	-190.213620545415
2.70	90	0	150	-190.145593005433
2.70	90	0	180	-184.960161209233
2.70	90	30	0	-185.56243146151
2.70	90	30	30	-190.150437189773
2.70	90	30	60	-190.2145687352
2.70	90	30	90	-190.22712541886
2.70	90	30	120	-190.21456873539
2.70	90	30	150	-190.150437188013
2.70	90	30	180	-185.562431466704
2.70	90	60	0	-186.522960112329
2.70	90	60	30	-190.158107215561
2.70	90	60	60	-190.216332046586
2.70	90	60	90	-190.228308503014
2.70	90	60	120	-190.216332048593
2.70	90	60	150	-190.158107217507
2.70	90	60	180	-186.522960113524
2.70	90	90	0	-186.913225728173
2.70	90	90	30	-190.161059936721
2.70	90	90	60	-190.217150695924
2.70	90	90	90	-190.228850134936
2.70	90	90	120	-190.217150697521
2.70	90	90	150	-190.161059938208
2.70	90	90	180	-186.91322572852
2.80	0	0	0	-180.262902694312
2.80	0	0	30	-190.155127036836
2.80	0	0	60	-190.217899921897
2.80	0	0	90	-190.227905591831
2.80	0	0	120	-190.217899920703
2.80	0	0	150	-190.155127037036
2.80	0	0	180	-180.26290269655
2.80	0	30	0	-183.87040839334
2.80	0	30	30	-190.168495212562
2.80	0	30	60	-190.218606809707
2.80	0	30	90	-190.228511714978
2.80	0	30	120	-190.218046506292
2.80	0	30	150	-190.121376966446
2.80	0	30	180	-183.870408394344
2.80	0	60	0	-186.88202555106
2.80	0	60	30	-190.15735601786
2.80	0	60	60	-190.219437368892
2.80	0	60	90	-190.229595027303
2.80	0	60	120	-190.218796167194
2.80	0	60	150	-190.094328437033
2.80	0	60	180	-186.882025548155
2.80	0	90	0	-187.704978270785
2.80	0	90	30	-190.119649993253
2.80	0	90	60	-190.219483965912
2.80	0	90	90	-190.230077417446
2.80	0	90	120	-190.219483967732
2.80	0	90	150	-190.119649991267
2.80	0	90	180	-187.704978270268
2.80	30	0	0	-180.262902694314
2.80	30	0	30	-190.155127815192
2.80	30	0	60	-190.217901788041
2.80	30	0	90	-190.227907219556
2.80	30	0	120	-190.217901792597
2.80	30	0	150	-190.155127815169
2.80	30	0	180	-180.262902696549
2.80	30	30	0	-183.870408393337
2.80	30	30	30	-190.168333150133
2.80	30	30	60	-190.21864208431
2.80	30	30	90	-190.228484861077
2.80	30	30	120	-190.218167154952
2.80	30	30	150	-190.129579345626
2.80	30	30	180	-183.870408394349
2.80	30	60	0	-186.882025551061
2.80	30	60	30	-190.16236604736
2.80	30	60	60	-190.219606350717
2.80	30	60	90	-190.229523923267
2.80	30	60	120	-190.219080672612
2.80	30	60	150	-190.115751358355
2.80	30	60	180	-186.882025548152
2.80	30	90	0	-187.704978270786
2.80	30	90	30	-190.136688597184
2.80	30	90	60	-190.219782155799
2.80	30	90	90	-190.229989790563
2.80	30	90	120	-190.219782155938
2.80	30	90	150	-190.136688598687
2.80	30	90	180	-187.704978270265
2.80	60	0	0	-180.262902694312
2.80	60	0	30	-190.155127564488
2.80	60	0	60	-190.217900793856
