E (cm-1),1->0	,E (cm-1),2->0	,E (cm-1),3->0	,E (cm-1),4->0	,E (cm-1),5->0	,E (cm-1),6->0	,E (cm-1),7->0	,E (cm-1),8->0	,E (cm-1),9->0	,E (cm-1),10->0	,E (cm-1),2->1	,E (cm-1),3->1	,E (cm-1),4->1	,E (cm-1),5->1	,E (cm-1),6->1	,E (cm-1),7->1	,E (cm-1),8->1	,E (cm-1),9->1	,E (cm-1),10->1	,E (cm-1),3->2	,E (cm-1),4->2	,E (cm-1),5->2	,E (cm-1),6->2	,E (cm-1),7->2	,E (cm-1),8->2	,E (cm-1),9->2	,E (cm-1),10->2	,E (cm-1),4->3	,E (cm-1),5->3	,E (cm-1),6->3	,E (cm-1),7->3	,E (cm-1),8->3	,E (cm-1),9->3	,E (cm-1),10->3	,E (cm-1),5->4	,E (cm-1),6->4	,E (cm-1),7->4	,E (cm-1),8->4	,E (cm-1),9->4	,E (cm-1),10->4	,E (cm-1),6->5	,E (cm-1),7->5	,E (cm-1),8->5	,E (cm-1),9->5	,E (cm-1),10->5	,E (cm-1),7->6	,E (cm-1),8->6	,E (cm-1),9->6	,E (cm-1),10->6	,E (cm-1),8->7	,E (cm-1),9->7	,E (cm-1),10->7	,E (cm-1),9->8	,E (cm-1),10->8	,E (cm-1),10->9	
0.04400000000000001,132.274,0.03199999999999997,29.0198,0.013999999999999901,13.7074,0.040000000000000036,2.16523,0.010000000000000231,16.954,0.02400000000000002,6.93237,0.03200000000000003,1.38536,0.034000000000000696,2.07665,0.03000000000000025,2.57624,0.019999999999999574,3.32877,0.03199999999999997,14.919,0.013999999999999901,23.1002,0.040000000000000036,57.7332,0.010000000000000231,48.1226,0.02400000000000002,11.4289,0.03200000000000003,8.54041,0.034000000000000696,26.9845,0.03000000000000025,2.71197,0.019999999999999574,7.36821,0.013999999999999901,341.122,0.040000000000000036,298.161,0.010000000000000231,175.3,0.02400000000000002,33.9964,0.03200000000000003,76.2163,0.034000000000000696,46.7934,0.03000000000000025,14.6088,0.019999999999999574,23.9523,0.040000000000000036,151.514,0.010000000000000231,83.9752,0.02400000000000002,58.3541,0.03200000000000003,46.0732,0.034000000000000696,43.7484,0.03000000000000025,25.1299,0.019999999999999574,19.1779,0.010000000000000231,468.896,0.02400000000000002,89.3172,0.03200000000000003,60.2082,0.034000000000000696,25.3474,0.03000000000000025,35.2338,0.019999999999999574,41.449,0.02400000000000002,61.3083,0.03200000000000003,132.736,0.034000000000000696,104.579,0.03000000000000025,10.4073,0.019999999999999574,65.1115,0.03200000000000003,175.335,0.034000000000000696,147.489,0.03000000000000025,99.8841,0.019999999999999574,38.4278,0.034000000000000696,214.84,0.03000000000000025,58.6002,0.019999999999999574,139.355,0.03000000000000025,157.901,0.019999999999999574,150.927,0.019999999999999574,151.904
0.094,190.933,0.08200000000000002,88.8188,0.06399999999999995,3.52837,0.08999999999999986,27.2523,0.06000000000000005,27.6146,0.07400000000000029,10.9527,0.08199999999999985,1.58746,0.08400000000000052,3.72464,0.08000000000000007,2.65276,0.07000000000000028,7.33126,0.08200000000000002,101.894,0.06399999999999995,17.5974,0.08999999999999986,31.1849,0.06000000000000005,23.6096,0.07400000000000029,28.3835,0.08199999999999985,11.7269,0.08400000000000052,26.504,0.08000000000000007,5.74805,0.07000000000000028,6.31941,0.06399999999999995,135.709,0.08999999999999986,91.1585,0.06000000000000005,119.133,0.07400000000000029,60.2087,0.08199999999999985,47.911,0.08400000000000052,43.4568,0.08000000000000007,18.8306,0.07000000000000028,18.3242,0.08999999999999986,262.152,0.06000000000000005,76.0441,0.07400000000000029,107.8,0.08199999999999985,48.8625,0.08400000000000052,39.9752,0.08000000000000007,17.3957,0.07000000000000028,37.7552,0.06000000000000005,104.799,0.07400000000000029,135.025,0.08199999999999985,129.431,0.08400000000000052,45.9812,0.08000000000000007,43.5486,0.07000000000000028,20.8209,0.07400000000000029,248.851,0.08199999999999985,111.608,0.08400000000000052,123.402,0.08000000000000007,27.7632,0.07000000000000028,53.9213,0.08199999999999985,214.584,0.08400000000000052,84.1533,0.08000000000000007,138.256,0.07000000000000028,74.5153,0.08400000000000052,320.067,0.08000000000000007,52.6893,0.07000000000000028,177.531,0.08000000000000007,155.579,0.07000000000000028,92.4141,0.07000000000000028,191.589
0.144,56.6586,0.13199999999999995,22.3217,0.11399999999999999,59.1522,0.1399999999999999,9.36084,0.11000000000000032,19.2323,0.12400000000000011,9.38134,0.13199999999999967,2.38008,0.13400000000000034,11.0042,0.13000000000000078,3.8597,0.11999999999999922,5.00459,0.13199999999999995,54.7392,0.11399999999999999,122.552,0.1399999999999999,64.8555,0.11000000000000032,17.6193,0.12400000000000011,64.2179,0.13199999999999967,12.2754,0.13400000000000034,30.7468,0.13000000000000078,6.11461,0.11999999999999922,9.04781,0.11399999999999999,336.951,0.1399999999999999,34.9051,0.11000000000000032,149.788,0.12400000000000011,42.4464,0.13199999999999967,28.9158,0.13400000000000034,18.5453,0.13000000000000078,35.3551,0.11999999999999922,25.3036,0.1399999999999999,194.261,0.11000000000000032,57.1012,0.12400000000000011,116.774,0.13199999999999967,50.9581,0.13400000000000034,47.1807,0.13000000000000078,31.8562,0.11999999999999922,33.2609,0.11000000000000032,207.162,0.12400000000000011,155.428,0.13199999999999967,133.381,0.13400000000000034,37.5555,0.13000000000000078,77.6339,0.11999999999999922,28.5539,0.12400000000000011,153.945,0.13199999999999967,134.011,0.13400000000000034,131.52,0.13000000000000078,37.8434,0.11999999999999922,49.8341,0.13199999999999967,328.881,0.13400000000000034,107.847,0.13000000000000078,150.361,0.11999999999999922,61.8962,0.13400000000000034,210.963,0.13000000000000078,140.431,0.11999999999999922,124.157,0.13000000000000078,218.712,0.11999999999999922,150.857,0.11999999999999922,266.885
0.19399999999999998,89.6781,0.182,60.5049,0.16400000000000003,18.2518,0.18999999999999995,30.399,0.16000000000000014,7.33179,0.17400000000000038,3.03097,0.1819999999999995,4.64536,0.18400000000000016,13.4359,0.1800000000000006,4.82032,0.16999999999999993,3.70676,0.182,146.849,0.16400000000000003,164.903,0.18999999999999995,59.8176,0.16000000000000014,22.3254,0.17400000000000038,23.8896,0.1819999999999995,12.6671,0.18400000000000016,23.8289,0.1800000000000006,10.9808,0.16999999999999993,16.146,0.16400000000000003,156.349,0.18999999999999995,97.1447,0.16000000000000014,85.6696,0.17400000000000038,27.7008,0.1819999999999995,19.8135,0.18400000000000016,22.0695,0.1800000000000006,46.5345,0.16999999999999993,31.1108,0.18999999999999995,239.914,0.16000000000000014,97.7524,0.17400000000000038,109.776,0.1819999999999995,47.654,0.18400000000000016,60.7469,0.1800000000000006,28.4022,0.16999999999999993,34.7304,0.16000000000000014,186.189,0.17400000000000038,135.132,0.1819999999999995,107.721,0.18400000000000016,50.0072,0.1800000000000006,47.7369,0.16999999999999993,30.1576,0.17400000000000038,325.7,0.1819999999999995,160.459,0.18400000000000016,96.1035,0.1800000000000006,59.4052,0.16999999999999993,63.7276,0.1819999999999995,283.265,0.18400000000000016,105.88,0.1800000000000006,149.188,0.16999999999999993,48.0732,0.18400000000000016,198.256,0.1800000000000006,130.7,0.16999999999999993,142.105,0.1800000000000006,167.318,0.16999999999999993,114.257,0.16999999999999993,172.439
0.24400000000000002,78.2483,0.23199999999999993,113.892,0.21399999999999986,26.0649,0.24,10.8476,0.20999999999999996,27.338,0.2240000000000002,6.04098,0.23199999999999932,10.5366,0.23399999999999999,13.0544,0.23000000000000043,3.5822,0.22000000000000064,3.69224,0.23199999999999993,317.263,0.21399999999999986,75.7419,0.24,68.288,0.20999999999999996,47.1109,0.2240000000000002,32.7179,0.23199999999999932,10.1418,0.23399999999999999,23.5831,0.23000000000000043,10.6061,0.22000000000000064,13.3556,0.21399999999999986,200.654,0.24,148.206,0.20999999999999996,134.619,0.2240000000000002,39.8135,0.23199999999999932,37.5189,0.23399999999999999,21.1375,0.23000000000000043,53.3545,0.22000000000000064,25.9894,0.24,257.996,0.20999999999999996,189.239,0.2240000000000002,121.372,0.23199999999999932,69.8821,0.23399999999999999,54.236,0.23000000000000043,25.0965,0.22000000000000064,39.8928,0.20999999999999996,235.108,0.2240000000000002,129.008,0.23199999999999932,94.2524,0.23399999999999999,53.6001,0.23000000000000043,46.5808,0.22000000000000064,49.1736,0.2240000000000002,148.559,0.23199999999999932,98.763,0.23399999999999999,133.106,0.23000000000000043,74.2314,0.22000000000000064,64.3256,0.23199999999999932,220.679,0.23399999999999999,82.2801,0.23000000000000043,193.952,0.22000000000000064,54.2751,0.23399999999999999,321.142,0.23000000000000043,103.828,0.22000000000000064,115.367,0.23000000000000043,137.178,0.22000000000000064,85.2494,0.22000000000000064,166.133
0.29400000000000004,91.2435,0.282,86.5168,0.2639999999999999,24.6893,0.29000000000000004,17.2204,0.26000000000000023,27.8713,0.274,4.30663,0.28200000000000003,7.7435,0.2840000000000007,7.36065,0.28000000000000025,3.41508,0.2699999999999996,5.49514,0.282,267.957,0.2639999999999999,159.3,0.29000000000000004,65.489,0.26000000000000023,47.361,0.274,30.2693,0.28200000000000003,6.74148,0.2840000000000007,20.977,0.28000000000000025,19.1366,0.2699999999999996,14.7354,0.2639999999999999,357.023,0.29000000000000004,125.315,0.26000000000000023,137.285,0.274,53.6515,0.28200000000000003,44.3136,0.2840000000000007,27.6002,0.28000000000000025,46.6784,0.2699999999999996,16.9722,0.29000000000000004,255.776,0.26000000000000023,194.216,0.274,132.751,0.28200000000000003,72.3472,0.2840000000000007,61.1196,0.28000000000000025,50.33,0.2699999999999996,50.2658,0.26000000000000023,252.345,0.274,131.272,0.28200000000000003,82.0002,0.2840000000000007,56.507,0.28000000000000025,49.5101,0.2699999999999996,52.8624,0.274,340.433,0.28200000000000003,171.538,0.2840000000000007,127.862,0.28000000000000025,52.5907,0.2699999999999996,58.9237,0.28200000000000003,161.109,0.2840000000000007,74.2132,0.28000000000000025,154.647,0.2699999999999996,52.564,0.2840000000000007,258.645,0.28000000000000025,164.968,0.2699999999999996,147.469,0.28000000000000025,326.294,0.2699999999999996,122.864,0.2699999999999996,142.247
0.344,224.419,0.332,136.191,0.31399999999999995,28.1301,0.33999999999999986,9.96809,0.31000000000000005,34.2615,0.3240000000000003,8.09551,0.33199999999999985,10.9402,0.3340000000000005,5.91801,0.33000000000000007,2.97821,0.3200000000000003,6.77767,0.332,321.773,0.31399999999999995,140.011,0.33999999999999986,105.325,0.31000000000000005,27.8758,0.3240000000000003,32.673,0.33199999999999985,11.0746,0.3340000000000005,14.0324,0.33000000000000007,15.8517,0.3200000000000003,10.8185,0.31399999999999995,249.462,0.33999999999999986,190.418,0.31000000000000005,125.985,0.3240000000000003,65.4655,0.33199999999999985,47.6627,0.3340000000000005,26.1953,0.33000000000000007,44.7544,0.3200000000000003,23.8496,0.33999999999999986,268.288,0.31000000000000005,95.9575,0.3240000000000003,119.084,0.33199999999999985,64.0211,0.3340000000000005,72.5467,0.33000000000000007,55.9762,0.3200000000000003,34.349,0.31000000000000005,149.372,0.3240000000000003,87.3335,0.33199999999999985,104.556,0.3340000000000005,52.9579,0.33000000000000007,49.2047,0.3200000000000003,48.4997,0.3240000000000003,279.274,0.33199999999999985,150.75,0.3340000000000005,134.683,0.33000000000000007,57.4339,0.3200000000000003,85.3059,0.33199999999999985,195.175,0.3340000000000005,137.402,0.33000000000000007,138.295,0.3200000000000003,47.0525,0.3340000000000005,233.699,0.33000000000000007,135.18,0.3200000000000003,117.467,0.33000000000000007,158.914,0.3200000000000003,146.272,0.3200000000000003,182.647
0.394,286.289,0.38199999999999995,24.1123,0.364,26.4212,0.3899999999999999,20.9704,0.3600000000000003,22.9008,0.3740000000000001,8.89732,0.3819999999999997,2.9589,0.38400000000000034,4.29675,0.3800000000000008,2.96369,0.3699999999999992,7.8564,0.38199999999999995,274.536,0.364,147.882,0.3899999999999999,107.557,0.3600000000000003,57.8574,0.3740000000000001,38.3343,0.3819999999999997,18.8158,0.38400000000000034,16.7855,0.3800000000000008,8.34219,0.3699999999999992,4.75417,0.364,223.163,0.3899999999999999,104.029,0.3600000000000003,142.002,0.3740000000000001,49.6533,0.3819999999999997,56.7102,0.38400000000000034,28.053,0.3800000000000008,33.1736,0.3699999999999992,28.5449,0.3899999999999999,236.414,0.3600000000000003,102.901,0.3740000000000001,94.8995,0.3819999999999997,62.301,0.38400000000000034,67.8039,0.3800000000000008,49.8904,0.3699999999999992,39.7636,0.3600000000000003,273.794,0.3740000000000001,132.667,0.3819999999999997,100.579,0.38400000000000034,63.7113,0.3800000000000008,86.2102,0.3699999999999992,55.4684,0.3740000000000001,252.27,0.3819999999999997,130.968,0.38400000000000034,149.215,0.3800000000000008,73.8555,0.3699999999999992,72.6038,0.3819999999999997,184.425,0.38400000000000034,100.238,0.3800000000000008,115.493,0.3699999999999992,53.4239,0.38400000000000034,200.745,0.3800000000000008,112.314,0.3699999999999992,97.9956,0.3800000000000008,198.678,0.3699999999999992,125.821,0.3699999999999992,203.696
0.44399999999999995,84.2698,0.432,71.0143,0.41400000000000003,28.859,0.43999999999999995,15.0232,0.41000000000000014,16.3469,0.4240000000000004,8.32965,0.4319999999999995,7.15669,0.43400000000000016,6.52801,0.4300000000000006,1.36318,0.41999999999999993,8.22848,0.432,155.052,0.41400000000000003,85.2626,0.43999999999999995,120.572,0.41000000000000014,36.0325,0.4240000000000004,65.8846,0.4319999999999995,15.253,0.43400000000000016,31.7069,0.4300000000000006,10.7559,0.41999999999999993,4.21229,0.41400000000000003,224.021,0.43999999999999995,163.607,0.41000000000000014,96.8533,0.4240000000000004,47.9148,0.4319999999999995,42.4802,0.43400000000000016,43.6431,0.4300000000000006,33.4233,0.41999999999999993,24.4953,0.43999999999999995,250.332,0.41000000000000014,90.0984,0.4240000000000004,96.2232,0.4319999999999995,89.1799,0.43400000000000016,71.0187,0.4300000000000006,51.4031,0.41999999999999993,44.8041,0.41000000000000014,270.658,0.4240000000000004,151.218,0.4319999999999995,127.084,0.43400000000000016,49.7388,0.4300000000000006,95.0288,0.41999999999999993,76.6687,0.4240000000000004,229.975,0.4319999999999995,129.93,0.43400000000000016,145.76,0.4300000000000006,64.2607,0.41999999999999993,78.8988,0.4319999999999995,218.262,0.43400000000000016,130.412,0.4300000000000006,130.811,0.41999999999999993,80.3548,0.43400000000000016,202.12,0.4300000000000006,142.636,0.41999999999999993,140.751,0.4300000000000006,179.239,0.41999999999999993,105.985,0.41999999999999993,188.538
0.494,99.8474,0.48199999999999993,59.6937,0.46399999999999986,29.2308,0.48999999999999977,13.1672,0.45999999999999996,23.3718,0.4740000000000002,8.63917,0.4819999999999993,6.41812,0.484,6.04601,0.4800000000000004,5.12757,0.47000000000000064,5.58804,0.48199999999999993,223.929,0.46399999999999986,81.0032,0.48999999999999977,77.456,0.45999999999999996,54.5683,0.4740000000000002,59.3696,0.4819999999999993,13.2159,0.484,26.7781,0.4800000000000004,13.0971,0.47000000000000064,7.07465,0.46399999999999986,301.267,0.48999999999999977,131.324,0.45999999999999996,111.867,0.4740000000000002,54.5224,0.4819999999999993,50.9106,0.484,18.7514,0.4800000000000004,19.7373,0.47000000000000064,25.0885,0.48999999999999977,302.952,0.45999999999999996,130.045,0.4740000000000002,91.6297,0.4819999999999993,34.9196,0.484,55.157,0.4800000000000004,34.9093,0.47000000000000064,42.637,0.45999999999999996,262.428,0.4740000000000002,173.844,0.4819999999999993,120.2,0.484,70.0705,0.4800000000000004,76.5424,0.47000000000000064,62.7363,0.4740000000000002,211.436,0.4819999999999993,167.38,0.484,150.4,0.4800000000000004,59.44,0.47000000000000064,92.7849,0.4819999999999993,158.316,0.484,149.753,0.4800000000000004,131.377,0.47000000000000064,65.7757,0.484,262.82,0.4800000000000004,149.424,0.47000000000000064,173.277,0.4800000000000004,191.666,0.47000000000000064,106.523,0.47000000000000064,186.116
