1.00,0.00,-11771658.9181639440357685
1.10,0.00,-7234750.6924528470262885
1.20,0.00,-4417506.1699380204081535
1.30,0.00,-2677809.7826791997067630
1.40,0.00,-1610092.3898095551412553
1.50,0.00,-959243.2084583208197728
1.60,0.00,-565512.6915038657607511
1.70,0.00,-329358.1979586340021342
1.80,0.00,-189088.7762273387052119
1.90,0.00,-106700.6552155980025418
2.00,0.00,-58937.9565934575366555
2.10,0.00,-31675.4932994556111225
2.20,0.00,-16405.8626142280336353
2.30,0.00,-8054.0571221096333829
2.40,0.00,-3625.8340914359800990
2.50,0.00,-1377.1697985590387816
2.60,0.00,-307.6182050305949929
2.70,0.00,146.2067458124724624
2.80,0.00,294.3374293369148518
2.90,0.00,302.3656067853705167
3.00,0.00,255.1995926318796251
3.10,0.00,193.8293970088389813
3.20,0.00,136.1432794047400421
3.30,0.00,88.4488403033029300
3.40,0.00,51.6646288828258733
3.50,0.00,24.5172605831711969
3.60,0.00,5.0986046278405670
3.70,0.00,-8.4451764117595616
3.80,0.00,-17.6627829102684650
3.90,0.00,-23.7524899893878043
4.00,0.00,-27.6014352681098529
4.10,0.00,-29.8501210053006503
4.20,0.00,-30.9556536799957875
4.30,0.00,-31.2439867844871664
4.40,0.00,-30.9493605432490462
4.50,0.00,-30.2424291255621718
4.60,0.00,-29.2495636396978647
4.70,0.00,-28.0657766499910153
4.80,0.00,-26.7632808321059805
4.90,0.00,-25.3971836409434921
5.00,0.00,-24.0093649684686881
5.10,0.00,-22.6312283863983126
5.20,0.00,-21.2857591940419546
5.30,0.00,-19.9891479992116636
5.40,0.00,-18.7521268444604488
5.50,0.00,-17.5810974849133004
5.60,0.00,-16.4790934833746157
5.70,0.00,-15.4465983237911875
5.80,0.00,-14.4822331137404188
5.90,0.00,-13.5833246277391950
6.00,0.00,-12.7463643230723651
6.20,0.00,-11.2421604657558341
6.40,0.00,-9.9365434825240602
6.60,0.00,-8.7983971964407761
6.80,0.00,-7.8010844178050824
7.00,0.00,-6.9230147297919880
7.20,0.00,-6.1471868160005796
7.40,0.00,-5.4603158057207333
7.60,0.00,-4.8519030079609342
7.80,0.00,-4.3134258806312982
8.00,0.00,-3.8377123864235783
8.20,0.00,-3.4185002405588145
8.40,0.00,-3.0501517390533559
8.60,0.00,-2.7274855760636130
8.80,0.00,-2.4456887791167050
9.00,0.00,-2.2002784465319740
9.50,0.00,-1.7194068321638307
10.00,0.00,-1.3845401327194082
10.50,0.00,-1.1518338859792907
11.00,0.00,-0.9888037545597942
11.50,0.00,-0.8724017050205133
12.00,0.00,-0.7868279783312535
12.50,0.00,-0.7215342246705270
13.00,0.00,-0.6696160802329149
13.50,0.00,-0.6266182452154093
14.00,0.00,-0.5896927117683206
14.50,0.00,-0.5570277791493531
15.00,0.00,-0.5274711854509025
16.00,0.00,-0.4749968064696499
17.00,0.00,-0.4289490773635721
18.00,0.00,-0.3878163429705804
19.00,0.00,-0.3507952776041060
20.00,0.00,-0.3173701334090738
21.00,0.00,-0.2871526963735224
22.00,0.00,-0.2598207333980385
23.00,0.00,-0.2350933976004174
24.00,0.00,-0.2127205213115398
25.00,0.00,-0.1924771996963296
50.00,0.00,-0.0157994744977324
100.00,0.00,-0.0001064560217791
1.00,10.00,-11274251.9170035384595394
1.10,10.00,-6926500.7796780541539192
1.20,10.00,-4227569.3140235859900713
1.30,10.00,-2561507.8385393954813480
1.40,10.00,-1539369.8066602917388082
1.50,10.00,-916565.2389823729172349
1.60,10.00,-539976.5135663457913324
1.70,10.00,-314223.0255671146442182
1.80,10.00,-180213.1451305718219373
1.90,10.00,-101557.7859821445017587
2.00,10.00,-55998.1776025923609268
2.10,10.00,-30020.8302258654221077
2.20,10.00,-15490.8490645174788369
2.30,10.00,-7558.2057145086328092
2.40,10.00,-3363.2685053462719225
2.50,10.00,-1241.6984313419472983
2.60,10.00,-239.6417155772993510
2.70,10.00,179.4340383970302355
2.80,10.00,310.3453796778527476
2.90,10.00,310.2376693609850804
3.00,10.00,259.4477782861032438
3.10,10.00,196.5698414723516976
3.20,10.00,138.2888105743561482
3.30,10.00,90.3430433165708564
3.40,10.00,53.4055392302932930
3.50,10.00,26.1133658641702446
3.60,10.00,6.5375650439993613
3.70,10.00,-7.1709101519522793
3.80,10.00,-16.5499790332641972
3.90,10.00,-22.7888630298831032
4.00,10.00,-26.7694564233828096
4.10,10.00,-29.1305472939494656
4.20,10.00,-30.3300202607286664
4.30,10.00,-30.6960260978925135
4.40,10.00,-30.4655778161196196
4.50,10.00,-29.8121149769607641
4.60,10.00,-28.8644868206853111
4.70,10.00,-27.7197358629351100
4.80,10.00,-26.4516323584007900
4.90,10.00,-25.1164116490317859
5.00,10.00,-23.7567257935259057
5.10,10.00,-22.4044770318552793
5.20,10.00,-21.0829529157099778
5.30,10.00,-19.8085152263049302
5.40,10.00,-18.5919874805120529
5.50,10.00,-17.4398210188435527
5.60,10.00,-16.3550830729393226
5.70,10.00,-15.3382912739399888
5.80,10.00,-14.3881104695300621
5.90,10.00,-13.5019246700769813
6.00,10.00,-12.6762964787259111
6.20,10.00,-11.1909277936974707
6.40,10.00,-9.8996853785267156
6.60,10.00,-8.7722596147104870
6.80,10.00,-7.7827835063311825
7.00,10.00,-6.9103472167713633
7.20,10.00,-6.1385163891608672
7.40,10.00,-5.4544568839605780
7.60,10.00,-4.8480148148475060
7.80,10.00,-4.3109229270826264
8.00,10.00,-3.8361928711113431
8.20,10.00,-3.4176912007513733
8.40,10.00,-3.0498685110505717
8.60,10.00,-2.7276027505754175
