R,theta,E_cm
10.0,5.0,-0.22956058719444458
10.5,5.0,-0.19725545661396482
11.0,5.0,-0.1724763317978106
11.5,5.0,-0.1531744177826107
12.0,5.0,-0.13774074064003414
12.5,5.0,-0.12516506591356333
13.0,5.0,-0.1148662167816208
13.5,5.0,-0.10616602418376658
14.0,5.0,-0.09866723413351636
14.5,5.0,-0.09234504808140727
15.0,5.0,-0.08677083256590208
16.0,5.0,-0.07741857940434457
17.0,5.0,-0.0701023928851474
18.0,5.0,-0.06385065704499496
19.0,5.0,-0.05874984711749406
20.0,5.0,-0.05429912035709734
21.0,5.0,-0.050497821790167874
22.0,5.0,-0.04705733572413294
23.0,5.0,-0.04416641620438853
24.0,5.0,-0.041407402137276964
25.0,5.0,-0.03894313868247067
50.0,5.0,-0.012298920294570621
100.0,5.0,0.0
2.5,10.0,2277.712457816846
2.6,10.0,1719.3268942038549
2.7,10.0,1224.7449967113425
2.8,10.0,842.3424550923467
2.9,10.0,559.54706066291
3.0,10.0,359.90346622751366
3.1,10.0,221.6254387957074
3.2,10.0,127.98677862954128
3.3,10.0,66.43498367040243
3.4,10.0,27.07078943726011
3.5,10.0,2.8169033256539686
3.6,10.0,-11.442498583785392
3.7,10.0,-19.25785956829822
3.8,10.0,-22.918351385020138
3.9,10.0,-24.36585460649896
4.0,10.0,-23.813716571331423
4.1,10.0,-22.253806125547474
4.2,10.0,-20.249322383694942
4.3,10.0,-18.11813044868348
4.4,10.0,-16.05340816389624
4.5,10.0,-13.541958434008086
4.6,10.0,-11.870323770427591
4.7,10.0,-10.393062860356064
4.8,10.0,-9.102776778509355
4.9,10.0,-7.983792841626927
5.0,10.0,-7.021035331253395
5.1,10.0,-6.188551600069481
5.2,10.0,-5.471024291131601
5.3,10.0,-4.848799230008009
5.4,10.0,-4.313579616125987
5.5,10.0,-3.849734909100156
5.6,10.0,-3.4471260390578373
5.7,10.0,-3.0960366436359417
5.8,10.0,-2.7884984788704905
5.9,10.0,-2.5182371998551685
6.0,10.0,-2.2812695625845527
6.2,10.0,-1.8870584495037768
6.4,10.0,-1.5771787103214037
6.6,10.0,-1.3324458397250358
6.8,10.0,-1.1373833751989948
7.0,10.0,-0.9804195076344389
7.2,10.0,-0.8533263583987898
7.4,10.0,-0.7490287213684862
7.6,10.0,-0.6626716013408877
7.8,10.0,-0.5901409435995884
8.0,10.0,-0.5290870520545685
8.2,10.0,-0.47673664668912014
8.4,10.0,-0.4317972399551971
8.6,10.0,-0.39293354957488563
8.8,10.0,-0.35914587057261216
9.0,10.0,-0.32964781976742813
9.5,10.0,-0.27098444788354087
10.0,10.0,-0.22806881612005853
10.5,10.0,-0.19597657692295656
11.0,10.0,-0.1715097653693435
11.5,10.0,-0.15231210132468775
12.0,10.0,-0.1369686296465264
12.5,10.0,-0.12453451343652788
13.0,10.0,-0.11436932571034959
13.5,10.0,-0.10565464571943096
14.0,10.0,-0.09829193112063536
14.5,10.0,-0.09192475461751358
15.0,10.0,-0.08642164740652404
16.0,10.0,-0.07724672991662544
17.0,10.0,-0.06979424962142801
18.0,10.0,-0.06367375802242733
19.0,10.0,-0.05855517335798908
20.0,10.0,-0.05414614658581002
21.0,10.0,-0.050263858969213544
22.0,10.0,-0.04698885978985331
23.0,10.0,-0.04399939480805017
24.0,10.0,-0.041328827133300335
25.0,10.0,-0.038883660838393584
50.0,10.0,-0.012323937168579135
100.0,10.0,0.0
2.5,15.0,2069.9967216823925
2.6,15.0,1605.622708487754
2.7,15.0,1158.137909813315
2.8,15.0,801.1470927198923
2.9,15.0,536.0224123678155
3.0,15.0,344.64009320602486
3.1,15.0,212.34769332669532
3.2,15.0,122.34581754525108
3.3,15.0,62.64832027730339
3.4,15.0,25.00014528318873
3.5,15.0,0.029028808978157343
3.6,15.0,-12.101726630040918
3.7,15.0,-19.313885738735774
3.8,15.0,-23.595137621452963
3.9,15.0,-24.346532060814198
4.0,15.0,-23.26505611868915
4.1,15.0,-21.932819215554293
4.2,15.0,-19.890678235403904
4.3,15.0,-17.77685376536559
4.4,15.0,-15.742465068776472
4.5,15.0,-13.277315269336555
4.6,15.0,-11.639010021537029
4.7,15.0,-10.192592980267388
4.8,15.0,-8.929169497494819
4.9,15.0,-7.83382429211576
5.0,15.0,-6.8913339491197
5.1,15.0,-6.076085998899767
5.2,15.0,-5.373259975583653
5.3,15.0,-4.763704088232664
5.4,15.0,-4.239365152158878
5.5,15.0,-3.7847827142736556
5.6,15.0,-3.390282770294683
5.7,15.0,-3.04601113581105
5.8,15.0,-2.7442238641402037
5.9,15.0,-2.4794702989837845
6.0,15.0,-2.2470482037048156
6.2,15.0,-1.8597358374930468
6.4,15.0,-1.5553750028620017
6.6,15.0,-1.3149675407368318
6.8,15.0,-1.1230007654408152
7.0,15.0,-0.9683424799323705
7.2,15.0,-0.8429956900237809
7.4,15.0,-0.7400184143481576
7.6,15.0,-0.6545883533630312
7.8,15.0,-0.5828807230182055
8.0,15.0,-0.5225607543847386
8.2,15.0,-0.47084792218992905
8.4,15.0,-0.42639992034333746
8.6,15.0,-0.38796398700745854
8.8,15.0,-0.35460647909530807
9.0,15.0,-0.325605540804863
9.5,15.0,-0.26774215060219575
10.0,15.0,-0.22547813963440333
10.5,15.0,-0.19386589318873987
11.0,15.0,-0.16970941750106888
11.5,15.0,-0.15084579313016774
12.0,15.0,-0.1358438247062999
12.5,15.0,-0.12353261273980963
13.0,15.0,-0.1133478943235626
13.5,15.0,-0.10488034212370054
14.0,15.0,-0.09755449942174181
14.5,15.0,-0.09127138098761435
15.0,15.0,-0.08581260613507852
16.0,15.0,-0.07679329790562534
17.0,15.0,-0.06936561615989077
