      R       THETA       E_CP
    3.3000   75.0000   -78.703934216877
    3.3000   80.0000   -78.703942682124
    3.3000   85.0000   -78.703947843910
    3.3000   90.0000   -78.703946610384
    3.4000   0.0000   -78.703774348376
    3.4000   5.0000   -78.703775468744
    3.4000   10.0000   -78.703781972548
    3.4000   15.0000   -78.703791407381
    3.4000   20.0000   -78.703803409519
    3.4000   25.0000   -78.703820053508
    3.4000   30.0000   -78.703838695942
    3.4000   35.0000   -78.703858923303
    3.4000   40.0000   -78.703879098521
    3.4000   45.0000   -78.703895366459
    3.4000   50.0000   -78.703921115578
    3.4000   55.0000   -78.703935748771
    3.4000   60.0000   -78.703948381917
    3.4000   65.0000   -78.703958931825
    3.4000   70.0000   -78.703966555073
    3.4000   75.0000   -78.703972930544
    3.4000   80.0000   -78.703974465559
    3.4000   85.0000   -78.703977522348
    3.4000   90.0000   -78.703978692471
    3.5000   0.0000   -78.703888823270
    3.5000   5.0000   -78.703889139717
    3.5000   10.0000   -78.703892481385
    3.5000   15.0000   -78.703905184160
    3.5000   20.0000   -78.703904792831
    3.5000   25.0000   -78.703913603273
    3.5000   30.0000   -78.703923726585
    3.5000   35.0000   -78.703934474273
    3.5000   40.0000   -78.703942799660
    3.5000   45.0000   -78.703960109265
    3.5000   50.0000   -78.703968344889
    3.5000   55.0000   -78.703975548254
    3.5000   60.0000   -78.703981633774
    3.5000   65.0000   -78.703985910855
    3.5000   70.0000   -78.703989583398
    3.5000   75.0000   -78.703989566440
    3.5000   80.0000   -78.703992021694
    3.5000   85.0000   -78.703993658001
    3.5000   90.0000   -78.703994185442
    3.6000   0.0000   -78.703959002007
    3.6000   5.0000   -78.703960131354
    3.6000   10.0000   -78.703957452001
    3.6000   15.0000   -78.703960455949
    3.6000   20.0000   -78.703963820538
    3.6000   25.0000   -78.703967943725
    3.6000   30.0000   -78.703971427604
    3.6000   35.0000   -78.703975518969
    3.6000   40.0000   -78.703980719769
    3.6000   45.0000   -78.703989918792
    3.6000   50.0000   -78.703992955975
    3.6000   55.0000   -78.703995481087
    3.6000   60.0000   -78.703996887915
    3.6000   65.0000   -78.703998182203
    3.6000   70.0000   -78.703999246039
    3.6000   75.0000   -78.703997393382
    3.6000   80.0000   -78.703998320377
    3.6000   85.0000   -78.703998931754
    3.6000   90.0000   -78.703999225959
    3.7000   0.0000   -78.703992855846
    3.7000   5.0000   -78.703992350219
    3.7000   10.0000   -78.703993061406
    3.7000   15.0000   -78.703993316964
    3.7000   20.0000   -78.703994809096
    3.7000   25.0000   -78.703995420260
    3.7000   30.0000   -78.703996481871
    3.7000   35.0000   -78.704002362834
    3.7000   40.0000   -78.704002826626
    3.7000   45.0000   -78.704001347356
    3.7000   50.0000   -78.704003267017
    3.7000   55.0000   -78.704002317629
    3.7000   60.0000   -78.704001641629
    3.7000   65.0000   -78.704001019664
    3.7000   70.0000   -78.703997783878
    3.7000   75.0000   -78.703997718687
    3.7000   80.0000   -78.703997757128
    3.7000   85.0000   -78.703997823185
    3.7000   90.0000   -78.703997923397
    3.8000   0.0000   -78.704010231918
    3.8000   5.0000   -78.704009759712
    3.8000   10.0000   -78.704009739834
    3.8000   15.0000   -78.704012823783
    3.8000   20.0000   -78.704008064029
    3.8000   25.0000   -78.704012259151
    3.8000   30.0000   -78.704008717222
    3.8000   35.0000   -78.704009977394
    3.8000   40.0000   -78.704008213786
    3.8000   45.0000   -78.704006360618
    3.8000   50.0000   -78.704003859756
    3.8000   55.0000   -78.704001773593
    3.8000   60.0000   -78.703999869178
    3.8000   65.0000   -78.703995462802
    3.8000   70.0000   -78.703994406879
    3.8000   75.0000   -78.703993679765
    3.8000   80.0000   -78.703993232268
    3.8000   85.0000   -78.703992997105
    3.8000   90.0000   -78.703992921642
    3.9000   0.0000   -78.704017191889
    3.9000   5.0000   -78.704017042713
    3.9000   10.0000   -78.704016335144
    3.9000   15.0000   -78.704016247388
    3.9000   20.0000   -78.704015016944
    3.9000   25.0000   -78.704013309686
    3.9000   30.0000   -78.704011238501
    3.9000   35.0000   -78.704008811834
    3.9000   40.0000   -78.704006046472
    3.9000   45.0000   -78.704002642544
    3.9000   50.0000   -78.703999685228
    3.9000   55.0000   -78.703996929935
    3.9000   60.0000   -78.703991690689
    3.9000   65.0000   -78.703989820004
    3.9000   70.0000   -78.703988363160
    3.9000   75.0000   -78.703987316100
    3.9000   80.0000   -78.703986628727
    3.9000   85.0000   -78.703986242779
    3.9000   90.0000   -78.703986117016
    4.0000   0.0000   -78.704015039399
    4.0000   5.0000   -78.704014721164
    4.0000   10.0000   -78.704013819418
    4.0000   15.0000   -78.704011319821
    4.0000   20.0000   -78.704010880805
    4.0000   25.0000   -78.704008764833
    4.0000   30.0000   -78.704006094261
    4.0000   35.0000   -78.704002724005
    4.0000   40.0000   -78.703999378472
    4.0000   45.0000   -78.703996048153
    4.0000   50.0000   -78.703992853239
    4.0000   55.0000   -78.703987137671
    4.0000   60.0000   -78.703984713010
    4.0000   65.0000   -78.703982683428
    4.0000   70.0000   -78.703981090441
    4.0000   75.0000   -78.703979925160
    4.0000   80.0000   -78.703979142892
    4.0000   85.0000   -78.703978695187
    4.0000   90.0000   -78.703978548932
    4.1000   0.0000   -78.704008090769
    4.1000   5.0000   -78.704007710695
    4.1000   10.0000   -78.704006711943
    4.1000   15.0000   -78.704005249703
    4.1000   20.0000   -78.704003353196
    4.1000   25.0000   -78.704000671563
    4.1000   30.0000   -78.703997744795
    4.1000   35.0000   -78.703994563460
    4.1000   40.0000   -78.703991273942
    4.1000   45.0000   -78.703985087829
    4.1000   50.0000   -78.703982149559
    4.1000   55.0000   -78.703979420446
    4.1000   60.0000   -78.703977034463
    4.1000   65.0000   -78.703975036251
    4.1000   70.0000   -78.703973457936
    4.1000   75.0000   -78.703972305989
    4.1000   80.0000   -78.703971512278
