	0	1	2
1129	2.9000000000	75.0000000000	161.8028058733
1054	2.9000000000	70.0000000000	178.0102193857
456	3.1000000000	30.0000000000	182.8617653381
755	3.0000000000	50.0000000000	183.6507641251
979	2.9000000000	65.0000000000	198.7785893949
381	3.1000000000	25.0000000000	199.4834519184
680	3.0000000000	45.0000000000	209.2638531093
306	3.1000000000	20.0000000000	214.8715466666
904	2.9000000000	60.0000000000	224.1957568855
231	3.1000000000	15.0000000000	228.3686258329
1278	2.8000000000	85.0000000000	228.6618672020
605	3.0000000000	40.0000000000	236.1961235476
156	3.1000000000	10.0000000000	238.4325250332
1203	2.8000000000	80.0000000000	238.4993074333
81	3.1000000000	5.0000000000	245.7489266894
1128	2.8000000000	75.0000000000	255.0296800593
829	2.9000000000	55.0000000000	255.6292101249
530	3.0000000000	35.0000000000	263.2449455464
1053	2.8000000000	70.0000000000	278.7316236890
754	2.9000000000	50.0000000000	289.7731105186
455	3.0000000000	30.0000000000	290.5562811536
978	2.8000000000	65.0000000000	309.2124014241
380	3.0000000000	25.0000000000	316.6216178037
679	2.9000000000	45.0000000000	327.1960084125
305	3.0000000000	20.0000000000	340.8903770536
903	2.8000000000	60.0000000000	346.7821739343
1277	2.7000000000	85.0000000000	352.3966468430
230	3.0000000000	15.0000000000	361.4810417458
604	2.9000000000	40.0000000000	365.3014965481
1202	2.7000000000	80.0000000000	367.0458069430
155	3.0000000000	10.0000000000	377.4111488457
80	3.0000000000	5.0000000000	387.8968767462
1127	2.7000000000	75.0000000000	390.6458201945
828	2.8000000000	55.0000000000	390.9486537023
529	2.9000000000	35.0000000000	406.3228232213
1052	2.7000000000	70.0000000000	424.6680460452
753	2.8000000000	50.0000000000	440.6708020973
454	2.9000000000	30.0000000000	446.6291693632
977	2.7000000000	65.0000000000	468.1835254304
379	2.9000000000	25.0000000000	485.3146969057
678	2.8000000000	45.0000000000	494.0189503338
304	2.9000000000	20.0000000000	521.2447689682
902	2.7000000000	60.0000000000	521.3790014080
1276	2.6000000000	85.0000000000	530.5800262251
603	2.8000000000	40.0000000000	550.6117818739
1201	2.6000000000	80.0000000000	550.8010919108
229	2.9000000000	15.0000000000	553.0668656860
154	2.9000000000	10.0000000000	578.1404199684
827	2.7000000000	55.0000000000	584.1905080988
1126	2.6000000000	75.0000000000	585.6296550449
79	2.9000000000	5.0000000000	594.0423107479
528	2.8000000000	35.0000000000	608.7525883874
1051	2.6000000000	70.0000000000	632.3745506350
752	2.7000000000	50.0000000000	653.4153957622
453	2.8000000000	30.0000000000	666.3676423258
976	2.6000000000	65.0000000000	693.6526271522
378	2.8000000000	25.0000000000	721.4436535337
677	2.7000000000	45.0000000000	728.5526273034
901	2.6000000000	60.0000000000	767.3457922247
303	2.8000000000	20.0000000000	774.7201709558
602	2.7000000000	40.0000000000	807.5949476717
228	2.8000000000	15.0000000000	822.4452942367
826	2.6000000000	55.0000000000	854.3693768652
153	2.8000000000	10.0000000000	861.7860479208
78	2.8000000000	5.0000000000	886.5688149986
527	2.7000000000	35.0000000000	887.6777713608
751	2.6000000000	50.0000000000	950.1635261241
452	2.7000000000	30.0000000000	967.2050033638
377	2.7000000000	25.0000000000	1044.2724087096
676	2.6000000000	45.0000000000	1052.8108988771
302	2.7000000000	20.0000000000	1118.8334662332
601	2.6000000000	40.0000000000	1157.8068253120
227	2.7000000000	15.0000000000	1190.0692348877
152	2.7000000000	10.0000000000	1249.5171745777
526	2.6000000000	35.0000000000	1262.5640860374
77	2.7000000000	5.0000000000	1293.8798969230
451	2.6000000000	30.0000000000	1364.8835000447
376	2.6000000000	25.0000000000	1465.4838610156
301	2.6000000000	20.0000000000	1565.9710057825
226	2.6000000000	15.0000000000	1669.2886479090
151	2.6000000000	10.0000000000	1767.9361817860
76	2.6000000000	5.0000000000	1846.4184285739
