R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2.4,-91441.9905775324,149053.59051107801,-413704.02821711835,266453.11614070996,-544905.7947173872,252610.57002842161,-432946.22435015853,147230.007617618,-194925.9170734225,20631.293500489097,20009.594217218568,-72687.24090736547,137387.83664724248,-109142.06972419206,164219.94189852913,-102195.87370035984,184308.18480894354,-130464.91937180722,108127.3302886931
2.5,-48553.36919280524,84227.64573393438,-223887.47496174535,149689.3797317553,-300459.987622088,139333.22913118722,-238995.61100307014,76409.81397981285,-102331.96581249878,2063.923901891894,22454.299693933688,-51782.994863562184,90218.32173748587,-71553.82122808583,104490.23682009015,-65872.58344779769,116668.71489727509,-84178.48108700378,68478.13206303529
2.6,-23910.68728212188,45823.806977630404,-113899.13687839352,80688.13340515009,-157667.89157057306,72969.58885296999,-125698.18597427841,36042.1955779114,-49479.81737244667,-6624.528516032831,21221.007494245787,-36814.70664860597,59305.70095503924,-46907.843557699794,66348.4971272266,-42379.72407467181,73605.82248632265,-54170.05920597049,43213.55841880628
2.7,-10196.803107810436,23524.983588794574,-51932.735541030146,40770.35447876503,-76265.55970459321,35039.283134049976,-61087.5448071347,13849.284307656077,-20310.232903311313,-9877.787375414347,18423.28076155231,-26121.152468265103,39034.97169735632,-30752.558055434532,42045.47260245449,-27213.106463947493,46274.04729196295,-34760.176242748006,27166.35166870046
2.8,-2914.5929762885144,10921.189267748063,-18393.984189611958,18333.583967599967,-31401.29874191947,14094.14495598669,-25445.42802302921,2299.2409683497744,-4996.524187764197,-10303.123918003024,15198.035476999057,-18497.93335075754,25731.72084570286,-20164.95119643646,26594.13164423025,-17440.368214341757,28983.420458825884,-22237.017789581983,17008.65183563508
2.9,669.2194608286525,4063.5320903245733,-1336.860492786026,6233.732248715139,-7884.1070397746225,3109.368139557756,-6725.696451655875,-3174.4907705985047,2404.935834297044,-9392.159173370215,12113.740752139727,-13074.616954348328,16991.867120772135,-13226.827707685432,16791.871134918852,-11155.529032624478,18082.959008830163,-14178.961958535527,10602.606778974576
3.0,2193.1082726191084,543.878390405632,6429.388981985411,117.97460765207792,3463.2284874295597,-2176.0798261519544,2345.16788864672,-5300.439533549656,5437.7871760057515,-7968.43808370307,9417.654963018884,-9223.9471006402,11242.536632754825,-8680.083580105926,10586.553620810788,-7121.8370984302865,11236.27344614222,-9009.095522455511,6578.544430606186
3.1,2622.198593128531,-1088.195401651158,9164.330201588211,-2631.7621402268323,8104.6103969106125,-4309.9591956138065,6095.760891007381,-5678.6119973858495,6176.3923799481,-6462.774175976647,7183.197263226688,-6495.104049480662,7454.545323756806,-5699.966737230202,6666.225728236196,-4538.217615430042,6952.508301778813,-5702.653966665712,4061.495311341585
3.2,2512.037978417445,-1692.8201968373346,9339.346323728256,-3564.7505175287215,9233.188992597255,-4787.926280042214,7055.007030880273,-5224.097017002853,5805.960386413205,-5080.731757316003,5395.976446082102,-4564.870173222186,4954.252438022529,-3746.046010759726,4194.1112925050675,-2886.7625610458604,4283.258234654295,-3595.1567572012837,2494.261840740705
3.3,2172.428857273086,-1769.958272041442,8348.699658875394,-3578.6193331981763,8669.732501695282,-4466.907286748316,6664.844078034625,-4442.250839340664,4981.2772119334995,-3903.0714954818695,4002.5998472609476,-3202.0425362390197,3300.5012557623368,-2464.3235169634913,2637.7890647527497,-1833.2889907569909,2627.1729439628807,-2256.76828597987,1523.2060996314497
