R,theta,E3_cm
4.5,10.0,-13.519307995344398
4.6,10.0,-11.978201041113634
4.7,10.0,-10.571149187943488
4.8,10.0,-9.305395100002954
4.9,10.0,-8.179270774644403
5.0,10.0,-7.185774967862492
5.1,10.0,-6.312156200649833
5.2,10.0,-5.552839823960751
5.3,10.0,-4.893867248612848
5.4,10.0,-4.325691326241592
5.5,10.0,-3.8329049373259245
5.6,10.0,-3.4068607861864773
5.7,10.0,-3.0354877648352914
5.8,10.0,-2.7135843252805842
5.9,10.0,-2.4314935830033417
6.0,10.0,-2.1828068798367704
6.2,10.0,-1.7663976653616562
6.4,10.0,-1.4356274515807699
6.6,10.0,-1.1725871072043035
6.8,10.0,-0.9638228374696809
7.0,10.0,-0.797724439337248
7.2,10.0,-0.6646569699048278
7.4,10.0,-0.5571802436680646
7.6,10.0,-0.46980739364324253
7.8,10.0,-0.39839035014974444
8.0,10.0,-0.3397247794257903
8.2,10.0,-0.29113309622194905
8.4,10.0,-0.2505302917705714
8.6,10.0,-0.21622640621258157
8.8,10.0,-0.1870143324918901
9.0,10.0,-0.16201617201585933
9.5,10.0,-0.11395122796760063
10.0,10.0,-0.08135924700444576
10.5,10.0,-0.059236202469977
11.0,10.0,-0.04402661052212551
11.5,10.0,-0.033294302956187065
12.0,10.0,-0.025546847486294554
12.5,10.0,-0.019862456048292076
13.0,10.0,-0.015626594948950155
13.5,10.0,-0.012400316451411016
14.0,10.0,-0.009920252537344396
14.5,10.0,-0.00801082348822277
15.0,10.0,-0.006518397440199806
16.0,10.0,-0.004389492963188246
17.0,10.0,-0.00302875092433041
18.0,10.0,-0.002150852331692761
19.0,10.0,-0.001536321757385366
20.0,10.0,-0.0011412697298899843
21.0,10.0,-0.0008340028832752467
22.0,10.0,-0.0006364784289885961
23.0,10.0,-0.00048284344622018694
24.0,10.0,-0.00037310729173626103
25.0,10.0,-0.0002853189919335364
50.0,10.0,0.0
100.0,10.0,0.0
2.5,15.0,2190.992449823487
2.6,15.0,1643.587935874776
2.7,15.0,1170.3411340213047
2.8,15.0,805.8180694332182
2.9,15.0,539.7403940276804
3.0,15.0,350.52611395532915
3.1,15.0,219.05139512228604
3.2,15.0,129.7838643330009
3.3,15.0,70.3904959142599
3.4,15.0,32.97863101066821
3.5,15.0,7.95602117969072
3.6,15.0,-6.578313084250432
3.7,15.0,-16.215268508327107
3.8,15.0,-18.912172763466497
