I1 F1 I2 F2 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
3 1 1 1 9.07115e-11 1.02747e-10 1.08569e-10 1.10435e-10 1.10083e-10 1.08533e-10 1.06340e-10 1.03811e-10 1.01123e-10 9.83816e-11 9.56536e-11 9.29813e-11 9.03913e-11 8.78995e-11 8.55148e-11 8.32408e-11 8.10779e-11 7.90239e-11 7.70752e-11 7.52270e-11 7.34741e-11 7.18109e-11 7.02318e-11 6.87312e-11 6.73039e-11 6.59448e-11 6.46490e-11 6.34120e-11 6.22298e-11 6.10985e-11 6.00145e-11 5.89745e-11 5.79755e-11 5.70148e-11 5.60899e-11 5.51985e-11 5.43384e-11 5.35078e-11 5.27048e-11 5.19278e-11 5.11753e-11 5.04460e-11 4.97386e-11 4.90520e-11 4.83850e-11 4.77367e-11 4.71062e-11 4.64926e-11 4.58952e-11 4.53132e-11 4.47460e-11 4.41928e-11 4.36532e-11 4.31266e-11 4.26124e-11 4.21102e-11 4.16195e-11 4.11399e-11 4.06710e-11 4.02124e-11 3.97637e-11 3.93247e-11 3.88950e-11 3.84742e-11 3.80621e-11 3.76585e-11 3.72630e-11 3.68754e-11 3.64955e-11 3.61231e-11 3.57578e-11 3.53996e-11 3.50482e-11 3.47034e-11 3.43650e-11 3.40329e-11 3.37069e-11 3.33869e-11 3.30726e-11 3.27639e-11 3.24607e-11 3.21628e-11 3.18701e-11 3.15825e-11 3.12999e-11 3.10220e-11 3.07489e-11 3.04803e-11 3.02163e-11 2.99566e-11 2.97011e-11 2.94499e-11 2.92027e-11 2.89594e-11 2.87201e-11 2.84845e-11 2.82527e-11 2.80245e-11 2.77998e-11 2.75786e-11
5 1 1 1 2.83784e-11 2.55910e-11 2.25218e-11 2.01472e-11 1.83063e-11 1.68335e-11 1.56204e-11 1.45981e-11 1.37220e-11 1.29614e-11 1.22949e-11 1.17062e-11 1.11833e-11 1.07164e-11 1.02977e-11 9.92074e-12 9.58016e-12 9.27136e-12 8.99045e-12 8.73406e-12 8.49927e-12 8.28357e-12 8.08475e-12 7.90091e-12 7.73036e-12 7.57163e-12 7.42346e-12 7.28470e-12 7.15437e-12 7.03161e-12 6.91564e-12 6.80580e-12 6.70150e-12 6.60220e-12 6.50745e-12 6.41685e-12 6.33003e-12 6.24666e-12 6.16648e-12 6.08921e-12 6.01465e-12 5.94258e-12 5.87283e-12 5.80523e-12 5.73966e-12 5.67596e-12 5.61404e-12 5.55378e-12 5.49509e-12 5.43788e-12 5.38208e-12 5.32762e-12 5.27442e-12 5.22243e-12 5.17161e-12 5.12188e-12 5.07322e-12 5.02558e-12 4.97892e-12 4.93320e-12 4.88839e-12 4.84446e-12 4.80137e-12 4.75911e-12 4.71764e-12 4.67694e-12 4.63699e-12 4.59776e-12 4.55923e-12 4.52139e-12 4.48422e-12 4.44770e-12 4.41180e-12 4.37652e-12 4.34184e-12 4.30774e-12 4.27422e-12 4.24124e-12 4.20882e-12 4.17692e-12 4.14553e-12 4.11466e-12 4.08427e-12 4.05437e-12 4.02494e-12 3.99598e-12 3.96746e-12 3.93938e-12 3.91174e-12 3.88451e-12 3.85770e-12 3.83130e-12 3.80529e-12 3.77966e-12 3.75442e-12 3.72954e-12 3.70503e-12 3.68087e-12 3.65707e-12 3.63360e-12
5 3 1 1 1.82467e-10 1.97102e-10 1.99760e-10 1.98102e-10 1.94398e-10 1.89701e-10 1.84553e-10 1.79252e-10 1.73968e-10 1.68802e-10 1.63813e-10 1.59037e-10 1.54491e-10 1.50182e-10 1.46109e-10 1.42267e-10 1.38647e-10 1.35236e-10 1.32023e-10 1.28994e-10 1.26137e-10 1.23439e-10 1.20888e-10 1.18472e-10 1.16181e-10 1.14005e-10 1.11935e-10 1.09961e-10 1.08077e-10 1.06276e-10 1.04551e-10 1.02896e-10 1.01306e-10 9.97762e-11 9.83025e-11 9.68809e-11 9.55079e-11 9.41801e-11 9.28948e-11 9.16492e-11 9.04411e-11 8.92681e-11 8.81283e-11 8.70198e-11 8.59411e-11 8.48905e-11 8.38668e-11 8.28685e-11 8.18946e-11 8.09438e-11 8.00153e-11 7.91081e-11 7.82213e-11 7.73541e-11 7.65057e-11 7.56754e-11 7.48627e-11 7.40668e-11 7.32872e-11 7.25233e-11 7.17747e-11 7.10408e-11 7.03211e-11 6.96153e-11 6.89230e-11 6.82436e-11 6.75769e-11 6.69225e-11 6.62801e-11 6.56493e-11 6.50298e-11 6.44213e-11 6.38235e-11 6.32362e-11 6.26591e-11 6.20918e-11 6.15343e-11 6.09862e-11 6.04474e-11 5.99175e-11 5.93964e-11 5.88839e-11 5.83797e-11 5.78837e-11 5.73957e-11 5.69156e-11 5.64430e-11 5.59779e-11 5.55202e-11 5.50695e-11 5.46258e-11 5.41890e-11 5.37588e-11 5.33352e-11 5.29180e-11 5.25070e-11 5.21022e-11 5.17033e-11 5.13104e-11 5.09231e-11
7 1 1 1 9.45797e-12 7.69945e-12 6.64589e-12 6.02424e-12 5.62796e-12 5.35534e-12 5.15557e-12 5.00130e-12 4.87698e-12 4.77338e-12 4.68487e-12 4.60787e-12 4.54000e-12 4.47960e-12 4.42545e-12 4.37660e-12 4.33225e-12 4.29176e-12 4.25454e-12 4.22011e-12 4.18802e-12 4.15790e-12 4.12939e-12 4.10222e-12 4.07613e-12 4.05090e-12 4.02633e-12 4.00229e-12 3.97862e-12 3.95523e-12 3.93202e-12 3.90892e-12 3.88587e-12 3.86283e-12 3.83976e-12 3.81664e-12 3.79345e-12 3.77018e-12 3.74682e-12 3.72338e-12 3.69985e-12 3.67625e-12 3.65257e-12 3.62884e-12 3.60506e-12 3.58124e-12 3.55739e-12 3.53354e-12 3.50968e-12 3.48585e-12 3.46204e-12 3.43827e-12 3.41456e-12 3.39091e-12 3.36734e-12 3.34386e-12 3.32047e-12 3.29720e-12 3.27404e-12 3.25100e-12 3.22810e-12 3.20534e-12 3.18274e-12 3.16028e-12 3.13799e-12 3.11586e-12 3.09390e-12 3.07212e-12 3.05051e-12 3.02909e-12 3.00786e-12 2.98681e-12 2.96596e-12 2.94529e-12 2.92482e-12 2.90455e-12 2.88448e-12 2.86460e-12 2.84492e-12 2.82544e-12 2.80616e-12 2.78708e-12 2.76820e-12 2.74952e-12 2.73103e-12 2.71274e-12 2.69465e-12 2.67675e-12 2.65905e-12 2.64154e-12 2.62423e-12 2.60710e-12 2.59016e-12 2.57341e-12 2.55685e-12 2.54047e-12 2.52427e-12 2.50826e-12 2.49242e-12 2.47676e-12
7 3 1 1 6.42302e-11 5.42725e-11 4.73047e-11 4.25995e-11 3.92293e-11 3.66842e-11 3.46744e-11 3.30278e-11 3.16385e-11 3.04396e-11 2.93871e-11 2.84512e-11 2.76109e-11 2.68509e-11 2.61595e-11 2.55274e-11 2.49472e-11 2.44126e-11 2.39182e-11 2.34595e-11 2.30324e-11 2.26335e-11 2.22596e-11 2.19081e-11 2.15764e-11 2.12626e-11 2.09647e-11 2.06811e-11 2.04103e-11 2.01511e-11 1.99023e-11 1.96628e-11 1.94320e-11 1.92089e-11 1.89929e-11 1.87834e-11 1.85799e-11 1.83819e-11 1.81890e-11 1.80009e-11 1.78172e-11 1.76376e-11 1.74620e-11 1.72901e-11 1.71216e-11 1.69565e-11 1.67945e-11 1.66356e-11 1.64796e-11 1.63263e-11 1.61758e-11 1.60278e-11 1.58823e-11 1.57393e-11 1.55987e-11 1.54603e-11 1.53242e-11 1.51903e-11 1.50585e-11 1.49287e-11 1.48010e-11 1.46753e-11 1.45516e-11 1.44297e-11 1.43098e-11 1.41916e-11 1.40753e-11 1.39607e-11 1.38479e-11 1.37367e-11 1.36273e-11 1.35194e-11 1.34132e-11 1.33086e-11 1.32055e-11 1.31039e-11 1.30038e-11 1.29052e-11 1.28081e-11 1.27124e-11 1.26180e-11 1.25251e-11 1.24335e-11 1.23432e-11 1.22542e-11 1.21665e-11 1.20800e-11 1.19948e-11 1.19108e-11 1.18280e-11 1.17463e-11 1.16658e-11 1.15865e-11 1.15082e-11 1.14310e-11 1.13549e-11 1.12798e-11 1.12058e-11 1.11328e-11 1.10608e-11
7 5 1 1 2.01147e-10 2.18087e-10 2.22231e-10 2.21102e-10 2.17393e-10 2.12407e-10 2.06823e-10 2.01014e-10 1.95190e-10 1.89475e-10 1.83943e-10 1.78636e-10 1.73577e-10 1.68777e-10 1.64236e-10 1.59949e-10 1.55907e-10 1.52097e-10 1.48507e-10 1.45122e-10 1.41929e-10 1.38914e-10 1.36063e-10 1.33363e-10 1.30802e-10 1.28371e-10 1.26057e-10 1.23853e-10 1.21748e-10 1.19736e-10 1.17809e-10 1.15961e-10 1.14185e-10 1.12477e-10 1.10832e-10 1.09245e-10 1.07712e-10 1.06229e-10 1.04794e-10 1.03404e-10 1.02055e-10 1.00745e-10 9.94721e-11 9.82343e-11 9.70296e-11 9.58563e-11 9.47129e-11 9.35979e-11 9.25099e-11 9.14478e-11 9.04104e-11 8.93966e-11 8.84056e-11 8.74364e-11 8.64882e-11 8.55602e-11 8.46516e-11 8.37618e-11 8.28901e-11 8.20359e-11 8.11987e-11 8.03778e-11 7.95729e-11 7.87834e-11 7.80088e-11 7.72487e-11 7.65027e-11 7.57704e-11 7.50515e-11 7.43455e-11 7.36521e-11 7.29709e-11 7.23018e-11 7.16443e-11 7.09981e-11 7.03630e-11 6.97387e-11 6.91250e-11 6.85215e-11 6.79281e-11 6.73445e-11 6.67704e-11 6.62057e-11 6.56502e-11 6.51035e-11 6.45656e-11 6.40362e-11 6.35151e-11 6.30022e-11 6.24973e-11 6.20002e-11 6.15107e-11 6.10287e-11 6.05539e-11 6.00864e-11 5.96258e-11 5.91721e-11 5.87251e-11 5.82846e-11 5.78506e-11
9 1 1 1 3.16418e-12 3.20422e-12 3.47254e-12 3.68311e-12 3.80178e-12 3.85094e-12 3.85403e-12 3.82767e-12 3.78283e-12 3.72665e-12 3.66382e-12 3.59746e-12 3.52969e-12 3.46191e-12 3.39506e-12 3.32974e-12 3.26634e-12 3.20508e-12 3.14604e-12 3.08926e-12 3.03471e-12 2.98231e-12 2.93199e-12 2.88363e-12 2.83713e-12 2.79239e-12 2.74929e-12 2.70774e-12 2.66762e-12 2.62886e-12 2.59137e-12 2.55506e-12 2.51987e-12 2.48572e-12 2.45256e-12 2.42032e-12 2.38897e-12 2.35844e-12 2.32870e-12 2.29971e-12 2.27142e-12 2.24382e-12 2.21686e-12 2.19052e-12 2.16477e-12 2.13960e-12 2.11496e-12 2.09086e-12 2.06726e-12 2.04415e-12 2.02151e-12 1.99933e-12 1.97759e-12 1.95628e-12 1.93539e-12 1.91489e-12 1.89479e-12 1.87507e-12 1.85572e-12 1.83673e-12 1.81809e-12 1.79978e-12 1.78182e-12 1.76417e-12 1.74684e-12 1.72982e-12 1.71310e-12 1.69667e-12 1.68053e-12 1.66467e-12 1.64908e-12 1.63376e-12 1.61869e-12 1.60389e-12 1.58933e-12 1.57501e-12 1.56094e-12 1.54710e-12 1.53348e-12 1.52009e-12 1.50691e-12 1.49395e-12 1.48120e-12 1.46865e-12 1.45630e-12 1.44415e-12 1.43219e-12 1.42041e-12 1.40882e-12 1.39741e-12 1.38618e-12 1.37511e-12 1.36422e-12 1.35349e-12 1.34293e-12 1.33252e-12 1.32227e-12 1.31217e-12 1.30222e-12 1.29242e-12
9 3 1 1 1.59914e-11 1.53449e-11 1.56039e-11 1.59352e-11 1.62315e-11 1.64769e-11 1.66661e-11 1.67983e-11 1.68763e-11 1.69060e-11 1.68946e-11 1.68497e-11 1.67781e-11 1.66861e-11 1.65788e-11 1.64602e-11 1.63337e-11 1.62017e-11 1.60662e-11 1.59286e-11 1.57899e-11 1.56509e-11 1.55121e-11 1.53740e-11 1.52366e-11 1.51002e-11 1.49650e-11 1.48308e-11 1.46978e-11 1.45660e-11 1.44354e-11 1.43059e-11 1.41775e-11 1.40503e-11 1.39243e-11 1.37993e-11 1.36755e-11 1.35528e-11 1.34312e-11 1.33107e-11 1.31914e-11 1.30731e-11 1.29561e-11 1.28401e-11 1.27253e-11 1.26117e-11 1.24993e-11 1.23880e-11 1.22779e-11 1.21690e-11 1.20612e-11 1.19547e-11 1.18494e-11 1.17453e-11 1.16424e-11 1.15407e-11 1.14402e-11 1.13409e-11 1.12428e-11 1.11459e-11 1.10502e-11 1.09557e-11 1.08624e-11 1.07703e-11 1.06793e-11 1.05895e-11 1.05008e-11 1.04134e-11 1.03270e-11 1.02418e-11 1.01577e-11 1.00747e-11 9.99275e-12 9.91193e-12 9.83218e-12 9.75350e-12 9.67586e-12 9.59926e-12 9.52368e-12 9.44911e-12 9.37554e-12 9.30295e-12 9.23134e-12 9.16068e-12 9.09097e-12 9.02219e-12 8.95433e-12 8.88738e-12 8.82132e-12 8.75614e-12 8.69182e-12 8.62836e-12 8.56574e-12 8.50395e-12 8.44297e-12 8.38279e-12 8.32341e-12 8.26480e-12 8.20696e-12 8.14987e-12
9 5 1 1 6.85157e-11 5.83301e-11 5.21117e-11 4.80709e-11 4.52890e-11 4.32652e-11 4.17043e-11 4.04299e-11 3.93380e-11 3.83679e-11 3.74846e-11 3.66679e-11 3.59057e-11 3.51909e-11 3.45185e-11 3.38849e-11 3.32872e-11 3.27225e-11 3.21885e-11 3.16828e-11 3.12030e-11 3.07470e-11 3.03128e-11 2.98984e-11 2.95021e-11 2.91222e-11 2.87572e-11 2.84059e-11 2.80669e-11 2.77392e-11 2.74218e-11 2.71138e-11 2.68146e-11 2.65233e-11 2.62394e-11 2.59623e-11 2.56917e-11 2.54270e-11 2.51679e-11 2.49140e-11 2.46652e-11 2.44211e-11 2.41815e-11 2.39462e-11 2.37151e-11 2.34879e-11 2.32646e-11 2.30449e-11 2.28289e-11 2.26163e-11 2.24071e-11 2.22012e-11 2.19986e-11 2.17991e-11 2.16026e-11 2.14092e-11 2.12187e-11 2.10311e-11 2.08464e-11 2.06644e-11 2.04852e-11 2.03086e-11 2.01347e-11 1.99635e-11 1.97947e-11 1.96285e-11 1.94647e-11 1.93034e-11 1.91445e-11 1.89879e-11 1.88336e-11 1.86816e-11 1.85319e-11 1.83844e-11 1.82390e-11 1.80957e-11 1.79546e-11 1.78155e-11 1.76785e-11 1.75434e-11 1.74103e-11 1.72791e-11 1.71499e-11 1.70225e-11 1.68969e-11 1.67731e-11 1.66511e-11 1.65309e-11 1.64124e-11 1.62955e-11 1.61803e-11 1.60667e-11 1.59548e-11 1.58443e-11 1.57355e-11 1.56281e-11 1.55223e-11 1.54179e-11 1.53149e-11 1.52133e-11
9 7 1 1 2.05312e-10 2.22742e-10 2.25592e-10 2.23677e-10 2.19690e-10 2.14738e-10 2.09343e-10 2.03780e-10 1.98208e-10 1.92728e-10 1.87405e-10 1.82279e-10 1.77376e-10 1.72709e-10 1.68281e-10 1.64090e-10 1.60131e-10 1.56392e-10 1.52862e-10 1.49529e-10 1.46381e-10 1.43402e-10 1.40582e-10 1.37908e-10 1.35369e-10 1.32954e-10 1.30653e-10 1.28457e-10 1.26358e-10 1.24348e-10 1.22421e-10 1.20569e-10 1.18788e-10 1.17072e-10 1.15417e-10 1.13818e-10 1.12271e-10 1.10774e-10 1.09323e-10 1.07914e-10 1.06547e-10 1.05217e-10 1.03923e-10 1.02664e-10 1.01437e-10 1.00241e-10 9.90738e-11 9.79347e-11 9.68222e-11 9.57353e-11 9.46727e-11 9.36335e-11 9.26169e-11 9.16219e-11 9.06477e-11 8.96937e-11 8.87591e-11 8.78432e-11 8.69455e-11 8.60653e-11 8.52021e-11 8.43555e-11 8.35248e-11 8.27097e-11 8.19096e-11 8.11243e-11 8.03532e-11 7.95960e-11 7.88523e-11 7.81218e-11 7.74041e-11 7.66989e-11 7.60059e-11 7.53248e-11 7.46553e-11 7.39971e-11 7.33499e-11 7.27136e-11 7.20877e-11 7.14722e-11 7.08667e-11 7.02711e-11 6.96850e-11 6.91084e-11 6.85409e-11 6.79824e-11 6.74327e-11 6.68916e-11 6.63588e-11 6.58343e-11 6.53179e-11 6.48093e-11 6.43084e-11 6.38151e-11 6.33292e-11 6.28505e-11 6.23789e-11 6.19142e-11 6.14563e-11 6.10051e-11
