      R       THETA       E_CP
    2.5000   0.0000   -78.692617003280
    2.5000   5.0000   -78.692960294242
    2.5000   10.0000   -78.693736270094
    2.5000   15.0000   -78.694517047876
    2.5000   20.0000   -78.695165930108
    2.5000   25.0000   -78.695690584507
    2.5000   30.0000   -78.696192796930
    2.5000   35.0000   -78.696716695171
    2.5000   40.0000   -78.697285042494
    2.5000   45.0000   -78.697882931851
    2.5000   50.0000   -78.698481597389
    2.5000   55.0000   -78.699063421164
    2.5000   60.0000   -78.699589742509
    2.5000   65.0000   -78.700054697025
    2.5000   70.0000   -78.700440451450
    2.5000   75.0000   -78.700742083347
    2.5000   80.0000   -78.700959265984
    2.5000   85.0000   -78.701086922601
    2.5000   90.0000   -78.701129896237
    2.6000   0.0000   -78.696112256599
    2.6000   5.0000   -78.696247526418
    2.6000   10.0000   -78.696605117858
    2.6000   15.0000   -78.697054589092
    2.6000   20.0000   -78.697525338921
    2.6000   25.0000   -78.697983192031
    2.6000   30.0000   -78.698441560973
    2.6000   35.0000   -78.698907762566
    2.6000   40.0000   -78.699385071771
    2.6000   45.0000   -78.699863468399
    2.6000   50.0000   -78.700331164248
    2.6000   55.0000   -78.700767634482
    2.6000   60.0000   -78.701164143158
    2.6000   65.0000   -78.701499913909
    2.6000   70.0000   -78.701779117404
    2.6000   75.0000   -78.701992102782
    2.6000   80.0000   -78.702150793400
    2.6000   85.0000   -78.702242927347
    2.6000   90.0000   -78.702273477776
    2.7000   0.0000   -78.698697875514
    2.7000   5.0000   -78.698765077224
    2.7000   10.0000   -78.698967208671
    2.7000   15.0000   -78.699238073411
    2.7000   20.0000   -78.699562647468
    2.7000   25.0000   -78.699902372632
    2.7000   30.0000   -78.700253517538
    2.7000   35.0000   -78.700615870308
    2.7000   40.0000   -78.700980754505
    2.7000   45.0000   -78.701340897802
    2.7000   50.0000   -78.701683248224
    2.7000   55.0000   -78.701998659994
    2.7000   60.0000   -78.702284850325
    2.7000   65.0000   -78.702527226732
    2.7000   70.0000   -78.702725497879
    2.7000   75.0000   -78.702880514508
    2.7000   80.0000   -78.702988044088
    2.7000   85.0000   -78.703054790565
    2.7000   90.0000   -78.703076381290
    2.8000   0.0000   -78.700577572887
    2.8000   5.0000   -78.700620923077
    2.8000   10.0000   -78.700733841683
    2.8000   15.0000   -78.700913091342
    2.8000   20.0000   -78.701130543016
    2.8000   25.0000   -78.701373288679
    2.8000   30.0000   -78.701624233420
    2.8000   35.0000   -78.701886746960
    2.8000   40.0000   -78.702151655970
    2.8000   45.0000   -78.702409511869
    2.8000   50.0000   -78.702652583922
    2.8000   55.0000   -78.702879134673
    2.8000   60.0000   -78.703080372010
    2.8000   65.0000   -78.703251552473
    2.8000   70.0000   -78.703390433149
    2.8000   75.0000   -78.703498427112
    2.8000   80.0000   -78.703573745039
    2.8000   85.0000   -78.703618567707
    2.8000   90.0000   -78.703633465367
    2.9000   0.0000   -78.701929097319
    2.9000   5.0000   -78.701953771909
    2.9000   10.0000   -78.702026226265
    2.9000   15.0000   -78.702140469780
    2.9000   20.0000   -78.702285461933
    2.9000   25.0000   -78.702449171375
    2.9000   30.0000   -78.702625435577
    2.9000   35.0000   -78.702809084841
    2.9000   40.0000   -78.702995991761
    2.9000   45.0000   -78.703169613125
    2.9000   50.0000   -78.703340124398
    2.9000   55.0000   -78.703495695428
    2.9000   60.0000   -78.703638916827
    2.9000   65.0000   -78.703754725947
    2.9000   70.0000   -78.703849353637
    2.9000   75.0000   -78.703923200008
    2.9000   80.0000   -78.703972693662
    2.9000   85.0000   -78.704003073165
    2.9000   90.0000   -78.704013155742
    3.0000   0.0000   -78.702879070485
    3.0000   5.0000   -78.702893039623
    3.0000   10.0000   -78.702940816125
    3.0000   15.0000   -78.703013399029
    3.0000   20.0000   -78.703107217012
    3.0000   25.0000   -78.703217793603
    3.0000   30.0000   -78.703336555984
    3.0000   35.0000   -78.703460995623
    3.0000   40.0000   -78.703584239127
    3.0000   45.0000   -78.703706951565
    3.0000   50.0000   -78.703823653389
    3.0000   55.0000   -78.703929658673
    3.0000   60.0000   -78.704021866997
    3.0000   65.0000   -78.704099743481
    3.0000   70.0000   -78.704163422468
    3.0000   75.0000   -78.704211380450
    3.0000   80.0000   -78.704248472227
    3.0000   85.0000   -78.704267122507
    3.0000   90.0000   -78.704273758907
    3.1000   0.0000   -78.703537553656
    3.1000   5.0000   -78.703540713343
    3.1000   10.0000   -78.703574049332
    3.1000   15.0000   -78.703619903826
    3.1000   20.0000   -78.703681401055
    3.1000   25.0000   -78.703751514361
    3.1000   30.0000   -78.703827248306
    3.1000   35.0000   -78.703908953631
    3.1000   40.0000   -78.703992234241
    3.1000   45.0000   -78.704074427934
    3.1000   50.0000   -78.704152960734
    3.1000   55.0000   -78.704221114396
    3.1000   60.0000   -78.704281418325
    3.1000   65.0000   -78.704332216831
    3.1000   70.0000   -78.704375979225
    3.1000   75.0000   -78.704407648592
    3.1000   80.0000   -78.704429785888
    3.1000   85.0000   -78.704442858886
    3.1000   90.0000   -78.704447181051
    3.2000   0.0000   -78.703983214007
    3.2000   5.0000   -78.703985961754
    3.2000   10.0000   -78.704006252580
    3.2000   15.0000   -78.704034730211
    3.2000   20.0000   -78.704072003503
    3.2000   25.0000   -78.704114241409
    3.2000   30.0000   -78.704163304917
    3.2000   35.0000   -78.704215884277
    3.2000   40.0000   -78.704269082587
    3.2000   45.0000   -78.704321909336
    3.2000   50.0000   -78.704370959402
    3.2000   55.0000   -78.704415014492
    3.2000   60.0000   -78.704454796266
    3.2000   65.0000   -78.704489594865
    3.2000   70.0000   -78.704516086158
    3.2000   75.0000   -78.704536206199
    3.2000   80.0000   -78.704550272394
    3.2000   85.0000   -78.704558579183
    3.2000   90.0000   -78.704561325720
    3.3000   0.0000   -78.704278760915
    3.3000   5.0000   -78.704285272335
    3.3000   10.0000   -78.704293166382
    3.3000   15.0000   -78.704310529931
    3.3000   20.0000   -78.704332089752
    3.3000   25.0000   -78.704358240226
    3.3000   30.0000   -78.704388239394
    3.3000   35.0000   -78.704420392134
    3.3000   40.0000   -78.704453776973
    3.3000   45.0000   -78.704486109424
    3.3000   50.0000   -78.704516236610
    3.3000   55.0000   -78.704545975024
    3.3000   60.0000   -78.704570293573
    3.3000   65.0000   -78.704590263206
    3.3000   70.0000   -78.704606916931
    3.3000   75.0000   -78.704619272539
    3.3000   80.0000   -78.704627905345
    3.3000   85.0000   -78.704635987933
    3.3000   90.0000   -78.704637627682
    3.4000   0.0000   -78.704474149323
    3.4000   5.0000   -78.704476786301
    3.4000   10.0000   -78.704484349291
    3.4000   15.0000   -78.704488927955
    3.4000   20.0000   -78.704497737192
    3.4000   25.0000   -78.704513156026
    3.4000   30.0000   -78.704535179213
    3.4000   35.0000   -78.704553916787
    3.4000   40.0000   -78.704573286430
    3.4000   45.0000   -78.704592133552
    3.4000   50.0000   -78.704611835075
    3.4000   55.0000   -78.704628225671
    3.4000   60.0000   -78.704642195105
    3.4000   65.0000   -78.704658110171
    3.4000   70.0000   -78.704667187076
    3.4000   75.0000   -78.704674133604
    3.4000   80.0000   -78.704677028144
    3.4000   85.0000   -78.704679909019
    3.4000   90.0000   -78.704680861227
