	0	1	2	3	4
370	3.2000000000	30.0000000000	30.0000000000	0.0000000000	186.4935340720
443	3.2000000000	60.0000000000	30.0000000000	0.0000000000	186.4935340720
7370	3.2000000000	0.0000000000	30.0000000000	180.0000000000	186.4935342903
297	3.2000000000	0.0000000000	30.0000000000	0.0000000000	186.4935342903
516	3.2000000000	90.0000000000	30.0000000000	0.0000000000	186.4935342903
2255	2.9000000000	90.0000000000	90.0000000000	30.0000000000	186.9266196263
7002	2.9000000000	90.0000000000	90.0000000000	150.0000000000	186.9266196263
878	2.9000000000	0.0000000000	90.0000000000	0.0000000000	188.4528172317
8177	2.9000000000	90.0000000000	90.0000000000	180.0000000000	188.4528172317
8102	2.9000000000	60.0000000000	90.0000000000	180.0000000000	188.4528172317
1028	2.9000000000	60.0000000000	90.0000000000	0.0000000000	188.4528172317
8027	2.9000000000	30.0000000000	90.0000000000	180.0000000000	188.4528172317
953	2.9000000000	30.0000000000	90.0000000000	0.0000000000	188.4528172317
7952	2.9000000000	0.0000000000	90.0000000000	180.0000000000	188.4528172317
1103	2.9000000000	90.0000000000	90.0000000000	0.0000000000	188.4528172317
6575	3.1000000000	30.0000000000	60.0000000000	150.0000000000	189.9710487887
1824	2.9000000000	30.0000000000	60.0000000000	30.0000000000	190.4272915505
2183	2.9000000000	60.0000000000	90.0000000000	30.0000000000	192.3458450498
6932	2.9000000000	60.0000000000	90.0000000000	150.0000000000	192.3458452713
5324	3.1000000000	0.0000000000	60.0000000000	120.0000000000	193.4345847275
4050	2.9000000000	90.0000000000	30.0000000000	90.0000000000	195.5839381864
4501	3.0000000000	30.0000000000	90.0000000000	90.0000000000	200.4325335262
3975	2.9000000000	60.0000000000	30.0000000000	90.0000000000	200.5226113986
6503	3.1000000000	0.0000000000	60.0000000000	150.0000000000	201.1582204655
2111	2.9000000000	30.0000000000	90.0000000000	30.0000000000	203.5135124538
6860	2.9000000000	30.0000000000	90.0000000000	150.0000000000	203.5135126752
6287	3.2000000000	30.0000000000	30.0000000000	150.0000000000	204.6271148778
6788	2.9000000000	0.0000000000	90.0000000000	150.0000000000	208.8487734695
2039	2.9000000000	0.0000000000	90.0000000000	30.0000000000	208.8487734695
3303	3.0000000000	30.0000000000	90.0000000000	60.0000000000	209.7678423576
5697	3.0000000000	30.0000000000	90.0000000000	120.0000000000	209.7678423576
3901	2.9000000000	30.0000000000	30.0000000000	90.0000000000	210.5351476130
4426	3.0000000000	0.0000000000	90.0000000000	90.0000000000	214.4977506451
3826	2.9000000000	0.0000000000	30.0000000000	90.0000000000	215.9224587911
6214	3.2000000000	0.0000000000	30.0000000000	150.0000000000	216.6428972146
1896	2.9000000000	60.0000000000	60.0000000000	30.0000000000	219.2955365049
6432	3.1000000000	90.0000000000	30.0000000000	150.0000000000	220.7402423059
1682	3.1000000000	90.0000000000	30.0000000000	30.0000000000	220.7402425242
3228	3.0000000000	0.0000000000	90.0000000000	60.0000000000	222.7379780821
5622	3.0000000000	0.0000000000	90.0000000000	120.0000000000	222.7379780821
2629	2.9000000000	0.0000000000	30.0000000000	60.0000000000	223.7766593255
1751	2.8000000000	0.0000000000	60.0000000000	30.0000000000	224.1704683596
5473	3.0000000000	60.0000000000	60.0000000000	120.0000000000	225.0706033915
5173	3.0000000000	60.0000000000	30.0000000000	120.0000000000	228.1838069035
1465	3.0000000000	0.0000000000	30.0000000000	30.0000000000	231.0314305294
2703	2.9000000000	30.0000000000	30.0000000000	60.0000000000	232.5037795987
2254	2.8000000000	90.0000000000	90.0000000000	30.0000000000	234.0633573210
7001	2.8000000000	90.0000000000	90.0000000000	150.0000000000	234.0633573210
6646	3.0000000000	60.0000000000	60.0000000000	150.0000000000	234.3910867137
1823	2.8000000000	30.0000000000	60.0000000000	30.0000000000	236.6749135959
6931	2.8000000000	60.0000000000	90.0000000000	150.0000000000	239.7483581839
2182	2.8000000000	60.0000000000	90.0000000000	30.0000000000	239.7483584023
4350	2.9000000000	90.0000000000	60.0000000000	90.0000000000	240.7703385041
1537	3.0000000000	30.0000000000	30.0000000000	30.0000000000	241.8287382279
2928	2.9000000000	0.0000000000	60.0000000000	60.0000000000	241.8712642939
3003	2.9000000000	30.0000000000	60.0000000000	60.0000000000	242.0027072072
2110	2.8000000000	30.0000000000	90.0000000000	30.0000000000	249.6112706363
6859	2.8000000000	30.0000000000	90.0000000000	150.0000000000	249.6112708578
3078	2.9000000000	60.0000000000	60.0000000000	60.0000000000	251.5177826605
4275	2.9000000000	60.0000000000	60.0000000000	90.0000000000	254.2656774585
2038	2.8000000000	0.0000000000	90.0000000000	30.0000000000	254.8124458233
6787	2.8000000000	0.0000000000	90.0000000000	150.0000000000	254.8124460417
2778	2.9000000000	60.0000000000	30.0000000000	60.0000000000	259.9023552741
4649	2.9000000000	90.0000000000	90.0000000000	90.0000000000	262.1532317707
6359	3.1000000000	60.0000000000	30.0000000000	150.0000000000	262.2458783780
7297	3.2000000000	90.0000000000	0.0000000000	180.0000000000	265.2272390902
5	3.2000000000	0.0000000000	0.0000000000	0.0000000000	265.2272390902
78	3.2000000000	30.0000000000	0.0000000000	0.0000000000	265.2272393086
7224	3.2000000000	60.0000000000	0.0000000000	180.0000000000	265.2272393086
7151	3.2000000000	30.0000000000	0.0000000000	180.0000000000	265.2272393086
7078	3.2000000000	0.0000000000	0.0000000000	180.0000000000	265.2272393086
151	3.2000000000	60.0000000000	0.0000000000	0.0000000000	265.2272393086
224	3.2000000000	90.0000000000	0.0000000000	0.0000000000	265.2272393086
6716	2.9000000000	90.0000000000	60.0000000000	150.0000000000	266.2749038710
1968	2.9000000000	90.0000000000	60.0000000000	30.0000000000	266.2749038710
5098	3.0000000000	30.0000000000	30.0000000000	120.0000000000	266.3585258960
515	3.1000000000	90.0000000000	30.0000000000	0.0000000000	272.6338151901
442	3.1000000000	60.0000000000	30.0000000000	0.0000000000	272.6338151901
7515	3.1000000000	60.0000000000	30.0000000000	180.0000000000	272.6338151901
7442	3.1000000000	30.0000000000	30.0000000000	180.0000000000	272.6338151901
296	3.1000000000	0.0000000000	30.0000000000	0.0000000000	272.6338151901
369	3.1000000000	30.0000000000	30.0000000000	0.0000000000	272.6338151901
7369	3.1000000000	0.0000000000	30.0000000000	180.0000000000	272.6338151901
7588	3.1000000000	90.0000000000	30.0000000000	180.0000000000	272.6338154115
1609	3.0000000000	60.0000000000	30.0000000000	30.0000000000	273.4283225673
1895	2.8000000000	60.0000000000	60.0000000000	30.0000000000	273.5136444267
5398	3.0000000000	30.0000000000	60.0000000000	120.0000000000	275.4250371304
657	2.9000000000	30.0000000000	60.0000000000	0.0000000000	278.4360503987
730	2.9000000000	60.0000000000	60.0000000000	0.0000000000	278.4360503987
803	2.9000000000	90.0000000000	60.0000000000	0.0000000000	278.4360503987
7877	2.9000000000	90.0000000000	60.0000000000	180.0000000000	278.4360503987
7732	2.9000000000	30.0000000000	60.0000000000	180.0000000000	278.4360503987
7659	2.9000000000	0.0000000000	60.0000000000	180.0000000000	278.4360506201
7804	2.9000000000	60.0000000000	60.0000000000	180.0000000000	278.4360506201
586	2.9000000000	0.0000000000	60.0000000000	0.0000000000	278.4360506201
4575	2.9000000000	60.0000000000	90.0000000000	90.0000000000	279.1497272486
6574	3.0000000000	30.0000000000	60.0000000000	150.0000000000	279.3569200775
1322	3.1000000000	60.0000000000	0.0000000000	30.0000000000	281.2224612333
1249	3.1000000000	30.0000000000	0.0000000000	30.0000000000	281.2224612333
6067	3.1000000000	60.0000000000	0.0000000000	150.0000000000	281.2224612333
5994	3.1000000000	30.0000000000	0.0000000000	150.0000000000	281.2224612333
1176	3.1000000000	0.0000000000	0.0000000000	30.0000000000	281.2325776972
1395	3.1000000000	90.0000000000	0.0000000000	30.0000000000	281.2325776972
6140	3.1000000000	90.0000000000	0.0000000000	150.0000000000	281.2325776972
5921	3.1000000000	0.0000000000	0.0000000000	150.0000000000	281.2325776972
5846	2.9000000000	90.0000000000	90.0000000000	120.0000000000	281.4293092716
3452	2.9000000000	90.0000000000	90.0000000000	60.0000000000	281.4293094899
4200	2.9000000000	30.0000000000	60.0000000000	90.0000000000	281.4334496594
5024	3.0000000000	0.0000000000	30.0000000000	120.0000000000	282.0246317896
5547	2.9000000000	90.0000000000	60.0000000000	120.0000000000	290.4767731771
3152	2.9000000000	90.0000000000	60.0000000000	60.0000000000	290.4767731771
7951	2.8000000000	0.0000000000	90.0000000000	180.0000000000	291.6917513696
952	2.8000000000	30.0000000000	90.0000000000	0.0000000000	291.6917515879
1027	2.8000000000	60.0000000000	90.0000000000	0.0000000000	291.6917515879
877	2.8000000000	0.0000000000	90.0000000000	0.0000000000	291.6917515879
8176	2.8000000000	90.0000000000	90.0000000000	180.0000000000	291.6917515879
8101	2.8000000000	60.0000000000	90.0000000000	180.0000000000	291.6917515879
1102	2.8000000000	90.0000000000	90.0000000000	0.0000000000	291.6917515879
8026	2.8000000000	30.0000000000	90.0000000000	180.0000000000	291.6917515879
4125	2.9000000000	0.0000000000	60.0000000000	90.0000000000	294.8478588798
5323	3.0000000000	0.0000000000	60.0000000000	120.0000000000	297.3226249585
3377	2.9000000000	60.0000000000	90.0000000000	60.0000000000	297.4066168003
5771	2.9000000000	60.0000000000	90.0000000000	120.0000000000	297.4075043551
6502	3.0000000000	0.0000000000	60.0000000000	150.0000000000	297.5544661077
6286	3.1000000000	30.0000000000	30.0000000000	150.0000000000	298.8477796212
2853	2.9000000000	90.0000000000	30.0000000000	60.0000000000	309.6820360918
5247	2.9000000000	90.0000000000	30.0000000000	120.0000000000	309.6820360918
6213	3.1000000000	0.0000000000	30.0000000000	150.0000000000	312.9100281252
4500	2.9000000000	30.0000000000	90.0000000000	90.0000000000	313.2003722121
2479	2.9000000000	60.0000000000	0.0000000000	60.0000000000	319.7332114685
2329	2.9000000000	0.0000000000	0.0000000000	60.0000000000	319.7332757776
2554	2.9000000000	90.0000000000	0.0000000000	60.0000000000	319.7332759959
4948	2.9000000000	90.0000000000	0.0000000000	120.0000000000	319.7332759959
4723	2.9000000000	0.0000000000	0.0000000000	120.0000000000	319.7332759959
4798	2.9000000000	30.0000000000	0.0000000000	120.0000000000	319.7334744030
2404	2.9000000000	30.0000000000	0.0000000000	60.0000000000	319.7334744030
4873	2.9000000000	60.0000000000	0.0000000000	120.0000000000	319.7334744030
6431	3.0000000000	90.0000000000	30.0000000000	150.0000000000	321.8468147072
1681	3.0000000000	90.0000000000	30.0000000000	30.0000000000	321.8468147072
6645	2.9000000000	60.0000000000	60.0000000000	150.0000000000	325.0225737563
1464	2.9000000000	0.0000000000	30.0000000000	30.0000000000	329.5438130260
3302	2.9000000000	30.0000000000	90.0000000000	60.0000000000	329.6767948998
5696	2.9000000000	30.0000000000	90.0000000000	120.0000000000	329.6767948998
1967	2.8000000000	90.0000000000	60.0000000000	30.0000000000	330.0453722535
6715	2.8000000000	90.0000000000	60.0000000000	150.0000000000	330.0453724749
3601	2.8000000000	30.0000000000	0.0000000000	90.0000000000	330.1557910371
3676	2.8000000000	60.0000000000	0.0000000000	90.0000000000	330.1557910371
3751	2.8000000000	90.0000000000	0.0000000000	90.0000000000	330.1559268911
3526	2.8000000000	0.0000000000	0.0000000000	90.0000000000	330.1559271094
4425	2.9000000000	0.0000000000	90.0000000000	90.0000000000	330.4638796479
1536	2.9000000000	30.0000000000	30.0000000000	30.0000000000	341.5558283006
5621	2.9000000000	0.0000000000	90.0000000000	120.0000000000	345.9732773632
3227	2.9000000000	0.0000000000	90.0000000000	60.0000000000	345.9732773632
4049	2.8000000000	90.0000000000	30.0000000000	90.0000000000	350.2754800748
5472	2.9000000000	60.0000000000	60.0000000000	120.0000000000	351.3213420874
3974	2.8000000000	60.0000000000	30.0000000000	90.0000000000	357.2948348903
7296	3.1000000000	90.0000000000	0.0000000000	180.0000000000	363.0704699945
4	3.1000000000	0.0000000000	0.0000000000	0.0000000000	363.0704699945
77	3.1000000000	30.0000000000	0.0000000000	0.0000000000	363.0704702129
7223	3.1000000000	60.0000000000	0.0000000000	180.0000000000	363.0704702129
223	3.1000000000	90.0000000000	0.0000000000	0.0000000000	363.0704702129
7150	3.1000000000	30.0000000000	0.0000000000	180.0000000000	363.0704702129
7077	3.1000000000	0.0000000000	0.0000000000	180.0000000000	363.0704702129
150	3.1000000000	60.0000000000	0.0000000000	0.0000000000	363.0704702129
5172	2.9000000000	60.0000000000	30.0000000000	120.0000000000	365.4661661681
3900	2.8000000000	30.0000000000	30.0000000000	90.0000000000	369.2282622268
7876	2.8000000000	90.0000000000	60.0000000000	180.0000000000	370.4213085365
729	2.8000000000	60.0000000000	60.0000000000	0.0000000000	370.4213085365
656	2.8000000000	30.0000000000	60.0000000000	0.0000000000	370.4213085365
802	2.8000000000	90.0000000000	60.0000000000	0.0000000000	370.4213085365
7731	2.8000000000	30.0000000000	60.0000000000	180.0000000000	370.4213085365
7658	2.8000000000	0.0000000000	60.0000000000	180.0000000000	370.4213087579
585	2.8000000000	0.0000000000	60.0000000000	0.0000000000	370.4213087579
7803	2.8000000000	60.0000000000	60.0000000000	180.0000000000	370.4213087579
7368	3.0000000000	0.0000000000	30.0000000000	180.0000000000	371.3256987449
295	3.0000000000	0.0000000000	30.0000000000	0.0000000000	371.3256987449
7514	3.0000000000	60.0000000000	30.0000000000	180.0000000000	371.3256989632
514	3.0000000000	90.0000000000	30.0000000000	0.0000000000	371.3256989632
441	3.0000000000	60.0000000000	30.0000000000	0.0000000000	371.3256989632
7587	3.0000000000	90.0000000000	30.0000000000	180.0000000000	371.3256989632
7441	3.0000000000	30.0000000000	30.0000000000	180.0000000000	371.3256989632
368	3.0000000000	30.0000000000	30.0000000000	0.0000000000	371.3256989632
6358	3.0000000000	60.0000000000	30.0000000000	150.0000000000	374.7660568447
3825	2.8000000000	0.0000000000	30.0000000000	90.0000000000	376.5428183201
6573	2.9000000000	30.0000000000	60.0000000000	150.0000000000	376.6092998191
1608	2.9000000000	60.0000000000	30.0000000000	30.0000000000	377.7051267701
2628	2.8000000000	0.0000000000	30.0000000000	60.0000000000	385.5063779538
4349	2.8000000000	90.0000000000	60.0000000000	90.0000000000	389.3234616224
1175	3.0000000000	0.0000000000	0.0000000000	30.0000000000	394.3903130663
5920	3.0000000000	0.0000000000	0.0000000000	150.0000000000	394.3903130663
6139	3.0000000000	90.0000000000	0.0000000000	150.0000000000	394.3903130663
1394	3.0000000000	90.0000000000	0.0000000000	30.0000000000	394.3903130663
6066	3.0000000000	60.0000000000	0.0000000000	150.0000000000	394.3903782517
1321	3.0000000000	60.0000000000	0.0000000000	30.0000000000	394.3903782517
1248	3.0000000000	30.0000000000	0.0000000000	30.0000000000	394.3903782517
5993	3.0000000000	30.0000000000	0.0000000000	150.0000000000	394.3903782517
2702	2.8000000000	30.0000000000	30.0000000000	60.0000000000	395.8358605521
3002	2.8000000000	30.0000000000	60.0000000000	60.0000000000	396.3459246403
2927	2.8000000000	0.0000000000	60.0000000000	60.0000000000	396.5813039384
6644	2.8000000000	60.0000000000	60.0000000000	150.0000000000	397.2063470517
6501	2.9000000000	0.0000000000	60.0000000000	150.0000000000	397.5726041238
8100	2.7000000000	60.0000000000	90.0000000000	180.0000000000	402.2644792089
951	2.7000000000	30.0000000000	90.0000000000	0.0000000000	402.2644792089
1026	2.7000000000	60.0000000000	90.0000000000	0.0000000000	402.2644792089
876	2.7000000000	0.0000000000	90.0000000000	0.0000000000	402.2644792089
1101	2.7000000000	90.0000000000	90.0000000000	0.0000000000	402.2644792089
8025	2.7000000000	30.0000000000	90.0000000000	180.0000000000	402.2644794303
