R	Gamma	E
3.10	90	-78.269515402851
3.20	0	-78.268847211121
3.20	5	-78.268852882975
3.20	10	-78.268870242258
3.20	15	-78.268900005293
3.20	20	-78.268942577185
3.20	25	-78.268997416361
3.20	30	-78.269062728354
3.20	35	-78.269135647944
3.20	40	-78.269212628916
3.20	45	-78.26928998212
3.20	50	-78.269364293687
3.20	55	-78.269432801181
3.20	60	-78.269493516959
3.20	65	-78.269545242348
3.20	70	-78.269587402265
3.20	75	-78.269619870886
3.20	80	-78.269642780077
3.20	85	-78.269656376368
3.20	90	-78.26966087951
3.30	0	-78.269224621705
3.30	5	-78.269228578067
3.30	10	-78.269240574046
3.30	15	-78.269260840077
3.30	20	-78.269289376598
3.30	25	-78.269325624484
3.30	30	-78.26936835883
3.30	35	-78.269415775368
3.30	40	-78.269465698497
3.30	45	-78.269515826687
3.30	50	-78.269564006234
3.30	55	-78.269608442527
3.30	60	-78.269647841133
3.30	65	-78.26968140391
3.30	70	-78.269708746965
3.30	75	-78.26972978199
3.30	80	-78.269744604699
3.30	85	-78.269753389603
3.30	90	-78.269756296253
3.40	0	-78.269480396665
3.40	5	-78.269482995421
3.40	10	-78.269490833716
3.40	15	-78.269503956216
3.40	20	-78.269522243229
3.40	25	-78.26954527215
3.40	30	-78.269572265383
3.40	35	-78.269602139649
3.40	40	-78.26963359632
3.40	45	-78.269665237183
3.40	50	-78.269695711682
3.40	55	-78.269723871629
3.40	60	-78.269748868181
3.40	65	-78.269770168299
3.40	70	-78.269787506914
3.40	75	-78.269800820001
3.40	80	-78.269810249254
3.40	85	-78.269815788828
3.40	90	-78.269817755496
3.50	0	-78.269650221919
3.50	5	-78.269651923361
3.50	10	-78.269656613224
3.50	15	-78.269664596323
3.50	20	-78.269675662464
3.50	25	-78.269689545778
3.50	30	-78.269705804121
3.50	35	-78.269723832815
3.50	40	-78.26974289536
3.50	45	-78.269762164774
3.50	50	-78.269780812105
3.50	55	-78.269798107492
3.50	60	-78.269813495571
3.50	65	-78.269826612801
3.50	70	-78.269837344765
3.50	75	-78.269845509428
3.50	80	-78.269851554309
3.50	85	-78.269854819085
3.50	90	-78.269855777845
3.60	0	-78.269760343413
3.60	5	-78.269761548675
3.60	10	-78.269763879202
3.60	15	-78.269768291397
3.60	20	-78.269774413843
3.60	25	-78.269782127542
3.60	30	-78.269791226229
3.60	35	-78.269801415341
3.60	40	-78.269812306137
3.60	45	-78.269823429872
3.60	50	-78.269834289677
3.60	55	-78.26984442741
3.60	60	-78.269853478396
3.60	65	-78.269861276729
3.60	70	-78.269867879906
3.60	75	-78.269872462769
3.60	80	-78.269875647957
3.60	85	-78.269877509686
3.60	90	-78.269878108309
3.70	0	-78.269829619809
3.70	5	-78.269830178461
3.70	10	-78.269831306656
3.70	15	-78.269833216224
3.70	20	-78.269836055496
3.70	25	-78.269839719417
3.70	30	-78.269844161342
3.70	35	-78.26984927593
3.70	40	-78.269854882646
3.70	45	-78.269860732944
3.70	50	-78.26986653781
3.70	55	-78.269872098026
3.70	60	-78.269877446048
3.70	65	-78.269881444066
3.70	70	-78.269884660396
3.70	75	-78.269887064476
3.70	80	-78.269888693947
3.70	85	-78.269889624425
3.70	90	-78.26988991907
3.80	0	-78.269871350561
3.80	5	-78.269871507846
3.80	10	-78.269871968486
3.80	15	-78.269872709247
3.80	20	-78.269872934412
3.80	25	-78.26987394854
3.80	30	-78.269875451343
3.80	35	-78.26987736442
3.80	40	-78.26987970528
3.80	45	-78.26988220946
3.80	50	-78.269885234768
3.80	55	-78.269887555987
3.80	60	-78.269889664594
3.80	65	-78.269891444128
3.80	70	-78.269892824803
3.80	75	-78.269893796851
3.80	80	-78.269894406166
3.80	85	-78.269894727159
3.80	90	-78.269894822436
3.90	0	-78.269894787189
3.90	5	-78.269894704314
3.90	10	-78.26989446801
3.90	15	-78.269894115736
3.90	20	-78.269893711536
3.90	25	-78.269893339677
3.90	30	-78.269893085783
3.90	35	-78.269893012798
3.90	40	-78.269893144382
3.90	45	-78.269893459126
3.90	50	-78.269893900077
3.90	55	-78.269894387377
3.90	60	-78.269894836385
3.90	65	-78.269895175641
3.90	70	-78.269895365528
3.90	75	-78.269895413134
3.90	80	-78.269895367861
3.90	85	-78.269895300122
3.90	90	-78.269895268303
4.00	0	-78.269906301764
4.00	5	-78.269906085431
4.00	10	-78.269905461401
4.00	15	-78.269904500625
4.00	20	-78.269903309
4.00	25	-78.269902008679
4.00	30	-78.269900714066
4.00	35	-78.269899511474
4.00	40	-78.269898449263
4.00	45	-78.269897539969
4.00	50	-78.269896768624
4.00	55	-78.269896101864
4.00	60	-78.269895498717
4.00	65	-78.269894923776
4.00	70	-78.269894362689
4.00	75	-78.269893833646
4.00	80	-78.269893385746
4.00	85	-78.269893081432
4.00	90	-78.26989297304
4.10	0	-78.269910244859
4.10	5	-78.269909963776
4.10	10	-78.269909151206
4.10	15	-78.269907892036
4.10	20	-78.269906307853
4.10	25	-78.269904532398
4.10	30	-78.269902687106
4.10	35	-78.269900864626
4.10	40	-78.269899124941
4.10	45	-78.269897500688
4.10	50	-78.269896005632
4.10	55	-78.269894640075
4.10	60	-78.269893396619
4.10	65	-78.269892268382
4.10	70	-78.269891259508
4.10	75	-78.269890394586
4.10	80	-78.269889718169
4.10	85	-78.269889282649
4.10	90	-78.269889132605
4.20	0	-78.269909556955
4.20	5	-78.269909253466
4.20	10	-78.269908374107
4.20	15	-78.269907005681
4.20	20	-78.26990526893
4.20	25	-78.269903294333
4.20	30	-78.2699011989
4.20	35	-78.269899073793
4.20	40	-78.269896983906
4.20	45	-78.269894974863
4.20	50	-78.269893079774
4.20	55	-78.269891323331
4.20	60	-78.269889722804
4.20	65	-78.269888291348
4.20	70	-78.269887044997
4.20	75	-78.269886010052
4.20	80	-78.269885224187
4.20	85	-78.269884729093
4.20	90	-78.269884561315
4.30	0	-78.269906195933
4.30	5	-78.269905893828
4.30	10	-78.26990501703
4.30	15	-78.269903646255
4.30	20	-78.269901893464
4.30	25	-78.269899878553
4.30	30	-78.269897709786
4.30	35	-78.269895474344
4.30	40	-78.26989323942
4.30	45	-78.269891058909
4.30	50	-78.2698889797
4.30	55	-78.269887042189
4.30	60	-78.269885279602
