R	phi	theta2	theta1	E
2.50	0	0	0	2276123.682592
2.50	0	0	30	-6039.227956
2.50	0	0	60	-20129.604022
2.50	0	0	90	1763.852053
2.50	0	0	120	-20129.604045
2.50	0	0	150	-6039.227776
2.50	0	0	180	2276123.681962
2.50	0	30	0	822508.681486
2.50	0	30	30	-14851.155991
2.50	0	30	60	-20647.182529
2.50	0	30	90	1523.46545
2.50	0	30	120	-19783.260577
2.50	0	30	150	6694.703849
2.50	0	30	180	822508.681278
2.50	0	60	0	212903.664888
2.50	0	60	30	-15950.595513
2.50	0	60	60	-20879.684945
2.50	0	60	90	1100.513676
2.50	0	60	120	-20000.054973
2.50	0	60	150	4353.524188
2.50	0	60	180	212903.664655
2.50	0	90	0	95320.928736
2.50	0	90	30	-8920.138653
2.50	0	90	60	-20583.185479
2.50	0	90	90	914.73549
2.50	0	90	120	-20583.185624
2.50	0	90	150	-8920.138461
2.50	0	90	180	95320.928689
2.50	30	0	0	2276123.682593
2.50	30	0	30	-6040.355292
2.50	30	0	60	-20132.156335
2.50	30	0	90	1770.352423
2.50	30	0	120	-20132.156231
2.50	30	0	150	-6040.355502
2.50	30	0	180	2276123.681961
2.50	30	30	0	822508.681486
2.50	30	30	30	-14346.994019
2.50	30	30	60	-20636.88237
2.50	30	30	90	1545.712365
2.50	30	30	120	-19903.388385
2.50	30	30	150	3731.736226
2.50	30	30	180	822508.681278
2.50	30	60	0	212903.664888
2.50	30	60	30	-16189.375595
2.50	30	60	60	-20940.831326
2.50	30	60	90	1149.556895
2.50	30	60	120	-20221.058295
2.50	30	60	150	-178.968222
2.50	30	60	180	212903.664655
2.50	30	90	0	95320.928736
2.50	30	90	30	-10988.124923
2.50	30	90	60	-20753.73782
2.50	30	90	90	975.447752
2.50	30	90	120	-20753.737961
2.50	30	90	150	-10988.124619
2.50	30	90	180	95320.928689
2.50	60	0	0	2276123.682593
2.50	60	0	30	-6039.697592
2.50	60	0	60	-20131.049069
2.50	60	0	90	1760.818055
2.50	60	0	120	-20131.049021
2.50	60	0	150	-6039.697505
2.50	60	0	180	2276123.681962
2.50	60	30	0	822508.681486
2.50	60	30	30	-12557.110644
2.50	60	30	60	-20573.531236
2.50	60	30	90	1567.09905
2.50	60	30	120	-20165.954801
2.50	60	30	150	-2793.465453
2.50	60	30	180	822508.681278
2.50	60	60	0	212903.664888
2.50	60	60	30	-15898.613167
2.50	60	60	60	-21018.688796
2.50	60	60	90	1223.069426
2.50	60	60	120	-20644.055634
2.50	60	60	150	-7872.945705
2.50	60	60	180	212903.664655
2.50	60	90	0	95320.928736
2.50	60	90	30	-14257.278701
2.50	60	90	60	-21053.888628
2.50	60	90	90	1071.496066
2.50	60	90	120	-21053.888754
2.50	60	90	150	-14257.278624
2.50	60	90	180	95320.928689
2.50	90	0	0	2276123.682593
2.50	90	0	30	-6039.856772
2.50	90	0	60	-20131.539491
2.50	90	0	90	1763.852101
2.50	90	0	120	-20131.539572
2.50	90	0	150	-6039.856943
2.50	90	0	180	2276123.681961
2.50	90	30	0	822508.681486
2.50	90	30	30	-8820.421712
2.50	90	30	60	-20418.770756
2.50	90	30	90	1585.452463
2.50	90	30	120	-20418.770671
2.50	90	30	150	-8820.421591
2.50	90	30	180	822508.681279
2.50	90	60	0	212903.664888
2.50	90	60	30	-13541.083685
2.50	90	60	60	-20947.555282
2.50	90	60	90	1266.610777
2.50	90	60	120	-20947.555329
2.50	90	60	150	-13541.083644
2.50	90	60	180	212903.664655
2.50	90	90	0	95320.928736
2.50	90	90	30	-15528.56162
2.50	90	90	60	-21191.39734
2.50	90	90	90	1125.872212
2.50	90	90	120	-21191.397348
2.50	90	90	150	-15528.561579
2.50	90	90	180	95320.928689
2.60	0	0	0	1013317.071806
2.60	0	0	30	-7900.057348
2.60	0	0	60	-21038.886693
2.60	0	0	90	1201.549512
2.60	0	0	120	-21038.886713
2.60	0	0	150	-7900.057297
2.60	0	0	180	1013317.071984
2.60	0	30	0	476653.843642
2.60	0	30	30	-14943.051072
2.60	0	30	60	-21499.430688
2.60	0	30	90	1015.694014
2.60	0	30	120	-20743.675309
2.60	0	30	150	-757.428616
2.60	0	30	180	476653.843657
2.60	0	60	0	118061.299682
2.60	0	60	30	-16977.562218
2.60	0	60	60	-21715.995004
2.60	0	60	90	690.007591
2.60	0	60	120	-20961.283665
2.60	0	60	150	-4767.77355
2.60	0	60	180	118061.299921
2.60	0	90	0	40326.57707
2.60	0	90	30	-13605.932181
2.60	0	90	60	-21474.441416
2.60	0	90	90	547.804974
2.60	0	90	120	-21474.441363
2.60	0	90	150	-13605.932361
2.60	0	90	180	40326.577061
2.60	30	0	0	1013317.071806
2.60	30	0	30	-7901.107933
2.60	30	0	60	-21041.378394
2.60	30	0	90	1208.043
2.60	30	0	120	-21041.378215
2.60	30	0	150	-7901.107816
2.60	30	0	180	1013317.071984
2.60	30	30	0	476653.843642
2.60	30	30	30	-14496.040483
2.60	30	30	60	-21486.727785
2.60	30	30	90	1035.733114
2.60	30	30	120	-20844.92453
2.60	30	30	150	-2453.146579
2.60	30	30	180	476653.843657
2.60	30	60	0	118061.299682
2.60	30	60	30	-16859.074065
2.60	30	60	60	-21757.22514
2.60	30	60	90	733.590886
2.60	30	60	120	-21139.201273
2.60	30	60	150	-7060.691444
2.60	30	60	180	118061.299921
2.60	30	90	0	40326.57707
2.60	30	90	30	-14352.847194
2.60	30	90	60	-21603.927111
2.60	30	90	90	601.632872
2.60	30	90	120	-21603.92707
2.60	30	90	150	-14352.847187
2.60	30	90	180	40326.577061
2.60	60	0	0	1013317.071806
2.60	60	0	30	-7900.591646
2.60	60	0	60	-21040.304819
2.60	60	0	90	1198.523537
2.60	60	0	120	-21040.304969
2.60	60	0	150	-7900.59149
2.60	60	0	180	1013317.071984
2.60	60	30	0	476653.843642
2.60	60	30	30	-13024.583034
2.60	60	30	60	-21423.16994
2.60	60	30	90	1053.020773
2.60	60	30	120	-21066.248396
2.60	60	30	150	-6299.16888
2.60	60	30	180	476653.843657
2.60	60	60	0	118061.299682
2.60	60	60	30	-16135.767137
2.60	60	60	60	-21801.349141
2.60	60	60	90	796.418322
2.60	60	60	120	-21478.199186
2.60	60	60	150	-10904.21268
2.60	60	60	180	118061.299921
2.60	60	90	0	40326.57707
2.60	60	90	30	-15465.622169
2.60	60	90	60	-21829.183842
2.60	60	90	90	684.404554
2.60	60	90	120	-21829.183948
2.60	60	90	150	-15465.622165
2.60	60	90	180	40326.577061
2.60	90	0	0	1013317.071806
2.60	90	0	30	-7900.771305
2.60	90	0	60	-21040.786561
2.60	90	0	90	1201.549529
2.60	90	0	120	-21040.786694
2.60	90	0	150	-7900.771334
2.60	90	0	180	1013317.071984
2.60	90	30	0	476653.843642
2.60	90	30	30	-10256.568226
2.60	90	30	60	-21283.564477
2.60	90	30	90	1069.609355
2.60	90	30	120	-21283.564603
2.60	90	30	150	-10256.567984
2.60	90	30	180	476653.843657
2.60	90	60	0	118061.299682
2.60	90	60	30	-14242.734195
2.60	90	60	60	-21728.342244
2.60	90	60	90	834.949155
2.60	90	60	120	-21728.342302
2.60	90	60	150	-14242.734183
2.60	90	60	180	118061.299921
2.60	90	90	0	40326.57707
2.60	90	90	30	-15911.174502
2.60	90	90	60	-21932.380359
2.60	90	90	90	732.386907
2.60	90	90	120	-21932.380193
2.60	90	90	150	-15911.174416
2.60	90	90	180	40326.577061
2.70	0	0	0	521828.404819
2.70	0	0	30	-9861.921408
2.70	0	0	60	-21741.366727
2.70	0	0	90	791.945309
2.70	0	0	120	-21741.366785
2.70	0	0	150	-9861.921245
2.70	0	0	180	521828.404817
2.70	0	30	0	267644.703257
2.70	0	30	30	-14996.282991
2.70	0	30	60	-22144.336175
2.70	0	30	90	649.170642
2.70	0	30	120	-21498.418662
2.70	0	30	150	-6600.502904
2.70	0	30	180	267644.703325
2.70	0	60	0	58946.590592
2.70	0	60	30	-17319.033093
2.70	0	60	60	-22343.960705
2.70	0	60	90	400.361006
2.70	0	60	120	-21710.681442
2.70	0	60	150	-10730.223691
2.70	0	60	180	58946.590433
2.70	0	90	0	9208.681577
2.70	0	90	30	-16164.19115
2.70	0	90	60	-22152.897594
2.70	0	90	90	292.561906
2.70	0	90	120	-22152.897478
2.70	0	90	150	-16164.19094
2.70	0	90	180	9208.681853
2.70	30	0	0	521828.404819
2.70	30	0	30	-9862.847447
2.70	30	0	60	-21743.819654
2.70	30	0	90	798.433921
2.70	30	0	120	-21743.819555
2.70	30	0	150	-9862.847345
2.70	30	0	180	521828.404817
2.70	30	30	0	267644.703257
2.70	30	30	30	-14638.149777
2.70	30	30	60	-22130.977194
2.70	30	30	90	667.256615
2.70	30	30	120	-21582.618262
2.70	30	30	150	-7461.516911
2.70	30	30	180	267644.703325
2.70	30	60	0	58946.590591
2.70	30	60	30	-17044.20139
2.70	30	60	60	-22370.720244
2.70	30	60	90	438.927736
2.70	30	60	120	-21851.786512
2.70	30	60	150	-11664.036951
2.70	30	60	180	58946.590433
2.70	30	90	0	9208.681577
2.70	30	90	30	-16217.191163
2.70	30	90	60	-22249.658032
2.70	30	90	90	340.039148
2.70	30	90	120	-22249.658198
2.70	30	90	150	-16217.191191
2.70	30	90	180	9208.681852
2.70	60	0	0	521828.404819
2.70	60	0	30	-9862.498098
2.70	60	0	60	-21742.769175
2.70	60	0	90	788.924425
2.70	60	0	120	-21742.769168
2.70	60	0	150	-9862.498504
2.70	60	0	180	521828.404816
2.70	60	30	0	267644.703257
2.70	60	30	30	-13539.912931
2.70	60	30	60	-22070.890642
2.70	60	30	90	681.164041
2.70	60	30	120	-21765.907719
2.70	60	30	150	-9445.037136
2.70	60	30	180	267644.703325
2.70	60	60	0	58946.590591
2.70	60	60	30	-16198.026524
2.70	60	60	60	-22391.428574
2.70	60	60	90	492.143346
2.70	60	60	120	-22119.628987
2.70	60	60	150	-13165.192956
2.70	60	60	180	58946.590433
2.70	60	90	0	9208.681577
2.70	60	90	30	-16167.447939
2.70	60	90	60	-22415.761395
2.70	60	90	90	410.543368
2.70	60	90	120	-22415.761978
2.70	60	90	150	-16167.447783
2.70	60	90	180	9208.681853
2.70	90	0	0	521828.404819
2.70	90	0	30	-9862.691262
2.70	90	0	60	-21743.24541
2.70	90	0	90	791.945287
2.70	90	0	120	-21743.245344
2.70	90	0	150	-9862.691173
2.70	90	0	180	521828.404817
2.70	90	30	0	267644.703257
2.70	90	30	30	-11706.268604
2.70	90	30	60	-21948.706061
2.70	90	30	90	695.712383
2.70	90	30	120	-21948.706149
2.70	90	30	150	-11706.268694
2.70	90	30	180	267644.703325
2.70	90	60	0	58946.590591
2.70	90	60	30	-14819.406738
2.70	90	60	60	-22321.84583
2.70	90	60	90	525.827099
2.70	90	60	120	-22321.845785
2.70	90	60	150	-14819.406632
2.70	90	60	180	58946.590433
2.70	90	90	0	9208.681577
2.70	90	90	30	-16122.339883
2.70	90	90	60	-22491.612892
2.70	90	90	90	452.608244
2.70	90	90	120	-22491.612813
2.70	90	90	150	-16122.339979
2.70	90	90	180	9208.681853
2.80	0	0	0	282637.24697
2.80	0	0	30	-11748.609469
2.80	0	0	60	-22280.455148
2.80	0	0	90	497.851601
2.80	0	0	120	-22280.455234
2.80	0	0	150	-11748.609362
2.80	0	0	180	282637.246829
2.80	0	30	0	146541.489305
2.80	0	30	30	-15214.270492
2.80	0	30	60	-22627.649239
2.80	0	30	90	388.86033
2.80	0	30	120	-22086.985421
2.80	0	30	150	-10812.462184
2.80	0	30	180	146541.489189
2.80	0	60	0	25133.963328
2.80	0	60	30	-17446.635793
2.80	0	60	60	-22809.399879
2.80	0	60	90	200.252845
2.80	0	60	120	-22288.990505
2.80	0	60	150	-14353.985711
2.80	0	60	180	25133.963137
2.80	0	90	0	-6043.075211
2.80	0	90	30	-17430.46757
2.80	0	90	60	-22663.664144
2.80	0	90	90	119.302495
2.80	0	90	120	-22663.664041
2.80	0	90	150	-17430.467581
2.80	0	90	180	-6043.075172
2.80	30	0	0	282637.24697
2.80	30	0	30	-11749.380326
2.80	30	0	60	-22282.884454
2.80	30	0	90	504.33661
2.80	30	0	120	-22282.884384
2.80	30	0	150	-11749.38019
2.80	30	0	180	282637.246829
2.80	30	30	0	146541.489305
2.80	30	30	30	-14943.229691
2.80	30	30	60	-22614.813897
2.80	30	30	90	404.904454
2.80	30	30	120	-22156.122975
2.80	30	30	150	-11163.711795
2.80	30	30	180	146541.489188
2.80	30	60	0	25133.963328
2.80	30	60	30	-17155.915139
2.80	30	60	60	-22826.340851
2.80	30	60	90	234.349033
2.80	30	60	120	-22400.622532
2.80	30	60	150	-14543.440563
2.80	30	60	180	25133.963137
2.80	30	90	0	-6043.075211
2.80	30	90	30	-17177.076545
2.80	30	90	60	-22735.218857
2.80	30	90	90	161.061855
2.80	30	90	120	-22735.218819
2.80	30	90	150	-17177.07616
2.80	30	90	180	-6043.075172
2.80	60	0	0	282637.24697
2.80	60	0	30	-11749.18385
2.80	60	0	60	-22281.848826
2.80	60	0	90	494.833965
2.80	60	0	120	-22281.848671
2.80	60	0	150	-11749.183987
2.80	60	0	180	282637.246829
2.80	60	30	0	146541.489305
2.80	60	30	30	-14183.718306
2.80	60	30	60	-22560.261513
2.80	60	30	90	415.903776
2.80	60	30	120	-22305.365129
2.80	60	30	150	-11997.939158
2.80	60	30	180	146541.489188
2.80	60	60	0	25133.963328
2.80	60	60	30	-16376.636604
2.80	60	60	60	-22831.455005
2.80	60	60	90	278.789568
2.80	60	60	120	-22608.011583
2.80	60	60	150	-14768.531205
2.80	60	60	180	25133.963137
2.80	60	90	0	-6043.075211
2.80	60	90	30	-16636.676005
2.80	60	90	60	-22854.826058
2.80	60	90	90	220.505118
2.80	60	90	120	-22854.826291
2.80	60	90	150	-16636.676107
2.80	60	90	180	-6043.075171
2.80	90	0	0	282637.24697
2.80	90	0	30	-11749.375611
2.80	90	0	60	-22282.321866
2.80	90	0	90	497.851422
2.80	90	0	120	-22282.321988
2.80	90	0	150	-11749.375377
2.80	90	0	180	282637.246829
2.80	90	30	0	146541.489305
2.80	90	30	30	-13098.812951
2.80	90	30	60	-22456.192738
2.80	90	30	90	428.819818
2.80	90	30	120	-22456.19262
2.80	90	30	150	-13098.81292
2.80	90	30	180	146541.489189
2.80	90	60	0	25133.963328
2.80	90	60	30	-15394.861581
2.80	90	60	60	-22768.175493
2.80	90	60	90	308.224917
2.80	90	60	120	-22768.175633
2.80	90	60	150	-15394.861564
2.80	90	60	180	25133.963137
2.80	90	90	0	-6043.075211
2.80	90	90	30	-16423.46887
2.80	90	90	60	-22909.20721
2.80	90	90	90	257.226683
2.80	90	90	120	-22909.207176
2.80	90	90	150	-16423.468901
2.80	90	90	180	-6043.075171
2.90	0	0	0	158301.39868
2.90	0	0	30	-13405.324202
2.90	0	0	60	-22691.091973
2.90	0	0	90	290.266563
2.90	0	0	120	-22691.091942
2.90	0	0	150	-13405.323979
2.90	0	0	180	158301.398625
2.90	0	30	0	76825.483416
2.90	0	30	30	-15670.148107
2.90	0	30	60	-22985.946954
2.90	0	30	90	207.526146
2.90	0	30	120	-22542.550851
2.90	0	30	150	-13661.702458
2.90	0	30	180	76825.483377
2.90	0	60	0	7798.475528
2.90	0	60	30	-17576.755279
2.90	0	60	60	-23151.124672
2.90	0	60	90	65.55186
2.90	0	60	120	-22731.336887
2.90	0	60	150	-16412.970513
2.90	0	60	180	7798.475431
2.90	0	90	0	-11191.299448
2.90	0	90	30	-18032.64495
2.90	0	90	60	-23042.993143
2.90	0	90	90	5.284191
2.90	0	90	120	-23042.993081
2.90	0	90	150	-18032.644959
2.90	0	90	180	-11191.29933
2.90	30	0	0	158301.39868
2.90	30	0	30	-13405.946782
2.90	30	0	60	-22693.50101
2.90	30	0	90	296.748737
2.90	30	0	120	-22693.500949
2.90	30	0	150	-13405.946563
2.90	30	0	180	158301.398625
2.90	30	30	0	76825.483416
2.90	30	30	30	-15477.036773
2.90	30	30	60	-22974.396311
2.90	30	30	90	222.502559
2.90	30	30	120	-22598.752653
2.90	30	30	150	-13732.478791
2.90	30	30	180	76825.483377
2.90	30	60	0	7798.475528
2.90	30	60	30	-17298.540342
2.90	30	60	60	-23160.150187
2.90	30	60	90	95.42689
2.90	30	60	120	-22818.529711
2.90	30	60	150	-16256.887155
2.90	30	60	180	7798.475431
2.90	30	90	0	-11191.299448
2.90	30	90	30	-17705.471184
2.90	30	90	60	-23095.308967
2.90	30	90	90	41.984254
2.90	30	90	120	-23095.308844
2.90	30	90	150	-17705.4712
2.90	30	90	180	-11191.29933
2.90	60	0	0	158301.39868
2.90	60	0	30	-13405.863195
2.90	60	0	60	-22692.476382
2.90	60	0	90	287.250871
2.90	60	0	120	-22692.476587
2.90	60	0	150	-13405.863181
2.90	60	0	180	158301.398625
2.90	60	30	0	76825.483416
2.90	60	30	30	-14954.783443
2.90	60	30	60	-22926.737814
2.90	60	30	90	229.782911
2.90	60	30	120	-22718.201334
2.90	60	30	150	-13934.341763
2.90	60	30	180	76825.483377
2.90	60	60	0	7798.475528
2.90	60	60	30	-16655.868291
2.90	60	60	60	-23155.335725
2.90	60	60	90	132.404528
2.90	60	60	120	-22976.822931
2.90	60	60	150	-15905.028496
2.90	60	60	180	7798.475431
2.90	60	90	0	-11191.299448
2.90	60	90	30	-17098.357424
2.90	60	90	60	-23178.94107
2.90	60	90	90	91.625342
2.90	60	90	120	-23178.941062
2.90	60	90	150	-17098.357705
2.90	60	90	180	-11191.29933
2.90	90	0	0	158301.39868
2.90	90	0	30	-13406.042109
2.90	90	0	60	-22692.946471
2.90	90	0	90	290.266476
2.90	90	0	120	-22692.946541
2.90	90	0	150	-13406.042278
2.90	90	0	180	158301.398625
2.90	90	30	0	76825.483416
2.90	90	30	30	-14355.541613
2.90	90	30	60	-22839.685638
2.90	90	30	90	241.724106
2.90	90	30	120	-22839.685765
2.90	90	30	150	-14355.54184
2.90	90	30	180	76825.483377
2.90	90	60	0	7798.475528
2.90	90	60	30	-16056.771495
2.90	90	60	60	-23100.613592
2.90	90	60	90	158.066425
2.90	90	60	120	-23100.613515
2.90	90	60	150	-16056.77158
2.90	90	60	180	7798.475431
2.90	90	90	0	-11191.299448
2.90	90	90	30	-16771.457319
2.90	90	90	60	-2890.717302
