    1     0.000000000000
    2     0.714800000000
    3     2.144400000000
    4     4.288800000000
    5     7.148000000000
    6    10.722000000000
    7    15.010800000000
    8    20.014400000000
    9    25.732800000000
   10    32.166000000000
   11    39.314000000000
   12    47.176800000000
   13    55.754400000000
   14    65.046800000000
   15    75.054000000000
   16    85.776000000000
   17    97.212800000000
   18   109.364400000000
   19   122.230800000000
   20   135.812000000000
   21   150.108000000000
   22   165.118800000000
