R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2.5,135309384.41070533,-56843365.908919446,10538618.430574292,303002618.3032574,-296775068.8582278,163052390.5603299,-174310243.88149264,39571009.01297946,-29901573.711998966,36029597.910147116,539559838.8723764,-435692121.2172552,324516265.24088585,-383705248.24710536,146730794.14725208,-76881727.90401188,64558674.47014487,-65679618.302747175,88144606.44396597,358242143.12140495,-349105773.5152199,234306583.51795447,-224998516.61298972,115075102.97093496,-71240878.26403105,53923721.46741013,-42653578.34797631,37337716.84874993
2.6,86086041.39468619,-36462809.52064261,6808714.19426576,193283294.7299768,-190553182.67870915,104667033.91315097,-111821919.50004208,25552631.698268663,-19305830.161874622,23256883.123913195,345713429.49936885,-279787243.9546417,208375596.63116336,-246340202.74729005,94639123.66093203,-49587752.1615611,41639855.027960464,-42363111.97135199,56852829.681126535,229843373.4133848,-224192528.48120874,150461694.90775496,-144467239.67267007,74217696.12122335,-45945117.75397807,34774365.727535434,-27502715.082299706,24067668.80870949
2.7,54608559.38662919,-23327815.27950093,4389027.767029207,122947127.05838354,-122032519.93300885,67012838.27688442,-71545447.77140385,16462874.739582006,-12436322.7782841,14977824.127468862,220926659.90664178,-179202456.80462772,133451497.403382,-157737766.0683238,60898928.46355604,-31909154.03088095,26794986.84472608,-27260571.834325504,36584598.67829689,147083468.86097988,-143599891.21950215,96368382.3902569,-92517223.17165908,47755357.52428304,-29562239.94409336,22373047.88214861,-17692114.66074455,15477423.57531279
2.8,34533496.485266805,-14882305.555991312,2822429.9391219863,77973606.42925537,-77933625.83219695,42784904.36274047,-45646398.074337274,10580755.174315441,-7991604.13157858,9622334.093074147,140787142.90667474,-114458207.11740586,85228582.53257345,-100720475.99288969,39090103.34397991,-20482099.56515576,17199521.480868585,-17498494.75050246,23483516.90563593,93864071.51423553,-91722338.85880598,61550194.32251981,-59082409.47919277,30651658.138682872,-18973692.595558077,14358408.97603811,-11352632.949242283,9928191.32231896
2.9,21766998.259703517,-9465630.03854822,1810310.4723932424,49295584.48400724,-49622191.31875863,27234483.993277088,-29034297.696707122,6782528.683794074,-5121974.767728606,6165518.862893399,89450767.13051146,-72886739.30625747,54268009.35495652,-64119919.54536671,25024450.438534155,-13112162.138960434,11010828.781028673,-11202305.493887285,15033807.780650783,59725619.98657423,-58411172.095656216,39194237.23894505,-37617310.2556227,19621192.6152253,-12145215.82378874,9190200.617389997,-7265212.837425322,6351415.4552586265
3.0,13672854.894578585,-6000870.480926512,1157908.637509448,31061533.674568817,-31494308.63529598,17280123.556570705,-18407668.71347154,4335572.549868529,-3273544.685681241,3939419.2758667395,56653917.365489736,-46264946.66446085,34443128.516176924,-40687814.64991373,15974159.616329122,-8370087.310344012,7028775.630844656,-7151058.598892231,9596902.757916976,37884767.05987086,-37078312.67610085,24878050.24256834,-23873412.828895986,12524244.677907322,-7751979.470411822,5865381.85603673,-4636070.739918234,4051490.0415351028
3.1,8557484.67901081,-3791025.863855407,738405.8221261234,19503542.469741408,-19919893.14514614,10926148.115743883,-11629515.396301527,2763051.1823778283,-2085855.9699119492,2509435.4797460865,35761409.70436983,-29265204.66652152,21784884.18238318,-25729162.022670116,10165631.495844478,-5326582.317580956,4473037.403856283,-4550893.164451955,6107403.8531190995,23950956.457535252,-23455318.90360354,15736418.176141119,-15098456.470015846,7969654.865751,-4932659.014551766,3731876.819365369,-2949230.90208738,2576379.5435382007
3.2,5335599.436287345,-2385931.629605262,469369.3375306027,12201127.458157726,-12552304.151241954,6882755.611894056,-7319502.657924913,1755164.2799681448,-1324751.2393013272,1593308.8356888685,22493018.19432789,-18442952.20306929,13727301.504340325,-16209136.070916288,6447800.996515792,-3378534.2920496706,2837178.318345933,-2886585.4754099688,3873858.529543702,15088347.059836838,-14782353.801248182,9916865.799631447,-9513175.306682488,5054606.431714268,-3128302.2188203894,2366551.862946216,-1869917.6598429652,1632877.5444774511
3.3,3313571.747259875,-1495498.1159907097,297318.57593782514,7603309.427171563,-7877921.111490159,4318198.309569123,-4588047.662211272,1111018.7789390115,-838410.7242535236,1008074.474153627,14094020.217872005,-11576042.772561321,8615165.447500348,-10170400.825220825,4075093.3055496514,-2135289.7376690833,1793163.0011858437,-1824406.0152755056,2448388.3212949326,9469393.070452366,-9278937.970495733,6224345.104619705,-5969874.877357608,3194352.0190384975,-1976893.0227041477,1495375.2527052762,-1181350.782795723,1031178.2348017807
3.4,2049348.5806765836,-933239.3028153963,187626.5905786781,4718937.227272227,-4922744.6903905645,2697387.428831872,-2863225.876047074,700610.2758321206,-528601.7468397873,635376.2488377825,8795864.28229737,-7234331.583798053,5383295.452813504,-6353566.370094622,2565595.447542054,-1344343.0842354682,1128958.5522488868,-1148640.0552687254,1541496.0336407856,5919168.148433993,-5799136.320672995,3889750.4430439156,-3730012.6559340344,2010952.4628795488,-1244458.7179553038,941251.7240008811,-743453.7069792106,648673.4990794552
