R	Gamma	E
2.20	10	-96.121086476085
2.20	20	-96.130821146864
2.20	30	-96.142734298927
2.20	40	-96.153622662701
2.20	50	-96.161935619318
2.20	60	-96.16748984124
2.20	70	-96.170773741504
2.20	80	-96.172409856341
2.20	90	-96.172879304312
2.20	100	-96.172391152623
2.20	110	-96.170728931351
2.20	120	-96.166918897151
2.20	130	-96.158553351727
2.20	140	-96.140782303667
2.20	150	-96.106068940504
2.20	160	-96.047482896199
2.20	170	-95.963949392003
2.20	180	-95.903957233088
2.30	0	-96.136940609044
2.30	10	-96.139531212756
2.30	20	-96.146181880561
2.30	30	-96.154424034587
2.30	40	-96.162043807961
2.30	50	-96.167904091197
2.30	60	-96.171829529529
2.30	70	-96.174144858236
2.30	80	-96.175287540976
2.30	90	-96.175601563086
2.30	100	-96.175238211085
2.30	110	-96.174041017043
2.30	120	-96.171298430401
2.30	130	-96.165241943704
2.30	140	-96.152313817018
2.30	150	-96.127062008124
2.30	160	-96.085075381486
2.30	170	-96.030199104199
2.30	180	-95.996596122343
2.40	0	-96.150733416396
2.40	10	-96.15249146315
2.40	20	-96.157031717326
2.40	30	-96.16271214366
2.40	40	-96.168012734358
2.40	50	-96.17211510787
2.40	60	-96.174868662949
2.40	70	-96.176488153929
2.40	80	-96.177279577523
2.40	90	-96.177488139385
2.40	100	-96.17722315422
2.40	110	-96.176373676946
2.40	120	-96.174427160269
2.40	130	-96.170101139562
2.40	140	-96.160819384742
2.40	150	-96.142685761691
2.40	160	-96.112904814544
2.40	170	-96.076237748863
2.40	180	-96.056027640991
2.50	0	-96.160352288779
2.50	10	-96.161546008684
2.50	20	-96.164642073253
2.50	30	-96.168543386227
2.50	40	-96.172211365505
2.50	50	-96.175064841098
2.50	60	-96.176982557278
2.50	70	-96.178106254376
2.50	80	-96.178649399577
2.50	90	-96.178786769153
2.50	100	-96.178597209321
2.50	110	-96.178003241661
2.50	120	-96.176640581952
2.50	130	-96.173590563858
2.50	140	-96.16700932155
2.50	150	-96.154142456684
2.50	160	-96.133220161693
2.50	170	-96.108496241483
2.50	180	-96.095757321748
2.60	0	-96.167029856128
2.60	10	-96.167840083969
2.60	20	-96.169947691814
2.60	30	-96.17261812411
2.60	40	-96.175143857388
2.60	50	-96.177116234678
2.60	60	-96.178442004921
2.60	70	-96.179215092666
2.60	80	-96.179584199088
2.60	90	-96.17967382898
2.60	100	-96.179540870398
2.60	110	-96.17913175292
2.60	120	-96.178190924668
2.60	130	-96.176068291825
2.60	140	-96.171458118158
2.60	150	-96.16243213646
2.60	160	-96.147868982896
2.60	170	-96.13114613573
2.60	180	-96.122892369723
2.70	0	-96.171645058
2.70	10	-96.172194104551
2.70	20	-96.173625532318
2.70	30	-96.175447065169
2.70	40	-96.177177496819
2.70	50	-96.178531817914
2.70	60	-96.179441070808
2.70	70	-96.179968076795
2.70	80	-96.180216297582
2.70	90	-96.180274248883
2.70	100	-96.180182938709
2.70	110	-96.179905741077
2.70	120	-96.179265527652
2.70	130	-96.177807879852
2.70	140	-96.174617621877
2.70	150	-96.168356702879
2.70	160	-96.158313844446
2.70	170	-96.147013081296
2.70	180	-96.141588579312
2.80	0	-96.17482042272
2.80	10	-96.175191410252
2.80	20	-96.176160590517
2.80	30	-96.177398151788
2.80	40	-96.178577102425
2.80	50	-96.179500144811
2.80	60	-96.180118163667
2.80	70	-96.180473813661
2.80	80	-96.180638911732
2.80	90	-96.180676086458
2.80	100	-96.180614835865
2.80	110	-96.180430580914
2.80	120	-96.180001913823
2.80	130	-96.179015140325
2.80	140	-96.176835373576
2.80	150	-96.172541383643
2.80	160	-96.165681766579
2.80	170	-96.158071841688
2.80	180	-96.154485751093
2.90	0	-96.176994645809
2.90	10	-96.177244220503
2.90	20	-96.177897678141
2.90	30	-96.178734311614
2.90	40	-96.179532212956
2.90	50	-96.180155938007
2.90	60	-96.180571727212
2.90	70	-96.180809008139
2.90	80	-96.180917467043
2.90	90	-96.180941121408
2.90	100	-96.180901136115
2.90	110	-96.180781539367
2.90	120	-96.180500042811
2.90	130	-96.179842692543
2.90	140	-96.178373704704
2.90	150	-96.17546338166
2.90	160	-96.170824604386
2.90	170	-96.165727786456
2.90	180	-96.163356049949
3.00	0	-96.178475359574
3.00	10	-96.178642260469
3.00	20	-96.179080243573
3.00	30	-96.179642112678
3.00	40	-96.18017770496
3.00	50	-96.180594990637
3.00	60	-96.180871436805
3.00	70	-96.18102756776
3.00	80	-96.181097692927
3.00	90	-96.181112555285
3.00	100	-96.181087302984
3.00	110	-96.181012061684
3.00	120	-96.18083180936
3.00	130	-96.18040219098
3.00	140	-96.179427357032
3.00	150	-96.177480086728
3.00	160	-96.174376249135
3.00	170	-96.17098732629
3.00	180	-96.16942417102
3.10	0	-96.179477294317
3.10	10	-96.179588034738
3.10	20	-96.179879273385
3.10	30	-96.180253293511
3.10	40	-96.180609143266
3.10	50	-96.180885041289
3.10	60	-96.181066222683
3.10	70	-96.181167079818
3.10	80	-96.18121136386
3.10	90	-96.181220476861
3.10	100	-96.181205211767
3.10	110	-96.181159931817
3.10	120	-96.181048491921
3.10	130	-96.180774382697
3.10	140	-96.18013901255
3.10	150	-96.178855019007
3.10	160	-96.176802325341
3.10	170	-96.174569465045
3.10	180	-96.173546093402
3.20	0	-96.180149814553
3.20	10	-96.180222585145
3.20	20	-96.180414257135
3.20	30	-96.180660357981
3.20	40	-96.18089374431
3.20	50	-96.18107351571
3.20	60	-96.181190069911
3.20	70	-96.181253503954
3.20	80	-96.18128043021
3.20	90	-96.181285772472
3.20	100	-96.181277148466
3.20	110	-96.18125173026
3.20	120	-96.181186371746
3.20	130	-96.181017028909
3.20	140	-96.180611934602
3.20	150	-96.179779788612
3.20	160	-96.178440473421
3.20	170	-96.176985526157
3.20	180	-96.176321654719
3.30	0	-96.18059654049
3.30	10	-96.180643805006
3.30	20	-96.180768322014
3.30	30	-96.180927845174
3.30	40	-96.18107836478
3.30	50	-96.181193264954
3.30	60	-96.18126632802
3.30	70	-96.181304623199
3.30	80	-96.181319965861
3.30	90	-96.181322845707
3.30	100	-96.181318573334
3.30	110	-96.18130602728
3.30	120	-96.181270939944
3.30	130	-96.181171128897
3.30	140	-96.180920131719
3.30	150	-96.180392214059
3.30	160	-96.179532635359
3.30	170	-96.178597037652
3.30	180	-96.17817106793
3.40	0	-96.180889159973
3.40	10	-96.180919422895
3.40	20	-96.180999008111
3.40	30	-96.181100434338
3.40	40	-96.1811953531
3.40	50	-96.18126684386
3.40	60	-96.181310938204
3.40	70	-96.181332557733
3.40	80	-96.181340269002
3.40	90	-96.181341569406
3.40	100	-96.181340130618
3.40	110	-96.181335704931
3.40	120	-96.181319999722
3.40	130	-96.181265515655
3.40	140	-96.181116084103
3.40	150	-96.18079040913
3.40	160	-96.180250207245
3.40	170	-96.179658221283
3.40	180	-96.179388410964
3.50	0	-96.18107717422
3.50	10	-96.181096210213
3.50	20	-96.181146037067
3.50	30	-96.181208915583
3.50	40	-96.181266936165
3.50	50	-96.181309697247
3.50	60	-96.181334770852
3.50	70	-96.181345550428
3.50	80	-96.18134834219
3.50	90	-96.181348654797
3.50	100	-96.181349044186
3.50	110	-96.181349596832
3.50	120	-96.181345863042
3.50	130	-96.181320308134
3.50	140	-96.181236680649
3.50	150	-96.181043497199
3.50	160	-96.180713466377
3.50	170	-96.180346583022
3.50	180	-96.180178443381
3.60	0	-96.181194781884
3.60	10	-96.181206474272
3.60	20	-96.181236826216
3.60	30	-96.181274483317
3.60	40	-96.181308369837
3.60	50	-96.181332403311
3.60	60	-96.181345240581
3.60	70	-96.18134918859
3.60	80	-96.181348913892
3.60	90	-96.181348618835
3.60	100	-96.181350158869
3.60	110	-96.181353647817
3.60	120	-96.181356959459
3.60	130	-96.181349346526
3.60	140	-96.18130752254
3.60	150	-96.181199617145
3.60	160	-96.181005948208
3.60	170	-96.18078492346
3.60	180	-96.180682478715
3.70	0	-96.181265631026
3.70	10	-96.181272559783
3.70	20	-96.181290320347
3.70	30	-96.181311739156
3.70	40	-96.181330130945
3.70	50	-96.181342207163
3.70	60	-96.181347391569
3.70	70	-96.181347225697
3.70	80	-96.181345136616
3.70	90	-96.181344462389
3.70	100	-96.181346674471
3.70	110	-96.181351792795
3.70	120	-96.181358950656
3.70	130	-96.181362027439
3.70	140	-96.181346146447
3.70	150	-96.181291891998
3.70	160	-96.181185106065
3.70	170	-96.181057404571
3.70	180	-96.180997108124
3.80	0	-96.181306022795
3.80	10	-96.181309870034
3.80	20	-96.181319568253
3.80	30	-96.181330712137
3.80	40	-96.181339385461
3.80	50	-96.181344037664
3.80	60	-96.181344615543
3.80	70	-96.181342133476
3.80	80	-96.181339061305
3.80	90	-96.181338138702
3.80	100	-96.181340669546
3.80	110	-96.181346581286
3.80	120	-96.181355573853
3.80	130	-96.18136460231
3.80	140	-96.18136433359
3.80	150	-96.181342851167
3.80	160	-96.181290074955
3.80	170	-96.181221137464
3.80	180	-96.181187694567
3.90	0	-96.181327080853
3.90	10	-96.18132892153
3.90	20	-96.181333478736
3.90	30	-96.181338232124
3.90	40	-96.181340983435
3.90	50	-96.181341195256
3.90	60	-96.181339139755
3.90	70	-96.181335484813
3.90	80	-96.181331970342
3.90	90	-96.181330880126
3.90	100	-96.181333468006
3.90	110	-96.181339631362
3.90	120	-96.181349239171
3.90	130	-96.181361177361
3.90	140	-96.181369865286
3.90	150	-96.181367640536
3.90	160	-96.181347317507
3.90	170	-96.181314561401
3.90	180	-96.181298024897
4.00	0	-96.181336260909
4.00	10	-96.181336770692
4.00	20	-96.181338035013
4.00	30	-96.181338874534
4.00	40	-96.181338142791
4.00	50	-96.181335829365
4.00	60	-96.18133237392
4.00	70	-96.181328236823
4.00	80	-96.181324622891
4.00	90	-96.181323428585
4.00	100	-96.181325891342
4.00	110	-96.181331951163
4.00	120	-96.181341464377
4.00	130	-96.181354411721
4.00	140	-96.181367797749
4.00	150	-96.181376308882
4.00	160	-96.181374584312
4.00	170	-96.181363375334
4.00	180	-96.181357214159
4.10	0	-96.181338422916
4.10	10	-96.181338028487
4.10	20	-96.181337157376
4.10	30	-96.181335627281
4.10	40	-96.181332934289
4.10	50	-96.181329285114
4.10	60	-96.181325170203
4.10	70	-96.18132094294
4.10	80	-96.181317439613
4.10	90	-96.181316203242
4.10	100	-96.181318431847
4.10	110	-96.181324158352
4.10	120	-96.181333183038
4.10	130	-96.181346007491
4.10	140	-96.181361388097
4.10	150	-96.181375410951
4.10	160	-96.181383649995
4.10	170	-96.181384648838
4.10	180	-96.181384553121
4.20	0	-96.181336605144
4.20	10	-96.181335590193
4.20	20	-96.181333319962
4.20	30	-96.181330369647
4.20	40	-96.181326636517
4.20	50	-96.181322364585
4.20	60	-96.181318017059
4.20	70	-96.181313908609
4.20	80	-96.181310637175
4.20	90	-96.181309420367
4.20	100	-96.18131136783
4.20	110	-96.181316623214
4.20	120	-96.181324955759
4.20	130	-96.181337035198
4.20	140	-96.181352732032
4.20	150	-96.181369135332
4.20	160	-96.181382185571
4.20	170	-96.181389587493
4.20	180	-96.181392756806
4.30	0	-96.181332604422
4.30	10	-96.1813311776
4.30	20	-96.18132800613
4.30	30	-96.181324226968
4.30	40	-96.181320000248
4.30	50	-96.181315520409
4.30	60	-96.181311180619
4.30	70	-96.181307295426
4.30	80	-96.18130431956
4.30	90	-96.181303177068
4.30	100	-96.181304842413
4.30	110	-96.181309558951
4.30	120	-96.181317110797
4.30	130	-96.181328149783
4.30	140	-96.181343176074
4.30	150	-96.181360103749
4.30	160	-96.181375045557
4.30	170	-96.181385391394
4.30	180	-96.181390074683
4.40	0	-96.18132742467
4.40	10	-96.181325755508
4.40	20	-96.181322053802
4.40	30	-96.181317835704
4.40	40	-96.181313442968
4.40	50	-96.181308993866
4.40	60	-96.181304798255
4.40	70	-96.181301186386
4.40	80	-96.181298531101
4.40	90	-96.181297504417
4.40	100	-96.181298915258
4.40	110	-96.181303077788
4.40	120	-96.181309830766
4.40	130	-96.181319732833
4.40	140	-96.181333571158
4.40	150	-96.181349935392
